StateCode,Sex,YearOfBirth,Name,Number
MS,F,1926,Addie,79
MS,F,1926,Cora,79
MS,F,1926,Ora,78
MS,F,1926,Anna,76
MS,F,1926,Elsie,75
MS,F,1926,Susie,73
MS,F,1926,Vivian,72
MS,F,1926,Dora,71
MS,F,1926,Grace,71
MS,F,1926,Inez,71
MS,F,1926,Marjorie,70
MS,F,1926,Nancy,68
MS,F,1926,Sadie,68
MS,F,1926,Ada,67
MS,F,1926,Lee,67
MS,F,1926,Flora,66
MS,F,1926,Eunice,65
MS,F,1926,Joyce,65
MS,F,1926,Jean,64
MS,F,1926,Alberta,63
MS,F,1926,Bobbie,63
MS,F,1926,Bonnie,63
MS,F,1926,Hilda,63
MS,F,1926,Ollie,63
MS,F,1926,Sara,62
MS,F,1926,Wilma,61
MS,F,1926,Mable,60
MS,F,1926,Maxine,60
MS,F,1926,Rosa,60
MS,F,1926,Billie,59
MS,F,1926,Eula,59
MS,F,1926,Lucy,58
MS,F,1926,Rose,58
MS,F,1926,Ruthie,57
MS,F,1926,Sallie,57
MS,F,1926,Ernestine,56
MS,F,1926,Viola,55
MS,F,1926,Lela,53
MS,F,1926,Pearl,53
MS,F,1926,Roberta,53
MS,F,1926,Barbara,52
MS,F,1926,Eddie,52
MS,F,1926,Eloise,52
MS,F,1926,Gertrude,52
MS,F,1926,Estella,51
MS,F,1926,Jimmie,51
MS,F,1926,Lizzie,51
MS,F,1926,Lucile,51
MS,F,1926,Elnora,50
MS,F,1926,Geraldine,49
MS,F,1926,Mavis,49
MS,F,1926,Opal,49
MS,F,1926,Audrey,48
MS,F,1926,Gloria,48
MS,F,1926,Jewel,48
MS,F,1926,Bettie,47
MS,F,1926,Earnestine,46
MS,F,1926,Erma,46
MS,F,1926,Kathleen,46
MS,F,1926,Earline,45
MS,F,1926,Jane,44
MS,F,1926,Ann,43
MS,F,1926,Irma,43
MS,F,1926,Kathryn,43
MS,F,1926,Pearlie,43
MS,F,1926,Peggy,43
MS,F,1926,Lola,42
MS,F,1926,Effie,41
MS,F,1926,Florence,41
MS,F,1926,Norma,41
MS,F,1926,Winnie,41
MS,F,1926,Ellen,40
MS,F,1926,Josie,40
MS,F,1926,Leola,40
MS,F,1926,Nettie,40
MS,F,1926,Esther,39
MS,F,1926,Lottie,39
MS,F,1926,Callie,38
MS,F,1926,Carolyn,38
MS,F,1926,Rachel,38
MS,F,1926,Agnes,37
MS,F,1926,Nell,37
MS,F,1926,Ola,37
MS,F,1926,Shirley,37
MS,F,1926,Estelle,36
MS,F,1926,Beulah,35
MS,F,1926,Leona,35
MS,F,1926,Mabel,35
MS,F,1926,Myrtis,35
MS,F,1926,Tommie,35
MS,F,1926,Nina,34
MS,F,1926,Freddie,33
MS,F,1926,Janie,33
MS,F,1926,Odessa,33
MS,F,1926,Rebecca,32
MS,F,1926,Virgie,32
MS,F,1926,Jennie,31
MS,F,1926,Stella,31
MS,F,1926,Dorthy,30
MS,F,1926,Francis,30
MS,F,1926,Kattie,30
MS,F,1926,Ina,29
MS,F,1926,Jewell,29
MS,F,1926,Johnie,29
MS,F,1926,Allie,28
MS,F,1926,Magnolia,28
MS,F,1926,Marguerite,28
MS,F,1926,Marion,28
MS,F,1926,Naomi,28
MS,F,1926,Ophelia,28
MS,F,1926,Della,27
MS,F,1926,Florine,27
MS,F,1926,May,27
MS,F,1926,Robbie,27
MS,F,1926,Imogene,26
MS,F,1926,Rosetta,26
MS,F,1926,Verna,26
MS,F,1926,Blanche,25
MS,F,1926,Charlene,25
MS,F,1926,Charlotte,25
MS,F,1926,Corine,25
MS,F,1926,Etta,25
MS,F,1926,Frankie,25
MS,F,1926,Idella,25
MS,F,1926,Melba,25
MS,F,1926,Eliza,24
MS,F,1926,Emily,24
MS,F,1926,Lorene,24
MS,F,1926,Nora,24
MS,F,1926,Queen,24
MS,F,1926,Rubye,24
MS,F,1926,Eleanor,23
MS,F,1926,Lorine,23
MS,F,1926,Lou,23
MS,F,1926,Olivia,23
MS,F,1926,Birtha,22
MS,F,1926,Faye,22
MS,F,1926,Lue,22
MS,F,1926,Charlie,21
MS,F,1926,Lessie,21
MS,F,1926,Rita,21
MS,F,1926,Birdie,20
MS,F,1926,Claudia,20
MS,F,1926,Cornelia,20
MS,F,1926,Gussie,20
MS,F,1926,Jannie,20
MS,F,1926,Lenora,20
MS,F,1926,Myra,20
MS,F,1926,Nannie,20
MS,F,1926,Ouida,20
MS,F,1926,Sammie,20
MS,F,1926,Sue,20
MS,F,1926,Dessie,19
MS,F,1926,Joe,19
MS,F,1926,John,19
MS,F,1926,Laverne,19
MS,F,1926,Theresa,19
MS,F,1926,Amanda,18
MS,F,1926,Bertie,18
MS,F,1926,Elaine,18
MS,F,1926,Elouise,18
MS,F,1926,James,18
MS,F,1926,Jo,18
MS,F,1926,Maudie,18
MS,F,1926,Pearline,18
MS,F,1926,Rena,18
MS,F,1926,Rosia,18
MS,F,1926,Annette,17
MS,F,1926,Cleo,17
MS,F,1926,Doretha,17
MS,F,1926,Ester,17
MS,F,1926,Gwendolyn,17
MS,F,1926,Hannah,17
MS,F,1926,Henrietta,17
MS,F,1926,Letha,17
MS,F,1926,Lila,17
MS,F,1926,Millie,17
MS,F,1926,Reba,17
MS,F,1926,Violet,17
MS,F,1926,Yvonne,17
MS,F,1926,Elma,16
MS,F,1926,Gracie,16
MS,F,1926,Iva,16
MS,F,1926,Lovie,16
MS,F,1926,Miriam,16
MS,F,1926,Mollie,16
MS,F,1926,Sylvia,16
MS,F,1926,Anita,15
MS,F,1926,Augusta,15
MS,F,1926,Jacqueline,15
MS,F,1926,Jeanette,15
MS,F,1926,Joy,15
MS,F,1926,Patricia,15
MS,F,1926,Rubie,15
MS,F,1926,Aline,14
MS,F,1926,Delores,14
MS,F,1926,Earlene,14
MS,F,1926,Elmira,14
MS,F,1926,Emmer,14
MS,F,1926,Ila,14
MS,F,1926,June,14
MS,F,1926,Luella,14
MS,F,1926,Angie,13
MS,F,1926,Bettye,13
MS,F,1926,Celestine,13
MS,F,1926,Christeen,13
MS,F,1926,Dollie,13
MS,F,1926,Evie,13
MS,F,1926,Fay,13
MS,F,1926,Iris,13
MS,F,1926,Jaunita,13
MS,F,1926,Jossie,13
MS,F,1926,Kate,13
MS,F,1926,Kathrine,13
MS,F,1926,Maude,13
MS,F,1926,Merle,13
MS,F,1926,Patsy,13
MS,F,1926,Rosemary,13
MS,F,1926,Sally,13
MS,F,1926,Wanda,13
MS,F,1926,Willa,13
MS,F,1926,Amelia,12
MS,F,1926,Anne,12
MS,F,1926,Berniece,12
MS,F,1926,Clotee,12
MS,F,1926,Easter,12
MS,F,1926,Flossie,12
MS,F,1926,Hazle,12
MS,F,1926,Jamie,12
MS,F,1926,Jeanne,12
MS,F,1926,Lelia,12
MS,F,1926,Lettie,12
MS,F,1926,Linnie,12
MS,F,1926,Louella,12
MS,F,1926,Lucinda,12
MS,F,1926,Lydia,12
MS,F,1926,Odell,12
MS,F,1926,Roxie,12
MS,F,1926,Syble,12
MS,F,1926,Amy,11
MS,F,1926,Ava,11
MS,F,1926,Celia,11
MS,F,1926,Ceola,11
MS,F,1926,Claudie,11
MS,F,1926,Clytee,11
MS,F,1926,Delma,11
MS,F,1926,Emogene,11
MS,F,1926,Hettie,11
MS,F,1926,Idell,11
MS,F,1926,Isabella,11
MS,F,1926,Lorraine,11
MS,F,1926,Marcella,11
MS,F,1926,Marian,11
MS,F,1926,Mittie,11
MS,F,1926,Muriel,11
MS,F,1926,Nelda,11
MS,F,1926,Polly,11
MS,F,1926,Rosalie,11
MS,F,1926,Vernice,11
