StateCode,Sex,YearOfBirth,Name,Number
MS,F,1945,Rosemary,24
MS,F,1945,Viola,24
MS,F,1945,Virgie,24
MS,F,1945,Agnes,23
MS,F,1945,Ellen,23
MS,F,1945,Jewel,23
MS,F,1945,Loretta,23
MS,F,1945,Myrtis,23
MS,F,1945,Ola,23
MS,F,1945,Eleanor,22
MS,F,1945,Gail,22
MS,F,1945,June,22
MS,F,1945,Lela,22
MS,F,1945,Marion,22
MS,F,1945,Nettie,22
MS,F,1945,Nora,22
MS,F,1945,Pamela,22
MS,F,1945,Roberta,22
MS,F,1945,Sallie,22
MS,F,1945,Sheila,22
MS,F,1945,Winnie,22
MS,F,1945,Beulah,21
MS,F,1945,Diana,21
MS,F,1945,Florence,21
MS,F,1945,Henrietta,21
MS,F,1945,Jackie,21
MS,F,1945,Jennie,21
MS,F,1945,Francis,20
MS,F,1945,Kattie,20
MS,F,1945,Lola,20
MS,F,1945,Sammie,20
MS,F,1945,Theresa,20
MS,F,1945,Charlie,19
MS,F,1945,Lottie,19
MS,F,1945,Peggie,19
MS,F,1945,Amanda,18
MS,F,1945,Della,18
MS,F,1945,Esther,18
MS,F,1945,Inez,18
MS,F,1945,James,18
MS,F,1945,Lenora,18
MS,F,1945,Robbie,18
MS,F,1945,Dessie,17
MS,F,1945,Effie,17
MS,F,1945,Freddie,17
MS,F,1945,Janis,17
MS,F,1945,Joe,17
MS,F,1945,Lue,17
MS,F,1945,May,17
MS,F,1945,Olivia,17
MS,F,1945,Callie,16
MS,F,1945,Lessie,16
MS,F,1945,Lorene,16
MS,F,1945,Odessa,16
MS,F,1945,Priscilla,16
MS,F,1945,Rosetta,16
MS,F,1945,Bobby,15
MS,F,1945,Constance,15
MS,F,1945,Donnie,15
MS,F,1945,Earlene,15
MS,F,1945,Florine,15
MS,F,1945,Lovie,15
MS,F,1945,Marsha,15
MS,F,1945,Melba,15
MS,F,1945,Naomi,15
MS,F,1945,Reba,15
MS,F,1945,Teresa,15
MS,F,1945,Verna,15
MS,F,1945,Bennie,14
MS,F,1945,Emily,14
MS,F,1945,Ester,14
MS,F,1945,Laverne,14
MS,F,1945,Lorraine,14
MS,F,1945,Suzanne,14
MS,F,1945,Vicki,14
MS,F,1945,Beth,13
MS,F,1945,Dollie,13
MS,F,1945,Jeannette,13
MS,F,1945,Leona,13
MS,F,1945,Lynn,13
MS,F,1945,Willa,13
MS,F,1945,Betsy,12
MS,F,1945,Bobbye,12
MS,F,1945,Christeen,12
MS,F,1945,Corine,12
MS,F,1945,Doretha,12
MS,F,1945,Eliza,12
MS,F,1945,Etta,12
MS,F,1945,Gayle,12
MS,F,1945,Lavern,12
MS,F,1945,Lonnie,12
MS,F,1945,Marva,12
MS,F,1945,Ophelia,12
MS,F,1945,Pearline,12
MS,F,1945,Rubye,12
MS,F,1945,Savannah,12
MS,F,1945,Angela,11
MS,F,1945,Celestine,11
MS,F,1945,Celia,11
MS,F,1945,Dolores,11
MS,F,1945,Easter,11
MS,F,1945,Elma,11
MS,F,1945,Harriet,11
MS,F,1945,Jamie,11
MS,F,1945,Joanne,11
MS,F,1945,Miriam,11
MS,F,1945,Pat,11
MS,F,1945,Cherry,10
MS,F,1945,Claudette,10
MS,F,1945,Edwina,10
MS,F,1945,Jan,10
MS,F,1945,Jennifer,10
MS,F,1945,Julie,10
MS,F,1945,Lucile,10
MS,F,1945,Lucinda,10
MS,F,1945,Opal,10
MS,F,1945,Patty,10
MS,F,1945,Polly,10
MS,F,1945,Rutha,10
MS,F,1945,Birdie,9
MS,F,1945,Charline,9
MS,F,1945,Darlene,9
MS,F,1945,Dixie,9
MS,F,1945,Eugenia,9
MS,F,1945,Fay,9
MS,F,1945,Freda,9
MS,F,1945,Gearldine,9
MS,F,1945,Glynda,9
MS,F,1945,Iris,9
MS,F,1945,Jewell,9
MS,F,1945,Lorine,9
MS,F,1945,Madeline,9
MS,F,1945,Magnolia,9
MS,F,1945,Marian,9
MS,F,1945,Mollie,9
MS,F,1945,Nannie,9
MS,F,1945,Ouida,9
MS,F,1945,Syble,9
MS,F,1945,Angie,8
MS,F,1945,Birtha,8
MS,F,1945,Dana,8
MS,F,1945,Deborah,8
MS,F,1945,Ginger,8
MS,F,1945,Gwen,8
MS,F,1945,Ina,8
MS,F,1945,Jeanne,8
MS,F,1945,Jeannie,8
MS,F,1945,Lana,8
MS,F,1945,Leslie,8
MS,F,1945,Letha,8
MS,F,1945,Lila,8
MS,F,1945,Linnie,8
MS,F,1945,Lora,8
MS,F,1945,Marcia,8
MS,F,1945,Mavis,8
MS,F,1945,Millie,8
MS,F,1945,Pinkie,8
MS,F,1945,Rosalie,8
MS,F,1945,Shelby,8
MS,F,1945,Terry,8
MS,F,1945,Toni,8
MS,F,1945,Veronica,8
MS,F,1945,Vonnie,8
MS,F,1945,Zelma,8
MS,F,1945,Allene,7
MS,F,1945,Arlene,7
MS,F,1945,Blanche,7
MS,F,1945,Carroll,7
MS,F,1945,Cathy,7
MS,F,1945,Deloise,7
MS,F,1945,Earnest,7
MS,F,1945,Elois,7
MS,F,1945,Elouise,7
MS,F,1945,Gussie,7
MS,F,1945,Hannah,7
MS,F,1945,Hellen,7
MS,F,1945,Henrine,7
MS,F,1945,Idella,7
MS,F,1945,Ira,7
MS,F,1945,Johnie,7
MS,F,1945,Jonnie,7
MS,F,1945,Joy,7
MS,F,1945,Kaye,7
MS,F,1945,Leora,7
MS,F,1945,Louella,7
MS,F,1945,Luvenia,7
MS,F,1945,Lydia,7
MS,F,1945,Marcella,7
MS,F,1945,Nola,7
MS,F,1945,Penny,7
MS,F,1945,Rena,7
