StateCode,Sex,YearOfBirth,Name,Number
MS,F,1998,Adriana,10
MS,F,1998,Alexius,10
MS,F,1998,Alissa,10
MS,F,1998,Ana,10
MS,F,1998,Ann,10
MS,F,1998,Camryn,10
MS,F,1998,Candice,10
MS,F,1998,Cara,10
MS,F,1998,Chelsie,10
MS,F,1998,Christy,10
MS,F,1998,Helen,10
MS,F,1998,Jerrica,10
MS,F,1998,Joanna,10
MS,F,1998,Kara,10
MS,F,1998,Kenya,10
MS,F,1998,Lyric,10
MS,F,1998,Makenzie,10
MS,F,1998,Martha,10
MS,F,1998,Moesha,10
MS,F,1998,Montana,10
MS,F,1998,Nadia,10
MS,F,1998,Nia,10
MS,F,1998,Octavia,10
MS,F,1998,Robyn,10
MS,F,1998,Ruby,10
MS,F,1998,Shayla,10
MS,F,1998,Shelbie,10
MS,F,1998,Tabitha,10
MS,F,1998,Tessa,10
MS,F,1998,Ally,9
MS,F,1998,Annie,9
MS,F,1998,Bianca,9
MS,F,1998,Breana,9
MS,F,1998,Carlee,9
MS,F,1998,Cassandra,9
MS,F,1998,Chandler,9
MS,F,1998,Dasia,9
MS,F,1998,Desiree,9
MS,F,1998,Domonique,9
MS,F,1998,Genesis,9
MS,F,1998,Jalyn,9
MS,F,1998,Kaitlynn,9
MS,F,1998,Kira,9
MS,F,1998,Lakendra,9
MS,F,1998,Lily,9
MS,F,1998,Lori,9
MS,F,1998,Marisa,9
MS,F,1998,Nancy,9
MS,F,1998,Paris,9
MS,F,1998,Payton,9
MS,F,1998,Rachael,9
MS,F,1998,Raegan,9
MS,F,1998,Regan,9
MS,F,1998,Serena,9
MS,F,1998,Susan,9
MS,F,1998,Tatum,9
MS,F,1998,Tiana,9
MS,F,1998,Valerie,9
MS,F,1998,Vivian,9
MS,F,1998,Abbie,8
MS,F,1998,Addison,8
MS,F,1998,Anne,8
MS,F,1998,Camille,8
MS,F,1998,Carolyn,8
MS,F,1998,Christen,8
MS,F,1998,Cynthia,8
MS,F,1998,Dana,8
MS,F,1998,Denisha,8
MS,F,1998,Elisabeth,8
MS,F,1998,Erika,8
MS,F,1998,Gloria,8
MS,F,1998,Ivy,8
MS,F,1998,Jamiya,8
MS,F,1998,Jocelyn,8
MS,F,1998,Joy,8
MS,F,1998,Julianna,8
MS,F,1998,Kalyn,8
MS,F,1998,Karley,8
MS,F,1998,Karli,8
MS,F,1998,Karlie,8
MS,F,1998,Kayleigh,8
MS,F,1998,Kaylen,8
MS,F,1998,Kayley,8
MS,F,1998,Lexi,8
MS,F,1998,Lexie,8
MS,F,1998,Linda,8
MS,F,1998,Macey,8
MS,F,1998,Makala,8
MS,F,1998,Miesha,8
MS,F,1998,Monique,8
MS,F,1998,Princess,8
MS,F,1998,Tanisha,8
MS,F,1998,Tara,8
MS,F,1998,Trinity,8
MS,F,1998,Tyler,8
MS,F,1998,Tytianna,8
MS,F,1998,Carol,7
MS,F,1998,Catera,7
MS,F,1998,Ciara,7
MS,F,1998,Destini,7
MS,F,1998,Eboni,7
MS,F,1998,Elexis,7
MS,F,1998,Imani,7
MS,F,1998,Jacara,7
MS,F,1998,Jacqueline,7
MS,F,1998,Jala,7
MS,F,1998,Jasmin,7
MS,F,1998,Jessie,7
MS,F,1998,Kaleigh,7
MS,F,1998,Kali,7
MS,F,1998,Katelin,7
MS,F,1998,Kaylan,7
MS,F,1998,Kaylin,7
MS,F,1998,Keanna,7
MS,F,1998,Keely,7
MS,F,1998,Kelsie,7
MS,F,1998,Keosha,7
MS,F,1998,Khadijah,7
MS,F,1998,Leigh,7
MS,F,1998,Lisa,7
MS,F,1998,Maegan,7
MS,F,1998,Marie,7
MS,F,1998,Markayla,7
MS,F,1998,Marlee,7
MS,F,1998,Mckayla,7
MS,F,1998,Myeshia,7
MS,F,1998,Myia,7
MS,F,1998,Naomi,7
MS,F,1998,Presley,7
MS,F,1998,Reanna,7
MS,F,1998,Riley,7
MS,F,1998,Shaniya,7
MS,F,1998,Sidney,7
MS,F,1998,Sophia,7
MS,F,1998,Tamera,7
MS,F,1998,Tatiyana,7
MS,F,1998,Toni,7
MS,F,1998,Abbigail,6
MS,F,1998,Alanna,6
MS,F,1998,Alice,6
MS,F,1998,Ansley,6
MS,F,1998,Arianna,6
MS,F,1998,Asha,6
MS,F,1998,Azaria,6
MS,F,1998,Bailee,6
MS,F,1998,Billie,6
MS,F,1998,Charlotte,6
MS,F,1998,Christine,6
MS,F,1998,Chyna,6
MS,F,1998,Ciera,6
MS,F,1998,Daja,6
MS,F,1998,Danesha,6
MS,F,1998,Denise,6
MS,F,1998,Destinie,6
MS,F,1998,Erykah,6
MS,F,1998,Felicia,6
MS,F,1998,Frances,6
MS,F,1998,Hollie,6
MS,F,1998,Isis,6
MS,F,1998,Jamesha,6
MS,F,1998,Jana,6
MS,F,1998,Jaylan,6
MS,F,1998,Jazlyn,6
MS,F,1998,Jenny,6
MS,F,1998,Josie,6
MS,F,1998,Kala,6
MS,F,1998,Kalee,6
MS,F,1998,Kameron,6
MS,F,1998,Kasey,6
MS,F,1998,Kassidy,6
MS,F,1998,Kathleen,6
MS,F,1998,Katlynn,6
MS,F,1998,Kaylie,6
MS,F,1998,Kelli,6
MS,F,1998,Kellie,6
MS,F,1998,Kelsea,6
MS,F,1998,Keonna,6
MS,F,1998,Keyonna,6
MS,F,1998,Kourtney,6
MS,F,1998,Kristian,6
MS,F,1998,Laprecious,6
MS,F,1998,Laurel,6
MS,F,1998,Lauryn,6
MS,F,1998,Leann,6
MS,F,1998,Lesley,6
MS,F,1998,Madeleine,6
MS,F,1998,Malaysia,6
MS,F,1998,Mckenna,6
MS,F,1998,Melody,6
MS,F,1998,Myesha,6
MS,F,1998,Niya,6
MS,F,1998,Pamela,6
MS,F,1998,Randi,6
