StateCode,Sex,YearOfBirth,Name,Number
MS,M,1931,Ray,39
MS,M,1931,Wayne,39
MS,M,1931,Ben,38
MS,M,1931,Harvey,38
MS,M,1931,Rufus,38
MS,M,1931,Allen,37
MS,M,1931,Ellis,37
MS,M,1931,Elbert,36
MS,M,1931,Will,36
MS,M,1931,Lewis,35
MS,M,1931,Edwin,34
MS,M,1931,Julius,34
MS,M,1931,Leonard,34
MS,M,1931,Oliver,33
MS,M,1931,Travis,33
MS,M,1931,Alvin,32
MS,M,1931,Chester,32
MS,M,1931,Dan,32
MS,M,1931,Homer,32
MS,M,1931,Vernon,32
MS,M,1931,Wallace,32
MS,M,1931,Grady,31
MS,M,1931,Mike,31
MS,M,1931,Aaron,30
MS,M,1931,Ollie,30
MS,M,1931,Sylvester,30
MS,M,1931,Amos,29
MS,M,1931,Archie,29
MS,M,1931,Bill,29
MS,M,1931,Horace,29
MS,M,1931,Booker,28
MS,M,1931,Alton,27
MS,M,1931,Dennis,27
MS,M,1931,Benjamin,26
MS,M,1931,Elmer,26
MS,M,1931,Larry,26
MS,M,1931,Tom,26
MS,M,1931,Troy,26
MS,M,1931,Isaac,25
MS,M,1931,Gene,24
MS,M,1931,Ira,24
MS,M,1931,Leslie,24
MS,M,1931,Max,24
MS,M,1931,Rudolph,24
MS,M,1931,Wesley,24
MS,M,1931,Alex,23
MS,M,1931,Loyd,23
MS,M,1931,Perry,23
MS,M,1931,Virgil,23
MS,M,1931,Cleveland,22
MS,M,1931,Jeff,22
MS,M,1931,Marshall,22
MS,M,1931,Glen,21
MS,M,1931,Morris,21
MS,M,1931,Odell,21
MS,M,1931,Willis,21
MS,M,1931,Dave,20
MS,M,1931,Lamar,20
MS,M,1931,Lloyd,20
MS,M,1931,Roger,20
MS,M,1931,Theodore,20
MS,M,1931,Abraham,19
MS,M,1931,Bobbie,19
MS,M,1931,Clinton,19
MS,M,1931,Doyle,19
MS,M,1931,Elijah,19
MS,M,1931,Guy,19
MS,M,1931,Dewey,18
MS,M,1931,Grover,18
MS,M,1931,Moses,18
MS,M,1931,Peter,18
MS,M,1931,Rosevelt,18
MS,M,1931,Stanley,18
MS,M,1931,Arnold,17
MS,M,1931,Dewitt,17
MS,M,1931,Everett,17
MS,M,1931,Alexander,16
MS,M,1931,Aubrey,16
MS,M,1931,Bob,16
MS,M,1931,Ed,16
MS,M,1931,Ezell,16
MS,M,1931,Gilbert,16
MS,M,1931,Jake,16
MS,M,1931,Joel,16
MS,M,1931,Malcolm,16
MS,M,1931,Sammy,16
MS,M,1931,Warren,16
MS,M,1931,Wilbert,16
MS,M,1931,Benny,15
MS,M,1931,Emmett,15
MS,M,1931,Ervin,15
MS,M,1931,Franklin,15
MS,M,1931,Houston,15
MS,M,1931,Levi,15
MS,M,1931,Carlton,14
MS,M,1931,Cleo,14
MS,M,1931,Cornelius,14
