StateCode,Sex,YearOfBirth,Name,Number
MS,M,1953,Lloyd,33
MS,M,1953,Luther,33
MS,M,1953,Mack,33
MS,M,1953,Clifford,32
MS,M,1953,Frederick,32
MS,M,1953,Mitchell,32
MS,M,1953,Philip,32
MS,M,1953,Bernard,31
MS,M,1953,Rufus,31
MS,M,1953,Will,31
MS,M,1953,Franklin,30
MS,M,1953,Edwin,29
MS,M,1953,Grady,29
MS,M,1953,Tom,29
MS,M,1953,Wallace,29
MS,M,1953,Edgar,28
MS,M,1953,Horace,28
MS,M,1953,Wendell,28
MS,M,1953,Bill,27
MS,M,1953,Christopher,27
MS,M,1953,Elbert,27
MS,M,1953,Ellis,27
MS,M,1953,Jim,27
MS,M,1953,Patrick,27
MS,M,1953,Darrell,26
MS,M,1953,Leo,26
MS,M,1953,Matthew,26
MS,M,1953,Morris,26
MS,M,1953,Otha,26
MS,M,1953,Randall,26
MS,M,1953,Marion,25
MS,M,1953,Oliver,25
MS,M,1953,Theodore,25
MS,M,1953,Warren,25
MS,M,1953,Alonzo,24
MS,M,1953,Dan,24
MS,M,1953,Jeffery,24
MS,M,1953,Martin,24
MS,M,1953,Mike,24
MS,M,1953,Odell,24
MS,M,1953,Sherman,24
MS,M,1953,Wilbert,24
MS,M,1953,Elmer,23
MS,M,1953,Rex,23
MS,M,1953,Cleveland,22
MS,M,1953,Julius,22
MS,M,1953,Tyrone,22
MS,M,1953,Bobbie,21
MS,M,1953,Cleo,21
MS,M,1953,Gilbert,21
MS,M,1953,Isaac,21
MS,M,1953,Maurice,21
MS,M,1953,Nathan,21
MS,M,1953,Travis,21
MS,M,1953,Alton,20
MS,M,1953,Aubrey,20
MS,M,1953,Fredrick,20
MS,M,1953,Jonathan,20
MS,M,1953,Troy,20
MS,M,1953,Amos,19
MS,M,1953,Bob,19
MS,M,1953,Eric,19
MS,M,1953,Francis,19
MS,M,1953,Gordon,19
MS,M,1953,Randolph,19
MS,M,1953,Ted,19
MS,M,1953,Van,19
MS,M,1953,Levi,18
MS,M,1953,Ollie,18
MS,M,1953,Alexander,17
MS,M,1953,Homer,17
MS,M,1953,Johnie,17
MS,M,1953,Moses,17
MS,M,1953,Peter,17
MS,M,1953,Reginald,17
MS,M,1953,Roscoe,17
MS,M,1953,Vincent,17
MS,M,1953,Wiley,17
MS,M,1953,Alex,16
MS,M,1953,Darnell,16
MS,M,1953,Garry,16
MS,M,1953,Ira,16
MS,M,1953,Ivory,16
MS,M,1953,Lynn,16
MS,M,1953,Malcolm,16
MS,M,1953,Mickey,16
MS,M,1953,Rogers,16
MS,M,1953,Wade,16
MS,M,1953,Barney,15
MS,M,1953,Booker,15
MS,M,1953,Brian,15
MS,M,1953,Chris,15
MS,M,1953,Cornelius,15
MS,M,1953,Dannie,15
MS,M,1953,Elton,15
MS,M,1953,Jacob,15
MS,M,1953,Jay,15
MS,M,1953,Jeff,15
MS,M,1953,Karl,15
MS,M,1953,Pat,15
MS,M,1953,Donny,14
MS,M,1953,Elijah,14
MS,M,1953,Ervin,14
MS,M,1953,Odis,14
MS,M,1953,Roland,14
MS,M,1953,Scott,14
MS,M,1953,Wardell,14
MS,M,1953,Arnold,13
MS,M,1953,Austin,13
MS,M,1953,Dave,13
MS,M,1953,Lamar,13
MS,M,1953,Marcus,13
MS,M,1953,Monroe,13
MS,M,1953,Nelson,13
MS,M,1953,Norris,13
MS,M,1953,Preston,13
MS,M,1953,Woodrow,13
MS,M,1953,Byron,12
MS,M,1953,Clay,12
MS,M,1953,Craig,12
MS,M,1953,Freddy,12
MS,M,1953,Guy,12
MS,M,1953,Jame,12
MS,M,1953,Kenny,12
MS,M,1953,Rodger,12
MS,M,1953,Rudolph,12
MS,M,1953,Al,11
MS,M,1953,Arther,11
MS,M,1953,Billie,11
MS,M,1953,Carlton,11
MS,M,1953,Carroll,11
MS,M,1953,Clark,11
MS,M,1953,Darryl,11
MS,M,1953,Dewitt,11
MS,M,1953,Ike,11
MS,M,1953,Lorenzo,11
MS,M,1953,Major,11
MS,M,1953,Mckinley,11
MS,M,1953,Rayford,11
MS,M,1953,Rocky,11
MS,M,1953,Ronny,11
MS,M,1953,Donnell,10
MS,M,1953,Dudley,10
MS,M,1953,Dwayne,10
MS,M,1953,Emmett,10
MS,M,1953,Felix,10
MS,M,1953,Garland,10
MS,M,1953,Hal,10
MS,M,1953,Issac,10
MS,M,1953,Jake,10
MS,M,1953,Kelly,10
MS,M,1953,Max,10
MS,M,1953,Randle,10
MS,M,1953,Royce,10
MS,M,1953,Shelby,10
MS,M,1953,Willard,10
MS,M,1953,Andy,9
MS,M,1953,Benard,9
MS,M,1953,Carey,9
MS,M,1953,Charley,9
MS,M,1953,Clayton,9
MS,M,1953,Cleotha,9
MS,M,1953,Daryl,9
MS,M,1953,Dewayne,9
MS,M,1953,Emmitt,9
MS,M,1953,Everett,9
MS,M,1953,Ezell,9
MS,M,1953,Gerry,9
MS,M,1953,Grover,9
MS,M,1953,Harrison,9
MS,M,1953,Hollis,9
MS,M,1953,Junior,9
MS,M,1953,Kent,9
MS,M,1953,Ned,9
MS,M,1953,Phil,9
MS,M,1953,Stevie,9
MS,M,1953,Virgil,9
MS,M,1953,Wilbur,9
MS,M,1953,Wilson,9
MS,M,1953,Winfred,9
MS,M,1953,Abraham,8
MS,M,1953,Adolph,8
MS,M,1953,Alfonzo,8
MS,M,1953,Aron,8
MS,M,1953,Boyd,8
MS,M,1953,Buddy,8
MS,M,1953,Connie,8
MS,M,1953,Cornell,8
MS,M,1953,Davie,8
MS,M,1953,Doyle,8
MS,M,1953,Edmond,8
MS,M,1953,Elliott,8
MS,M,1953,Elvin,8
MS,M,1953,Emanuel,8
MS,M,1953,Houston,8
MS,M,1953,Jacky,8
MS,M,1953,Jamie,8
MS,M,1953,Joesph,8
MS,M,1953,Joey,8
MS,M,1953,Julian,8
MS,M,1953,Lanny,8
MS,M,1953,Leander,8
MS,M,1953,Levon,8
MS,M,1953,Lowell,8
MS,M,1953,Mose,8
MS,M,1953,Murry,8
MS,M,1953,Neal,8
MS,M,1953,Odie,8
MS,M,1953,Pete,8
MS,M,1953,Scotty,8
MS,M,1953,Teddy,8
MS,M,1953,Wilfred,8
MS,M,1953,Adell,7
MS,M,1953,Alphonso,7
MS,M,1953,Authur,7
MS,M,1953,Berry,7
MS,M,1953,Cary,7
MS,M,1953,Dana,7
MS,M,1953,Dean,7
MS,M,1953,Ed,7
MS,M,1953,Emmanuel,7
MS,M,1953,Garfield,7
MS,M,1953,Jasper,7
MS,M,1953,Kelvin,7
MS,M,1953,Kerry,7
MS,M,1953,Kevin,7
MS,M,1953,Kirby,7
MS,M,1953,Lindsey,7
MS,M,1953,Lionel,7
MS,M,1953,Mac,7
MS,M,1953,Mathew,7
MS,M,1953,Miles,7
MS,M,1953,Monty,7
MS,M,1953,Myron,7
MS,M,1953,Noel,7
MS,M,1953,Nolan,7
MS,M,1953,Prentiss,7
MS,M,1953,Quincy,7
MS,M,1953,Rick,7
MS,M,1953,Robin,7
MS,M,1953,Sandy,7
MS,M,1953,Sonny,7
MS,M,1953,Spencer,7
