StateCode,Sex,YearOfBirth,Name,Number
MS,M,1974,Rico,5
MS,M,1974,Ross,5
MS,M,1974,Sedric,5
MS,M,1974,Shaun,5
MS,M,1974,Stan,5
MS,M,1974,Talmadge,5
MS,M,1974,Tito,5
MS,M,1974,Toriano,5
MS,M,1974,Trinity,5
MS,M,1974,Tyler,5
MS,M,1974,Wallace,5
MS,M,1974,Willard,5
MS,M,1974,Williams,5
MS,M,1974,Xavier,5
MS,M,1975,Michael,783
MS,M,1975,James,741
MS,M,1975,Christopher,717
MS,M,1975,Robert,497
MS,M,1975,Jason,495
MS,M,1975,John,488
MS,M,1975,William,485
MS,M,1975,David,362
MS,M,1975,Charles,339
MS,M,1975,Anthony,265
MS,M,1975,Timothy,252
MS,M,1975,Joseph,251
MS,M,1975,Kevin,231
MS,M,1975,Brian,204
MS,M,1975,Steven,200
MS,M,1975,Thomas,199
MS,M,1975,Eric,189
MS,M,1975,Marcus,188
MS,M,1975,Richard,184
MS,M,1975,Daniel,173
MS,M,1975,Kenneth,159
MS,M,1975,Jeremy,154
MS,M,1975,Willie,150
MS,M,1975,Jeffrey,140
MS,M,1975,Jonathan,140
MS,M,1975,Gregory,139
MS,M,1975,Larry,139
MS,M,1975,Matthew,138
MS,M,1975,Jerry,129
MS,M,1975,Stephen,123
MS,M,1975,Terry,123
MS,M,1975,Patrick,122
MS,M,1975,Tony,119
MS,M,1975,Derrick,117
MS,M,1975,Mark,117
MS,M,1975,Johnny,114
MS,M,1975,George,112
MS,M,1975,Benjamin,107
MS,M,1975,Paul,101
MS,M,1975,Donald,98
MS,M,1975,Rodney,98
MS,M,1975,Gary,96
MS,M,1975,Bobby,92
MS,M,1975,Jimmy,91
MS,M,1975,Joshua,89
MS,M,1975,Ronald,89
MS,M,1975,Antonio,88
MS,M,1975,Bradley,88
MS,M,1975,Edward,88
MS,M,1975,Jeffery,88
MS,M,1975,Billy,86
MS,M,1975,Keith,85
MS,M,1975,Cedric,81
MS,M,1975,Tyrone,72
MS,M,1975,Carlos,70
MS,M,1975,Frederick,68
MS,M,1975,Chad,66
MS,M,1975,Reginald,66
MS,M,1975,Tommy,66
MS,M,1975,Eddie,65
MS,M,1975,Andrew,64
MS,M,1975,Micheal,61
MS,M,1975,Curtis,60
MS,M,1975,Phillip,60
MS,M,1975,Scott,60
MS,M,1975,Dennis,59
MS,M,1975,Justin,58
MS,M,1975,Marvin,57
MS,M,1975,Fredrick,56
MS,M,1975,Jamie,56
MS,M,1975,Walter,56
MS,M,1975,Danny,55
MS,M,1975,Samuel,55
MS,M,1975,Douglas,54
MS,M,1975,Ryan,54
MS,M,1975,Clifton,53
MS,M,1975,Arthur,52
MS,M,1975,Brad,52
MS,M,1975,Randy,52
MS,M,1975,Brandon,51
MS,M,1975,Roderick,51
MS,M,1975,Roy,51
MS,M,1975,Henry,50
MS,M,1975,Kelvin,50
MS,M,1975,Bryan,48
MS,M,1975,Barry,47
MS,M,1975,Shannon,47
MS,M,1975,Shawn,47
MS,M,1975,Calvin,46
MS,M,1975,Frank,45
MS,M,1975,Joe,45
MS,M,1975,Stanley,45
MS,M,1975,Allen,44
MS,M,1975,Nathan,44
MS,M,1975,Ricky,43
MS,M,1975,Adam,42
MS,M,1975,Aaron,41
MS,M,1975,Chris,41
MS,M,1975,Darrell,41
MS,M,1975,Lee,40
MS,M,1975,Roger,39
MS,M,1975,Ronnie,39
MS,M,1975,Russell,38
MS,M,1975,Shane,38
MS,M,1975,Tracy,38
MS,M,1975,Travis,38
MS,M,1975,Gerald,37
MS,M,1975,Melvin,37
MS,M,1975,Sean,37
MS,M,1975,Stacy,37
MS,M,1975,Jessie,36
MS,M,1975,Joel,36
MS,M,1975,Howard,35
MS,M,1975,Jerome,35
MS,M,1975,Kendrick,35
MS,M,1975,Wesley,35
MS,M,1975,Adrian,34
MS,M,1975,Chadwick,34
MS,M,1975,Derek,33
MS,M,1975,Maurice,33
MS,M,1975,Randall,33
MS,M,1975,Raymond,33
MS,M,1975,Carl,32
MS,M,1975,Joey,32
MS,M,1975,Corey,31
MS,M,1975,Albert,30
MS,M,1975,Clinton,29
MS,M,1975,Nathaniel,29
MS,M,1975,Troy,29
MS,M,1975,Vincent,29
MS,M,1975,Charlie,28
MS,M,1975,Dustin,28
MS,M,1975,Victor,28
MS,M,1975,Clarence,27
MS,M,1975,Craig,27
MS,M,1975,Harold,27
MS,M,1975,Louis,27
MS,M,1975,Ray,27
MS,M,1975,Terrance,27
MS,M,1975,Todd,27
MS,M,1975,Andre,26
MS,M,1975,Johnathan,26
MS,M,1975,Nakia,26
MS,M,1975,Earl,25
MS,M,1975,Leroy,25
MS,M,1975,Mitchell,25
MS,M,1975,Rodrick,25
MS,M,1975,Dewayne,24
MS,M,1975,Edwin,24
MS,M,1975,Freddie,24
MS,M,1975,Terrence,24
MS,M,1975,Dexter,23
MS,M,1975,Ernest,23
MS,M,1975,Orlando,23
MS,M,1975,Warren,23
MS,M,1975,Jimmie,22
MS,M,1975,Johnnie,22
MS,M,1975,Mario,22
MS,M,1975,Nicholas,22
MS,M,1975,Scotty,22
MS,M,1975,Wayne,22
MS,M,1975,Alvin,21
MS,M,1975,Casey,21
MS,M,1975,Cornelius,21
MS,M,1975,Earnest,21
MS,M,1975,Jay,21
MS,M,1975,Jesse,21
MS,M,1975,Leslie,21
MS,M,1975,Philip,21
MS,M,1975,Alex,20
MS,M,1975,Brent,20
MS,M,1975,Bruce,20
MS,M,1975,Demond,20
MS,M,1975,Jermaine,20
MS,M,1975,Lance,20
MS,M,1975,Leonard,20
MS,M,1975,Lonnie,20
MS,M,1975,Byron,19
MS,M,1975,Glenn,19
MS,M,1975,Jody,19
MS,M,1975,Jon,19
MS,M,1975,Kelly,19
MS,M,1975,Lawrence,19
MS,M,1975,Zachary,19
MS,M,1975,Damon,18
MS,M,1975,Don,18
MS,M,1975,Donnie,18
