StateCode,Sex,YearOfBirth,Name,Number
MS,M,1995,Sammie,5
MS,M,1995,Sebastian,5
MS,M,1995,Shelton,5
MS,M,1995,Skylar,5
MS,M,1995,Stefan,5
MS,M,1995,Sterling,5
MS,M,1995,Stevie,5
MS,M,1995,Tadarius,5
MS,M,1995,Toby,5
MS,M,1995,Todd,5
MS,M,1995,Trace,5
MS,M,1995,Trevon,5
MS,M,1995,Tristen,5
MS,M,1995,Tucker,5
MS,M,1995,Ty,5
MS,M,1995,Tyree,5
MS,M,1995,Wade,5
MS,M,1995,Will,5
MS,M,1996,William,378
MS,M,1996,Christopher,375
MS,M,1996,Joshua,349
MS,M,1996,James,333
MS,M,1996,Austin,320
MS,M,1996,Michael,294
MS,M,1996,Justin,271
MS,M,1996,Brandon,263
MS,M,1996,John,258
MS,M,1996,Jacob,243
MS,M,1996,Matthew,238
MS,M,1996,Tyler,207
MS,M,1996,Robert,200
MS,M,1996,Joseph,197
MS,M,1996,Zachary,192
MS,M,1996,David,178
MS,M,1996,Jonathan,174
MS,M,1996,Nicholas,160
MS,M,1996,Charles,155
MS,M,1996,Hunter,155
MS,M,1996,Andrew,150
MS,M,1996,Cody,146
MS,M,1996,Thomas,136
MS,M,1996,Anthony,128
MS,M,1996,Daniel,127
MS,M,1996,Jordan,114
MS,M,1996,Christian,112
MS,M,1996,Dylan,108
MS,M,1996,Ryan,108
MS,M,1996,Samuel,107
MS,M,1996,Dustin,102
MS,M,1996,Timothy,102
MS,M,1996,Aaron,99
MS,M,1996,Caleb,97
MS,M,1996,Benjamin,89
MS,M,1996,Steven,89
MS,M,1996,Malik,88
MS,M,1996,Patrick,88
MS,M,1996,Eric,82
MS,M,1996,Jeremy,78
MS,M,1996,Kevin,77
MS,M,1996,Devin,75
MS,M,1996,Stephen,75
MS,M,1996,Cameron,74
MS,M,1996,Alexander,72
MS,M,1996,Richard,72
MS,M,1996,Dakota,71
MS,M,1996,Jason,71
MS,M,1996,Nathan,71
MS,M,1996,Taylor,71
MS,M,1996,Gregory,65
MS,M,1996,Dalton,63
MS,M,1996,Logan,62
MS,M,1996,Ethan,61
MS,M,1996,Antonio,60
MS,M,1996,Xavier,60
MS,M,1996,Marcus,58
MS,M,1996,Darius,57
MS,M,1996,Kenneth,57
MS,M,1996,Wesley,56
MS,M,1996,Adam,53
MS,M,1996,Elijah,53
MS,M,1996,Corey,52
MS,M,1996,Tristan,51
MS,M,1996,Willie,51
MS,M,1996,Mason,48
MS,M,1996,Alex,47
MS,M,1996,Brian,44
MS,M,1996,Demarcus,44
MS,M,1996,Garrett,44
MS,M,1996,Kyle,44
MS,M,1996,Blake,43
MS,M,1996,Ladarius,42
MS,M,1996,Terry,42
MS,M,1996,Bryan,40
MS,M,1996,Jesse,40
MS,M,1996,Johnathan,40
MS,M,1996,Johnny,40
MS,M,1996,Bradley,39
MS,M,1996,Chase,39
MS,M,1996,Dillon,39
MS,M,1996,George,39
MS,M,1996,Hayden,39
MS,M,1996,Trevor,39
MS,M,1996,Colton,38
MS,M,1996,Gabriel,38
MS,M,1996,Jared,38
MS,M,1996,Jarvis,38
MS,M,1996,Derrick,37
MS,M,1996,Mark,37
MS,M,1996,Chandler,36
MS,M,1996,Curtis,36
MS,M,1996,Kendrick,36
MS,M,1996,Peyton,36
MS,M,1996,Edward,35
MS,M,1996,Larry,35
MS,M,1996,Colby,34
MS,M,1996,Jeffrey,34
MS,M,1996,Noah,34
MS,M,1996,Tanner,34
MS,M,1996,Billy,33
MS,M,1996,Jalen,33
MS,M,1996,Adrian,32
MS,M,1996,Jaylon,32
MS,M,1996,Connor,31
MS,M,1996,Donald,31
MS,M,1996,Tony,31
MS,M,1996,Travis,31
MS,M,1996,Jeffery,30
MS,M,1996,Jerry,30
MS,M,1996,Phillip,29
MS,M,1996,Preston,29
MS,M,1996,Shawn,29
MS,M,1996,Allen,28
MS,M,1996,Luke,28
MS,M,1996,Seth,28
MS,M,1996,Anfernee,27
MS,M,1996,Ashton,27
MS,M,1996,Devonte,27
MS,M,1996,Jimmy,27
MS,M,1996,Bobby,26
MS,M,1996,Cory,26
MS,M,1996,Ian,26
MS,M,1996,Isaiah,26
MS,M,1996,Jamarcus,26
MS,M,1996,Jonathon,26
MS,M,1996,Nathaniel,26
MS,M,1996,Sean,26
MS,M,1996,Brett,25
MS,M,1996,Parker,25
MS,M,1996,Tevin,25
MS,M,1996,Cedric,24
MS,M,1996,Collin,24
MS,M,1996,Dangelo,24
MS,M,1996,Evan,24
MS,M,1996,Henry,24
MS,M,1996,Malcolm,24
MS,M,1996,Vincent,24
MS,M,1996,Jackson,23
MS,M,1996,Jamal,23
MS,M,1996,Jon,23
MS,M,1996,Kendarius,23
MS,M,1996,Reginald,23
MS,M,1996,Avery,22
MS,M,1996,Chance,22
MS,M,1996,Clayton,22
MS,M,1996,Kelvin,22
MS,M,1996,Lee,22
MS,M,1996,Tommy,22
MS,M,1996,Walter,22
MS,M,1996,Calvin,21
MS,M,1996,Damian,21
MS,M,1996,Douglas,21
MS,M,1996,Grant,21
MS,M,1996,Jeremiah,21
MS,M,1996,Keith,21
MS,M,1996,Landon,21
MS,M,1996,Micah,21
MS,M,1996,Ronald,21
MS,M,1996,Brady,20
MS,M,1996,Deandre,20
MS,M,1996,Devon,20
MS,M,1996,Eddie,20
MS,M,1996,Jamie,20
MS,M,1996,Kristopher,20
MS,M,1996,Paul,20
MS,M,1996,Rodney,20
