StateCode,Sex,YearOfBirth,Name,Number
MS,M,2012,Tatum,8
MS,M,2012,Trayvon,8
MS,M,2012,Xander,8
MS,M,2012,Zane,8
MS,M,2012,Aubrey,7
MS,M,2012,Blaze,7
MS,M,2012,Braiden,7
MS,M,2012,Brooks,7
MS,M,2012,Bryant,7
MS,M,2012,Byron,7
MS,M,2012,Carmello,7
MS,M,2012,Cayson,7
MS,M,2012,Coleman,7
MS,M,2012,Cory,7
MS,M,2012,Damarion,7
MS,M,2012,Damien,7
MS,M,2012,Daylen,7
MS,M,2012,Daylon,7
MS,M,2012,Demarcus,7
MS,M,2012,Demarion,7
MS,M,2012,Dillon,7
MS,M,2012,Donovan,7
MS,M,2012,Erick,7
MS,M,2012,Finn,7
MS,M,2012,Fisher,7
MS,M,2012,Gary,7
MS,M,2012,Harley,7
MS,M,2012,Harper,7
MS,M,2012,Holden,7
MS,M,2012,Isiah,7
MS,M,2012,Issac,7
MS,M,2012,Jamal,7
MS,M,2012,Jaquan,7
MS,M,2012,Jarvis,7
MS,M,2012,Jaxton,7
MS,M,2012,Jay,7
MS,M,2012,Jayceon,7
MS,M,2012,Jaylan,7
MS,M,2012,Jeffery,7
MS,M,2012,Jett,7
MS,M,2012,Jimmy,7
MS,M,2012,Kai,7
MS,M,2012,Keagan,7
MS,M,2012,Kemari,7
MS,M,2012,Kolby,7
MS,M,2012,Kyron,7
MS,M,2012,Lance,7
MS,M,2012,Madden,7
MS,M,2012,Mayson,7
MS,M,2012,Melvin,7
MS,M,2012,Miguel,7
MS,M,2012,Omari,7
MS,M,2012,Quincy,7
MS,M,2012,Quinton,7
MS,M,2012,Reese,7
MS,M,2012,Reginald,7
MS,M,2012,Rhett,7
MS,M,2012,Sam,7
MS,M,2012,Spencer,7
MS,M,2012,Tate,7
MS,M,2012,Terry,7
MS,M,2012,Tobias,7
MS,M,2012,Tommy,7
MS,M,2012,Tristin,7
MS,M,2012,Zaylen,7
MS,M,2012,Alexis,6
MS,M,2012,Alijah,6
MS,M,2012,Archer,6
MS,M,2012,Aydan,6
MS,M,2012,Benton,6
MS,M,2012,Bowen,6
MS,M,2012,Brantly,6
MS,M,2012,Braylan,6
MS,M,2012,Brendan,6
MS,M,2012,Brent,6
MS,M,2012,Brice,6
MS,M,2012,Brock,6
MS,M,2012,Carsen,6
MS,M,2012,Clarence,6
MS,M,2012,Courtney,6
MS,M,2012,Damian,6
MS,M,2012,Daryl,6
MS,M,2012,Davion,6
MS,M,2012,Delvin,6
MS,M,2012,Deshawn,6
MS,M,2012,Desmond,6
MS,M,2012,Dexter,6
MS,M,2012,Douglas,6
MS,M,2012,Drew,6
MS,M,2012,Edwin,6
MS,M,2012,Elias,6
MS,M,2012,Emery,6
MS,M,2012,Frank,6
MS,M,2012,Frederick,6
MS,M,2012,Heath,6
MS,M,2012,Jamison,6
MS,M,2012,Jaquavious,6
MS,M,2012,Jasiah,6
MS,M,2012,Javeon,6
MS,M,2012,Javier,6
MS,M,2012,Javon,6
MS,M,2012,Jessie,6
MS,M,2012,Johnathon,6
MS,M,2012,Josue,6
MS,M,2012,Kamron,6
MS,M,2012,Karsyn,6
MS,M,2012,Kash,6
MS,M,2012,Kayson,6
MS,M,2012,Keenan,6
MS,M,2012,Kelton,6
MS,M,2012,Kendall,6
MS,M,2012,Kenyatta,6
MS,M,2012,Keon,6
MS,M,2012,Khamari,6
MS,M,2012,Khristian,6
MS,M,2012,Kody,6
MS,M,2012,Kohen,6
MS,M,2012,Kylon,6
MS,M,2012,Kymani,6
MS,M,2012,Kyree,6
MS,M,2012,Lamar,6
MS,M,2012,Landry,6
MS,M,2012,Lathan,6
MS,M,2012,Lawrence,6
MS,M,2012,Leon,6
MS,M,2012,Lewis,6
MS,M,2012,Maison,6
MS,M,2012,Omarion,6
MS,M,2012,Prince,6
MS,M,2012,Raiden,6
MS,M,2012,Rayden,6
MS,M,2012,Raylan,6
