StateCode,Sex,YearOfBirth,Name,Number
MT,F,1953,Arlene,9
MT,F,1953,Becky,9
MT,F,1953,Carmen,9
MT,F,1953,Debora,9
MT,F,1953,Dianne,9
MT,F,1953,Jackie,9
MT,F,1953,Janis,9
MT,F,1953,Joanne,9
MT,F,1953,Maria,9
MT,F,1953,Melody,9
MT,F,1953,Michele,9
MT,F,1953,Monica,9
MT,F,1953,Ramona,9
MT,F,1953,Rosemary,9
MT,F,1953,Sarah,9
MT,F,1953,Shelly,9
MT,F,1953,Sherri,9
MT,F,1953,Stephanie,9
MT,F,1953,Audrey,8
MT,F,1953,Billie,8
MT,F,1953,Carrie,8
MT,F,1953,Cheri,8
MT,F,1953,Dana,8
MT,F,1953,Dixie,8
MT,F,1953,Faith,8
MT,F,1953,Holly,8
MT,F,1953,Irene,8
MT,F,1953,Janine,8
MT,F,1953,Kristine,8
MT,F,1953,Lynne,8
MT,F,1953,Patty,8
MT,F,1953,Tana,8
MT,F,1953,Teri,8
MT,F,1953,Trudy,8
MT,F,1953,Candice,7
MT,F,1953,Charmaine,7
MT,F,1953,Cherie,7
MT,F,1953,Delores,7
MT,F,1953,Grace,7
MT,F,1953,Joy,7
MT,F,1953,Lana,7
MT,F,1953,Lorna,7
MT,F,1953,Margo,7
MT,F,1953,Marian,7
MT,F,1953,Rachel,7
MT,F,1953,Roxanne,7
MT,F,1953,Sherrie,7
MT,F,1953,Amy,6
MT,F,1953,Cathleen,6
MT,F,1953,Clara,6
MT,F,1953,Corinne,6
MT,F,1953,Jacquelyn,6
MT,F,1953,Janie,6
MT,F,1953,Jeannie,6
MT,F,1953,Joann,6
MT,F,1953,Kristin,6
MT,F,1953,Lillian,6
MT,F,1953,Lisa,6
MT,F,1953,Lou,6
MT,F,1953,Margie,6
MT,F,1953,Maxine,6
MT,F,1953,Myrna,6
MT,F,1953,Nadine,6
MT,F,1953,Paulette,6
MT,F,1953,Robyn,6
MT,F,1953,Shannon,6
MT,F,1953,Tina,6
MT,F,1953,Verna,6
MT,F,1953,Veronica,6
MT,F,1953,Beth,5
MT,F,1953,Camille,5
MT,F,1953,Carlene,5
MT,F,1953,Christy,5
MT,F,1953,Claudia,5
MT,F,1953,Darla,5
MT,F,1953,Dianna,5
MT,F,1953,Dona,5
MT,F,1953,Edith,5
MT,F,1953,Ella,5
MT,F,1953,Faye,5
MT,F,1953,Gladys,5
MT,F,1953,Heather,5
MT,F,1953,Ida,5
MT,F,1953,Jerri,5
MT,F,1953,Jody,5
MT,F,1953,Josephine,5
MT,F,1953,June,5
MT,F,1953,Kari,5
MT,F,1953,Kim,5
MT,F,1953,Leah,5
MT,F,1953,Luanne,5
MT,F,1953,Lucinda,5
MT,F,1953,Lydia,5
MT,F,1953,Marcella,5
MT,F,1953,Marion,5
MT,F,1953,Melanie,5
MT,F,1953,Melinda,5
MT,F,1953,Nikki,5
MT,F,1953,Nina,5
MT,F,1953,Pauline,5
MT,F,1953,Twila,5
MT,F,1954,Mary,253
MT,F,1954,Debra,236
MT,F,1954,Linda,232
MT,F,1954,Susan,183
MT,F,1954,Patricia,162
MT,F,1954,Deborah,159
MT,F,1954,Karen,142
MT,F,1954,Barbara,140
MT,F,1954,Sandra,128
MT,F,1954,Carol,111
MT,F,1954,Kathleen,108
MT,F,1954,Nancy,101
MT,F,1954,Pamela,94
MT,F,1954,Cynthia,91
MT,F,1954,Janet,91
MT,F,1954,Donna,85
MT,F,1954,Diane,75
MT,F,1954,Vicki,75
MT,F,1954,Cheryl,69
MT,F,1954,Sharon,69
MT,F,1954,Margaret,66
MT,F,1954,Connie,63
MT,F,1954,Janice,62
MT,F,1954,Christine,59
MT,F,1954,Judy,58
MT,F,1954,Kathy,56
MT,F,1954,Julie,54
MT,F,1954,Robin,51
MT,F,1954,Colleen,50
MT,F,1954,Marilyn,48
MT,F,1954,Rebecca,48
MT,F,1954,Peggy,47
MT,F,1954,Catherine,45
MT,F,1954,Debbie,45
MT,F,1954,Laura,45
MT,F,1954,Teresa,45
MT,F,1954,Bonnie,43
MT,F,1954,Elizabeth,43
MT,F,1954,Vickie,43
MT,F,1954,Kathryn,42
MT,F,1954,Sheila,42
MT,F,1954,Paula,41
MT,F,1954,Theresa,40
MT,F,1954,Gail,38
MT,F,1954,Joan,38
MT,F,1954,Jane,37
MT,F,1954,Leslie,37
MT,F,1954,Betty,36
MT,F,1954,Brenda,36
MT,F,1954,Denise,36
MT,F,1954,Diana,36
MT,F,1954,Rhonda,36
MT,F,1954,Shirley,35
MT,F,1954,Dorothy,34
MT,F,1954,Judith,34
MT,F,1954,Katherine,34
MT,F,1954,Terri,34
MT,F,1954,Beverly,33
MT,F,1954,Laurie,32
MT,F,1954,Lori,32
MT,F,1954,Rita,32
MT,F,1954,Cindy,31
MT,F,1954,Sherry,31
MT,F,1954,Jean,30
MT,F,1954,Joyce,30
MT,F,1954,Virginia,30
MT,F,1954,Marlene,29
MT,F,1954,Carolyn,28
MT,F,1954,Rose,28
MT,F,1954,Shelley,28
MT,F,1954,Charlene,27
MT,F,1954,Penny,27
MT,F,1954,Terry,27
MT,F,1954,Wanda,27
MT,F,1954,Constance,26
MT,F,1954,Gayle,26
MT,F,1954,Ruth,26
MT,F,1954,Marcia,25
MT,F,1954,Ann,24
MT,F,1954,Darlene,24
MT,F,1954,Jo,24
MT,F,1954,Michele,24
MT,F,1954,Patti,24
MT,F,1954,Roberta,24
MT,F,1954,Sally,24
MT,F,1954,Jacqueline,23
MT,F,1954,Lynn,23
MT,F,1954,Toni,23
MT,F,1954,Wendy,23
MT,F,1954,Helen,22
MT,F,1954,Sue,22
MT,F,1954,Valerie,22
MT,F,1954,Charlotte,21
MT,F,1954,Elaine,21
MT,F,1954,Kim,21
MT,F,1954,Marie,21
MT,F,1954,Michelle,21
MT,F,1954,Carla,20
MT,F,1954,Kay,20
MT,F,1954,Lois,20
MT,F,1954,Cathy,19
MT,F,1954,Frances,19
MT,F,1954,Jeanne,19
MT,F,1954,Renee,19
MT,F,1954,Suzanne,19
MT,F,1954,Anna,18
MT,F,1954,Dawn,18
MT,F,1954,Sheryl,18
MT,F,1954,Doris,17
MT,F,1954,Gloria,16
MT,F,1954,Holly,16
MT,F,1954,Jan,16
MT,F,1954,Glenda,15
MT,F,1954,Joanne,15
MT,F,1954,Lynda,15
MT,F,1954,Maureen,15
MT,F,1954,Vicky,15
MT,F,1954,Victoria,15
MT,F,1954,Candace,14
MT,F,1954,Janis,14
MT,F,1954,Jennifer,14
MT,F,1954,Lisa,14
MT,F,1954,Myrna,14
MT,F,1954,Cheri,13
MT,F,1954,Jamie,13
MT,F,1954,Jeanette,13
MT,F,1954,Jill,13
MT,F,1954,Joy,13
MT,F,1954,Julia,13
MT,F,1954,Lynette,13
MT,F,1954,Phyllis,13
MT,F,1954,Sarah,13
MT,F,1954,Stephanie,13
MT,F,1954,Anita,12
MT,F,1954,Anne,12
MT,F,1954,Ellen,12
MT,F,1954,Kimberly,12
MT,F,1954,Lana,12
MT,F,1954,Loretta,12
MT,F,1954,Marjorie,12
MT,F,1954,Martha,12
MT,F,1954,Ramona,12
MT,F,1954,Robyn,12
MT,F,1954,Alice,11
MT,F,1954,Dixie,11
MT,F,1954,Dolores,11
MT,F,1954,Evelyn,11
MT,F,1954,Leona,11
MT,F,1954,Louise,11
MT,F,1954,Maria,11
MT,F,1954,Marla,11
MT,F,1954,Norma,11
MT,F,1954,Andrea,10
MT,F,1954,Dana,10
MT,F,1954,Deanna,10
MT,F,1954,Edith,10
MT,F,1954,Eileen,10
MT,F,1954,Georgia,10
MT,F,1954,Jeri,10
MT,F,1954,Kerry,10
MT,F,1954,Lee,10
MT,F,1954,Marsha,10
MT,F,1954,Roxanne,10
MT,F,1954,Sheri,10
MT,F,1954,Angela,9
MT,F,1954,Arlene,9
MT,F,1954,Esther,9
MT,F,1954,Geraldine,9
MT,F,1954,June,9
MT,F,1954,Lorraine,9
MT,F,1954,Marian,9
MT,F,1954,Nora,9
MT,F,1954,Patty,9
MT,F,1954,Yvonne,9
MT,F,1954,Becky,8
MT,F,1954,Beth,8
MT,F,1954,Billie,8
MT,F,1954,Irene,8
MT,F,1954,Joni,8
MT,F,1954,Karla,8
MT,F,1954,Kristine,8
MT,F,1954,Lora,8
MT,F,1954,Melanie,8
MT,F,1954,Melody,8
MT,F,1954,Monica,8
MT,F,1954,Rachel,8
MT,F,1954,Sherri,8
MT,F,1954,Verna,8
MT,F,1954,Amy,7
MT,F,1954,Cherie,7
MT,F,1954,Christina,7
MT,F,1954,Corinne,7
MT,F,1954,Darla,7
MT,F,1954,Debora,7
MT,F,1954,Dianna,7
MT,F,1954,Eva,7
MT,F,1954,Faye,7
MT,F,1954,Glenna,7
MT,F,1954,Jeannie,7
MT,F,1954,Joann,7
MT,F,1954,Juanita,7
MT,F,1954,Laurel,7
MT,F,1954,Lorrie,7
MT,F,1954,Luanne,7
MT,F,1954,Lynne,7
MT,F,1954,Mona,7
MT,F,1954,Nadine,7
MT,F,1954,Paulette,7
MT,F,1954,Pauline,7
MT,F,1954,Regina,7
MT,F,1954,Teri,7
MT,F,1954,Terrie,7
