StateCode,Sex,YearOfBirth,Name,Number
NC,F,1918,Olive,25
NC,F,1918,Sudie,25
NC,F,1918,Sylvia,25
NC,F,1918,Dixie,24
NC,F,1918,Hester,24
NC,F,1918,Lenora,24
NC,F,1918,Lora,24
NC,F,1918,Lou,24
NC,F,1918,Melba,24
NC,F,1918,Pansy,24
NC,F,1918,Polly,24
NC,F,1918,Lettie,23
NC,F,1918,Winifred,23
NC,F,1918,Belle,22
NC,F,1918,Claudia,22
NC,F,1918,Hannah,22
NC,F,1918,Lelia,22
NC,F,1918,Lorene,22
NC,F,1918,Retha,22
NC,F,1918,Rosetta,22
NC,F,1918,Susan,22
NC,F,1918,Amanda,21
NC,F,1918,Barbara,21
NC,F,1918,Connie,21
NC,F,1918,Georgie,21
NC,F,1918,Goldie,21
NC,F,1918,Iola,21
NC,F,1918,Willa,21
NC,F,1918,Elouise,20
NC,F,1918,Lona,20
NC,F,1918,Lydia,20
NC,F,1918,Magnolia,20
NC,F,1918,Miriam,20
NC,F,1918,Mittie,20
NC,F,1918,Odell,20
NC,F,1918,Caroline,19
NC,F,1918,Doretha,19
NC,F,1918,Gertie,19
NC,F,1918,Janet,19
NC,F,1918,Josie,19
NC,F,1918,Lily,19
NC,F,1918,Lorraine,19
NC,F,1918,Nola,19
NC,F,1918,Adell,18
NC,F,1918,Alta,18
NC,F,1918,Frankie,18
NC,F,1918,Jannie,18
NC,F,1918,Jeanette,18
NC,F,1918,Lucinda,18
NC,F,1918,Rosalie,18
NC,F,1918,Sybil,18
NC,F,1918,Zelma,18
NC,F,1918,Cassie,17
NC,F,1918,Dorthy,17
NC,F,1918,Eugenia,17
NC,F,1918,Florine,17
NC,F,1918,Lee,17
NC,F,1918,Lorena,17
NC,F,1918,Luella,17
NC,F,1918,Theresa,17
NC,F,1918,Vergie,17
NC,F,1918,Allene,16
NC,F,1918,Augusta,16
NC,F,1918,Jewel,16
NC,F,1918,Jewell,16
NC,F,1918,Lilly,16
NC,F,1918,Macie,16
NC,F,1918,Maudie,16
NC,F,1918,Amelia,15
NC,F,1918,Celia,15
NC,F,1918,Glennie,15
NC,F,1918,Iona,15
NC,F,1918,Isabelle,15
NC,F,1918,Linda,15
NC,F,1918,Luvenia,15
NC,F,1918,Arlene,14
NC,F,1918,Ava,14
NC,F,1918,Billie,14
NC,F,1918,Blanch,14
NC,F,1918,Clarice,14
NC,F,1918,Dessie,14
NC,F,1918,Genevieve,14
NC,F,1918,Gwendolyn,14
NC,F,1918,James,14
NC,F,1918,Madie,14
NC,F,1918,Maud,14
NC,F,1918,Mozell,14
NC,F,1918,Pearline,14
NC,F,1918,Peggy,14
NC,F,1918,Adelaide,13
NC,F,1918,Clyde,13
NC,F,1918,Dolly,13
NC,F,1918,Fay,13
NC,F,1918,Isabell,13
NC,F,1918,Mavis,13
NC,F,1918,Myra,13
NC,F,1918,Amy,12
NC,F,1918,Avis,12
NC,F,1918,Betsy,12
NC,F,1918,Donnie,12
NC,F,1918,Estell,12
NC,F,1918,Jeannette,12
NC,F,1918,Johnie,12
NC,F,1918,Mammie,12
NC,F,1918,Maria,12
NC,F,1918,Ossie,12
NC,F,1918,Patricia,12
NC,F,1918,Sophia,12
NC,F,1918,Treva,12
NC,F,1918,Alene,11
NC,F,1918,Charity,11
NC,F,1918,Elva,11
NC,F,1918,Era,11
NC,F,1918,Helena,11
NC,F,1918,Hellen,11
NC,F,1918,Leah,11
NC,F,1918,Louvenia,11
NC,F,1918,Lovie,11
NC,F,1918,Lura,11
NC,F,1918,Mandy,11
NC,F,1918,Robbie,11
NC,F,1918,Vernie,11
NC,F,1918,Zula,11
NC,F,1918,Aileen,10
NC,F,1918,Elaine,10
NC,F,1918,Ellie,10
NC,F,1918,Floy,10
NC,F,1918,Isabella,10
NC,F,1918,Joe,10
NC,F,1918,John,10
NC,F,1918,Kattie,10
NC,F,1918,Leora,10
NC,F,1918,Lorine,10
NC,F,1918,Lyda,10
NC,F,1918,Marietta,10
NC,F,1918,Nelle,10
NC,F,1918,Neva,10
NC,F,1918,Pennie,10
NC,F,1918,Vertie,10
NC,F,1918,Wilhelmina,10
NC,F,1918,Alease,9
NC,F,1918,Aline,9
NC,F,1918,Birdie,9
NC,F,1918,Bulah,9
NC,F,1918,Clarine,9
NC,F,1918,Cynthia,9
NC,F,1918,Dovie,9
NC,F,1918,Eddie,9
NC,F,1918,Flonnie,9
NC,F,1918,Isabel,9
NC,F,1918,Joan,9
NC,F,1918,Leatha,9
NC,F,1918,Lennie,9
NC,F,1918,Loretta,9
NC,F,1918,Mallie,9
NC,F,1918,Margret,9
NC,F,1918,Maybelle,9
NC,F,1918,Mazie,9
NC,F,1918,Nona,9
NC,F,1918,Ray,9
NC,F,1918,Rosella,9
NC,F,1918,Rosemary,9
NC,F,1918,Rossie,9
NC,F,1918,Ruthie,9
NC,F,1918,Sibyl,9
NC,F,1918,Una,9
NC,F,1918,Zella,9
NC,F,1918,Zora,9
NC,F,1918,Alpha,8
NC,F,1918,Atha,8
NC,F,1918,Beaulah,8
NC,F,1918,Beverly,8
NC,F,1918,Cecil,8
NC,F,1918,Cecile,8
NC,F,1918,Creola,8
NC,F,1918,Easter,8
NC,F,1918,Edythe,8
NC,F,1918,Ester,8
NC,F,1918,Ethelyn,8
NC,F,1918,Fanny,8
NC,F,1918,Georgianna,8
NC,F,1918,Golda,8
NC,F,1918,Gussie,8
NC,F,1918,Jimmie,8
NC,F,1918,Leila,8
NC,F,1918,Lexie,8
NC,F,1918,Luna,8
NC,F,1918,Margarett,8
NC,F,1918,Matilda,8
NC,F,1918,Melissa,8
NC,F,1918,Muriel,8
NC,F,1918,Ocie,8
NC,F,1918,Oleta,8
NC,F,1918,Omie,8
NC,F,1918,Otelia,8
NC,F,1918,Ressie,8
NC,F,1918,Rosalee,8
NC,F,1918,Savannah,8
NC,F,1918,Tessie,8
NC,F,1918,Vada,8
NC,F,1918,Vallie,8
NC,F,1918,Verdie,8
NC,F,1918,Vida,8
NC,F,1918,Adele,7
NC,F,1918,Alda,7
NC,F,1918,Alverta,7
NC,F,1918,Annabelle,7
NC,F,1918,Annette,7
NC,F,1918,Artie,7
NC,F,1918,Beadie,7
NC,F,1918,Carol,7
NC,F,1918,Charles,7
NC,F,1918,Constance,7
NC,F,1918,Corine,7
NC,F,1918,Daphne,7
NC,F,1918,Earline,7
NC,F,1918,Eileen,7
NC,F,1918,Evangeline,7
NC,F,1918,Florene,7
NC,F,1918,Freda,7
NC,F,1918,Fronie,7
NC,F,1918,Harriett,7
NC,F,1918,Hessie,7
NC,F,1918,Jeanne,7
NC,F,1918,Judy,7
NC,F,1918,Lacy,7
NC,F,1918,Lida,7
NC,F,1918,Lina,7
NC,F,1918,Lonie,7
NC,F,1918,Lonnie,7
NC,F,1918,Lossie,7
NC,F,1918,Louella,7
NC,F,1918,Lue,7
NC,F,1918,Macy,7
NC,F,1918,Malinda,7
NC,F,1918,Mina,7
NC,F,1918,Oma,7
NC,F,1918,Paul,7
NC,F,1918,Phoebe,7
NC,F,1918,Phyllis,7
NC,F,1918,Queenie,7
NC,F,1918,Reva,7
NC,F,1918,Rosia,7
NC,F,1918,Swannie,7
NC,F,1918,Tina,7
NC,F,1918,Valeria,7
NC,F,1918,Verlie,7
NC,F,1918,Vonnie,7
NC,F,1918,William,7
NC,F,1918,Adelle,6
NC,F,1918,Alline,6
NC,F,1918,Almeta,6
NC,F,1918,Althea,6
NC,F,1918,Alva,6
NC,F,1918,Ammie,6
NC,F,1918,Arletha,6
NC,F,1918,Bell,6
NC,F,1918,Bobbie,6
NC,F,1918,Cecelia,6
NC,F,1918,Claudie,6
NC,F,1918,Cleta,6
NC,F,1918,Colleen,6
NC,F,1918,Cordie,6
NC,F,1918,Corinne,6
NC,F,1918,Corrie,6
NC,F,1918,Delia,6
NC,F,1918,Earnestine,6
NC,F,1918,Elise,6
NC,F,1918,Ellamae,6
NC,F,1918,Elmer,6
NC,F,1918,Elmira,6
NC,F,1918,Eulah,6
NC,F,1918,Evie,6
NC,F,1918,Fern,6
NC,F,1918,Fleta,6
NC,F,1918,Glenna,6
NC,F,1918,Gretchen,6
NC,F,1918,Idell,6
NC,F,1918,Janette,6
NC,F,1918,Jettie,6
NC,F,1918,Judith,6
NC,F,1918,Kathrine,6
NC,F,1918,Kizzie,6
NC,F,1918,Lassie,6
NC,F,1918,Lenna,6
NC,F,1918,Leslie,6
NC,F,1918,Lethia,6
NC,F,1918,Loraine,6
NC,F,1918,Lucie,6
NC,F,1918,Magdalene,6
NC,F,1918,Mariah,6
NC,F,1918,Maxie,6
NC,F,1918,Merle,6
NC,F,1918,Monnie,6
NC,F,1918,Ona,6
NC,F,1918,Onnie,6
NC,F,1918,Patsy,6
NC,F,1918,Peggie,6
NC,F,1918,Rachael,6
NC,F,1918,Robena,6
NC,F,1918,Roy,6
NC,F,1918,Sophie,6
NC,F,1918,Tennie,6
NC,F,1918,Veola,6
NC,F,1918,Yvonne,6
NC,F,1918,Albertha,5
NC,F,1918,Amie,5
NC,F,1918,Angie,5
NC,F,1918,Anita,5
NC,F,1918,Anniemae,5
NC,F,1918,Annis,5
NC,F,1918,Bedie,5
NC,F,1918,Berdie,5
NC,F,1918,Berta,5
NC,F,1918,Bettye,5
NC,F,1918,Blonnie,5
NC,F,1918,Charlie,5
NC,F,1918,Cherry,5
NC,F,1918,Classie,5
NC,F,1918,Corena,5
NC,F,1918,Delma,5
NC,F,1918,Delzora,5
NC,F,1918,Dolores,5
NC,F,1918,Dorcas,5
NC,F,1918,Earlene,5
NC,F,1918,Elenora,5
NC,F,1918,Elizebeth,5
NC,F,1918,Emmer,5
NC,F,1918,Esta,5
NC,F,1918,Ettie,5
NC,F,1918,Exie,5
NC,F,1918,Fairy,5
NC,F,1918,Faith,5
NC,F,1918,Fonnie,5
NC,F,1918,Gay,5
NC,F,1918,Gaynelle,5
NC,F,1918,Georgiana,5
NC,F,1918,Gloria,5
NC,F,1918,Hassie,5
NC,F,1918,Hildred,5
NC,F,1918,Hortense,5
NC,F,1918,Hulda,5
NC,F,1918,Ima,5
NC,F,1918,Jack,5
NC,F,1918,Jerry,5
NC,F,1918,Jo,5
NC,F,1918,Joy,5
NC,F,1918,Junita,5
NC,F,1918,Lala,5
NC,F,1918,Leota,5
NC,F,1918,Lilla,5
NC,F,1918,Linnie,5
NC,F,1918,Louie,5
NC,F,1918,Louisa,5
NC,F,1918,Maizie,5
NC,F,1918,Margarette,5
NC,F,1918,Mellie,5
NC,F,1918,Melva,5
NC,F,1918,Melvin,5
NC,F,1918,Meta,5
NC,F,1918,Molly,5
NC,F,1918,Mozel,5
NC,F,1918,Myrtie,5
NC,F,1918,Nadine,5
NC,F,1918,Natalie,5
NC,F,1918,Nolie,5
NC,F,1918,Ozie,5
NC,F,1918,Paula,5
NC,F,1918,Pearle,5
NC,F,1918,Pearlene,5
NC,F,1918,Priscilla,5
NC,F,1918,Reatha,5
NC,F,1918,Rhoda,5
NC,F,1918,Rita,5
NC,F,1918,Rowena,5
NC,F,1918,Rozella,5
NC,F,1918,Rubie,5
