StateCode,Sex,YearOfBirth,Name,Number
NC,F,1965,Helen,103
NC,F,1965,April,102
NC,F,1965,Katherine,102
NC,F,1965,Felicia,101
NC,F,1965,Charlene,100
NC,F,1965,Amanda,98
NC,F,1965,Ann,98
NC,F,1965,Glenda,97
NC,F,1965,Jackie,97
NC,F,1965,Diane,95
NC,F,1965,Jill,92
NC,F,1965,Anna,91
NC,F,1965,Doris,89
NC,F,1965,Audrey,88
NC,F,1965,Alice,87
NC,F,1965,Julia,84
NC,F,1965,Belinda,83
NC,F,1965,Tamara,83
NC,F,1965,Samantha,82
NC,F,1965,Vanessa,82
NC,F,1965,Maria,81
NC,F,1965,Peggy,81
NC,F,1965,Veronica,81
NC,F,1965,Anne,80
NC,F,1965,Dorothy,79
NC,F,1965,Suzanne,77
NC,F,1965,Renee,76
NC,F,1965,Terry,76
NC,F,1965,Angelia,73
NC,F,1965,Tracey,72
NC,F,1965,Beth,71
NC,F,1965,Jane,71
NC,F,1965,Deanna,70
NC,F,1965,Cassandra,69
NC,F,1965,Diana,69
NC,F,1965,Jamie,69
NC,F,1965,Joy,69
NC,F,1965,Ruth,67
NC,F,1965,Vicki,66
NC,F,1965,Charlotte,65
NC,F,1965,Ginger,65
NC,F,1965,Melody,65
NC,F,1965,Ellen,64
NC,F,1965,Laurie,63
NC,F,1965,Sandy,62
NC,F,1965,Vonda,62
NC,F,1965,Kathleen,61
NC,F,1965,Marsha,61
NC,F,1965,Michele,61
NC,F,1965,Lynn,59
NC,F,1965,Norma,59
NC,F,1965,Shannon,59
NC,F,1965,Annie,58
NC,F,1965,Gail,58
NC,F,1965,Myra,58
NC,F,1965,Vicky,58
NC,F,1965,Evelyn,57
NC,F,1965,Ronda,57
NC,F,1965,Tammie,56
NC,F,1965,Juanita,55
NC,F,1965,Judith,55
NC,F,1965,Kathryn,55
NC,F,1965,Toni,55
NC,F,1965,Marie,54
NC,F,1965,Marilyn,54
NC,F,1965,Victoria,54
NC,F,1965,Bobbie,53
NC,F,1965,Hope,53
NC,F,1965,Katrina,53
NC,F,1965,Leigh,53
NC,F,1965,Rose,53
NC,F,1965,Billie,52
NC,F,1965,Constance,52
NC,F,1965,Jean,50
NC,F,1965,Jo,50
NC,F,1965,Vivian,50
NC,F,1965,Yvonne,50
NC,F,1965,Alicia,49
NC,F,1965,Emily,49
NC,F,1965,Jeanette,49
NC,F,1965,Patty,49
NC,F,1965,Becky,48
NC,F,1965,Priscilla,48
NC,F,1965,Natalie,47
NC,F,1965,Joan,46
NC,F,1965,Lora,46
NC,F,1965,Lorie,46
NC,F,1965,Christina,45
NC,F,1965,Caroline,44
NC,F,1965,Patti,44
NC,F,1965,Elaine,43
NC,F,1965,Carmen,42
NC,F,1965,Rachel,42
NC,F,1965,Tanya,42
NC,F,1965,Bonita,41
NC,F,1965,Sally,41
NC,F,1965,Betsy,40
NC,F,1965,Patsy,40
NC,F,1965,Sheryl,40
NC,F,1965,Carrie,39
NC,F,1965,Ramona,39
NC,F,1965,Rosa,39
NC,F,1965,Sara,39
NC,F,1965,Stacey,39
NC,F,1965,Yvette,39
NC,F,1965,Alisa,38
NC,F,1965,Eva,38
NC,F,1965,Holly,38
NC,F,1965,Kimberley,38
NC,F,1965,Pam,38
NC,F,1965,Edith,37
NC,F,1965,Candace,36
NC,F,1965,Sherrie,35
NC,F,1965,Sue,35
NC,F,1965,Jan,34
NC,F,1965,Jessica,34
NC,F,1965,Mildred,34
NC,F,1965,Traci,34
NC,F,1965,Delores,33
NC,F,1965,Ella,33
NC,F,1965,Sabrina,33
NC,F,1965,Ruby,31
NC,F,1965,Tracie,31
NC,F,1965,Yolanda,31
NC,F,1965,Geraldine,30
NC,F,1965,Mia,30
NC,F,1965,Roberta,30
NC,F,1965,Tami,30
NC,F,1965,Benita,29
NC,F,1965,Georgia,29
NC,F,1965,Janie,29
NC,F,1965,Joann,29
NC,F,1965,Marian,29
NC,F,1965,Shelly,29
NC,F,1965,Sonja,29
NC,F,1965,Bridget,28
NC,F,1965,Daphne,28
NC,F,1965,Heather,28
NC,F,1965,Jeanne,28
NC,F,1965,Lois,28
NC,F,1965,Lorrie,28
NC,F,1965,Lynda,28
NC,F,1965,Marcia,28
NC,F,1965,Mitzi,28
NC,F,1965,Stacy,28
NC,F,1965,Alesia,27
NC,F,1965,Edna,27
NC,F,1965,Frankie,27
NC,F,1965,Lee,27
NC,F,1965,Rosalind,27
NC,F,1965,Shawn,27
NC,F,1965,Sheri,27
NC,F,1965,Teressa,27
NC,F,1965,Alison,26
NC,F,1965,Della,26
NC,F,1965,Jacquelyn,26
NC,F,1965,June,26
NC,F,1965,Lillian,26
NC,F,1965,Trina,26
NC,F,1965,Christy,25
NC,F,1965,Emma,25
NC,F,1965,Joanne,25
NC,F,1965,Kristi,25
NC,F,1965,Leah,25
NC,F,1965,Lesa,25
NC,F,1965,Shelby,25
NC,F,1965,Dianne,24
NC,F,1965,Marjorie,24
NC,F,1965,Mona,24
NC,F,1965,Monique,24
NC,F,1965,Shelley,24
NC,F,1965,Tara,24
NC,F,1965,Arlene,23
NC,F,1965,Bernice,23
NC,F,1965,Candy,23
NC,F,1965,Heidi,23
NC,F,1965,Jenny,23
NC,F,1965,Jodi,23
NC,F,1965,Nina,23
NC,F,1965,Antoinette,22
NC,F,1965,Harriet,22
NC,F,1965,Iris,22
NC,F,1965,Lesia,22
NC,F,1965,Lydia,22
NC,F,1965,Lynette,22
NC,F,1965,Margie,22
NC,F,1965,Paulette,22
NC,F,1965,Sophia,22
NC,F,1965,Cara,21
NC,F,1965,Jessie,21
NC,F,1965,Karla,21
NC,F,1965,Ashley,20
NC,F,1965,Bridgette,20
NC,F,1965,Dianna,20
NC,F,1965,Marion,20
NC,F,1965,Miriam,20
NC,F,1965,Tamera,20
NC,F,1965,Teri,20
NC,F,1965,Tonia,20
NC,F,1965,Claudia,19
NC,F,1965,Debora,19
NC,F,1965,Elisa,19
NC,F,1965,Hazel,19
NC,F,1965,Jennie,19
