StateCode,Sex,YearOfBirth,Name,Number
NC,F,1978,Theresa,32
NC,F,1978,Alice,31
NC,F,1978,Hannah,31
NC,F,1978,Shameka,31
NC,F,1978,Audrey,30
NC,F,1978,Beth,30
NC,F,1978,Charlotte,30
NC,F,1978,Dorothy,30
NC,F,1978,Joanna,30
NC,F,1978,Jodi,30
NC,F,1978,Charlene,29
NC,F,1978,Frances,29
NC,F,1978,Helen,29
NC,F,1978,Kisha,29
NC,F,1978,Molly,29
NC,F,1978,Chastity,28
NC,F,1978,Krista,28
NC,F,1978,Lakesha,28
NC,F,1978,Rita,28
NC,F,1978,Sandy,28
NC,F,1978,Ellen,27
NC,F,1978,Heidi,27
NC,F,1978,Kenya,27
NC,F,1978,Lindsey,27
NC,F,1978,Sally,27
NC,F,1978,Wanda,27
NC,F,1978,Whitney,27
NC,F,1978,Gloria,26
NC,F,1978,Lesley,26
NC,F,1978,Robyn,26
NC,F,1978,Tori,26
NC,F,1978,Tracie,26
NC,F,1978,Annie,25
NC,F,1978,Brandie,25
NC,F,1978,Chrissy,25
NC,F,1978,Kizzy,25
NC,F,1978,Lora,25
NC,F,1978,Mindy,25
NC,F,1978,Shawna,25
NC,F,1978,Tanisha,25
NC,F,1978,Chandra,24
NC,F,1978,Hillary,24
NC,F,1978,Jackie,24
NC,F,1978,Latosha,24
NC,F,1978,Lawanda,24
NC,F,1978,Letitia,24
NC,F,1978,Billie,23
NC,F,1978,Jennie,23
NC,F,1978,Marcia,23
NC,F,1978,Patrice,23
NC,F,1978,Selena,23
NC,F,1978,Sonja,23
NC,F,1978,Jodie,22
NC,F,1978,Juanita,22
NC,F,1978,Lashanda,22
NC,F,1978,Annette,21
NC,F,1978,Bonnie,21
NC,F,1978,Cara,21
NC,F,1978,Monique,21
NC,F,1978,Rachael,21
NC,F,1978,Abby,20
NC,F,1978,Aimee,20
NC,F,1978,Autumn,20
NC,F,1978,Gwendolyn,20
NC,F,1978,Jacquelyn,20
NC,F,1978,Katina,20
NC,F,1978,Ruth,20
NC,F,1978,Shirley,20
NC,F,1978,Aisha,19
NC,F,1978,Allyson,19
NC,F,1978,Jana,19
NC,F,1978,Joyce,19
NC,F,1978,Judy,19
NC,F,1978,Kesha,19
NC,F,1978,Kim,19
NC,F,1978,Marie,19
NC,F,1978,Sharonda,19
NC,F,1978,Sheri,19
NC,F,1978,Tonia,19
NC,F,1978,Christi,18
NC,F,1978,Cristy,18
NC,F,1978,Eva,18
NC,F,1978,Gretchen,18
NC,F,1978,Ryan,18
NC,F,1978,Tawana,18
NC,F,1978,Tosha,18
NC,F,1978,Amelia,17
NC,F,1978,Angelia,17
NC,F,1978,Candy,17
NC,F,1978,Hollie,17
NC,F,1978,Jillian,17
NC,F,1978,Joni,17
NC,F,1978,Latonia,17
NC,F,1978,Shanta,17
NC,F,1978,Shelia,17
NC,F,1978,Tarsha,17
NC,F,1978,Becky,16
NC,F,1978,Bianca,16
NC,F,1978,Chanda,16
NC,F,1978,Elisha,16
NC,F,1978,Kari,16
NC,F,1978,Kerri,16
NC,F,1978,Lillian,16
NC,F,1978,Lynn,16
NC,F,1978,Mia,16
NC,F,1978,Nakisha,16
NC,F,1978,Priscilla,16
NC,F,1978,Shanda,16
NC,F,1978,Shawn,16
NC,F,1978,Shonda,16
NC,F,1978,Tawanna,16
NC,F,1978,Trisha,16
NC,F,1978,Adrian,15
NC,F,1978,Alisa,15
NC,F,1978,Amie,15
NC,F,1978,Cheri,15
NC,F,1978,Demetria,15
NC,F,1978,Dianna,15
NC,F,1978,Faith,15
NC,F,1978,Kasey,15
NC,F,1978,Kirsten,15
NC,F,1978,Lorie,15
NC,F,1978,Ramona,15
NC,F,1978,Sheree,15
NC,F,1978,Takisha,15
NC,F,1978,Tomika,15
NC,F,1978,Trina,15
NC,F,1978,Yvonne,15
NC,F,1978,Adrianne,14
NC,F,1978,Bethany,14
NC,F,1978,Cassie,14
NC,F,1978,Devin,14
NC,F,1978,Devon,14
NC,F,1978,Diane,14
NC,F,1978,Doris,14
NC,F,1978,Farrah,14
NC,F,1978,Glenda,14
NC,F,1978,Haley,14
NC,F,1978,Keri,14
NC,F,1978,Loretta,14
NC,F,1978,Marisa,14
NC,F,1978,Marlena,14
NC,F,1978,Peggy,14
NC,F,1978,Sonia,14
NC,F,1978,Alyson,13
NC,F,1978,Bridgette,13
NC,F,1978,Brittany,13
NC,F,1978,Cathy,13
NC,F,1978,Charmaine,13
NC,F,1978,Christal,13
NC,F,1978,Christian,13
NC,F,1978,Evelyn,13
NC,F,1978,Jeanette,13
NC,F,1978,Judith,13
NC,F,1978,Karla,13
NC,F,1978,Kristine,13
NC,F,1978,Kylie,13
NC,F,1978,Larissa,13
NC,F,1978,Marilyn,13
NC,F,1978,Marissa,13
NC,F,1978,Rose,13
NC,F,1978,Shanita,13
NC,F,1978,Shenita,13
NC,F,1978,Stefanie,13
NC,F,1978,Tammie,13
NC,F,1978,Tanika,13
NC,F,1978,Vicky,13
NC,F,1978,Clarissa,12
NC,F,1978,Felecia,12
NC,F,1978,Jami,12
NC,F,1978,Janie,12
NC,F,1978,Jean,12
NC,F,1978,Jeannie,12
NC,F,1978,Jenifer,12
NC,F,1978,Jerri,12
NC,F,1978,Jocelyn,12
NC,F,1978,Kerry,12
NC,F,1978,Kristal,12
NC,F,1978,Ladonna,12
NC,F,1978,Lee,12
NC,F,1978,Maggie,12
NC,F,1978,Meghan,12
NC,F,1978,Nakia,12
NC,F,1978,Rhiannon,12
NC,F,1978,Rosa,12
NC,F,1978,Serena,12
NC,F,1978,Shaneka,12
NC,F,1978,Tawanda,12
NC,F,1978,Terra,12
NC,F,1978,Tisha,12
NC,F,1978,Vivian,12
NC,F,1978,Ashleigh,11
NC,F,1978,Aubrey,11
NC,F,1978,Constance,11
NC,F,1978,Deidra,11
NC,F,1978,Deidre,11
NC,F,1978,Desiree,11
NC,F,1978,Destiny,11
NC,F,1978,Grace,11
NC,F,1978,Karrie,11
NC,F,1978,Lara,11
NC,F,1978,Lois,11
NC,F,1978,Lorraine,11
NC,F,1978,Lynette,11
NC,F,1978,Margie,11
NC,F,1978,Miriam,11
NC,F,1978,Misti,11
NC,F,1978,Myra,11
NC,F,1978,Nina,11
NC,F,1978,Paige,11
NC,F,1978,Portia,11
NC,F,1978,Sherrie,11
NC,F,1978,Tenisha,11
NC,F,1978,Tessa,11
NC,F,1978,Windy,11
NC,F,1978,Alyssa,10
NC,F,1978,Anitra,10
NC,F,1978,Audra,10
NC,F,1978,Bridgett,10
NC,F,1978,Callie,10
NC,F,1978,Cameron,10
NC,F,1978,Carly,10
NC,F,1978,Chiquita,10
NC,F,1978,Claire,10
NC,F,1978,Claudia,10
NC,F,1978,Edna,10
NC,F,1978,Elaine,10
NC,F,1978,Eleanor,10
NC,F,1978,Gabrielle,10
NC,F,1978,Hilary,10
NC,F,1978,Jane,10
NC,F,1978,Jody,10
NC,F,1978,Katharine,10
NC,F,1978,Kenisha,10
NC,F,1978,Kenyetta,10
NC,F,1978,Kiley,10
NC,F,1978,Latarsha,10
NC,F,1978,Melisa,10
NC,F,1978,Niki,10
NC,F,1978,Ruby,10
NC,F,1978,Shamika,10
NC,F,1978,Shanika,10
NC,F,1978,Shasta,10
NC,F,1978,Shavon,10
NC,F,1978,Shavonne,10
NC,F,1978,Sylvia,10
NC,F,1978,Tamekia,10
NC,F,1978,Tania,10
NC,F,1978,Temeka,10
NC,F,1978,Teri,10
NC,F,1978,Tomekia,10
NC,F,1978,Ava,9
NC,F,1978,Brandon,9
NC,F,1978,Carey,9
NC,F,1978,Carissa,9
NC,F,1978,Christel,9
NC,F,1978,Colleen,9
NC,F,1978,Corrie,9
NC,F,1978,Cristina,9
NC,F,1978,Dara,9
NC,F,1978,Debbie,9
NC,F,1978,Dena,9
NC,F,1978,Devan,9
NC,F,1978,Edith,9
NC,F,1978,Elisabeth,9
NC,F,1978,Georgia,9
NC,F,1978,Iris,9
NC,F,1978,Jada,9
