StateCode,Sex,YearOfBirth,Name,Number
NC,F,1999,Teresa,19
NC,F,1999,Zoey,19
NC,F,1999,Alejandra,18
NC,F,1999,Alma,18
NC,F,1999,Alyson,18
NC,F,1999,Deasia,18
NC,F,1999,Ella,18
NC,F,1999,Felicia,18
NC,F,1999,Giselle,18
NC,F,1999,Josephine,18
NC,F,1999,Katrina,18
NC,F,1999,Kayley,18
NC,F,1999,Keely,18
NC,F,1999,Kylee,18
NC,F,1999,Layla,18
NC,F,1999,Micah,18
NC,F,1999,Natalia,18
NC,F,1999,Nautica,18
NC,F,1999,Nya,18
NC,F,1999,Tessa,18
NC,F,1999,Alanna,17
NC,F,1999,Amari,17
NC,F,1999,Ann,17
NC,F,1999,Barbara,17
NC,F,1999,Baylee,17
NC,F,1999,Carla,17
NC,F,1999,Carlie,17
NC,F,1999,Chastity,17
NC,F,1999,Eleanor,17
NC,F,1999,Gina,17
NC,F,1999,Jane,17
NC,F,1999,Kaila,17
NC,F,1999,Marisa,17
NC,F,1999,Miriam,17
NC,F,1999,Pamela,17
NC,F,1999,Priscilla,17
NC,F,1999,Rose,17
NC,F,1999,Zaria,17
NC,F,1999,Adrienne,16
NC,F,1999,Akira,16
NC,F,1999,Aleah,16
NC,F,1999,Ally,16
NC,F,1999,Breana,16
NC,F,1999,Bria,16
NC,F,1999,Cecilia,16
NC,F,1999,Cristal,16
NC,F,1999,Emani,16
NC,F,1999,Iyana,16
NC,F,1999,Kali,16
NC,F,1999,Kameron,16
NC,F,1999,Katlin,16
NC,F,1999,Kelsie,16
NC,F,1999,Kiersten,16
NC,F,1999,Lexi,16
NC,F,1999,Maddison,16
NC,F,1999,Mahogany,16
NC,F,1999,Miracle,16
NC,F,1999,Nichole,16
NC,F,1999,Sharon,16
NC,F,1999,Taryn,16
NC,F,1999,Tierra,16
NC,F,1999,Ashanti,15
NC,F,1999,Ayana,15
NC,F,1999,Cara,15
NC,F,1999,Christy,15
NC,F,1999,Devin,15
NC,F,1999,Elaina,15
NC,F,1999,Grayson,15
NC,F,1999,Iris,15
NC,F,1999,Janae,15
NC,F,1999,Jenny,15
NC,F,1999,Kassie,15
NC,F,1999,Kaylin,15
NC,F,1999,Lena,15
NC,F,1999,Lillie,15
NC,F,1999,Lizeth,15
NC,F,1999,Loren,15
NC,F,1999,Lori,15
NC,F,1999,Macey,15
NC,F,1999,Mollie,15
NC,F,1999,Noemi,15
NC,F,1999,Rylee,15
NC,F,1999,Samaria,15
NC,F,1999,Sarai,15
NC,F,1999,Sonia,15
NC,F,1999,Susan,15
NC,F,1999,Talia,15
NC,F,1999,Alice,14
NC,F,1999,Bailee,14
NC,F,1999,Bridgette,14
NC,F,1999,Cora,14
NC,F,1999,Ellie,14
NC,F,1999,Emilie,14
NC,F,1999,Haylie,14
NC,F,1999,Jessie,14
NC,F,1999,Kacie,14
NC,F,1999,Kari,14
NC,F,1999,Kenzie,14
NC,F,1999,Kourtney,14
NC,F,1999,Lesley,14
NC,F,1999,Lizbeth,14
NC,F,1999,Macie,14
NC,F,1999,Princess,14
NC,F,1999,Raegan,14
NC,F,1999,Raquel,14
NC,F,1999,Sally,14
NC,F,1999,Scarlett,14
NC,F,1999,Sydni,14
NC,F,1999,Tatum,14
NC,F,1999,Valeria,14
NC,F,1999,Alayna,13
NC,F,1999,Amya,13
NC,F,1999,Carlee,13
NC,F,1999,Denise,13
NC,F,1999,Eden,13
NC,F,1999,Gabriel,13
NC,F,1999,Hayden,13
NC,F,1999,Ivey,13
NC,F,1999,Jala,13
NC,F,1999,Jasmyn,13
NC,F,1999,Jaylin,13
NC,F,1999,Jesse,13
NC,F,1999,Krystal,13
NC,F,1999,Leanna,13
NC,F,1999,Madalyn,13
NC,F,1999,Maegan,13
NC,F,1999,Malaysia,13
NC,F,1999,Mayra,13
NC,F,1999,Montana,13
NC,F,1999,Myra,13
NC,F,1999,Paola,13
NC,F,1999,Patience,13
NC,F,1999,Sasha,13
NC,F,1999,Selina,13
NC,F,1999,Simone,13
NC,F,1999,Sofia,13
NC,F,1999,Stacey,13
NC,F,1999,Tania,13
NC,F,1999,Tanya,13
NC,F,1999,Tianna,13
NC,F,1999,Tyanna,13
NC,F,1999,Ali,12
NC,F,1999,Alina,12
NC,F,1999,Angelina,12
NC,F,1999,Anita,12
NC,F,1999,Aniyah,12
NC,F,1999,Armani,12
NC,F,1999,Carrington,12
NC,F,1999,Cayla,12
NC,F,1999,Ciera,12
NC,F,1999,Cortney,12
NC,F,1999,Dajah,12
NC,F,1999,Dejah,12
NC,F,1999,Halie,12
NC,F,1999,Hayleigh,12
NC,F,1999,Hollie,12
NC,F,1999,Jaden,12
NC,F,1999,Jaida,12
NC,F,1999,Jayda,12
NC,F,1999,Kailee,12
NC,F,1999,Karly,12
NC,F,1999,Kiley,12
NC,F,1999,Kristian,12
NC,F,1999,Lacie,12
NC,F,1999,Lea,12
NC,F,1999,Lesly,12
NC,F,1999,Mariela,12
NC,F,1999,Marina,12
NC,F,1999,Marisol,12
NC,F,1999,Miya,12
NC,F,1999,Niya,12
NC,F,1999,Perla,12
NC,F,1999,Shakira,12
NC,F,1999,Skye,12
NC,F,1999,Tatiyana,12
NC,F,1999,Tess,12
NC,F,1999,Tina,12
NC,F,1999,Unique,12
NC,F,1999,Yasmin,12
NC,F,1999,Aimee,11
NC,F,1999,Amia,11
NC,F,1999,Aurora,11
NC,F,1999,Britany,11
NC,F,1999,Carissa,11
NC,F,1999,Carol,11
NC,F,1999,Deborah,11
NC,F,1999,Donna,11
NC,F,1999,Eboni,11
NC,F,1999,Emely,11
NC,F,1999,Eve,11
NC,F,1999,Gisselle,11
NC,F,1999,Irene,11
NC,F,1999,Jacquelyn,11
NC,F,1999,Jamya,11
NC,F,1999,Jewel,11
NC,F,1999,Julianne,11
NC,F,1999,Kaela,11
NC,F,1999,Kailyn,11
NC,F,1999,Kalyn,11
NC,F,1999,Kaylan,11
NC,F,1999,Kayli,11
NC,F,1999,Kaytlin,11
NC,F,1999,Kinsey,11
NC,F,1999,Kirstin,11
NC,F,1999,Kyndall,11
NC,F,1999,Lexus,11
NC,F,1999,Liliana,11
NC,F,1999,Lizet,11
NC,F,1999,Luz,11
NC,F,1999,Maia,11
NC,F,1999,Marie,11
NC,F,1999,Martina,11
NC,F,1999,Melina,11
NC,F,1999,Nikki,11
NC,F,1999,Regina,11
NC,F,1999,Renee,11
NC,F,1999,Rosemary,11
NC,F,1999,Ryan,11
NC,F,1999,Shayna,11
NC,F,1999,Sheila,11
NC,F,1999,Tatianna,11
NC,F,1999,Taya,11
NC,F,1999,Tayler,11
NC,F,1999,Angie,10
NC,F,1999,Ansley,10
NC,F,1999,Bonnie,10
NC,F,1999,Breonna,10
NC,F,1999,Calista,10
NC,F,1999,Carina,10
NC,F,1999,Christen,10
NC,F,1999,Clare,10
NC,F,1999,Clarissa,10
NC,F,1999,Darian,10
NC,F,1999,Dorothy,10
NC,F,1999,Gracyn,10
NC,F,1999,Isis,10
NC,F,1999,Iyanna,10
NC,F,1999,Janelle,10
NC,F,1999,Janiya,10
NC,F,1999,Janna,10
NC,F,1999,Juanita,10
NC,F,1999,Judith,10
NC,F,1999,Julissa,10
NC,F,1999,Katelin,10
NC,F,1999,Katharine,10
NC,F,1999,Kaylyn,10
NC,F,1999,Keyonna,10
NC,F,1999,Kianna,10
NC,F,1999,Kiarra,10
NC,F,1999,Laken,10
NC,F,1999,Leilani,10
NC,F,1999,Lila,10
NC,F,1999,Lorena,10
NC,F,1999,Lyndsey,10
NC,F,1999,Lyric,10
NC,F,1999,Mariana,10
NC,F,1999,Maritza,10
NC,F,1999,Melinda,10
NC,F,1999,Savanah,10
NC,F,1999,Shamara,10
NC,F,1999,Shamya,10
NC,F,1999,Shelly,10
NC,F,1999,Tamera,10
NC,F,1999,Taniya,10
NC,F,1999,Tionna,10
NC,F,1999,Addie,9
NC,F,1999,Aiyana,9
NC,F,1999,Alisa,9
NC,F,1999,Allyssa,9
NC,F,1999,Annika,9
NC,F,1999,Antonia,9
NC,F,1999,Anya,9
NC,F,1999,Arielle,9
NC,F,1999,Asha,9
NC,F,1999,Beatriz,9
NC,F,1999,Betsy,9
NC,F,1999,Camden,9
NC,F,1999,Carleigh,9
NC,F,1999,Carli,9
NC,F,1999,Casandra,9
NC,F,1999,Christa,9
NC,F,1999,Cristina,9
NC,F,1999,Daija,9
NC,F,1999,Dallas,9
NC,F,1999,Darby,9
NC,F,1999,Drew,9
NC,F,1999,Dulce,9
NC,F,1999,Ericka,9
NC,F,1999,Gianna,9
NC,F,1999,Hana,9
NC,F,1999,Holland,9
NC,F,1999,Itzel,9
NC,F,1999,Jaqueline,9
NC,F,1999,Juliette,9
NC,F,1999,Justine,9
NC,F,1999,Kaelyn,9
NC,F,1999,Karrington,9
NC,F,1999,Karson,9
NC,F,1999,Keeley,9
NC,F,1999,Kelsi,9
NC,F,1999,Kennedi,9
NC,F,1999,Kiya,9
NC,F,1999,Kristy,9
NC,F,1999,Kyara,9
NC,F,1999,Kyleigh,9
NC,F,1999,Lissette,9
NC,F,1999,London,9
NC,F,1999,Madisyn,9
NC,F,1999,Mara,9
NC,F,1999,Maribel,9
NC,F,1999,Marlene,9
NC,F,1999,Meaghan,9
NC,F,1999,Mekayla,9
NC,F,1999,Micaela,9
NC,F,1999,Mikala,9
NC,F,1999,Moriah,9
NC,F,1999,Noelle,9
NC,F,1999,Parker,9
