StateCode,Sex,YearOfBirth,Name,Number
NC,M,1920,Levi,18
NC,M,1920,Mark,18
NC,M,1920,Tommie,18
NC,M,1920,Baxter,17
NC,M,1920,Hardy,17
NC,M,1920,Larry,17
NC,M,1920,Miles,17
NC,M,1920,Solomon,17
NC,M,1920,Barney,16
NC,M,1920,Bob,16
NC,M,1920,Carson,16
NC,M,1920,Elton,16
NC,M,1920,Elwood,16
NC,M,1920,Ivey,16
NC,M,1920,Joshua,16
NC,M,1920,Lemuel,16
NC,M,1920,Norwood,16
NC,M,1920,Owen,16
NC,M,1920,Reuben,16
NC,M,1920,Ronald,16
NC,M,1920,Winfred,16
NC,M,1920,Zeb,16
NC,M,1920,Boyce,15
NC,M,1920,Clay,15
NC,M,1920,Cleo,15
NC,M,1920,Jake,15
NC,M,1920,Jonas,15
NC,M,1920,Maurice,15
NC,M,1920,Peter,15
NC,M,1920,Raleigh,15
NC,M,1920,Ulysses,15
NC,M,1920,Abraham,14
NC,M,1920,Austin,14
NC,M,1920,Cletus,14
NC,M,1920,Dewitt,14
NC,M,1920,Elmo,14
NC,M,1920,Everette,14
NC,M,1920,Hobert,14
NC,M,1920,Hoyle,14
NC,M,1920,Isaiah,14
NC,M,1920,Joel,14
NC,M,1920,Major,14
NC,M,1920,Otha,14
NC,M,1920,Vester,14
NC,M,1920,Dock,13
NC,M,1920,Don,13
NC,M,1920,Edmond,13
NC,M,1920,Fletcher,13
NC,M,1920,Hazel,13
NC,M,1920,Hiram,13
NC,M,1920,Ivan,13
NC,M,1920,Jimmy,13
NC,M,1920,Leland,13
NC,M,1920,Luke,13
NC,M,1920,Mitchell,13
NC,M,1920,Olin,13
NC,M,1920,Quinton,13
NC,M,1920,Ted,13
NC,M,1920,Thad,13
NC,M,1920,Wilburn,13
NC,M,1920,Alonzo,12
NC,M,1920,Buford,12
NC,M,1920,Buster,12
NC,M,1920,Carlie,12
NC,M,1920,Colon,12
NC,M,1920,Connie,12
NC,M,1920,Cornelius,12
NC,M,1920,Dalton,12
NC,M,1920,Freeman,12
NC,M,1920,Hallie,12
NC,M,1920,Harrison,12
NC,M,1920,Houston,12
NC,M,1920,Hoyt,12
NC,M,1920,Jackson,12
NC,M,1920,Jerome,12
NC,M,1920,Nelson,12
NC,M,1920,Ollie,12
NC,M,1920,Talmadge,12
NC,M,1920,Adam,11
NC,M,1920,Adolphus,11
NC,M,1920,Bert,11
NC,M,1920,Brady,11
NC,M,1920,Byron,11
NC,M,1920,Cicero,11
NC,M,1920,Cyrus,11
NC,M,1920,Dale,11
