StateCode,Sex,YearOfBirth,Name,Number
NC,M,1936,Ivory,5
NC,M,1936,Jamie,5
NC,M,1936,Jonah,5
NC,M,1936,Joyce,5
NC,M,1936,Karl,5
NC,M,1936,King,5
NC,M,1936,Layton,5
NC,M,1936,Leander,5
NC,M,1936,Lionel,5
NC,M,1936,Luke,5
NC,M,1936,Macon,5
NC,M,1936,Manuel,5
NC,M,1936,Matt,5
NC,M,1936,Merrill,5
NC,M,1936,Milford,5
NC,M,1936,Myron,5
NC,M,1936,Newell,5
NC,M,1936,Ransom,5
NC,M,1936,Reid,5
NC,M,1936,Rodger,5
NC,M,1936,Ruben,5
NC,M,1936,Samual,5
NC,M,1936,Shelly,5
NC,M,1936,Spurgeon,5
NC,M,1936,Thaddeus,5
NC,M,1936,Theadore,5
NC,M,1936,Wilford,5
NC,M,1936,Yates,5
NC,M,1937,James,2942
NC,M,1937,William,1814
NC,M,1937,Robert,1569
NC,M,1937,John,1362
NC,M,1937,Charles,1267
NC,M,1937,Bobby,885
NC,M,1937,Thomas,647
NC,M,1937,George,634
NC,M,1937,Billy,601
NC,M,1937,David,551
NC,M,1937,Donald,548
NC,M,1937,Willie,506
NC,M,1937,Joseph,476
NC,M,1937,Joe,439
NC,M,1937,Richard,422
NC,M,1937,Jerry,403
NC,M,1937,Harold,364
NC,M,1937,Kenneth,359
NC,M,1937,Edward,357
NC,M,1937,Jimmy,345
NC,M,1937,Paul,341
NC,M,1937,Walter,325
NC,M,1937,Henry,312
NC,M,1937,Larry,299
NC,M,1937,Jack,242
NC,M,1937,Fred,241
NC,M,1937,Roy,236
NC,M,1937,Carl,230
NC,M,1937,Frank,229
NC,M,1937,Johnny,217
NC,M,1937,Charlie,205
NC,M,1937,Clarence,204
NC,M,1937,Ralph,197
NC,M,1937,Raymond,195
NC,M,1937,Samuel,194
NC,M,1937,Eugene,188
NC,M,1937,Howard,187
NC,M,1937,Ronald,185
NC,M,1937,Albert,170
NC,M,1937,Earl,167
NC,M,1937,Johnnie,161
NC,M,1937,Clyde,160
NC,M,1937,Tommy,160
NC,M,1937,Franklin,158
NC,M,1937,Marvin,157
NC,M,1937,Gene,149
NC,M,1937,Ernest,148
NC,M,1937,Jimmie,147
NC,M,1937,Arthur,146
NC,M,1937,Jesse,137
NC,M,1937,Melvin,136
NC,M,1937,Ray,133
NC,M,1937,Wayne,131
NC,M,1937,Harry,125
NC,M,1937,Daniel,122
NC,M,1937,Curtis,121
NC,M,1937,Floyd,119
NC,M,1937,Norman,119
NC,M,1937,Cecil,118
NC,M,1937,Herman,116
NC,M,1937,Lawrence,112
NC,M,1937,Gerald,109
NC,M,1937,Harvey,106
NC,M,1937,Luther,104
NC,M,1937,Herbert,103
NC,M,1937,Alfred,101
NC,M,1937,Roger,99
NC,M,1937,Leroy,98
NC,M,1937,Leon,96
NC,M,1937,Douglas,95
NC,M,1937,Gary,94
NC,M,1937,Claude,93
NC,M,1937,Benjamin,92
NC,M,1937,Lee,92
NC,M,1937,Leonard,92
NC,M,1937,Hubert,91
NC,M,1937,Lewis,91
NC,M,1937,Lonnie,90
NC,M,1937,Bruce,87
NC,M,1937,Andrew,85
NC,M,1937,Glenn,85
NC,M,1937,Eddie,83
NC,M,1937,Alton,82
NC,M,1937,Calvin,82
NC,M,1937,Louis,82
NC,M,1937,Grady,81
NC,M,1937,Horace,80
NC,M,1937,Allen,79
NC,M,1937,Phillip,78
NC,M,1937,Milton,76
NC,M,1937,Clifton,75
NC,M,1937,Jessie,75
NC,M,1937,Bill,74
NC,M,1937,Edwin,73
NC,M,1937,Nathaniel,73
NC,M,1937,Archie,71
NC,M,1937,Jackie,71
NC,M,1937,Ted,71
NC,M,1937,Alvin,70
NC,M,1937,Wilbert,69
NC,M,1937,Vernon,67
NC,M,1937,Arnold,66
NC,M,1937,Lloyd,66
NC,M,1937,Oscar,66
NC,M,1937,Linwood,64
NC,M,1937,Wade,64
NC,M,1937,Don,62
NC,M,1937,Elbert,61
NC,M,1937,Bennie,59
NC,M,1937,Theodore,59
NC,M,1937,Carlton,58
NC,M,1937,Max,58
NC,M,1937,Russell,58
NC,M,1937,Carroll,57
NC,M,1937,Hugh,56
NC,M,1937,Lester,56
NC,M,1937,Mack,55
NC,M,1937,Homer,54
NC,M,1937,Frederick,53
NC,M,1937,Billie,52
NC,M,1937,Edgar,51
NC,M,1937,Roosevelt,51
NC,M,1937,Freddie,50
NC,M,1937,Garland,50
NC,M,1937,Earnest,49
NC,M,1937,Gilbert,49
NC,M,1937,Percy,49
NC,M,1937,Rufus,49
NC,M,1937,Alexander,48
NC,M,1937,Clifford,48
NC,M,1937,Junior,48
NC,M,1937,Dewey,47
NC,M,1937,Otis,47
NC,M,1937,Philip,47
NC,M,1937,Thurman,47
NC,M,1937,Wallace,47
NC,M,1937,Sidney,46
NC,M,1937,Julius,45
NC,M,1937,Michael,45
NC,M,1937,Troy,45
NC,M,1937,Willis,45
NC,M,1937,Dennis,43
NC,M,1937,Ervin,43
NC,M,1937,Sam,43
NC,M,1937,Jasper,42
NC,M,1937,Marion,42
NC,M,1937,Ben,41
NC,M,1937,Benny,41
NC,M,1937,Guy,41
NC,M,1937,Wesley,41
NC,M,1937,Donnie,40
NC,M,1937,Elmer,40
NC,M,1937,Willard,40
NC,M,1937,Buddy,39
NC,M,1937,Marshall,39
NC,M,1937,Morris,39
NC,M,1937,Stanley,38
NC,M,1937,Boyd,37
NC,M,1937,Leslie,37
NC,M,1937,Sammy,37
NC,M,1937,Chester,36
NC,M,1937,Moses,35
NC,M,1937,Preston,35
NC,M,1937,Dallas,34
NC,M,1937,Dwight,34
NC,M,1937,Francis,34
NC,M,1937,Joel,34
NC,M,1937,Matthew,34
NC,M,1937,Roland,34
NC,M,1937,Clinton,33
NC,M,1937,Coy,33
NC,M,1937,Jay,33
NC,M,1937,Ned,33
NC,M,1937,Rudolph,33
NC,M,1937,Tony,33
NC,M,1937,Darrell,32
NC,M,1937,Glen,32
NC,M,1937,Johnie,32
NC,M,1937,Warren,32
NC,M,1937,Odell,31
NC,M,1937,Ronnie,31
NC,M,1937,Wilbur,31
NC,M,1937,Clayton,30
NC,M,1937,Gordon,30
NC,M,1937,Grover,30
NC,M,1937,Maurice,30
NC,M,1937,Nelson,30
NC,M,1937,Rex,30
NC,M,1937,Roscoe,30
NC,M,1937,Wiley,30
NC,M,1937,Dale,29
NC,M,1937,Isaac,29
NC,M,1937,Lacy,29
NC,M,1937,Ira,28
NC,M,1937,Julian,28
NC,M,1937,Stephen,28
NC,M,1937,Aaron,27
NC,M,1937,Bobbie,27
NC,M,1937,Dan,27
NC,M,1937,Nathan,27
NC,M,1937,Aubrey,26
NC,M,1937,Haywood,26
NC,M,1937,Jacob,26
NC,M,1937,Terry,26
NC,M,1937,Woodrow,26
NC,M,1937,Sherman,25
NC,M,1937,Victor,25
NC,M,1937,Elwood,24
NC,M,1937,Martin,24
NC,M,1937,Oliver,24
NC,M,1937,Reginald,24
NC,M,1937,Sylvester,24
NC,M,1937,Worth,24
NC,M,1937,Bernard,23
NC,M,1937,Bob,23
NC,M,1937,Cleveland,23
NC,M,1937,Ellis,23
NC,M,1937,Perry,23
NC,M,1937,Anthony,22
NC,M,1937,Graham,22
NC,M,1937,Jerome,22
NC,M,1937,Tom,22
NC,M,1937,Wilson,22
NC,M,1937,Winfred,22
NC,M,1937,Boyce,21
NC,M,1937,Dean,21
NC,M,1937,Hal,21
NC,M,1937,Kermit,21
NC,M,1937,Leo,21
NC,M,1937,Millard,21
NC,M,1937,Kelly,20
NC,M,1937,Neil,20
NC,M,1937,Shelton,20
NC,M,1937,Tommie,20
NC,M,1937,Virgil,20
NC,M,1937,Wilton,20
NC,M,1937,Everett,19
NC,M,1937,Everette,19
NC,M,1937,Jim,19
NC,M,1937,Loyd,19
NC,M,1937,Randolph,19
NC,M,1937,Weldon,19
NC,M,1937,Danny,18
NC,M,1937,Fredrick,18
NC,M,1937,Mark,18
NC,M,1937,Ollie,18
NC,M,1937,Peter,18
NC,M,1937,Steve,18
NC,M,1937,Alex,17
NC,M,1937,Keith,17
NC,M,1937,Elijah,16
NC,M,1937,Forrest,16
NC,M,1937,Lynwood,16
NC,M,1937,Norwood,16
NC,M,1937,Patrick,16
NC,M,1937,Reid,16
NC,M,1937,Shirley,16
NC,M,1937,Levi,15
NC,M,1937,Malcolm,15
NC,M,1937,Neal,15
NC,M,1937,Rayford,15
NC,M,1937,Sammie,15
NC,M,1937,Sandy,15
NC,M,1937,Spencer,15
NC,M,1937,Vance,15
NC,M,1937,Will,15
NC,M,1937,Amos,14
NC,M,1937,Avery,14
NC,M,1937,Buster,14
NC,M,1937,Hermon,14
NC,M,1937,Hilton,14
NC,M,1937,Isaiah,14
NC,M,1937,Jake,14
NC,M,1937,Jarvis,14
NC,M,1937,Lowell,14
NC,M,1937,Norris,14
NC,M,1937,Scott,14
NC,M,1937,Doyle,13
NC,M,1937,Elton,13
NC,M,1937,Elvin,13
NC,M,1937,Mary,13
NC,M,1937,Rodney,13
NC,M,1937,Sherrill,13
NC,M,1937,Teddy,13
NC,M,1937,Thad,13
NC,M,1937,Van,13
NC,M,1937,Allan,12
NC,M,1937,Andy,12
NC,M,1937,Bernice,12
NC,M,1937,Carol,12
NC,M,1937,Carson,12
NC,M,1937,Davis,12
NC,M,1937,Dillard,12
NC,M,1937,Ed,12
NC,M,1937,Hoyt,12
NC,M,1937,Ivey,12
NC,M,1937,Jackson,12
NC,M,1937,Jason,12
NC,M,1937,Lindsay,12
NC,M,1937,Major,12
NC,M,1937,Mitchell,12
NC,M,1937,Monroe,12
NC,M,1937,Owen,12
NC,M,1937,Reuben,12
NC,M,1937,Royce,12
NC,M,1937,Ruben,12
NC,M,1937,Sterling,12
NC,M,1937,Travis,12
NC,M,1937,Alonzo,11
NC,M,1937,Barney,11
NC,M,1937,Betty,11
NC,M,1937,Clay,11
NC,M,1937,Columbus,11
NC,M,1937,Dalton,11
NC,M,1937,Emanuel,11
NC,M,1937,Emmett,11
NC,M,1937,Harley,11
NC,M,1937,June,11
NC,M,1937,Kirby,11
NC,M,1937,Lenwood,11
NC,M,1937,Melton,11
NC,M,1937,Sherwood,11
NC,M,1937,Stacy,11
NC,M,1937,Talmadge,11
NC,M,1937,Ulysses,11
NC,M,1937,Bradley,10
NC,M,1937,Brady,10
NC,M,1937,Clark,10
NC,M,1937,Connie,10
NC,M,1937,Dewitt,10
NC,M,1937,Durwood,10
NC,M,1937,Elmo,10
NC,M,1937,Frankie,10
NC,M,1937,Furman,10
NC,M,1937,Joshua,10
NC,M,1937,Lorenzo,10
NC,M,1937,Murray,10
NC,M,1937,Otha,10
NC,M,1937,Raleigh,10
NC,M,1937,Silas,10
NC,M,1937,Warner,10
NC,M,1937,Abraham,9
NC,M,1937,Booker,9
NC,M,1937,Bryant,9
NC,M,1937,Buck,9
NC,M,1937,Buford,9
NC,M,1937,Carrol,9
NC,M,1937,Delano,9
NC,M,1937,Delbert,9
NC,M,1937,Delma,9
NC,M,1937,Edmond,9
NC,M,1937,Felton,9
NC,M,1937,Garfield,9
NC,M,1937,Garry,9
NC,M,1937,King,9
NC,M,1937,Kyle,9
NC,M,1937,Leamon,9
NC,M,1937,Lindsey,9
NC,M,1937,Lynn,9
NC,M,1937,Marcus,9
NC,M,1937,Noah,9
NC,M,1937,Odis,9
NC,M,1937,Raeford,9
NC,M,1937,Ross,9
NC,M,1937,Timothy,9
NC,M,1937,Wendell,9
NC,M,1937,Wilburn,9
NC,M,1937,Winston,9
NC,M,1937,Zeb,9
NC,M,1937,Adam,8
NC,M,1937,Alphonso,8
NC,M,1937,Annie,8
NC,M,1937,Baxter,8
NC,M,1937,Bert,8
NC,M,1937,Byron,8
NC,M,1937,Carlie,8
NC,M,1937,Chris,8
NC,M,1937,Claud,8
NC,M,1937,Cleo,8
NC,M,1937,Cornelius,8
NC,M,1937,Cornell,8
NC,M,1937,Delton,8
NC,M,1937,Denver,8
NC,M,1937,Fletcher,8
NC,M,1937,Grant,8
NC,M,1937,Harris,8
NC,M,1937,Harrison,8
NC,M,1937,Hazel,8
NC,M,1937,Hoyle,8
NC,M,1937,Irvin,8
NC,M,1937,Ivan,8
NC,M,1937,Landon,8
NC,M,1937,Olen,8
NC,M,1937,Phil,8
NC,M,1937,Prince,8
NC,M,1937,Rogers,8
NC,M,1937,Simon,8
NC,M,1937,Tracy,8
NC,M,1937,Winford,8
NC,M,1937,Abner,7
NC,M,1937,Adrian,7
NC,M,1937,Ambrose,7
NC,M,1937,Arlie,7
NC,M,1937,Barbara,7
NC,M,1937,Bernie,7
NC,M,1937,Crawford,7
NC,M,1937,Cyrus,7
NC,M,1937,Delmer,7
NC,M,1937,Giles,7
NC,M,1937,Glenwood,7
NC,M,1937,Gray,7
NC,M,1937,Isiah,7
NC,M,1937,Jon,7
NC,M,1937,Jonathan,7
NC,M,1937,Karl,7
NC,M,1937,Leland,7
NC,M,1937,Louie,7
NC,M,1937,Nolan,7
NC,M,1937,Olin,7
NC,M,1937,Pat,7
NC,M,1937,Randy,7
NC,M,1937,Rudy,7
NC,M,1937,Shelby,7
NC,M,1937,Stuart,7
NC,M,1937,Thelbert,7
NC,M,1937,Tim,7
NC,M,1937,Vincent,7
NC,M,1937,Wilmer,7
NC,M,1937,Alan,6
NC,M,1937,Alva,6
NC,M,1937,Artis,6
NC,M,1937,Augustus,6
NC,M,1937,Austin,6
NC,M,1937,Banks,6
NC,M,1937,Braxton,6
NC,M,1937,Buddie,6
NC,M,1937,Carey,6
NC,M,1937,Carlos,6
NC,M,1937,Cary,6
NC,M,1937,Christopher,6
NC,M,1937,Cicero,6
NC,M,1937,Clement,6
NC,M,1937,Conrad,6
NC,M,1937,Dave,6
NC,M,1937,Denny,6
NC,M,1937,Dick,6
NC,M,1937,Doris,6
NC,M,1937,Dudley,6
NC,M,1937,Duke,6
NC,M,1937,Edmund,6
NC,M,1937,Finley,6
NC,M,1937,Frances,6
NC,M,1937,Gurney,6
NC,M,1937,Harmon,6
NC,M,1937,Henderson,6
NC,M,1937,Jeff,6
NC,M,1937,Jones,6
NC,M,1937,Junious,6
NC,M,1937,Levy,6
NC,M,1937,Lionel,6
NC,M,1937,Luby,6
NC,M,1937,Maynard,6
NC,M,1937,Merrill,6
NC,M,1937,Mike,6
NC,M,1937,Milford,6
