StateCode,Sex,YearOfBirth,Name,Number
NC,M,1953,Emory,5
NC,M,1953,Gerry,5
NC,M,1953,Glynn,5
NC,M,1953,Hardy,5
NC,M,1953,Harlan,5
NC,M,1953,Harris,5
NC,M,1953,Hobert,5
NC,M,1953,Isaiah,5
NC,M,1953,Isiah,5
NC,M,1953,Junius,5
NC,M,1953,Kendall,5
NC,M,1953,Lamar,5
NC,M,1953,Landis,5
NC,M,1953,Leamon,5
NC,M,1953,Leander,5
NC,M,1953,Lenard,5
NC,M,1953,Levern,5
NC,M,1953,Lorenza,5
NC,M,1953,Loy,5
NC,M,1953,Mac,5
NC,M,1953,Marshal,5
NC,M,1953,Matt,5
NC,M,1953,Michel,5
NC,M,1953,Morgan,5
NC,M,1953,Needham,5
NC,M,1953,Nick,5
NC,M,1953,Nicky,5
NC,M,1953,Pat,5
NC,M,1953,Quincy,5
NC,M,1953,Ritchie,5
NC,M,1953,Roney,5
NC,M,1953,Ruben,5
NC,M,1953,Sanford,5
NC,M,1953,Scotty,5
NC,M,1953,Silas,5
NC,M,1953,Simon,5
NC,M,1953,Taylor,5
NC,M,1953,Terrence,5
NC,M,1953,Thurmon,5
NC,M,1953,Wanda,5
NC,M,1953,Williams,5
NC,M,1953,Winfield,5
NC,M,1953,Zack,5
NC,M,1954,James,3067
NC,M,1954,William,2106
NC,M,1954,Robert,1874
NC,M,1954,David,1833
NC,M,1954,Michael,1816
NC,M,1954,John,1791
NC,M,1954,Charles,1408
NC,M,1954,Larry,1169
NC,M,1954,Richard,1038
NC,M,1954,Thomas,950
NC,M,1954,Donald,946
NC,M,1954,Kenneth,853
NC,M,1954,Gary,826
NC,M,1954,Jerry,816
NC,M,1954,Ronald,738
NC,M,1954,Joseph,676
NC,M,1954,Terry,593
NC,M,1954,George,590
NC,M,1954,Ricky,563
NC,M,1954,Danny,553
NC,M,1954,Dennis,546
NC,M,1954,Randy,527
NC,M,1954,Bobby,503
NC,M,1954,Johnny,494
NC,M,1954,Steven,472
NC,M,1954,Willie,466
NC,M,1954,Ronnie,459
NC,M,1954,Edward,457
NC,M,1954,Timothy,457
NC,M,1954,Billy,428
NC,M,1954,Stephen,423
NC,M,1954,Roger,422
NC,M,1954,Paul,373
NC,M,1954,Tony,366
NC,M,1954,Jimmy,359
NC,M,1954,Douglas,341
NC,M,1954,Mark,333
NC,M,1954,Walter,328
NC,M,1954,Daniel,317
NC,M,1954,Anthony,307
NC,M,1954,Gregory,295
NC,M,1954,Samuel,274
NC,M,1954,Carl,265
