StateCode,Sex,YearOfBirth,Name,Number
NC,M,1999,Erik,63
NC,M,1999,Ronald,63
NC,M,1999,Collin,62
NC,M,1999,Hayden,62
NC,M,1999,Dennis,61
NC,M,1999,Omar,61
NC,M,1999,Cory,60
NC,M,1999,Micah,60
NC,M,1999,Derrick,59
NC,M,1999,Jerry,58
NC,M,1999,Avery,57
NC,M,1999,Brett,57
NC,M,1999,Josiah,57
NC,M,1999,Larry,57
NC,M,1999,Peter,57
NC,M,1999,Carter,56
NC,M,1999,Joel,56
NC,M,1999,Jonah,56
NC,M,1999,Donald,55
NC,M,1999,Clayton,54
NC,M,1999,Julian,54
NC,M,1999,Levi,54
NC,M,1999,Mitchell,54
NC,M,1999,Vincent,54
NC,M,1999,Tony,52
NC,M,1999,Alan,51
NC,M,1999,Alexis,51
NC,M,1999,Davis,51
NC,M,1999,Emmanuel,51
NC,M,1999,Riley,51
NC,M,1999,Scott,51
NC,M,1999,Colin,50
NC,M,1999,Jonathon,50
NC,M,1999,Braxton,49
NC,M,1999,Casey,49
NC,M,1999,Derek,49
NC,M,1999,Francisco,49
NC,M,1999,Bobby,48
NC,M,1999,Edgar,48
NC,M,1999,Javier,48
NC,M,1999,Johnny,48
NC,M,1999,Nicolas,47
NC,M,1999,Jaquan,46
NC,M,1999,Terry,46
NC,M,1999,Wyatt,46
NC,M,1999,Zackary,46
NC,M,1999,Chad,45
NC,M,1999,Conner,45
NC,M,1999,Donovan,45
NC,M,1999,Jakob,45
NC,M,1999,Trenton,45
NC,M,1999,Allen,44
NC,M,1999,Kendall,44
NC,M,1999,Liam,44
NC,M,1999,Maxwell,44
NC,M,1999,Nolan,44
NC,M,1999,Oscar,44
NC,M,1999,Rodney,44
NC,M,1999,Trey,44
NC,M,1999,Deandre,43
NC,M,1999,Edwin,43
NC,M,1999,Erick,43
NC,M,1999,Martin,43
NC,M,1999,Desmond,42
NC,M,1999,Eduardo,42
NC,M,1999,Griffin,42
NC,M,1999,Peyton,42
NC,M,1999,Reginald,42
NC,M,1999,Ricardo,42
NC,M,1999,Walter,42
NC,M,1999,Cristian,41
NC,M,1999,Dallas,41
NC,M,1999,Daquan,41
NC,M,1999,Gage,41
NC,M,1999,Jaden,41
NC,M,1999,Jarrett,41
NC,M,1999,Josue,40
NC,M,1999,Khalil,40
NC,M,1999,Ricky,40
NC,M,1999,Troy,40
NC,M,1999,Aidan,39
NC,M,1999,Corbin,39
NC,M,1999,Douglas,39
NC,M,1999,Gary,39
NC,M,1999,Ivan,39
NC,M,1999,Raymond,39
NC,M,1999,Andre,38
NC,M,1999,Damian,38
NC,M,1999,Malcolm,38
NC,M,1999,Philip,38
NC,M,1999,Trent,38
NC,M,1999,Angel,37
NC,M,1999,Curtis,37
NC,M,1999,Andy,36
NC,M,1999,Dominic,36
NC,M,1999,Frank,36
NC,M,1999,Holden,36
NC,M,1999,Jamal,36
NC,M,1999,Jamie,36
NC,M,1999,Jorge,36
NC,M,1999,Kristopher,36
NC,M,1999,Marshall,36
NC,M,1999,Brady,35
NC,M,1999,Calvin,35
NC,M,1999,Diego,35
