StateCode,Sex,YearOfBirth,Name,Number
ND,F,1955,Verna,7
ND,F,1955,Vivian,7
ND,F,1955,Angela,6
ND,F,1955,Bernadette,6
ND,F,1955,Bernice,6
ND,F,1955,Darla,6
ND,F,1955,Deanna,6
ND,F,1955,Deanne,6
ND,F,1955,Debby,6
ND,F,1955,Delores,6
ND,F,1955,Gwendolyn,6
ND,F,1955,Irene,6
ND,F,1955,Iris,6
ND,F,1955,Jackie,6
ND,F,1955,Jacquelyn,6
ND,F,1955,Janine,6
ND,F,1955,Jeri,6
ND,F,1955,Jocelyn,6
ND,F,1955,Kristie,6
ND,F,1955,Kristine,6
ND,F,1955,Ladonna,6
ND,F,1955,Lucinda,6
ND,F,1955,Margie,6
ND,F,1955,Maria,6
ND,F,1955,Melissa,6
ND,F,1955,Melody,6
ND,F,1955,Mona,6
ND,F,1955,Naomi,6
ND,F,1955,Norma,6
ND,F,1955,Robyn,6
ND,F,1955,Rosemary,6
ND,F,1955,Ruby,6
ND,F,1955,Sonia,6
ND,F,1955,Tara,6
ND,F,1955,Toni,6
ND,F,1955,Tracy,6
ND,F,1955,Ardis,5
ND,F,1955,Avis,5
ND,F,1955,Camille,5
ND,F,1955,Cheri,5
ND,F,1955,Cleo,5
ND,F,1955,Corinne,5
ND,F,1955,Esther,5
ND,F,1955,Gale,5
ND,F,1955,Georgia,5
ND,F,1955,Gladys,5
ND,F,1955,Grace,5
ND,F,1955,Gwen,5
ND,F,1955,Heidi,5
ND,F,1955,Jayne,5
ND,F,1955,Kari,5
ND,F,1955,Kristin,5
ND,F,1955,Kristy,5
ND,F,1955,Larae,5
ND,F,1955,Leeann,5
ND,F,1955,Leona,5
ND,F,1955,Lila,5
ND,F,1955,Lillian,5
ND,F,1955,Lorie,5
ND,F,1955,Louann,5
ND,F,1955,Louise,5
ND,F,1955,Luanne,5
ND,F,1955,Lynne,5
ND,F,1955,Lynnette,5
ND,F,1955,Melinda,5
ND,F,1955,Myra,5
ND,F,1955,Patsy,5
ND,F,1955,Polly,5
ND,F,1955,Rachel,5
ND,F,1955,Sarah,5
ND,F,1955,Shari,5
ND,F,1955,Sherri,5
ND,F,1955,Sue,5
ND,F,1955,Tamara,5
ND,F,1955,Teri,5
ND,F,1955,Trudy,5
ND,F,1955,Veronica,5
ND,F,1956,Mary,289
ND,F,1956,Debra,220
ND,F,1956,Susan,196
ND,F,1956,Linda,161
ND,F,1956,Nancy,146
ND,F,1956,Karen,143
ND,F,1956,Barbara,136
ND,F,1956,Cynthia,132
ND,F,1956,Sandra,129
ND,F,1956,Pamela,121
ND,F,1956,Diane,120
ND,F,1956,Patricia,107
ND,F,1956,Carol,106
ND,F,1956,Cheryl,103
ND,F,1956,Deborah,100
ND,F,1956,Kathleen,86
ND,F,1956,Sharon,83
ND,F,1956,Julie,77
ND,F,1956,Peggy,76
ND,F,1956,Donna,74
ND,F,1956,Connie,69
ND,F,1956,Kathy,69
ND,F,1956,Brenda,66
ND,F,1956,Vicki,64
ND,F,1956,Lori,63
ND,F,1956,Jane,60
ND,F,1956,Rebecca,59
ND,F,1956,Bonnie,58
ND,F,1956,Cindy,57
ND,F,1956,Joan,55
ND,F,1956,Denise,52
ND,F,1956,Judy,49
ND,F,1956,Janet,48
ND,F,1956,Janice,48
ND,F,1956,Sherry,48
ND,F,1956,Kim,46
ND,F,1956,Marilyn,46
ND,F,1956,Debbie,44
ND,F,1956,Elizabeth,44
ND,F,1956,Renee,40
ND,F,1956,Michelle,38
ND,F,1956,Sheila,38
ND,F,1956,Beverly,37
ND,F,1956,Jean,37
ND,F,1956,Joyce,37
ND,F,1956,Laurie,36
ND,F,1956,Gail,35
ND,F,1956,Shirley,34
ND,F,1956,Kimberly,33
ND,F,1956,Wanda,33
ND,F,1956,Cathy,32
ND,F,1956,Roxanne,32
ND,F,1956,Ann,31
ND,F,1956,Teresa,31
ND,F,1956,Betty,30
ND,F,1956,Laura,30
ND,F,1956,Paula,30
ND,F,1956,Roberta,30
ND,F,1956,Vickie,30
ND,F,1956,Dawn,29
ND,F,1956,Jacqueline,29
ND,F,1956,Kathryn,29
ND,F,1956,Shelley,29
ND,F,1956,Carla,28
ND,F,1956,Colleen,28
ND,F,1956,Marsha,28
ND,F,1956,Catherine,27
ND,F,1956,Charlene,27
ND,F,1956,Joann,26
ND,F,1956,Margaret,26
ND,F,1956,Theresa,26
ND,F,1956,Beth,25
ND,F,1956,Diana,25
ND,F,1956,Lois,25
ND,F,1956,Darlene,24
ND,F,1956,Judith,24
ND,F,1956,Rita,24
ND,F,1956,Katherine,23
ND,F,1956,Marlene,23
ND,F,1956,Jennifer,22
ND,F,1956,Joanne,22
ND,F,1956,Kay,21
ND,F,1956,Lynn,21
ND,F,1956,Vicky,21
ND,F,1956,Constance,20
ND,F,1956,Patti,20
ND,F,1956,Bonita,19
ND,F,1956,Doris,19
ND,F,1956,Shelly,19
ND,F,1956,Candace,18
ND,F,1956,Elaine,18
ND,F,1956,Jody,18
ND,F,1956,Yvonne,18
ND,F,1956,Angela,17
ND,F,1956,Christine,17
ND,F,1956,Dorothy,17
ND,F,1956,Jan,17
ND,F,1956,Jeanne,17
ND,F,1956,Jill,17
ND,F,1956,Laurel,17
ND,F,1956,Lynette,17
ND,F,1956,Marla,17
ND,F,1956,Ruth,17
ND,F,1956,Sheryl,17
ND,F,1956,Virginia,17
ND,F,1956,Audrey,16
ND,F,1956,Karla,16
ND,F,1956,Lisa,16
ND,F,1956,Rhonda,16
ND,F,1956,Robin,16
ND,F,1956,Rose,16
ND,F,1956,Valerie,16
ND,F,1956,Victoria,16
ND,F,1956,Wendy,16
ND,F,1956,Carmen,15
ND,F,1956,Ellen,15
ND,F,1956,Gayle,15
ND,F,1956,Gloria,15
ND,F,1956,Holly,15
ND,F,1956,June,15
ND,F,1956,Melody,15
ND,F,1956,Renae,15
ND,F,1956,Tracy,15
ND,F,1956,Becky,14
ND,F,1956,Kristi,14
ND,F,1956,Lavonne,14
ND,F,1956,Terri,14
ND,F,1956,Charlotte,13
ND,F,1956,Luann,13
ND,F,1956,Marcia,13
ND,F,1956,Marie,13
ND,F,1956,Marlys,13
ND,F,1956,Michele,13
ND,F,1956,Carrie,12
ND,F,1956,Doreen,12
ND,F,1956,Geraldine,12
ND,F,1956,Joni,12
ND,F,1956,Loretta,12
ND,F,1956,Paulette,12
ND,F,1956,Penny,12
ND,F,1956,Roxann,12
ND,F,1956,Amy,11
ND,F,1956,Dianne,11
ND,F,1956,Eileen,11
ND,F,1956,Faye,11
ND,F,1956,Jeanette,11
ND,F,1956,Maureen,11
ND,F,1956,Sally,11
ND,F,1956,Anita,10
ND,F,1956,Arlene,10
ND,F,1956,Carolyn,10
ND,F,1956,Darla,10
ND,F,1956,Frances,10
ND,F,1956,Janel,10
ND,F,1956,Jayne,10
ND,F,1956,Joy,10
ND,F,1956,Lana,10
ND,F,1956,Mona,10
ND,F,1956,Phyllis,10
ND,F,1956,Sandy,10
ND,F,1956,Alice,9
ND,F,1956,Candice,9
ND,F,1956,Cherie,9
ND,F,1956,Claudia,9
ND,F,1956,Colette,9
ND,F,1956,Heidi,9
ND,F,1956,Janell,9
ND,F,1956,Janis,9
ND,F,1956,Julia,9
ND,F,1956,Kristine,9
ND,F,1956,Patty,9
ND,F,1956,Rachel,9
ND,F,1956,Sue,9
ND,F,1956,Terry,9
ND,F,1956,Annette,8
ND,F,1956,Fern,8
ND,F,1956,Georgia,8
ND,F,1956,Grace,8
ND,F,1956,Gwen,8
ND,F,1956,Irene,8
ND,F,1956,Jo,8
ND,F,1956,Jolene,8
ND,F,1956,Lorraine,8
ND,F,1956,Lynne,8
ND,F,1956,Marjorie,8
ND,F,1956,Monica,8
ND,F,1956,Noreen,8
ND,F,1956,Ramona,8
ND,F,1956,Sarah,8
ND,F,1956,Suzanne,8
ND,F,1956,Tina,8
ND,F,1956,Anne,7
ND,F,1956,Helen,7
ND,F,1956,Jamie,7
ND,F,1956,Janelle,7
ND,F,1956,Jodi,7
ND,F,1956,Lynnette,7
ND,F,1956,Margo,7
ND,F,1956,Melinda,7
ND,F,1956,Nadine,7
ND,F,1956,Pam,7
ND,F,1956,Roxane,7
ND,F,1956,Teri,7
ND,F,1956,Bernadette,6
ND,F,1956,Clara,6
ND,F,1956,Claudette,6
ND,F,1956,Darcy,6
ND,F,1956,Deanna,6
ND,F,1956,Glenda,6
ND,F,1956,Gretchen,6
ND,F,1956,Gwendolyn,6
ND,F,1956,Jacquelyn,6
ND,F,1956,Janie,6
ND,F,1956,Jeri,6
ND,F,1956,Kari,6
ND,F,1956,Kristen,6
ND,F,1956,Leann,6
ND,F,1956,Lee,6
ND,F,1956,Leslie,6
ND,F,1956,Lila,6
ND,F,1956,Marcella,6
ND,F,1956,Maxine,6
ND,F,1956,Melanie,6
ND,F,1956,Melodie,6
ND,F,1956,Myrna,6
ND,F,1956,Naomi,6
ND,F,1956,Robyn,6
ND,F,1956,Sheri,6
ND,F,1956,Sherri,6
ND,F,1956,Sherrie,6
ND,F,1956,Stephanie,6
ND,F,1956,Tamara,6
ND,F,1956,Toni,6
ND,F,1956,Vanessa,6
ND,F,1956,Andrea,5
ND,F,1956,Anna,5
ND,F,1956,Bernadine,5
ND,F,1956,Carmel,5
ND,F,1956,Cathleen,5
ND,F,1956,Clarice,5
ND,F,1956,Coleen,5
ND,F,1956,Debora,5
ND,F,1956,Della,5
ND,F,1956,Edith,5
ND,F,1956,Evonne,5
ND,F,1956,Faith,5
ND,F,1956,Geralyn,5
ND,F,1956,Iris,5
ND,F,1956,Jackie,5
ND,F,1956,Kelly,5
ND,F,1956,Kristin,5
ND,F,1956,Ladonna,5
ND,F,1956,Larae,5
ND,F,1956,Lorie,5
ND,F,1956,Lorrie,5
ND,F,1956,Marion,5
ND,F,1956,Nita,5
ND,F,1956,Norma,5
ND,F,1956,Patrice,5
ND,F,1956,Penelope,5
ND,F,1956,Randi,5
ND,F,1956,Rosalie,5
ND,F,1956,Sara,5
ND,F,1956,Sharlene,5
ND,F,1956,Sonja,5
ND,F,1956,Trudy,5
ND,F,1956,Valorie,5
ND,F,1957,Mary,247
ND,F,1957,Cynthia,187
ND,F,1957,Susan,183
ND,F,1957,Debra,174
ND,F,1957,Nancy,138
ND,F,1957,Karen,135
ND,F,1957,Linda,132
ND,F,1957,Cheryl,113
ND,F,1957,Julie,110
ND,F,1957,Cindy,108
ND,F,1957,Barbara,104
ND,F,1957,Pamela,104
ND,F,1957,Patricia,103
ND,F,1957,Brenda,96
ND,F,1957,Diane,87
ND,F,1957,Lori,87
ND,F,1957,Carol,84
ND,F,1957,Kathleen,84
ND,F,1957,Deborah,82
ND,F,1957,Kathy,82
ND,F,1957,Sandra,79
ND,F,1957,Connie,73
ND,F,1957,Sharon,73
ND,F,1957,Bonnie,71
ND,F,1957,Debbie,67
ND,F,1957,Kim,66
ND,F,1957,Rebecca,65
ND,F,1957,Donna,62
ND,F,1957,Judy,58
ND,F,1957,Jane,55
ND,F,1957,Joan,52
ND,F,1957,Janet,48
ND,F,1957,Laurie,48
ND,F,1957,Sheila,48
ND,F,1957,Peggy,47
ND,F,1957,Denise,46
ND,F,1957,Kimberly,46
ND,F,1957,Janice,45
