StateCode,Sex,YearOfBirth,Name,Number
ND,M,1944,Mark,20
ND,M,1944,Fred,19
ND,M,1944,Leland,19
ND,M,1944,Peter,19
ND,M,1944,Don,18
ND,M,1944,Lynn,18
ND,M,1944,Melvin,18
ND,M,1944,Ernest,17
ND,M,1944,Harvey,17
ND,M,1944,Leo,17
ND,M,1944,Loren,17
ND,M,1944,Ralph,17
ND,M,1944,Stanley,17
ND,M,1944,Bernard,16
ND,M,1944,Glenn,16
ND,M,1944,Joe,16
ND,M,1944,Lee,16
ND,M,1944,Norman,16
ND,M,1944,Stephen,16
ND,M,1944,Walter,16
ND,M,1944,Leonard,15
ND,M,1944,Louis,15
ND,M,1944,Tom,15
ND,M,1944,Alan,14
ND,M,1944,Bob,14
ND,M,1944,Harry,14
ND,M,1944,Henry,14
ND,M,1944,Lester,14
ND,M,1944,Terrance,14
ND,M,1944,Victor,14
ND,M,1944,Allan,13
ND,M,1944,Andrew,13
ND,M,1944,Clayton,13
ND,M,1944,Danny,13
ND,M,1944,Howard,13
ND,M,1944,Leon,13
ND,M,1944,Lowell,13
ND,M,1944,Neil,12
ND,M,1944,Roy,12
ND,M,1944,Theodore,12
ND,M,1944,Warren,12
ND,M,1944,Barry,11
ND,M,1944,Bill,11
ND,M,1944,Frederick,11
ND,M,1944,Joel,11
ND,M,1944,Ronnie,11
ND,M,1944,Steve,11
ND,M,1944,Steven,11
ND,M,1944,Wallace,11
ND,M,1944,Alvin,10
ND,M,1944,Daryl,10
ND,M,1944,Delbert,10
ND,M,1944,Virgil,10
ND,M,1944,Wesley,10
ND,M,1944,Alfred,9
ND,M,1944,Ardell,9
ND,M,1944,Calvin,9
ND,M,1944,Earl,9
ND,M,1944,Martin,9
ND,M,1944,Mike,9
ND,M,1944,Roland,9
ND,M,1944,Anthony,8
ND,M,1944,Darrel,8
ND,M,1944,Dave,8
ND,M,1944,Eldon,8
ND,M,1944,Garry,8
ND,M,1944,Glen,8
ND,M,1944,Harlan,8
ND,M,1944,Maynard,8
ND,M,1944,Ray,8
ND,M,1944,Arlan,7
ND,M,1944,Clinton,7
ND,M,1944,Darryl,7
ND,M,1944,Floyd,7
ND,M,1944,Franklin,7
ND,M,1944,Gregory,7
ND,M,1944,Herbert,7
ND,M,1944,Herman,7
ND,M,1944,Jeffrey,7
ND,M,1944,Jerald,7
ND,M,1944,Kent,7
ND,M,1944,Kurt,7
ND,M,1944,Merle,7
ND,M,1944,Milton,7
ND,M,1944,Quentin,7
ND,M,1944,Ted,7
ND,M,1944,Terrence,7
ND,M,1944,Arden,6
ND,M,1944,Craig,6
ND,M,1944,Darwin,6
ND,M,1944,Elmer,6
ND,M,1944,Elroy,6
ND,M,1944,Gilbert,6
ND,M,1944,Harley,6
ND,M,1944,Laverne,6
ND,M,1944,Monte,6
ND,M,1944,Ricky,6
ND,M,1944,Rodger,6
ND,M,1944,Sherman,6
ND,M,1944,Stuart,6
ND,M,1944,Verne,6
ND,M,1944,Vincent,6
ND,M,1944,Anton,5
ND,M,1944,Bobby,5
ND,M,1944,Brian,5
ND,M,1944,Cecil,5
ND,M,1944,Clark,5
ND,M,1944,Darold,5
ND,M,1944,Delmar,5
ND,M,1944,Dick,5
