StateCode,Sex,YearOfBirth,Name,Number
ND,M,1996,Zachery,13
ND,M,1996,Bailey,12
ND,M,1996,Carter,12
ND,M,1996,Dustin,12
ND,M,1996,Gavin,12
ND,M,1996,Jace,12
ND,M,1996,Marcus,12
ND,M,1996,Reed,12
ND,M,1996,Richard,12
ND,M,1996,Braden,11
ND,M,1996,Chandler,11
ND,M,1996,Collin,11
ND,M,1996,Corey,11
ND,M,1996,Derek,11
ND,M,1996,Elijah,11
ND,M,1996,Jake,11
ND,M,1996,Jose,11
ND,M,1996,Peter,11
ND,M,1996,Scott,11
ND,M,1996,Alec,10
ND,M,1996,Charles,10
ND,M,1996,Dallas,10
ND,M,1996,Devon,10
ND,M,1996,Dominic,10
ND,M,1996,Shane,10
ND,M,1996,Skyler,10
ND,M,1996,Bradley,9
ND,M,1996,Brock,9
ND,M,1996,Carson,9
ND,M,1996,Jeffrey,9
ND,M,1996,Jeremy,9
ND,M,1996,Jonah,9
ND,M,1996,Mark,9
ND,M,1996,Phillip,9
ND,M,1996,Dakota,8
ND,M,1996,Hayden,8
ND,M,1996,Jaden,8
ND,M,1996,Kyler,8
ND,M,1996,Mathew,8
ND,M,1996,Parker,8
ND,M,1996,Paul,8
ND,M,1996,Payton,8
ND,M,1996,Stephen,8
ND,M,1996,Brenden,7
ND,M,1996,Donald,7
ND,M,1996,Gunnar,7
ND,M,1996,Jack,7
ND,M,1996,Joel,7
ND,M,1996,Kaleb,7
ND,M,1996,Micah,7
ND,M,1996,Tristen,7
ND,M,1996,Aric,6
ND,M,1996,Ashton,6
ND,M,1996,Austen,6
ND,M,1996,Beau,6
ND,M,1996,Brent,6
ND,M,1996,Chad,6
ND,M,1996,Clay,6
ND,M,1996,Colten,6
ND,M,1996,Cory,6
ND,M,1996,Gage,6
ND,M,1996,Jordon,6
ND,M,1996,Juan,6
ND,M,1996,Mackenzie,6
ND,M,1996,Marshall,6
ND,M,1996,Reid,6
ND,M,1996,Shawn,6
ND,M,1996,Talon,6
ND,M,1996,Tristin,6
ND,M,1996,Zane,6
ND,M,1996,Allen,5
ND,M,1996,Blaine,5
ND,M,1996,Colin,5
ND,M,1996,Edward,5
ND,M,1996,Garret,5
ND,M,1996,Gregory,5
ND,M,1996,Harrison,5
ND,M,1996,Johnathan,5
ND,M,1996,Kody,5
ND,M,1996,Lance,5
ND,M,1996,Miguel,5
ND,M,1996,Morgan,5
ND,M,1996,Quinn,5
ND,M,1996,Randy,5
ND,M,1996,Tucker,5
ND,M,1996,Waylon,5
ND,M,1997,Austin,123
ND,M,1997,Jacob,116
ND,M,1997,Zachary,93
ND,M,1997,Tyler,83
ND,M,1997,Michael,76
ND,M,1997,Nicholas,72
ND,M,1997,Alexander,70
ND,M,1997,Matthew,68
ND,M,1997,Jordan,66
ND,M,1997,Cody,63
ND,M,1997,Logan,62
ND,M,1997,Joshua,61
ND,M,1997,Brandon,60
ND,M,1997,Dylan,60
ND,M,1997,Andrew,56
ND,M,1997,Hunter,55
ND,M,1997,Christopher,53
ND,M,1997,Ethan,51
