StateCode,Sex,YearOfBirth,Name,Number
NE,F,1960,Tara,5
NE,F,1960,Terese,5
NE,F,1960,Traci,5
NE,F,1960,Twila,5
NE,F,1961,Mary,433
NE,F,1961,Lori,405
NE,F,1961,Susan,338
NE,F,1961,Julie,315
NE,F,1961,Lisa,287
NE,F,1961,Debra,277
NE,F,1961,Linda,264
NE,F,1961,Karen,261
NE,F,1961,Sandra,203
NE,F,1961,Teresa,203
NE,F,1961,Patricia,201
NE,F,1961,Brenda,200
NE,F,1961,Kimberly,196
NE,F,1961,Barbara,190
NE,F,1961,Diane,183
NE,F,1961,Pamela,183
NE,F,1961,Cynthia,181
NE,F,1961,Cindy,176
NE,F,1961,Cheryl,175
NE,F,1961,Nancy,164
NE,F,1961,Deborah,163
NE,F,1961,Denise,147
NE,F,1961,Donna,146
NE,F,1961,Michelle,145
NE,F,1961,Carol,144
NE,F,1961,Tammy,137
NE,F,1961,Laura,133
NE,F,1961,Theresa,130
NE,F,1961,Kathy,128
NE,F,1961,Christine,125
NE,F,1961,Debbie,124
NE,F,1961,Laurie,124
NE,F,1961,Sharon,123
NE,F,1961,Kathleen,122
NE,F,1961,Janet,120
NE,F,1961,Kelly,112
NE,F,1961,Elizabeth,108
NE,F,1961,Kim,104
NE,F,1961,Rhonda,103
NE,F,1961,Ann,101
NE,F,1961,Connie,101
NE,F,1961,Robin,90
NE,F,1961,Peggy,87
NE,F,1961,Rebecca,85
NE,F,1961,Terri,82
NE,F,1961,Margaret,80
NE,F,1961,Shelly,80
NE,F,1961,Judy,79
NE,F,1961,Vicki,79
NE,F,1961,Jane,78
NE,F,1961,Jean,75
NE,F,1961,Beth,71
NE,F,1961,Dawn,71
NE,F,1961,Joan,71
NE,F,1961,Catherine,67
NE,F,1961,Amy,64
NE,F,1961,Diana,63
NE,F,1961,Angela,62
NE,F,1961,Jennifer,62
NE,F,1961,Kathryn,62
NE,F,1961,Jill,61
NE,F,1961,Sherry,60
NE,F,1961,Becky,59
NE,F,1961,Colleen,59
NE,F,1961,Tracy,59
NE,F,1961,Annette,58
NE,F,1961,Jacqueline,57
NE,F,1961,Deanna,56
NE,F,1961,Lynn,56
NE,F,1961,Joyce,55
NE,F,1961,Carla,54
NE,F,1961,Valerie,54
NE,F,1961,Sheila,53
NE,F,1961,Michele,52
NE,F,1961,Carolyn,51
NE,F,1961,Katherine,51
NE,F,1961,Janice,50
NE,F,1961,Anne,49
NE,F,1961,Cathy,48
NE,F,1961,Marcia,47
NE,F,1961,Renee,47
NE,F,1961,Sherri,46
NE,F,1961,Beverly,45
NE,F,1961,Shari,45
NE,F,1961,Jeanne,44
NE,F,1961,Suzanne,44
NE,F,1961,Sheryl,43
NE,F,1961,Judith,42
NE,F,1961,Stephanie,42
NE,F,1961,Jodi,40
NE,F,1961,Kristi,40
NE,F,1961,Paula,40
NE,F,1961,Bonnie,39
NE,F,1961,Jody,39
NE,F,1961,Tamara,39
NE,F,1961,Tina,39
NE,F,1961,Anita,38
NE,F,1961,Ruth,38
NE,F,1961,Sally,38
NE,F,1961,Tami,38
NE,F,1961,Teri,38
NE,F,1961,Wendy,38
NE,F,1961,Kay,37
NE,F,1961,Lynne,37
NE,F,1961,Monica,37
NE,F,1961,Penny,37
NE,F,1961,Rita,37
NE,F,1961,Sue,36
NE,F,1961,Victoria,35
NE,F,1961,Maureen,34
NE,F,1961,Melanie,34
NE,F,1961,Pam,34
NE,F,1961,Sheri,34
NE,F,1961,Shirley,34
NE,F,1961,Jackie,33
NE,F,1961,Gail,32
NE,F,1961,Leslie,32
NE,F,1961,Roberta,32
NE,F,1961,Elaine,31
NE,F,1961,Jeanette,31
NE,F,1961,Shelley,31
NE,F,1961,Karla,30
NE,F,1961,Patty,30
NE,F,1961,Vickie,30
NE,F,1961,Wanda,30
NE,F,1961,Ellen,29
NE,F,1961,Ronda,28
NE,F,1961,Roxanne,28
NE,F,1961,Betty,27
NE,F,1961,Jolene,27
NE,F,1961,Joni,27
NE,F,1961,Martha,27
NE,F,1961,Jana,26
NE,F,1961,Rose,26
NE,F,1961,Sarah,26
NE,F,1961,Heidi,25
NE,F,1961,Sandy,25
NE,F,1961,Toni,25
NE,F,1961,Carrie,24
NE,F,1961,Charlotte,24
NE,F,1961,Jan,24
NE,F,1961,Melody,24
NE,F,1961,Sara,24
NE,F,1961,Christina,23
NE,F,1961,Crystal,23
NE,F,1961,Darlene,23
NE,F,1961,Dorothy,23
NE,F,1961,Gina,23
NE,F,1961,Kristine,23
NE,F,1961,Regina,23
NE,F,1961,Chris,22
NE,F,1961,Lois,22
NE,F,1961,Melinda,22
NE,F,1961,Alice,21
NE,F,1961,Christy,21
NE,F,1961,Dianne,21
NE,F,1961,Holly,21
NE,F,1961,Kelli,21
NE,F,1961,Kristy,21
NE,F,1961,Gloria,20
NE,F,1961,Julia,20
NE,F,1961,Lorie,20
NE,F,1961,Maria,20
NE,F,1961,Marilyn,20
NE,F,1961,Melissa,20
NE,F,1961,Vicky,20
NE,F,1961,Jayne,19
NE,F,1961,Jo,19
NE,F,1961,Kristin,19
NE,F,1961,Marla,19
NE,F,1961,Patti,19
NE,F,1961,Virginia,19
NE,F,1961,Andrea,18
NE,F,1961,Carmen,18
NE,F,1961,Charlene,18
NE,F,1961,Cheri,18
NE,F,1961,Jamie,18
NE,F,1961,Janelle,18
NE,F,1961,Belinda,17
NE,F,1961,Helen,17
NE,F,1961,Jeri,17
NE,F,1961,Ramona,17
NE,F,1961,Stacy,17
NE,F,1961,Traci,17
NE,F,1961,Dana,16
NE,F,1961,Doris,16
NE,F,1961,Eileen,16
NE,F,1961,Joann,16
NE,F,1961,Joanne,16
NE,F,1961,Joy,16
NE,F,1961,Lorraine,16
NE,F,1961,Lynda,16
NE,F,1961,Marlene,16
NE,F,1961,Sylvia,16
NE,F,1961,Tracey,16
NE,F,1961,Anna,15
NE,F,1961,Audrey,15
NE,F,1961,Debora,15
NE,F,1961,Lynette,15
NE,F,1961,Marie,15
NE,F,1961,Natalie,15
NE,F,1961,Phyllis,15
NE,F,1961,Candy,14
NE,F,1961,Constance,14
NE,F,1961,Kelley,14
NE,F,1961,Kerry,14
NE,F,1961,Leann,14
NE,F,1961,Lee,14
NE,F,1961,Loretta,14
NE,F,1961,Norma,14
NE,F,1961,Rene,14
NE,F,1961,Shannon,14
NE,F,1961,Shawn,14
NE,F,1961,Terry,14
NE,F,1961,Gayle,13
NE,F,1961,Jacquelyn,13
NE,F,1961,Kari,13
NE,F,1961,Kimberley,13
NE,F,1961,Lora,13
NE,F,1961,Lorrie,13
NE,F,1961,Rochelle,13
NE,F,1961,Therese,13
NE,F,1961,Tonya,13
NE,F,1961,Yvonne,13
NE,F,1961,Arlene,12
NE,F,1961,Candace,12
NE,F,1961,Dianna,12
NE,F,1961,Jeannie,12
NE,F,1961,Luann,12
NE,F,1961,Marsha,12
NE,F,1961,Robyn,12
NE,F,1961,Barb,11
NE,F,1961,Caroline,11
NE,F,1961,Cecilia,11
NE,F,1961,Darla,11
NE,F,1961,Georgia,11
NE,F,1961,June,11
NE,F,1961,Michaela,11
NE,F,1961,Patrice,11
NE,F,1961,Rosemary,11
