StateCode,Sex,YearOfBirth,Name,Number
NE,F,1989,Catherine,30
NE,F,1989,Kaitlin,30
NE,F,1989,Chelsey,29
NE,F,1989,Jasmine,28
NE,F,1989,Kaitlyn,27
NE,F,1989,Brandi,26
NE,F,1989,Natalie,26
NE,F,1989,Julia,25
NE,F,1989,Lacey,25
NE,F,1989,Vanessa,25
NE,F,1989,Victoria,25
NE,F,1989,Kathleen,24
NE,F,1989,Alisha,23
NE,F,1989,Alison,23
NE,F,1989,Anne,23
NE,F,1989,Julie,23
NE,F,1989,Jacqueline,22
NE,F,1989,Kendra,22
NE,F,1989,Leah,22
NE,F,1989,Mallory,22
NE,F,1989,Nichole,22
NE,F,1989,Haley,21
NE,F,1989,Kristina,21
NE,F,1989,Melanie,21
NE,F,1989,Rachael,21
NE,F,1989,Bethany,20
NE,F,1989,Heidi,20
NE,F,1989,Marissa,20
NE,F,1989,Jill,19
NE,F,1989,Krista,19
NE,F,1989,Leslie,19
NE,F,1989,Alexandria,18
NE,F,1989,Breanna,18
NE,F,1989,Britney,18
NE,F,1989,Kari,18
NE,F,1989,Kassandra,18
NE,F,1989,Maggie,18
NE,F,1989,Margaret,18
NE,F,1989,Erika,17
NE,F,1989,Jessie,17
NE,F,1989,Kara,17
NE,F,1989,Meghan,17
NE,F,1989,Shayla,17
NE,F,1989,Alexa,16
NE,F,1989,Carly,16
NE,F,1989,Emma,16
NE,F,1989,Felicia,16
NE,F,1989,Justine,16
NE,F,1989,Katrina,16
NE,F,1989,Krystal,16
NE,F,1989,Monica,16
NE,F,1989,Tasha,16
NE,F,1989,Valerie,16
NE,F,1989,Chelsie,15
NE,F,1989,Kelli,15
NE,F,1989,Kylee,15
NE,F,1989,Shelby,15
NE,F,1989,Brandy,14
NE,F,1989,Bridget,14
NE,F,1989,Claire,14
NE,F,1989,Gina,14
NE,F,1989,Kasey,14
NE,F,1989,Makayla,14
NE,F,1989,Olivia,14
NE,F,1989,Sasha,14
NE,F,1989,Bailey,13
NE,F,1989,Britni,13
NE,F,1989,Cortney,13
NE,F,1989,Deanna,13
NE,F,1989,Jaclyn,13
NE,F,1989,Jade,13
NE,F,1989,Kelsie,13
NE,F,1989,Mackenzie,13
NE,F,1989,Maria,13
NE,F,1989,Patricia,13
NE,F,1989,Sierra,13
NE,F,1989,Ann,12
NE,F,1989,Beth,12
NE,F,1989,Cara,12
NE,F,1989,Casey,12
NE,F,1989,Jillian,12
NE,F,1989,Kellie,12
NE,F,1989,Madison,12
NE,F,1989,Melinda,12
NE,F,1989,Miranda,12
NE,F,1989,Pamela,12
NE,F,1989,Stacy,12
NE,F,1989,Tabitha,12
NE,F,1989,Tessa,12
NE,F,1989,Tina,12
NE,F,1989,Autumn,11
NE,F,1989,Carrie,11
NE,F,1989,Elise,11
NE,F,1989,Grace,11
NE,F,1989,Hillary,11
NE,F,1989,Kaylee,11
NE,F,1989,Kiley,11
NE,F,1989,Lacy,11
NE,F,1989,Mckenzie,11
NE,F,1989,Meagan,11
NE,F,1989,Mikayla,11
NE,F,1989,Sadie,11
NE,F,1989,Stacie,11
NE,F,1989,Abbie,10
NE,F,1989,Alissa,10
NE,F,1989,Audrey,10
NE,F,1989,Brittni,10
NE,F,1989,Carissa,10
NE,F,1989,Desiree,10
NE,F,1989,Jaime,10
NE,F,1989,Janelle,10
NE,F,1989,Kirsten,10
NE,F,1989,Rochelle,10
NE,F,1989,Stacey,10
NE,F,1989,Theresa,10
NE,F,1989,Ashlee,9
NE,F,1989,Ashleigh,9
NE,F,1989,Bianca,9
NE,F,1989,Caroline,9
NE,F,1989,Dana,9
NE,F,1989,Ellen,9
NE,F,1989,Gabrielle,9
NE,F,1989,Hayley,9
NE,F,1989,Jami,9
NE,F,1989,Joanna,9
NE,F,1989,Karen,9
NE,F,1989,Katy,9
NE,F,1989,Kiara,9
NE,F,1989,Kristi,9
NE,F,1989,Rebekah,9
NE,F,1989,Tanya,9
NE,F,1989,Traci,9
NE,F,1989,Trisha,9
NE,F,1989,Veronica,9
NE,F,1989,Abbey,8
NE,F,1989,Allyson,8
NE,F,1989,Angelica,8
NE,F,1989,Ariel,8
NE,F,1989,Ashton,8
NE,F,1989,Brenda,8
NE,F,1989,Carolyn,8
NE,F,1989,Kate,8
NE,F,1989,Keri,8
NE,F,1989,Kristine,8
NE,F,1989,Kristy,8
NE,F,1989,Mindy,8
NE,F,1989,Mollie,8
NE,F,1989,Rachelle,8
NE,F,1989,Raquel,8
NE,F,1989,Renee,8
NE,F,1989,Robin,8
NE,F,1989,Susan,8
NE,F,1989,Tamara,8
NE,F,1989,Taryn,8
NE,F,1989,Tonya,8
NE,F,1989,Ali,7
NE,F,1989,Angel,7
NE,F,1989,Brianne,7
NE,F,1989,Brittani,7
NE,F,1989,Callie,7
NE,F,1989,Candice,7
NE,F,1989,Casandra,7
NE,F,1989,Cassie,7
NE,F,1989,Deborah,7
NE,F,1989,Diana,7
NE,F,1989,Hilary,7
NE,F,1989,Hope,7
NE,F,1989,Jaimie,7
NE,F,1989,Jena,7
NE,F,1989,Karissa,7
NE,F,1989,Kayleigh,7
NE,F,1989,Larissa,7
NE,F,1989,Marie,7
NE,F,1989,Michele,7
NE,F,1989,Mikaela,7
NE,F,1989,Monique,7
NE,F,1989,Nikki,7
NE,F,1989,Randi,7
NE,F,1989,Regina,7
NE,F,1989,Sally,7
NE,F,1989,Savannah,7
NE,F,1989,Tierra,7
NE,F,1989,Annie,6
NE,F,1989,Arielle,6
NE,F,1989,Briana,6
NE,F,1989,Candace,6
NE,F,1989,Carmen,6
NE,F,1989,Christa,6
NE,F,1989,Dani,6
NE,F,1989,Destiny,6
NE,F,1989,Ebony,6
NE,F,1989,Hanna,6
NE,F,1989,Janae,6
NE,F,1989,Jordyn,6
NE,F,1989,Justina,6
NE,F,1989,Karli,6
NE,F,1989,Kasandra,6
NE,F,1989,Katelin,6
NE,F,1989,Kortney,6
NE,F,1989,Kyla,6
NE,F,1989,Latisha,6
NE,F,1989,Leigh,6
NE,F,1989,Maureen,6
