StateCode,Sex,YearOfBirth,Name,Number
NE,M,1979,Fred,6
NE,M,1979,Glenn,6
NE,M,1979,Graham,6
NE,M,1979,Greg,6
NE,M,1979,Jake,6
NE,M,1979,Jim,6
NE,M,1979,Johnathan,6
NE,M,1979,Jonathon,6
NE,M,1979,Lawrence,6
NE,M,1979,Lonnie,6
NE,M,1979,Louis,6
NE,M,1979,Micah,6
NE,M,1979,Miles,6
NE,M,1979,Nickolas,6
NE,M,1979,Quinn,6
NE,M,1979,Ralph,6
NE,M,1979,Rocky,6
NE,M,1979,Ronnie,6
NE,M,1979,Simon,6
NE,M,1979,Walter,6
NE,M,1979,Zachery,6
NE,M,1979,Alfred,5
NE,M,1979,Arthur,5
NE,M,1979,Bradly,5
NE,M,1979,Clarence,5
NE,M,1979,Cole,5
NE,M,1979,Corby,5
NE,M,1979,Damien,5
NE,M,1979,Derick,5
NE,M,1979,Dominic,5
NE,M,1979,Elijah,5
NE,M,1979,Ernest,5
NE,M,1979,Evan,5
NE,M,1979,Hector,5
NE,M,1979,Jace,5
NE,M,1979,Jamey,5
NE,M,1979,Jeromy,5
NE,M,1979,Jerrod,5
NE,M,1979,Jody,5
NE,M,1979,Landon,5
NE,M,1979,Logan,5
NE,M,1979,Luis,5
NE,M,1979,Lukas,5
NE,M,1979,Manuel,5
NE,M,1979,Marty,5
NE,M,1979,Micheal,5
NE,M,1979,Quentin,5
NE,M,1979,Stuart,5
NE,M,1979,Tucker,5
NE,M,1979,Vance,5
NE,M,1979,Waylon,5
NE,M,1979,Weston,5
NE,M,1979,Willie,5
NE,M,1980,Matthew,434
NE,M,1980,Michael,426
NE,M,1980,Jason,409
NE,M,1980,Joshua,366
NE,M,1980,Christopher,360
NE,M,1980,Justin,337
NE,M,1980,Ryan,320
NE,M,1980,David,292
NE,M,1980,Andrew,281
NE,M,1980,Brian,278
NE,M,1980,John,258
NE,M,1980,Nicholas,258
NE,M,1980,Jeremy,241
NE,M,1980,James,238
NE,M,1980,Joseph,212
NE,M,1980,Adam,209
NE,M,1980,Daniel,209
NE,M,1980,Eric,205
NE,M,1980,Timothy,188
NE,M,1980,Robert,187
NE,M,1980,Scott,186
NE,M,1980,Jeffrey,182
NE,M,1980,Aaron,161
NE,M,1980,Benjamin,160
NE,M,1980,Chad,155
NE,M,1980,Nathan,153
NE,M,1980,Travis,143
NE,M,1980,Brandon,140
NE,M,1980,Dustin,134
NE,M,1980,Jonathan,126
NE,M,1980,Anthony,125
NE,M,1980,Thomas,125
NE,M,1980,William,124
NE,M,1980,Mark,115
NE,M,1980,Kevin,113
NE,M,1980,Steven,101
NE,M,1980,Jacob,100
NE,M,1980,Patrick,99
NE,M,1980,Jesse,97
NE,M,1980,Kyle,93
NE,M,1980,Bradley,90
NE,M,1980,Richard,89
NE,M,1980,Derek,83
NE,M,1980,Shawn,78
NE,M,1980,Charles,76
NE,M,1980,Paul,76
NE,M,1980,Zachary,72
NE,M,1980,Shane,65
NE,M,1980,Brent,64
NE,M,1980,Bryan,62
NE,M,1980,Luke,62
NE,M,1980,Jeremiah,58
NE,M,1980,Lucas,58
NE,M,1980,Sean,58
NE,M,1980,Tyler,57
NE,M,1980,Brett,56
NE,M,1980,Kenneth,56
NE,M,1980,Gregory,52
NE,M,1980,Craig,51
NE,M,1980,Joel,49
NE,M,1980,Casey,48
NE,M,1980,Douglas,48
NE,M,1980,Jared,48
NE,M,1980,Todd,48
NE,M,1980,Troy,44
NE,M,1980,Erik,42
NE,M,1980,Curtis,41
NE,M,1980,Keith,41
NE,M,1980,Seth,41
NE,M,1980,Cody,40
NE,M,1980,Russell,40
NE,M,1980,Samuel,40
NE,M,1980,Cory,39
NE,M,1980,Donald,39
NE,M,1980,Gary,39
NE,M,1980,Nathaniel,39
NE,M,1980,Stephen,37
NE,M,1980,Corey,33
NE,M,1980,Jeffery,33
NE,M,1980,Shaun,33
NE,M,1980,Trevor,33
NE,M,1980,Phillip,32
NE,M,1980,Gabriel,30
NE,M,1980,Jay,30
NE,M,1980,Randy,30
NE,M,1980,Clinton,28
NE,M,1980,Ronald,27
NE,M,1980,Vincent,27
NE,M,1980,Brad,25
NE,M,1980,Edward,25
NE,M,1980,Jamie,25
NE,M,1980,Marcus,25
NE,M,1980,Grant,24
NE,M,1980,Peter,24
NE,M,1980,Philip,24
NE,M,1980,Tyson,24
NE,M,1980,Alan,23
NE,M,1980,Alexander,23
NE,M,1980,Heath,23
NE,M,1980,Lance,23
NE,M,1980,Larry,23
NE,M,1980,Lee,23
NE,M,1980,Terry,21
NE,M,1980,Christian,20
NE,M,1980,Dennis,20
NE,M,1980,Jon,20
NE,M,1980,Kelly,20
NE,M,1980,Mitchell,19
NE,M,1980,Adrian,18
NE,M,1980,Kurt,18
NE,M,1980,Levi,18
NE,M,1980,Mathew,18
NE,M,1980,Roger,18
NE,M,1980,Clint,17
NE,M,1980,Ian,17
NE,M,1980,Micheal,17
NE,M,1980,Derrick,16
