StateCode,Sex,YearOfBirth,Name,Number
NH,F,2001,Clara,6
NH,F,2001,Cora,6
NH,F,2001,Eleanor,6
NH,F,2001,Elisabeth,6
NH,F,2001,Erica,6
NH,F,2001,Eva,6
NH,F,2001,Haylee,6
NH,F,2001,Holly,6
NH,F,2001,Kailey,6
NH,F,2001,Kendra,6
NH,F,2001,Kiana,6
NH,F,2001,Lisa,6
NH,F,2001,Macy,6
NH,F,2001,Maggie,6
NH,F,2001,Meagan,6
NH,F,2001,Meredith,6
NH,F,2001,Miranda,6
NH,F,2001,Patricia,6
NH,F,2001,Rachael,6
NH,F,2001,Rose,6
NH,F,2001,Skye,6
NH,F,2001,Summer,6
NH,F,2001,Teagan,6
NH,F,2001,Tessa,6
NH,F,2001,Vanessa,6
NH,F,2001,Veronica,6
NH,F,2001,Zoey,6
NH,F,2001,Adrianna,5
NH,F,2001,Angela,5
NH,F,2001,Anya,5
NH,F,2001,Ariel,5
NH,F,2001,Ashlee,5
NH,F,2001,Ashleigh,5
NH,F,2001,Cameron,5
NH,F,2001,Corinne,5
NH,F,2001,Deanna,5
NH,F,2001,Donna,5
NH,F,2001,Elena,5
NH,F,2001,Emilee,5
NH,F,2001,Heidi,5
NH,F,2001,Julie,5
NH,F,2001,Kaleigh,5
NH,F,2001,Kaley,5
NH,F,2001,Kallie,5
NH,F,2001,Kasey,5
NH,F,2001,Kaylie,5
NH,F,2001,Kennedy,5
NH,F,2001,Kiara,5
NH,F,2001,Kirsten,5
NH,F,2001,Kristin,5
NH,F,2001,Lexi,5
NH,F,2001,Lindsay,5
NH,F,2001,Madalyn,5
NH,F,2001,Maddison,5
NH,F,2001,Maia,5
NH,F,2001,Meaghan,5
NH,F,2001,Melody,5
NH,F,2001,Natalia,5
NH,F,2001,Nora,5
NH,F,2001,Reilly,5
NH,F,2001,Rhiannon,5
NH,F,2001,Ruby,5
NH,F,2001,Sage,5
NH,F,2001,Skyler,5
NH,F,2001,Sofia,5
NH,F,2001,Tabitha,5
NH,F,2001,Taryn,5
NH,F,2001,Tyler,5
NH,F,2001,Valerie,5
NH,F,2002,Emily,117
NH,F,2002,Madison,112
NH,F,2002,Emma,111
NH,F,2002,Olivia,103
NH,F,2002,Abigail,101
NH,F,2002,Hannah,87
NH,F,2002,Sarah,87
NH,F,2002,Elizabeth,81
NH,F,2002,Samantha,79
NH,F,2002,Anna,67
NH,F,2002,Alexis,63
NH,F,2002,Grace,61
NH,F,2002,Lauren,60
NH,F,2002,Julia,58
NH,F,2002,Isabella,55
NH,F,2002,Sophia,54
NH,F,2002,Sydney,54
NH,F,2002,Alyssa,52
NH,F,2002,Megan,52
NH,F,2002,Ashley,46
NH,F,2002,Morgan,45
NH,F,2002,Paige,45
NH,F,2002,Katherine,44
NH,F,2002,Taylor,43
NH,F,2002,Chloe,41
NH,F,2002,Brianna,40
NH,F,2002,Hailey,40
NH,F,2002,Nicole,39
NH,F,2002,Rachel,38
NH,F,2002,Victoria,38
NH,F,2002,Ella,37
NH,F,2002,Molly,35
NH,F,2002,Allison,34
NH,F,2002,Kayla,34
