StateCode,Sex,YearOfBirth,Name,Number
NH,M,1961,Peter,105
NH,M,1961,Gary,104
NH,M,1961,Donald,91
NH,M,1961,Kenneth,79
NH,M,1961,Charles,76
NH,M,1961,Ronald,73
NH,M,1961,Joseph,68
NH,M,1961,Bruce,66
NH,M,1961,Dennis,66
NH,M,1961,Douglas,66
NH,M,1961,Edward,62
NH,M,1961,Christopher,60
NH,M,1961,Alan,55
NH,M,1961,Keith,53
NH,M,1961,Raymond,48
NH,M,1961,Marc,46
NH,M,1961,Gregory,44
NH,M,1961,Matthew,44
NH,M,1961,Glenn,43
NH,M,1961,George,39
NH,M,1961,Roger,39
NH,M,1961,Eric,36
NH,M,1961,Philip,35
NH,M,1961,Anthony,34
NH,M,1961,Craig,34
NH,M,1961,Dale,29
NH,M,1961,Wayne,28
NH,M,1961,Randy,25
NH,M,1961,Andrew,24
NH,M,1961,Arthur,24
NH,M,1961,Albert,23
NH,M,1961,Jay,23
NH,M,1961,Jonathan,23
NH,M,1961,Jon,22
NH,M,1961,Roland,22
NH,M,1961,Walter,22
NH,M,1961,Bradley,21
NH,M,1961,Dana,21
NH,M,1961,Larry,21
NH,M,1961,Randall,21
NH,M,1961,Shawn,21
NH,M,1961,Frank,20
NH,M,1961,Lawrence,20
NH,M,1961,Norman,20
NH,M,1961,Todd,19
NH,M,1961,Jeff,18
NH,M,1961,Ricky,18
NH,M,1961,Russell,18
NH,M,1961,Bryan,17
NH,M,1961,Chris,17
NH,M,1961,Danny,17
NH,M,1961,Martin,17
NH,M,1961,Maurice,17
NH,M,1961,Barry,16
NH,M,1961,Henry,16
NH,M,1961,Patrick,16
NH,M,1961,Steve,16
NH,M,1961,Dean,15
NH,M,1961,Fred,15
NH,M,1961,Carl,14
NH,M,1961,Gerald,14
NH,M,1961,Harold,14
NH,M,1961,Mike,14
NH,M,1961,Ralph,14
NH,M,1961,Stanley,13
NH,M,1961,Dave,12
NH,M,1961,Francis,12
NH,M,1961,Gerard,12
NH,M,1961,Glen,12
NH,M,1961,Lee,12
NH,M,1961,Tom,12
NH,M,1961,Allen,11
NH,M,1961,Denis,11
NH,M,1961,Ernest,11
NH,M,1961,Eugene,11
NH,M,1961,Joel,11
NH,M,1961,Bradford,10
NH,M,1961,Frederick,10
NH,M,1961,Kerry,10
NH,M,1961,Leo,10
NH,M,1961,Leonard,10
NH,M,1961,Tracy,10
NH,M,1961,Alfred,9
NH,M,1961,Bernard,9
NH,M,1961,Darryl,9
NH,M,1961,Gordon,9
NH,M,1961,Kurt,9
NH,M,1961,Roy,9
NH,M,1961,Terry,9
NH,M,1961,Victor,9
NH,M,1961,Allan,8
NH,M,1961,Andre,8
NH,M,1961,Calvin,8
NH,M,1961,Curtis,8
NH,M,1961,Guy,8
NH,M,1961,Jerry,8
NH,M,1961,Karl,8
NH,M,1961,Micheal,8
NH,M,1961,Normand,8
NH,M,1961,Phillip,8
NH,M,1961,Stuart,8
NH,M,1961,Tim,8
NH,M,1961,Benjamin,7
NH,M,1961,Chester,7
NH,M,1961,Harry,7
NH,M,1961,Herbert,7
NH,M,1961,Jeffery,7
NH,M,1961,Jim,7
NH,M,1961,Kelly,7
NH,M,1961,Kyle,7
NH,M,1961,Rene,7
NH,M,1961,Rick,7
NH,M,1961,Sean,7
NH,M,1961,Theodore,7
NH,M,1961,Brad,6
NH,M,1961,Clayton,6
NH,M,1961,Derek,6
NH,M,1961,Duane,6
NH,M,1961,Dwayne,6
NH,M,1961,Jason,6
NH,M,1961,Jesse,6
NH,M,1961,Leon,6
NH,M,1961,Leslie,6
NH,M,1961,Louis,6
NH,M,1961,Nathan,6
NH,M,1961,Neal,6
NH,M,1961,Pierre,6
NH,M,1961,Rodney,6
NH,M,1961,Ross,6
NH,M,1961,Samuel,6
NH,M,1961,Alexander,5
NH,M,1961,Arnold,5
NH,M,1961,Darren,5
NH,M,1961,Edmund,5
NH,M,1961,Gene,5
NH,M,1961,Jean,5
NH,M,1961,Jody,5
NH,M,1961,Joshua,5
NH,M,1961,Lucien,5
NH,M,1961,Marcel,5
NH,M,1961,Nelson,5
NH,M,1961,Nicholas,5
NH,M,1961,Robin,5
NH,M,1961,Ronnie,5
NH,M,1961,Sheldon,5
NH,M,1961,Tony,5
NH,M,1961,Vincent,5
NH,M,1961,Warren,5
NH,M,1961,Wesley,5
NH,M,1962,David,355
NH,M,1962,Michael,355
NH,M,1962,John,277
NH,M,1962,Mark,238
NH,M,1962,Robert,228
NH,M,1962,James,211
NH,M,1962,Richard,182
NH,M,1962,Scott,172
NH,M,1962,William,153
NH,M,1962,Daniel,148
NH,M,1962,Brian,134
NH,M,1962,Thomas,132
NH,M,1962,Jeffrey,127
NH,M,1962,Kevin,127
NH,M,1962,Timothy,124
NH,M,1962,Steven,121
NH,M,1962,Paul,110
NH,M,1962,Peter,110
NH,M,1962,Gary,87
NH,M,1962,Stephen,85
NH,M,1962,Donald,75
NH,M,1962,Kenneth,74
NH,M,1962,Joseph,73
NH,M,1962,Douglas,66
NH,M,1962,Charles,63
NH,M,1962,Ronald,62
NH,M,1962,Christopher,61
NH,M,1962,Eric,60
NH,M,1962,Edward,58
NH,M,1962,Raymond,55
NH,M,1962,Alan,50
NH,M,1962,Gregory,49
NH,M,1962,Keith,49
NH,M,1962,Dennis,48
NH,M,1962,Marc,44
NH,M,1962,Matthew,42
NH,M,1962,Glenn,41
NH,M,1962,Todd,41
NH,M,1962,Bruce,39
NH,M,1962,Wayne,38
NH,M,1962,Russell,37
NH,M,1962,Roger,35
NH,M,1962,Randy,34
NH,M,1962,Andrew,33
NH,M,1962,George,33
NH,M,1962,Shawn,32
NH,M,1962,Dana,31
NH,M,1962,Patrick,31
NH,M,1962,Anthony,30
NH,M,1962,Philip,29
NH,M,1962,Dale,28
NH,M,1962,Arthur,25
NH,M,1962,Frank,25
NH,M,1962,Jay,25
NH,M,1962,Jonathan,25
NH,M,1962,Carl,24
NH,M,1962,Lawrence,22
NH,M,1962,Francis,21
NH,M,1962,Jon,21
NH,M,1962,Norman,21
NH,M,1962,Walter,21
NH,M,1962,Craig,20
NH,M,1962,Barry,19
NH,M,1962,Mike,19
NH,M,1962,Ricky,19
NH,M,1962,Roland,19
NH,M,1962,Danny,18
NH,M,1962,Albert,16
NH,M,1962,Dean,16
NH,M,1962,Randall,16
NH,M,1962,Frederick,15
