StateCode,Sex,YearOfBirth,Name,Number
NH,M,2014,Finley,9
NH,M,2014,Finn,9
NH,M,2014,Gage,9
NH,M,2014,Garrett,9
NH,M,2014,Jeremiah,9
NH,M,2014,Jonah,9
NH,M,2014,Jude,9
NH,M,2014,Kevin,9
NH,M,2014,Mateo,9
NH,M,2014,Preston,9
NH,M,2014,Simon,9
NH,M,2014,Aaron,8
NH,M,2014,Ashton,8
NH,M,2014,Avery,8
NH,M,2014,Ayden,8
NH,M,2014,Bryce,8
NH,M,2014,Elliot,8
NH,M,2014,Eric,8
NH,M,2014,Giovanni,8
NH,M,2014,Graham,8
NH,M,2014,Hudson,8
NH,M,2014,Jase,8
NH,M,2014,Jasper,8
NH,M,2014,Kaleb,8
NH,M,2014,Kellan,8
NH,M,2014,Kenneth,8
NH,M,2014,Micah,8
NH,M,2014,Reed,8
NH,M,2014,Roman,8
NH,M,2014,Rowan,8
NH,M,2014,Spencer,8
NH,M,2014,Travis,8
NH,M,2014,Aidan,7
NH,M,2014,Beckett,7
NH,M,2014,Brandon,7
NH,M,2014,Corbin,7
NH,M,2014,Easton,7
NH,M,2014,Edward,7
NH,M,2014,Kaiden,7
NH,M,2014,Oscar,7
NH,M,2014,Peter,7
NH,M,2014,Raymond,7
NH,M,2014,Warren,7
NH,M,2014,Abraham,6
NH,M,2014,Abram,6
NH,M,2014,Alan,6
NH,M,2014,Charlie,6
NH,M,2014,Conor,6
NH,M,2014,Damian,6
NH,M,2014,Derek,6
NH,M,2014,Emmanuel,6
NH,M,2014,Erik,6
NH,M,2014,Finnegan,6
NH,M,2014,Gideon,6
NH,M,2014,Gunnar,6
NH,M,2014,Jose,6
NH,M,2014,Josiah,6
NH,M,2014,Landen,6
NH,M,2014,Maddox,6
NH,M,2014,Odin,6
NH,M,2014,Quinn,6
NH,M,2014,Ronan,6
NH,M,2014,Scott,6
NH,M,2014,Taylor,6
NH,M,2014,Zayden,6
NH,M,2014,Archer,5
NH,M,2014,Arthur,5
NH,M,2014,August,5
NH,M,2014,Beau,5
NH,M,2014,Braydon,5
NH,M,2014,Brendan,5
NH,M,2014,Brennan,5
NH,M,2014,Caden,5
NH,M,2014,Clark,5
NH,M,2014,Cohen,5
NH,M,2014,Deacon,5
NH,M,2014,Dean,5
NH,M,2014,Deklan,5
NH,M,2014,Diego,5
NH,M,2014,Drew,5
NH,M,2014,Fletcher,5
NH,M,2014,Frederick,5
NH,M,2014,Gannon,5
NH,M,2014,Gavyn,5
NH,M,2014,Grady,5
NH,M,2014,Gunner,5
NH,M,2014,Holden,5
NH,M,2014,Jamison,5
NH,M,2014,Jeremy,5
NH,M,2014,Justin,5
NH,M,2014,Kai,5
NH,M,2014,Karson,5
NH,M,2014,Karter,5
NH,M,2014,Leon,5
NH,M,2014,Luis,5
NH,M,2014,Malachi,5
NH,M,2014,Mark,5
NH,M,2014,Maverick,5
NH,M,2014,Milo,5
NH,M,2014,Orion,5
NH,M,2014,Paul,5
NH,M,2014,Peyton,5
NH,M,2014,Philip,5
NH,M,2014,Porter,5
NH,M,2014,Stephen,5
NH,M,2014,Ty,5
NH,M,2014,Walker,5
NH,M,2014,Zander,5
NH,M,2015,Jackson,85
NH,M,2015,Benjamin,74
NH,M,2015,Owen,73
NH,M,2015,Mason,71
NH,M,2015,Noah,71
NH,M,2015,Logan,67
NH,M,2015,William,66
NH,M,2015,Jack,63
NH,M,2015,Liam,61
NH,M,2015,Oliver,61
NH,M,2015,Carter,56
NH,M,2015,Alexander,55
NH,M,2015,Henry,54
NH,M,2015,Connor,52
NH,M,2015,Grayson,50
NH,M,2015,Jacob,50
NH,M,2015,James,50
NH,M,2015,Wyatt,50
NH,M,2015,Ethan,48
NH,M,2015,Lucas,48
NH,M,2015,Hunter,47
NH,M,2015,Joseph,45
NH,M,2015,Caleb,41
NH,M,2015,Aiden,40
NH,M,2015,Gabriel,39
NH,M,2015,John,39
NH,M,2015,Michael,39
NH,M,2015,Samuel,39
NH,M,2015,Gavin,38
NH,M,2015,Ryan,38
NH,M,2015,Elijah,37
NH,M,2015,Thomas,37
NH,M,2015,Cameron,36
NH,M,2015,Charles,36
NH,M,2015,Colton,36
NH,M,2015,Joshua,36
NH,M,2015,Jaxon,35
NH,M,2015,Luke,35
NH,M,2015,Lincoln,34
NH,M,2015,Camden,33
NH,M,2015,Nicholas,33
NH,M,2015,Parker,33
NH,M,2015,Dylan,32
NH,M,2015,Nolan,32
NH,M,2015,Matthew,31
NH,M,2015,Anthony,30
NH,M,2015,Blake,30
NH,M,2015,Brayden,30
NH,M,2015,Jameson,30
NH,M,2015,Daniel,29
NH,M,2015,Jaxson,29
NH,M,2015,Levi,28
NH,M,2015,Sawyer,28
NH,M,2015,Chase,27
NH,M,2015,Tyler,27
NH,M,2015,Bentley,26
NH,M,2015,Cole,26
NH,M,2015,Declan,26
NH,M,2015,Evan,26
NH,M,2015,Theodore,26
NH,M,2015,Andrew,25
NH,M,2015,Julian,25
NH,M,2015,Landon,25
NH,M,2015,Zachary,25
NH,M,2015,Brady,24
NH,M,2015,Weston,24
NH,M,2015,Brody,23
NH,M,2015,Calvin,23
NH,M,2015,Isaac,23
NH,M,2015,David,22
NH,M,2015,Miles,22
NH,M,2015,Silas,22
NH,M,2015,Austin,21
NH,M,2015,Harrison,21
NH,M,2015,Nathan,21
NH,M,2015,Robert,21
NH,M,2015,Greyson,20
NH,M,2015,Griffin,20
NH,M,2015,Bryce,19
NH,M,2015,Carson,19
NH,M,2015,Eli,19
NH,M,2015,Jonathan,19
NH,M,2015,Patrick,19
NH,M,2015,Christopher,18
NH,M,2015,Colin,18
NH,M,2015,Cooper,18
NH,M,2015,Emmett,18
NH,M,2015,Leo,18
NH,M,2015,Ryder,18
NH,M,2015,Dominic,17
NH,M,2015,Ezra,17
NH,M,2015,Wesley,17
NH,M,2015,Abel,16
NH,M,2015,Bennett,16
NH,M,2015,Adam,15
NH,M,2015,Alex,15
NH,M,2015,Ian,15
NH,M,2015,Jason,15
NH,M,2015,Jayden,15
NH,M,2015,Jordan,15
NH,M,2015,Maxwell,15
NH,M,2015,Vincent,15
NH,M,2015,Aaron,14
NH,M,2015,Brantley,14
NH,M,2015,Easton,14
NH,M,2015,Isaiah,14
NH,M,2015,Jayce,14
NH,M,2015,Rowan,14
NH,M,2015,Ryker,14
NH,M,2015,Asher,13
NH,M,2015,Everett,13
NH,M,2015,Hayden,13
NH,M,2015,Killian,13
NH,M,2015,Maddox,13
NH,M,2015,Max,13
NH,M,2015,Christian,12
NH,M,2015,Elias,12
NH,M,2015,George,12
NH,M,2015,Ashton,11
NH,M,2015,Bradley,11
NH,M,2015,Brian,11
NH,M,2015,Bryson,11
NH,M,2015,Finn,11
NH,M,2015,Jace,11
NH,M,2015,Micah,11
NH,M,2015,Simon,11
NH,M,2015,Timothy,11
NH,M,2015,Tucker,11
NH,M,2015,Xavier,11
NH,M,2015,Cayden,10
NH,M,2015,Charlie,10
NH,M,2015,Elliot,10
NH,M,2015,Eric,10
NH,M,2015,Kayden,10
NH,M,2015,Lukas,10
NH,M,2015,Odin,10
NH,M,2015,Peter,10
NH,M,2015,Preston,10
NH,M,2015,Richard,10
NH,M,2015,Sebastian,10
NH,M,2015,Tanner,10
NH,M,2015,Ayden,9
NH,M,2015,Damian,9
NH,M,2015,Edward,9
NH,M,2015,Ezekiel,9
NH,M,2015,Finley,9
NH,M,2015,Grady,9
NH,M,2015,Graham,9
NH,M,2015,Hudson,9
NH,M,2015,Kai,9
NH,M,2015,Marcus,9
NH,M,2015,Nathaniel,9
NH,M,2015,Reid,9
NH,M,2015,Tobias,9
NH,M,2015,Aidan,8
NH,M,2015,Augustus,8
NH,M,2015,Caden,8
NH,M,2015,Clayton,8
NH,M,2015,Colby,8
NH,M,2015,Jase,8
NH,M,2015,Jonas,8
NH,M,2015,Kellan,8
NH,M,2015,Maverick,8
NH,M,2015,Maximus,8
NH,M,2015,Milo,8
NH,M,2015,Quinn,8
NH,M,2015,Riley,8
NH,M,2015,Xander,8
NH,M,2015,Avery,7
NH,M,2015,Beckett,7
NH,M,2015,Brennan,7
NH,M,2015,Cody,7
NH,M,2015,Dean,7
NH,M,2015,Emerson,7
NH,M,2015,Emmanuel,7
NH,M,2015,Finnegan,7
NH,M,2015,Justin,7
NH,M,2015,Kaleb,7
NH,M,2015,Kevin,7
NH,M,2015,Otto,7
NH,M,2015,Ronan,7
NH,M,2015,Spencer,7
NH,M,2015,Tristan,7
NH,M,2015,Anderson,6
NH,M,2015,August,6
NH,M,2015,Axel,6
NH,M,2015,Barrett,6
NH,M,2015,Beau,6
NH,M,2015,Brendan,6
NH,M,2015,Cullen,6
NH,M,2015,Damon,6
NH,M,2015,Dante,6
NH,M,2015,Derek,6
NH,M,2015,Douglas,6
NH,M,2015,Elliott,6
NH,M,2015,Felix,6
NH,M,2015,Garrett,6
NH,M,2015,Grant,6
NH,M,2015,Gunnar,6
NH,M,2015,Jake,6
NH,M,2015,Jasper,6
NH,M,2015,Jeremiah,6
NH,M,2015,Jesse,6
NH,M,2015,Joel,6
NH,M,2015,Jonah,6
NH,M,2015,Jude,6
NH,M,2015,Kaiden,6
NH,M,2015,Kamden,6
NH,M,2015,Keegan,6
NH,M,2015,Kenneth,6
NH,M,2015,Lorenzo,6
NH,M,2015,Louis,6
NH,M,2015,Luca,6
NH,M,2015,Malcolm,6
NH,M,2015,Mitchell,6
NH,M,2015,Paul,6
NH,M,2015,Phoenix,6
NH,M,2015,Rory,6
NH,M,2015,Stephen,6
NH,M,2015,Troy,6
NH,M,2015,Zander,6
NH,M,2015,Abraham,5
NH,M,2015,Adrian,5
NH,M,2015,Alec,5
NH,M,2015,Arthur,5
NH,M,2015,Atticus,5
NH,M,2015,Brandon,5
NH,M,2015,Cohen,5
NH,M,2015,Collin,5
NH,M,2015,Colten,5
NH,M,2015,Conner,5
NH,M,2015,Corbin,5
NH,M,2015,Davin,5
NH,M,2015,Desmond,5
NH,M,2015,Donald,5
NH,M,2015,Gideon,5
NH,M,2015,Holden,5
NH,M,2015,Jax,5
NH,M,2015,Jeffrey,5
NH,M,2015,Jeremy,5
NH,M,2015,Julius,5
NH,M,2015,Kieran,5
NH,M,2015,Kyle,5
NH,M,2015,Lachlan,5
NH,M,2015,Landen,5
NH,M,2015,Oscar,5
NH,M,2015,Phillip,5
NH,M,2015,Porter,5
NH,M,2015,Quinton,5
NH,M,2015,Reed,5
NH,M,2015,Rocco,5
NH,M,2015,Rylan,5
NH,M,2015,Shawn,5
NH,M,2015,Steven,5
NH,M,2015,Wade,5
NH,M,2015,Warren,5
NH,M,2015,Waylon,5
NJ,F,1910,Mary,593
NJ,F,1910,Helen,438
NJ,F,1910,Anna,355
NJ,F,1910,Margaret,311
NJ,F,1910,Elizabeth,260
NJ,F,1910,Dorothy,255
NJ,F,1910,Rose,201
NJ,F,1910,Ruth,188
NJ,F,1910,Mildred,174
NJ,F,1910,Florence,169
NJ,F,1910,Catherine,158
NJ,F,1910,Marie,152
NJ,F,1910,Lillian,130
NJ,F,1910,Alice,125
NJ,F,1910,Frances,124
NJ,F,1910,Josephine,103
NJ,F,1910,Ethel,101
NJ,F,1910,Marion,100
NJ,F,1910,Grace,95
NJ,F,1910,Anne,94
NJ,F,1910,Evelyn,89
NJ,F,1910,Gertrude,87
NJ,F,1910,Edith,86
