StateCode,Sex,YearOfBirth,Name,Number
NJ,F,1968,Tyra,6
NJ,F,1968,Valencia,6
NJ,F,1968,Viola,6
NJ,F,1968,Virgen,6
NJ,F,1968,Whitney,6
NJ,F,1968,Adrianna,5
NJ,F,1968,Agnes,5
NJ,F,1968,Alexandria,5
NJ,F,1968,Amber,5
NJ,F,1968,Arline,5
NJ,F,1968,Ashley,5
NJ,F,1968,Ava,5
NJ,F,1968,Barbra,5
NJ,F,1968,Bettina,5
NJ,F,1968,Bianca,5
NJ,F,1968,Brandy,5
NJ,F,1968,Camilla,5
NJ,F,1968,Caprice,5
NJ,F,1968,Carin,5
NJ,F,1968,Cary,5
NJ,F,1968,Casandra,5
NJ,F,1968,Cherese,5
NJ,F,1968,Cherisse,5
NJ,F,1968,Chrystal,5
NJ,F,1968,Clarissa,5
NJ,F,1968,Claudette,5
NJ,F,1968,Corrine,5
NJ,F,1968,Cristin,5
NJ,F,1968,Dawnmarie,5
NJ,F,1968,Debby,5
NJ,F,1968,Deena,5
NJ,F,1968,Dione,5
NJ,F,1968,Edwina,5
NJ,F,1968,Eliza,5
NJ,F,1968,Erinn,5
NJ,F,1968,Fay,5
NJ,F,1968,Filomena,5
NJ,F,1968,Gary,5
NJ,F,1968,Georgina,5
NJ,F,1968,Gillian,5
NJ,F,1968,Haydee,5
NJ,F,1968,Hollie,5
NJ,F,1968,Ileana,5
NJ,F,1968,Iraida,5
NJ,F,1968,Jacquelin,5
NJ,F,1968,Jacquline,5
NJ,F,1968,Jaime,5
NJ,F,1968,Jami,5
NJ,F,1968,Janel,5
NJ,F,1968,Janell,5
NJ,F,1968,Jeanie,5
NJ,F,1968,Jeanmarie,5
NJ,F,1968,Jenine,5
NJ,F,1968,Jerilyn,5
NJ,F,1968,Joni,5
NJ,F,1968,Jose,5
NJ,F,1968,Kay,5
NJ,F,1968,Kirstin,5
NJ,F,1968,Lanette,5
NJ,F,1968,Lavonne,5
NJ,F,1968,Lenora,5
NJ,F,1968,Leona,5
NJ,F,1968,Letitia,5
NJ,F,1968,Liliana,5
NJ,F,1968,Lina,5
NJ,F,1968,Lisamarie,5
NJ,F,1968,Lisbeth,5
NJ,F,1968,Lizabeth,5
NJ,F,1968,Lizbeth,5
NJ,F,1968,Lola,5
NJ,F,1968,Lolita,5
NJ,F,1968,Loraine,5
NJ,F,1968,Magda,5
NJ,F,1968,Malinda,5
NJ,F,1968,Maribeth,5
NJ,F,1968,Marietta,5
NJ,F,1968,Marilin,5
NJ,F,1968,Maryjane,5
NJ,F,1968,Marylin,5
NJ,F,1968,Matilda,5
NJ,F,1968,Melodie,5
NJ,F,1968,Michaela,5
NJ,F,1968,Milagro,5
NJ,F,1968,Milissa,5
NJ,F,1968,Mina,5
NJ,F,1968,Nannette,5
NJ,F,1968,Nicola,5
NJ,F,1968,Nidia,5
NJ,F,1968,Olivia,5
NJ,F,1968,Patrica,5
NJ,F,1968,Phillis,5
NJ,F,1968,Racquel,5
NJ,F,1968,Richard,5
NJ,F,1968,Rosita,5
NJ,F,1968,Sharanda,5
NJ,F,1968,Sharice,5
NJ,F,1968,Sonji,5
NJ,F,1968,Steven,5
NJ,F,1968,Tamela,5
NJ,F,1968,Thomas,5
NJ,F,1968,Thomasina,5
NJ,F,1968,Toniann,5
NJ,F,1969,Lisa,1509
NJ,F,1969,Jennifer,1268
NJ,F,1969,Christine,989
NJ,F,1969,Kimberly,979
NJ,F,1969,Michelle,884
NJ,F,1969,Dawn,786
NJ,F,1969,Karen,755
NJ,F,1969,Susan,750
NJ,F,1969,Michele,699
NJ,F,1969,Laura,630
NJ,F,1969,Kelly,619
NJ,F,1969,Patricia,610
NJ,F,1969,Mary,566
NJ,F,1969,Donna,553
NJ,F,1969,Elizabeth,549
NJ,F,1969,Denise,524
NJ,F,1969,Kathleen,494
NJ,F,1969,Melissa,472
NJ,F,1969,Tracy,469
NJ,F,1969,Amy,455
NJ,F,1969,Deborah,445
NJ,F,1969,Sharon,445
NJ,F,1969,Sandra,430
NJ,F,1969,Linda,417
NJ,F,1969,Nancy,416
NJ,F,1969,Maria,414
NJ,F,1969,Lori,397
NJ,F,1969,Stephanie,374
NJ,F,1969,Cynthia,373
NJ,F,1969,Barbara,370
NJ,F,1969,Cheryl,366
NJ,F,1969,Pamela,355
NJ,F,1969,Heather,345
NJ,F,1969,Diane,330
NJ,F,1969,Christina,319
NJ,F,1969,Jacqueline,314
NJ,F,1969,Tammy,304
NJ,F,1969,Nicole,301
NJ,F,1969,Debra,292
NJ,F,1969,Tina,290
NJ,F,1969,Kim,287
NJ,F,1969,Suzanne,287
NJ,F,1969,Theresa,286
NJ,F,1969,Wendy,272
NJ,F,1969,Stacey,271
NJ,F,1969,Catherine,268
NJ,F,1969,Jill,257
NJ,F,1969,Robin,254
NJ,F,1969,Tracey,251
NJ,F,1969,Danielle,248
NJ,F,1969,Andrea,239
NJ,F,1969,Gina,236
NJ,F,1969,Angela,235
NJ,F,1969,Colleen,228
NJ,F,1969,Carolyn,221
NJ,F,1969,Renee,220
NJ,F,1969,Julie,218
NJ,F,1969,Margaret,217
NJ,F,1969,Victoria,208
NJ,F,1969,Carol,195
NJ,F,1969,Stacy,195
NJ,F,1969,Tara,193
NJ,F,1969,Dana,191
NJ,F,1969,Beth,185
NJ,F,1969,Ann,181
NJ,F,1969,Maureen,175
NJ,F,1969,Janet,174
NJ,F,1969,Kristin,161
NJ,F,1969,Brenda,160
NJ,F,1969,Lynn,159
NJ,F,1969,Katherine,155
NJ,F,1969,Diana,153
NJ,F,1969,Monica,153
NJ,F,1969,Kristen,149
NJ,F,1969,Joanne,146
NJ,F,1969,Valerie,146
NJ,F,1969,Laurie,142
NJ,F,1969,Shannon,141
NJ,F,1969,Leslie,140
NJ,F,1969,Paula,139
NJ,F,1969,Anne,136
NJ,F,1969,Teresa,136
NJ,F,1969,Lauren,133
NJ,F,1969,Rachel,132
NJ,F,1969,Yolanda,130
NJ,F,1969,Rebecca,129
NJ,F,1969,Sherry,128
NJ,F,1969,Darlene,125
NJ,F,1969,Eileen,125
NJ,F,1969,Anna,123
NJ,F,1969,Judith,123
NJ,F,1969,Kristine,121
NJ,F,1969,Regina,120
NJ,F,1969,Tanya,119
NJ,F,1969,Kathryn,117
NJ,F,1969,Holly,115
NJ,F,1969,Tonya,115
NJ,F,1969,Carmen,109
NJ,F,1969,Cindy,107
NJ,F,1969,Joann,105
NJ,F,1969,Erin,104
NJ,F,1969,Marie,103
NJ,F,1969,Janice,102
NJ,F,1969,Heidi,101
NJ,F,1969,Jodi,99
NJ,F,1969,Veronica,99
NJ,F,1969,Ellen,98
NJ,F,1969,Dorothy,97
NJ,F,1969,April,96
NJ,F,1969,Evelyn,94
NJ,F,1969,Sherri,94
NJ,F,1969,Rhonda,93
NJ,F,1969,Robyn,93
NJ,F,1969,Wanda,93
NJ,F,1969,Toni,92
NJ,F,1969,Alicia,91
NJ,F,1969,Dina,91
NJ,F,1969,Lorraine,90
NJ,F,1969,Jean,89
NJ,F,1969,Sheila,89
NJ,F,1969,Bonnie,88
NJ,F,1969,Doreen,88
NJ,F,1969,Yvette,88
NJ,F,1969,Kerry,87
NJ,F,1969,Elaine,85
NJ,F,1969,Rose,85
NJ,F,1969,Sarah,85
NJ,F,1969,Julia,83
NJ,F,1969,Carla,82
NJ,F,1969,Monique,82
NJ,F,1969,Allison,80
NJ,F,1969,Kelli,79
