StateCode,Sex,YearOfBirth,Name,Number
NJ,F,1990,Emma,52
NJ,F,1990,Devon,50
NJ,F,1990,Linda,50
NJ,F,1990,Madeline,50
NJ,F,1990,Susan,50
NJ,F,1990,Sasha,49
NJ,F,1990,Cara,48
NJ,F,1990,Yesenia,48
NJ,F,1990,Barbara,47
NJ,F,1990,Stacy,47
NJ,F,1990,Claire,46
NJ,F,1990,Corinne,46
NJ,F,1990,Jacquelyn,46
NJ,F,1990,Nina,46
NJ,F,1990,Renee,46
NJ,F,1990,Shaniqua,46
NJ,F,1990,Adriana,45
NJ,F,1990,Allyson,45
NJ,F,1990,Tracy,45
NJ,F,1990,Brenda,44
NJ,F,1990,Deborah,44
NJ,F,1990,Nancy,44
NJ,F,1990,Brianne,43
NJ,F,1990,Candice,43
NJ,F,1990,Karina,42
NJ,F,1990,Alissa,41
NJ,F,1990,Marie,41
NJ,F,1990,Meaghan,41
NJ,F,1990,Bridget,40
NJ,F,1990,Brielle,40
NJ,F,1990,Daniela,40
NJ,F,1990,Donna,40
NJ,F,1990,Julianne,40
NJ,F,1990,Angelina,39
NJ,F,1990,Antoinette,39
NJ,F,1990,Bethany,39
NJ,F,1990,Cindy,39
NJ,F,1990,Kristy,39
NJ,F,1990,Maureen,39
NJ,F,1990,Robin,39
NJ,F,1990,Alice,38
NJ,F,1990,Ariana,38
NJ,F,1990,Ashlee,38
NJ,F,1990,Pamela,38
NJ,F,1990,Aimee,37
NJ,F,1990,Esther,37
NJ,F,1990,Johanna,37
NJ,F,1990,Meagan,37
NJ,F,1990,Nichole,37
NJ,F,1990,Whitney,37
NJ,F,1990,Camille,36
NJ,F,1990,Carissa,36
NJ,F,1990,Carla,36
NJ,F,1990,Carmen,36
NJ,F,1990,Evelyn,36
NJ,F,1990,Jocelyn,36
NJ,F,1990,Mercedes,36
NJ,F,1990,Miriam,36
NJ,F,1990,Tamara,36
NJ,F,1990,Tina,36
NJ,F,1990,Adrianna,35
NJ,F,1990,Ashleigh,35
NJ,F,1990,Jenny,35
NJ,F,1990,Naomi,35
NJ,F,1990,Noelle,35
NJ,F,1990,Breanna,34
NJ,F,1990,Britney,34
NJ,F,1990,Ciara,34
NJ,F,1990,Frances,34
NJ,F,1990,Francesca,34
NJ,F,1990,Jazmine,34
NJ,F,1990,Kerri,34
NJ,F,1990,Kerry,34
NJ,F,1990,Rose,34
NJ,F,1990,Janelle,33
NJ,F,1990,Raquel,33
NJ,F,1990,Wendy,33
NJ,F,1990,Brandi,32
NJ,F,1990,Chloe,32
NJ,F,1990,Christie,32
NJ,F,1990,Jade,32
NJ,F,1990,Jaime,32
NJ,F,1990,Juliana,32
NJ,F,1990,Kate,32
NJ,F,1990,Kirsten,32
NJ,F,1990,Kristie,32
NJ,F,1990,Melinda,32
NJ,F,1990,Sonia,32
NJ,F,1990,Tanisha,32
NJ,F,1990,Adrienne,31
NJ,F,1990,Janine,31
NJ,F,1990,Kellie,31
NJ,F,1990,Rosa,31
NJ,F,1990,Sharon,31
NJ,F,1990,Simone,31
NJ,F,1990,Sophia,31
NJ,F,1990,Tiara,31
NJ,F,1990,Angel,30
NJ,F,1990,Anita,30
NJ,F,1990,Audrey,30
NJ,F,1990,Charlotte,30
NJ,F,1990,Dawn,30
NJ,F,1990,Marina,30
NJ,F,1990,Miranda,30
NJ,F,1990,Paula,30
NJ,F,1990,Regina,30
NJ,F,1990,Suzanne,30
NJ,F,1990,Carolina,29
NJ,F,1990,Claudia,29
NJ,F,1990,Diane,29
NJ,F,1990,Jane,29
NJ,F,1990,Janet,29
NJ,F,1990,Kasey,29
NJ,F,1990,Leigh,29
NJ,F,1990,Robyn,29
NJ,F,1990,Ann,28
NJ,F,1990,Autumn,28
NJ,F,1990,Candace,28
NJ,F,1990,Daniella,28
NJ,F,1990,Elise,28
NJ,F,1990,Gabriela,28
NJ,F,1990,Gianna,28
NJ,F,1990,Giselle,28
NJ,F,1990,Larissa,28
NJ,F,1990,Nicolette,28
NJ,F,1990,Taryn,28
NJ,F,1990,Tracey,28
NJ,F,1990,Dorothy,27
NJ,F,1990,Ellen,27
NJ,F,1990,Gloria,27
NJ,F,1990,Jazmin,27
NJ,F,1990,Raven,27
NJ,F,1990,Aisha,26
NJ,F,1990,Carol,26
NJ,F,1990,Chelsey,26
NJ,F,1990,Elena,26
NJ,F,1990,Hillary,26
NJ,F,1990,Jesenia,26
NJ,F,1990,Kelli,26
NJ,F,1990,Latifah,26
NJ,F,1990,Marilyn,26
NJ,F,1990,Maya,26
NJ,F,1990,Natalia,26
NJ,F,1990,Shana,26
NJ,F,1990,Tanya,26
NJ,F,1990,Tiana,26
NJ,F,1990,Alana,25
NJ,F,1990,Alyson,25
NJ,F,1990,Amelia,25
NJ,F,1990,Christa,25
NJ,F,1990,Elyse,25
NJ,F,1990,Jeanette,25
NJ,F,1990,Kendra,25
NJ,F,1990,Nikki,25
NJ,F,1990,Shayna,25
NJ,F,1990,Shirley,25
NJ,F,1990,Toni,25
NJ,F,1990,Virginia,25
NJ,F,1990,Destiny,24
NJ,F,1990,Devin,24
NJ,F,1990,Jessie,24
NJ,F,1990,Jill,24
NJ,F,1990,Katharine,24
NJ,F,1990,Rebekah,24
NJ,F,1990,Stephany,24
NJ,F,1990,Yasmin,24
NJ,F,1990,Eileen,23
NJ,F,1990,Haley,23
NJ,F,1990,Helen,23
NJ,F,1990,Hilary,23
NJ,F,1990,Iris,23
NJ,F,1990,Joy,23
NJ,F,1990,Joyce,23
NJ,F,1990,Leanne,23
NJ,F,1990,Mia,23
NJ,F,1990,Nathalie,23
NJ,F,1990,Brandy,22
NJ,F,1990,Clarissa,22
NJ,F,1990,Jessenia,22
NJ,F,1990,Katelynn,22
NJ,F,1990,Kylie,22
NJ,F,1990,Latoya,22
NJ,F,1990,Lydia,22
NJ,F,1990,Maggie,22
NJ,F,1990,Mariah,22
NJ,F,1990,Ruth,22
NJ,F,1990,Chanel,21
NJ,F,1990,Faith,21
NJ,F,1990,Kelley,21
NJ,F,1990,Lissette,21
NJ,F,1990,Octavia,21
NJ,F,1990,Shante,21
NJ,F,1990,Alanna,20
NJ,F,1990,Anastasia,20
NJ,F,1990,Celeste,20
NJ,F,1990,Daisy,20
NJ,F,1990,Dayna,20
NJ,F,1990,Elisa,20
NJ,F,1990,Ericka,20
NJ,F,1990,Isabel,20
NJ,F,1990,Joelle,20
NJ,F,1990,Katlyn,20
NJ,F,1990,Latasha,20
NJ,F,1990,Lillian,20
NJ,F,1990,Nadia,20
NJ,F,1990,Shaina,20
NJ,F,1990,Shakira,20
NJ,F,1990,Annmarie,19
NJ,F,1990,Arianna,19
NJ,F,1990,Aubrey,19
NJ,F,1990,Cortney,19
NJ,F,1990,Elaine,19
NJ,F,1990,Eva,19
NJ,F,1990,Gillian,19
NJ,F,1990,Jaimie,19
NJ,F,1990,Kristi,19
NJ,F,1990,Latisha,19
NJ,F,1990,Marlene,19
NJ,F,1990,Martha,19
NJ,F,1990,Rita,19
NJ,F,1990,Shawna,19
NJ,F,1990,Shelby,19
NJ,F,1990,Sierra,19
NJ,F,1990,Tamika,19
NJ,F,1990,Tia,19
NJ,F,1990,Aileen,18
NJ,F,1990,Alessandra,18
NJ,F,1990,Beth,18
NJ,F,1990,Casandra,18
NJ,F,1990,Charlene,18
NJ,F,1990,Fatima,18
NJ,F,1990,Genevieve,18
NJ,F,1990,Hope,18
NJ,F,1990,Jacklyn,18
NJ,F,1990,Janice,18
NJ,F,1990,Josephine,18
NJ,F,1990,Karla,18
NJ,F,1990,Luz,18
NJ,F,1990,Mallory,18
NJ,F,1990,Monika,18
NJ,F,1990,Roxanne,18
NJ,F,1990,Shaquana,18
NJ,F,1990,Sheila,18
NJ,F,1990,Talia,18
NJ,F,1990,Trisha,18
NJ,F,1990,Alaina,17
NJ,F,1990,Chana,17
NJ,F,1990,Christy,17
NJ,F,1990,Dianna,17
NJ,F,1990,Dina,17
NJ,F,1990,Irene,17
NJ,F,1990,Isamar,17
NJ,F,1990,Judith,17
NJ,F,1990,Kiersten,17
NJ,F,1990,Krystle,17
NJ,F,1990,Lucia,17
NJ,F,1990,Lynn,17
NJ,F,1990,Sydney,17
NJ,F,1990,Tabitha,17
NJ,F,1990,Tasha,17
NJ,F,1990,Vivian,17
NJ,F,1990,Alycia,16
NJ,F,1990,Amirah,16
NJ,F,1990,Angie,16
NJ,F,1990,Belinda,16
NJ,F,1990,Elisabeth,16
NJ,F,1990,Hayley,16
NJ,F,1990,Heidi,16
NJ,F,1990,Jayme,16
NJ,F,1990,Julissa,16
NJ,F,1990,Karissa,16
NJ,F,1990,Keri,16
NJ,F,1990,Kira,16
NJ,F,1990,Kristyn,16
NJ,F,1990,Lea,16
NJ,F,1990,Lori,16
NJ,F,1990,Mackenzie,16
NJ,F,1990,Sade,16
NJ,F,1990,Shanice,16
NJ,F,1990,Sophie,16
NJ,F,1990,Tierra,16
NJ,F,1990,Yvonne,16
NJ,F,1990,Alisa,15
NJ,F,1990,Alysha,15
NJ,F,1990,Carrie,15
NJ,F,1990,Chaya,15
NJ,F,1990,Corrine,15
NJ,F,1990,Diamond,15
NJ,F,1990,Eboni,15
NJ,F,1990,Gwendolyn,15
NJ,F,1990,Ilana,15
NJ,F,1990,Kassandra,15
NJ,F,1990,Khadijah,15
NJ,F,1990,Laurie,15
NJ,F,1990,Lyndsey,15
NJ,F,1990,Margarita,15
NJ,F,1990,Mayra,15
NJ,F,1990,Melisa,15
NJ,F,1990,Rosemarie,15
NJ,F,1990,Shamira,15
NJ,F,1990,Shauna,15
NJ,F,1990,Annie,14
NJ,F,1990,Brittani,14
NJ,F,1990,Cheryl,14
NJ,F,1990,Cierra,14
NJ,F,1990,Deirdre,14
NJ,F,1990,Desirae,14
NJ,F,1990,Gladys,14
NJ,F,1990,Jalisa,14
NJ,F,1990,Jodi,14
NJ,F,1990,Julianna,14
NJ,F,1990,Kenya,14
NJ,F,1990,Lacey,14
NJ,F,1990,Loren,14
NJ,F,1990,Lorena,14
NJ,F,1990,Lynette,14
NJ,F,1990,Maxine,14
NJ,F,1990,Mecca,14
NJ,F,1990,Precious,14
NJ,F,1990,Ruby,14
NJ,F,1990,Sally,14
NJ,F,1990,Yolanda,14
NJ,F,1990,Abby,13
NJ,F,1990,Alexander,13
NJ,F,1990,Ayesha,13
NJ,F,1990,Brigitte,13
NJ,F,1990,Bryanna,13
NJ,F,1990,Carina,13
NJ,F,1990,Clara,13
NJ,F,1990,Clare,13
NJ,F,1990,Damaris,13
NJ,F,1990,Dara,13
NJ,F,1990,Darlene,13
NJ,F,1990,Debra,13
NJ,F,1990,Dena,13
NJ,F,1990,Essence,13
NJ,F,1990,Genesis,13
NJ,F,1990,Jennie,13
NJ,F,1990,Joanne,13
NJ,F,1990,Justina,13
NJ,F,1990,Lena,13
NJ,F,1990,Liana,13
NJ,F,1990,Nechama,13
NJ,F,1990,Nia,13
NJ,F,1990,Nisha,13
NJ,F,1990,Pauline,13
NJ,F,1990,Princess,13
NJ,F,1990,Rivka,13
NJ,F,1990,Sandy,13
NJ,F,1990,Tricia,13
NJ,F,1990,Xiomara,13
NJ,F,1990,Yasmine,13
NJ,F,1990,Yessenia,13
NJ,F,1990,Arlene,12
NJ,F,1990,Beverly,12
NJ,F,1990,Brittni,12
NJ,F,1990,Chantel,12
NJ,F,1990,Cheyenne,12
NJ,F,1990,Chrystal,12
NJ,F,1990,Ciera,12
NJ,F,1990,Connie,12
NJ,F,1990,Constance,12
NJ,F,1990,Corey,12
NJ,F,1990,Diandra,12
NJ,F,1990,Doris,12
NJ,F,1990,Elyssa,12
NJ,F,1990,Hanna,12
NJ,F,1990,Imani,12
NJ,F,1990,Isabella,12
NJ,F,1990,Janae,12
NJ,F,1990,Janay,12
NJ,F,1990,Jena,12
NJ,F,1990,Joan,12
NJ,F,1990,Kathy,12
NJ,F,1990,Kierra,12
NJ,F,1990,Kimberley,12
NJ,F,1990,Kirstin,12
NJ,F,1990,Kyra,12
NJ,F,1990,Lara,12
NJ,F,1990,Laurel,12
NJ,F,1990,Leanna,12
NJ,F,1990,Madison,12
NJ,F,1990,Marlee,12
NJ,F,1990,Maura,12
NJ,F,1990,Nadine,12
NJ,F,1990,Nora,12
NJ,F,1990,Paola,12
NJ,F,1990,Patrice,12
NJ,F,1990,Rosemary,12
NJ,F,1990,Shanique,12
NJ,F,1990,Sheena,12
NJ,F,1990,Sonya,12
NJ,F,1990,Symone,12
NJ,F,1990,Tania,12
NJ,F,1990,Alina,11
NJ,F,1990,Aliyah,11
NJ,F,1990,Alyse,11
NJ,F,1990,Amira,11
NJ,F,1990,Bailey,11
NJ,F,1990,Bernadette,11
NJ,F,1990,Breana,11
NJ,F,1990,Brenna,11
NJ,F,1990,Eleni,11
NJ,F,1990,Eliza,11
NJ,F,1990,Estefania,11
NJ,F,1990,Gail,11
NJ,F,1990,Jamila,11
NJ,F,1990,Jenifer,11
NJ,F,1990,Kaila,11
NJ,F,1990,Karly,11
NJ,F,1990,Keisha,11
NJ,F,1990,Kendall,11
NJ,F,1990,Kyla,11
NJ,F,1990,Lakeisha,11
NJ,F,1990,Madelyn,11
NJ,F,1990,Maryann,11
NJ,F,1990,Michaela,11
NJ,F,1990,Nataly,11
NJ,F,1990,Nicolle,11
NJ,F,1990,Paulina,11
NJ,F,1990,Priya,11
NJ,F,1990,Randi,11
NJ,F,1990,Rebeca,11
NJ,F,1990,Reina,11
NJ,F,1990,Shanna,11
NJ,F,1990,Shawn,11
NJ,F,1990,Shayla,11
NJ,F,1990,Staci,11
NJ,F,1990,Stefani,11
NJ,F,1990,Sylvia,11
NJ,F,1990,Tessa,11
NJ,F,1990,Tiffani,11
NJ,F,1990,Alejandra,10
NJ,F,1990,Alexia,10
NJ,F,1990,Angeline,10
NJ,F,1990,Angelique,10
NJ,F,1990,Annette,10
NJ,F,1990,Ariella,10
NJ,F,1990,Ashely,10
NJ,F,1990,Beatriz,10
NJ,F,1990,Bonnie,10
NJ,F,1990,Breanne,10
NJ,F,1990,Bridgette,10
NJ,F,1990,Cathy,10
NJ,F,1990,Cecilia,10
NJ,F,1990,Chante,10
NJ,F,1990,Cori,10
NJ,F,1990,Daria,10
NJ,F,1990,Deana,10
NJ,F,1990,Deena,10
NJ,F,1990,Dominque,10
NJ,F,1990,Elisha,10
NJ,F,1990,Georgia,10
NJ,F,1990,Ivana,10
NJ,F,1990,Jean,10
NJ,F,1990,Joann,10
NJ,F,1990,Jordana,10
NJ,F,1990,Joselyn,10
NJ,F,1990,Kari,10
NJ,F,1990,Katlin,10
NJ,F,1990,Keyona,10
NJ,F,1990,Kiana,10
NJ,F,1990,Kourtney,10
NJ,F,1990,Krysten,10
NJ,F,1990,Krystina,10
NJ,F,1990,Leeann,10
NJ,F,1990,Lia,10
NJ,F,1990,Lianne,10
NJ,F,1990,Liza,10
NJ,F,1990,Madeleine,10
NJ,F,1990,Mariana,10
NJ,F,1990,Maribel,10
NJ,F,1990,Melody,10
NJ,F,1990,Neha,10
NJ,F,1990,Nikita,10
NJ,F,1990,Noel,10
NJ,F,1990,Pooja,10
NJ,F,1990,Serena,10
NJ,F,1990,Shanika,10
NJ,F,1990,Siobhan,10
NJ,F,1990,Tammy,10
NJ,F,1990,Tess,10
NJ,F,1990,Traci,10
NJ,F,1990,Valentina,10
NJ,F,1990,Wanda,10
NJ,F,1990,Yasmeen,10
NJ,F,1990,Zoe,10
NJ,F,1990,Aja,9
NJ,F,1990,Alia,9
NJ,F,1990,Antonia,9
NJ,F,1990,Ashlie,9
NJ,F,1990,Athena,9
NJ,F,1990,Blair,9
NJ,F,1990,Blanca,9
NJ,F,1990,Brigid,9
NJ,F,1990,Brook,9
NJ,F,1990,Cassie,9
NJ,F,1990,Christian,9
NJ,F,1990,Christiana,9
NJ,F,1990,Daphne,9
NJ,F,1990,Deja,9
NJ,F,1990,Elana,9
NJ,F,1990,Elissa,9
NJ,F,1990,Francine,9
NJ,F,1990,Georgina,9
NJ,F,1990,Jaleesa,9
NJ,F,1990,Jeanine,9
NJ,F,1990,Jesse,9
NJ,F,1990,Jewel,9
NJ,F,1990,Johana,9
NJ,F,1990,Juanita,9
NJ,F,1990,Kacie,9
NJ,F,1990,Kayleigh,9
NJ,F,1990,Kaylin,9
NJ,F,1990,Kiera,9
NJ,F,1990,Krysta,9
NJ,F,1990,Lashonda,9
NJ,F,1990,Latrice,9
NJ,F,1990,Lesley,9
NJ,F,1990,Liliana,9
NJ,F,1990,Lisette,9
NJ,F,1990,Lucy,9
NJ,F,1990,Marianne,9
NJ,F,1990,Mariel,9
NJ,F,1990,Maritza,9
NJ,F,1990,Marlena,9
NJ,F,1990,Milagros,9
NJ,F,1990,Mollie,9
NJ,F,1990,Nikole,9
NJ,F,1990,Phylicia,9
NJ,F,1990,Rashida,9
NJ,F,1990,Rhiannon,9
NJ,F,1990,Rina,9
NJ,F,1990,Ryan,9
NJ,F,1990,Savannah,9
NJ,F,1990,Shanae,9
NJ,F,1990,Shari,9
NJ,F,1990,Sinead,9
NJ,F,1990,Stacie,9
NJ,F,1990,Viviana,9
NJ,F,1990,Adrian,8
NJ,F,1990,Aliza,8
NJ,F,1990,Allyssa,8
NJ,F,1990,Amani,8
NJ,F,1990,Anais,8
NJ,F,1990,Asha,8
NJ,F,1990,Beatrice,8
NJ,F,1990,Brittanie,8
NJ,F,1990,Callie,8
NJ,F,1990,Carlie,8
NJ,F,1990,Cassidy,8
NJ,F,1990,Chantelle,8
NJ,F,1990,Christen,8
NJ,F,1990,Danica,8
NJ,F,1990,Danyelle,8
NJ,F,1990,Delilah,8
NJ,F,1990,Dhara,8
NJ,F,1990,Edith,8
NJ,F,1990,Elaina,8
NJ,F,1990,Fallon,8
NJ,F,1990,Fatimah,8
NJ,F,1990,Fiona,8
NJ,F,1990,Francheska,8
NJ,F,1990,Gabriel,8
NJ,F,1990,Geraldine,8
NJ,F,1990,Giovanna,8
NJ,F,1990,Hailey,8
NJ,F,1990,Iliana,8
NJ,F,1990,Iman,8
NJ,F,1990,Ingrid,8
NJ,F,1990,Ivette,8
NJ,F,1990,Jalissa,8
NJ,F,1990,Janel,8
NJ,F,1990,Jerica,8
NJ,F,1990,Judy,8
NJ,F,1990,Kanisha,8
NJ,F,1990,Karin,8
NJ,F,1990,Kortney,8
NJ,F,1990,Kyle,8
NJ,F,1990,Lakia,8
NJ,F,1990,Lina,8
NJ,F,1990,Lorraine,8
NJ,F,1990,Malika,8
NJ,F,1990,Mariam,8
NJ,F,1990,Marisol,8
NJ,F,1990,Marjorie,8
NJ,F,1990,Marta,8
NJ,F,1990,Mellisa,8
NJ,F,1990,Mellissa,8
NJ,F,1990,Michael,8
NJ,F,1990,Mona,8
NJ,F,1990,Najah,8
NJ,F,1990,Nakia,8
NJ,F,1990,Priyanka,8
NJ,F,1990,Puja,8
NJ,F,1990,Rasheeda,8
NJ,F,1990,Rhonda,8
NJ,F,1990,Roshni,8
NJ,F,1990,Samira,8
NJ,F,1990,Shakia,8
NJ,F,1990,Shakirah,8
NJ,F,1990,Shanell,8
NJ,F,1990,Shanita,8
NJ,F,1990,Sherri,8
NJ,F,1990,Shira,8
NJ,F,1990,Skye,8
NJ,F,1990,Tabatha,8
NJ,F,1990,Tonya,8
NJ,F,1990,Yaritza,8
NJ,F,1990,Zakiyyah,8
NJ,F,1990,Zara,8
NJ,F,1990,Alecia,7
NJ,F,1990,Alysa,7
NJ,F,1990,Alysia,7
NJ,F,1990,Amara,7
NJ,F,1990,Ami,7
NJ,F,1990,Angelia,7
NJ,F,1990,Annemarie,7
NJ,F,1990,Ava,7
NJ,F,1990,Avery,7
NJ,F,1990,Babygirl,7
NJ,F,1990,Betsy,7
NJ,F,1990,Brandie,7
NJ,F,1990,Brittaney,7
NJ,F,1990,Camila,7
NJ,F,1990,Cathryn,7
NJ,F,1990,Cayla,7
NJ,F,1990,Chandni,7
NJ,F,1990,Chanell,7
NJ,F,1990,Chanelle,7
NJ,F,1990,Coleen,7
NJ,F,1990,Cristal,7
NJ,F,1990,Dania,7
NJ,F,1990,Darcy,7
NJ,F,1990,Deidre,7
NJ,F,1990,Delia,7
NJ,F,1990,Devyn,7
NJ,F,1990,Domonique,7
NJ,F,1990,Eleanor,7
NJ,F,1990,Elsie,7
NJ,F,1990,Emilie,7
