StateCode,Sex,YearOfBirth,Name,Number
NJ,F,1998,Nadira,5
NJ,F,1998,Nadirah,5
NJ,F,1998,Nathaly,5
NJ,F,1998,Naya,5
NJ,F,1998,Neena,5
NJ,F,1998,Nelly,5
NJ,F,1998,Nicola,5
NJ,F,1998,Nneka,5
NJ,F,1998,Nyasha,5
NJ,F,1998,Odalis,5
NJ,F,1998,Penina,5
NJ,F,1998,Racquel,5
NJ,F,1998,Reena,5
NJ,F,1998,Remi,5
NJ,F,1998,Remy,5
NJ,F,1998,Rene,5
NJ,F,1998,Rita,5
NJ,F,1998,Rocio,5
NJ,F,1998,Rosanna,5
NJ,F,1998,Sabriya,5
NJ,F,1998,Saira,5
NJ,F,1998,Sally,5
NJ,F,1998,Sarai,5
NJ,F,1998,Serenity,5
NJ,F,1998,Shantel,5
NJ,F,1998,Sheridan,5
NJ,F,1998,Siara,5
NJ,F,1998,Skyla,5
NJ,F,1998,Stefani,5
NJ,F,1998,Sumayyah,5
NJ,F,1998,Talya,5
NJ,F,1998,Tammy,5
NJ,F,1998,Tanasia,5
NJ,F,1998,Tanisha,5
NJ,F,1998,Taniya,5
NJ,F,1998,Tea,5
NJ,F,1998,Tiannah,5
NJ,F,1998,Tionna,5
NJ,F,1998,Tzipora,5
NJ,F,1998,Unique,5
NJ,F,1998,Vera,5
NJ,F,1998,Vianca,5
NJ,F,1998,Vienna,5
NJ,F,1998,Yaritza,5
NJ,F,1998,Yvette,5
NJ,F,1998,Zena,5
NJ,F,1999,Emily,904
NJ,F,1999,Samantha,755
NJ,F,1999,Sarah,616
NJ,F,1999,Jessica,573
NJ,F,1999,Nicole,563
NJ,F,1999,Ashley,552
NJ,F,1999,Amanda,533
NJ,F,1999,Kayla,511
NJ,F,1999,Julia,503
NJ,F,1999,Alyssa,481
NJ,F,1999,Lauren,480
NJ,F,1999,Victoria,434
NJ,F,1999,Brianna,418
NJ,F,1999,Rachel,397
NJ,F,1999,Olivia,389
NJ,F,1999,Alexis,372
NJ,F,1999,Alexandra,342
NJ,F,1999,Jennifer,340
NJ,F,1999,Elizabeth,339
NJ,F,1999,Taylor,333
NJ,F,1999,Madison,324
NJ,F,1999,Stephanie,324
NJ,F,1999,Danielle,314
NJ,F,1999,Megan,308
NJ,F,1999,Rebecca,300
NJ,F,1999,Hannah,294
NJ,F,1999,Katherine,288
NJ,F,1999,Emma,281
NJ,F,1999,Kelly,248
NJ,F,1999,Kaitlyn,247
NJ,F,1999,Gabrielle,245
NJ,F,1999,Natalie,244
NJ,F,1999,Abigail,239
NJ,F,1999,Erin,237
NJ,F,1999,Sydney,236
NJ,F,1999,Grace,230
NJ,F,1999,Alexa,226
NJ,F,1999,Allison,225
NJ,F,1999,Gianna,223
NJ,F,1999,Michelle,222
NJ,F,1999,Melissa,221
NJ,F,1999,Sara,218
NJ,F,1999,Jenna,216
NJ,F,1999,Morgan,212
NJ,F,1999,Christina,205
NJ,F,1999,Isabella,199
NJ,F,1999,Destiny,195
NJ,F,1999,Sophia,187
NJ,F,1999,Anna,184
NJ,F,1999,Brittany,183
NJ,F,1999,Jasmine,179
NJ,F,1999,Gabriella,175
NJ,F,1999,Shannon,173
NJ,F,1999,Maria,170
NJ,F,1999,Caroline,168
NJ,F,1999,Kimberly,166
NJ,F,1999,Kiara,148
NJ,F,1999,Mary,147
NJ,F,1999,Catherine,142
NJ,F,1999,Jacqueline,141
NJ,F,1999,Vanessa,140
NJ,F,1999,Courtney,139
NJ,F,1999,Melanie,139
NJ,F,1999,Brooke,137
NJ,F,1999,Paige,137
NJ,F,1999,Jillian,135
NJ,F,1999,Tiffany,134
NJ,F,1999,Sabrina,130
NJ,F,1999,Angela,128
NJ,F,1999,Briana,128
NJ,F,1999,Marissa,124
NJ,F,1999,Laura,123
NJ,F,1999,Amber,119
NJ,F,1999,Cassandra,118
NJ,F,1999,Mackenzie,117
NJ,F,1999,Andrea,115
NJ,F,1999,Kelsey,114
NJ,F,1999,Haley,112
NJ,F,1999,Kathryn,112
NJ,F,1999,Amy,109
NJ,F,1999,Kristen,109
NJ,F,1999,Jordan,108
NJ,F,1999,Madeline,108
NJ,F,1999,Meghan,108
NJ,F,1999,Chelsea,106
NJ,F,1999,Carly,105
NJ,F,1999,Diana,103
NJ,F,1999,Katelyn,103
NJ,F,1999,Margaret,101
NJ,F,1999,Tatiana,101
NJ,F,1999,Faith,98
NJ,F,1999,Chloe,97
NJ,F,1999,Erica,97
NJ,F,1999,Gabriela,97
NJ,F,1999,Leah,97
NJ,F,1999,Dana,96
NJ,F,1999,Jamie,96
NJ,F,1999,Molly,95
NJ,F,1999,Caitlin,93
NJ,F,1999,Veronica,91
NJ,F,1999,Isabel,89
NJ,F,1999,Hailey,88
NJ,F,1999,Caitlyn,86
NJ,F,1999,Jada,84
NJ,F,1999,Kathleen,84
NJ,F,1999,Nina,84
NJ,F,1999,Claire,83
NJ,F,1999,Casey,82
NJ,F,1999,Dominique,82
NJ,F,1999,Tara,82
NJ,F,1999,Lindsay,80
NJ,F,1999,Christine,79
NJ,F,1999,Cassidy,78
NJ,F,1999,Heather,78
NJ,F,1999,Imani,78
NJ,F,1999,Maya,78
NJ,F,1999,Bridget,77
NJ,F,1999,Mia,77
NJ,F,1999,Zoe,77
NJ,F,1999,Ariana,75
NJ,F,1999,Angelica,74
NJ,F,1999,Lindsey,74
NJ,F,1999,Kate,72
NJ,F,1999,Julianna,71
NJ,F,1999,Mariah,71
NJ,F,1999,Deanna,70
NJ,F,1999,Erika,70
NJ,F,1999,Miranda,70
NJ,F,1999,Skylar,70
NJ,F,1999,Daniela,69
NJ,F,1999,Gina,69
NJ,F,1999,Karen,69
NJ,F,1999,Ava,68
NJ,F,1999,Bianca,68
NJ,F,1999,Katie,68
NJ,F,1999,Mikayla,68
NJ,F,1999,Alexandria,67
NJ,F,1999,Cheyenne,67
NJ,F,1999,Jade,67
NJ,F,1999,Juliana,67
NJ,F,1999,Sierra,67
NJ,F,1999,Adriana,66
NJ,F,1999,Brielle,66
NJ,F,1999,Julie,66
NJ,F,1999,Leslie,66
NJ,F,1999,Jocelyn,65
NJ,F,1999,Crystal,64
NJ,F,1999,Isabelle,64
NJ,F,1999,Alicia,63
NJ,F,1999,Arianna,63
NJ,F,1999,Kristina,62
NJ,F,1999,Sofia,62
NJ,F,1999,Cynthia,60
NJ,F,1999,Karina,60
NJ,F,1999,Alana,58
NJ,F,1999,Kaitlin,58
NJ,F,1999,Kylie,58
NJ,F,1999,Camryn,57
NJ,F,1999,Sophie,57
NJ,F,1999,Francesca,56
NJ,F,1999,Kaylee,56
NJ,F,1999,Valerie,56
NJ,F,1999,Autumn,55
NJ,F,1999,Claudia,55
NJ,F,1999,Desiree,55
NJ,F,1999,Esther,54
NJ,F,1999,Breanna,53
NJ,F,1999,Naomi,53
NJ,F,1999,Natalia,53
NJ,F,1999,Genesis,52
NJ,F,1999,Patricia,52
NJ,F,1999,Cristina,51
NJ,F,1999,Daniella,51
NJ,F,1999,Diamond,51
NJ,F,1999,Marisa,51
NJ,F,1999,Shania,51
NJ,F,1999,Angelina,50
NJ,F,1999,Nicolette,50
NJ,F,1999,Rachael,50
NJ,F,1999,Savannah,50
NJ,F,1999,Alison,49
NJ,F,1999,Holly,49
NJ,F,1999,Riley,49
NJ,F,1999,Rose,49
NJ,F,1999,Tatyana,49
NJ,F,1999,Elena,48
NJ,F,1999,Colleen,47
NJ,F,1999,Noelle,47
NJ,F,1999,Gillian,46
NJ,F,1999,Lily,46
NJ,F,1999,Lisa,46
NJ,F,1999,Monica,45
NJ,F,1999,Mya,45
NJ,F,1999,Natasha,45
NJ,F,1999,Brittney,44
NJ,F,1999,Cameron,44
NJ,F,1999,Miriam,44
NJ,F,1999,Hayley,43
NJ,F,1999,Michaela,43
NJ,F,1999,Ana,42
NJ,F,1999,Bryanna,42
NJ,F,1999,Ciara,42
NJ,F,1999,Kara,42
NJ,F,1999,Nia,42
NJ,F,1999,Carolyn,41
NJ,F,1999,Joanna,41
NJ,F,1999,Kyra,41
NJ,F,1999,Jaclyn,40
NJ,F,1999,Audrey,39
NJ,F,1999,Kirsten,39
NJ,F,1999,Nyasia,39
NJ,F,1999,Raquel,39
NJ,F,1999,Shelby,39
NJ,F,1999,Brenda,38
NJ,F,1999,Hope,38
NJ,F,1999,Jasmin,38
NJ,F,1999,Kira,38
NJ,F,1999,Adrianna,37
NJ,F,1999,Ariel,37
NJ,F,1999,Britney,37
NJ,F,1999,Cara,37
NJ,F,1999,Evelyn,37
NJ,F,1999,Hanna,37
NJ,F,1999,Lydia,37
NJ,F,1999,Renee,37
NJ,F,1999,Aniyah,36
NJ,F,1999,Anjali,36
NJ,F,1999,Bailey,36
NJ,F,1999,Jordyn,36
NJ,F,1999,Katrina,36
NJ,F,1999,Marina,36
NJ,F,1999,Selena,36
NJ,F,1999,Theresa,36
NJ,F,1999,Tiara,36
NJ,F,1999,Kiana,35
NJ,F,1999,Kristin,35
NJ,F,1999,Serena,35
NJ,F,1999,Talia,35
NJ,F,1999,Chana,33
NJ,F,1999,Cindy,33
NJ,F,1999,Eva,33
NJ,F,1999,Tiana,33
NJ,F,1999,Charlotte,32
NJ,F,1999,Devon,32
NJ,F,1999,Jane,32
NJ,F,1999,Rebekah,32
NJ,F,1999,Sandra,32
NJ,F,1999,Angel,31
NJ,F,1999,Camille,31
NJ,F,1999,Kassandra,31
NJ,F,1999,Krista,31
NJ,F,1999,Madelyn,31
NJ,F,1999,Skyler,31
NJ,F,1999,Alexia,30
NJ,F,1999,Anastasia,30
NJ,F,1999,Daisy,30
NJ,F,1999,Helen,30
NJ,F,1999,Lillian,30
NJ,F,1999,Anne,29
NJ,F,1999,Deja,29
NJ,F,1999,Karla,29
NJ,F,1999,Maggie,29
NJ,F,1999,Makayla,29
NJ,F,1999,Nancy,29
NJ,F,1999,Pamela,29
NJ,F,1999,Tamia,29
NJ,F,1999,Vivian,29
NJ,F,1999,Ayanna,28
NJ,F,1999,Chaya,28
NJ,F,1999,Krystal,28
NJ,F,1999,Priya,28
NJ,F,1999,Sharon,28
NJ,F,1999,Shayla,28
NJ,F,1999,Teresa,28
NJ,F,1999,Amelia,27
NJ,F,1999,Bethany,27
NJ,F,1999,Delaney,27
NJ,F,1999,Emely,27
NJ,F,1999,Giselle,27
NJ,F,1999,Julianne,27
NJ,F,1999,Kyla,27
NJ,F,1999,Lea,27
NJ,F,1999,Paola,27
NJ,F,1999,Summer,27
NJ,F,1999,Wendy,27
NJ,F,1999,Aliyah,26
NJ,F,1999,Allyson,26
NJ,F,1999,Deborah,26
NJ,F,1999,Georgia,26
NJ,F,1999,Josephine,26
NJ,F,1999,Katelynn,26
NJ,F,1999,Kendall,26
NJ,F,1999,Michele,26
NJ,F,1999,Sasha,26
NJ,F,1999,Aaliyah,25
NJ,F,1999,Alexus,25
NJ,F,1999,Chyna,25
NJ,F,1999,Destinee,25
NJ,F,1999,Eliza,25
NJ,F,1999,Raven,25
NJ,F,1999,Shayna,25
NJ,F,1999,Alejandra,24
NJ,F,1999,Alessandra,24
NJ,F,1999,Alice,24
NJ,F,1999,Brenna,24
NJ,F,1999,Fatima,24
NJ,F,1999,Fiona,24
NJ,F,1999,Giana,24
NJ,F,1999,Kendra,24
NJ,F,1999,Kerry,24
NJ,F,1999,Madeleine,24
NJ,F,1999,Mikaela,24
NJ,F,1999,Nadia,24
NJ,F,1999,Priscilla,24
NJ,F,1999,Asia,23
NJ,F,1999,Denise,23
NJ,F,1999,Jailene,23
NJ,F,1999,Kaleigh,23
NJ,F,1999,Kasey,23
NJ,F,1999,Lauryn,23
NJ,F,1999,Marie,23
NJ,F,1999,Meredith,23
