StateCode,Sex,YearOfBirth,Name,Number
NJ,F,2014,Valentina,167
NJ,F,2014,Brianna,160
NJ,F,2014,Savannah,160
NJ,F,2014,Zoe,156
NJ,F,2014,Alexa,155
NJ,F,2014,Hannah,154
NJ,F,2014,Evelyn,153
NJ,F,2014,Layla,153
NJ,F,2014,Maya,153
NJ,F,2014,Mackenzie,152
NJ,F,2014,Kayla,151
NJ,F,2014,Alexandra,149
NJ,F,2014,Natalie,144
NJ,F,2014,Sara,144
NJ,F,2014,Scarlett,144
NJ,F,2014,Harper,143
NJ,F,2014,Skylar,141
NJ,F,2014,Camila,140
NJ,F,2014,Hailey,140
NJ,F,2014,Allison,139
NJ,F,2014,Rachel,133
NJ,F,2014,Brielle,132
NJ,F,2014,Riley,128
NJ,F,2014,Zoey,128
NJ,F,2014,Addison,126
NJ,F,2014,Aria,126
NJ,F,2014,Angelina,123
NJ,F,2014,Penelope,123
NJ,F,2014,Kylie,121
NJ,F,2014,Kaylee,119
NJ,F,2014,Madelyn,117
NJ,F,2014,Audrey,116
NJ,F,2014,Genesis,112
NJ,F,2014,Anna,111
NJ,F,2014,Juliana,110
NJ,F,2014,Madeline,109
NJ,F,2014,Alyssa,108
NJ,F,2014,Peyton,105
NJ,F,2014,Lillian,102
NJ,F,2014,Miriam,102
NJ,F,2014,Violet,102
NJ,F,2014,Chaya,101
NJ,F,2014,Melanie,101
NJ,F,2014,Claire,99
NJ,F,2014,Nicole,98
NJ,F,2014,Sadie,98
NJ,F,2014,Adriana,97
NJ,F,2014,Katherine,97
NJ,F,2014,Stella,97
NJ,F,2014,Autumn,95
NJ,F,2014,Makayla,92
NJ,F,2014,Nora,92
NJ,F,2014,Naomi,90
NJ,F,2014,Rivka,90
NJ,F,2014,Brooke,89
NJ,F,2014,Annabelle,88
NJ,F,2014,Amy,87
NJ,F,2014,Chana,87
NJ,F,2014,Faith,87
NJ,F,2014,Mila,87
NJ,F,2014,Alexis,86
NJ,F,2014,Eva,86
NJ,F,2014,Maria,84
NJ,F,2014,Bella,83
NJ,F,2014,Liliana,81
NJ,F,2014,Taylor,81
NJ,F,2014,Aaliyah,80
NJ,F,2014,Julianna,80
NJ,F,2014,Lucy,80
NJ,F,2014,Eliana,79
NJ,F,2014,Michelle,79
NJ,F,2014,Sydney,79
NJ,F,2014,Kaitlyn,78
NJ,F,2014,Jordyn,75
NJ,F,2014,Kimberly,74
NJ,F,2014,Laila,74
NJ,F,2014,Gabriela,73
NJ,F,2014,London,73
NJ,F,2014,Natalia,73
NJ,F,2014,Giuliana,72
NJ,F,2014,Molly,72
NJ,F,2014,Caroline,71
NJ,F,2014,Kennedy,71
NJ,F,2014,Morgan,71
NJ,F,2014,Jasmine,70
NJ,F,2014,Quinn,69
NJ,F,2014,Brooklyn,68
NJ,F,2014,Ellie,68
NJ,F,2014,Alice,67
NJ,F,2014,Sienna,67
NJ,F,2014,Aubree,66
NJ,F,2014,Emilia,66
NJ,F,2014,Isabelle,66
NJ,F,2014,Elena,65
NJ,F,2014,Gia,65
NJ,F,2014,Sophie,65
NJ,F,2014,Paige,64
NJ,F,2014,Fiona,63
NJ,F,2014,Vanessa,63
NJ,F,2014,Jessica,62
NJ,F,2014,Lyla,61
NJ,F,2014,Nevaeh,61
NJ,F,2014,Francesca,60
NJ,F,2014,Jocelyn,60
NJ,F,2014,Lia,60
NJ,F,2014,Batsheva,59
NJ,F,2014,Josephine,59
NJ,F,2014,Jayla,58
NJ,F,2014,Mya,58
NJ,F,2014,Serenity,58
NJ,F,2014,Adrianna,57
NJ,F,2014,Alina,57
NJ,F,2014,Noelle,57
NJ,F,2014,Valerie,57
NJ,F,2014,Daniella,56
NJ,F,2014,Daniela,55
NJ,F,2014,Gabrielle,55
NJ,F,2014,Mikayla,55
NJ,F,2014,Rebecca,55
NJ,F,2014,Stephanie,55
NJ,F,2014,Andrea,54
NJ,F,2014,Keira,54
