StateCode,Sex,YearOfBirth,Name,Number
NJ,M,1934,Irwin,21
NJ,M,1934,Jacob,21
NJ,M,1934,Mario,21
NJ,M,1934,Milton,21
NJ,M,1934,Alvin,20
NJ,M,1934,Bob,20
NJ,M,1934,Don,20
NJ,M,1934,Steven,20
NJ,M,1934,Wallace,20
NJ,M,1934,Calvin,19
NJ,M,1934,Eddie,19
NJ,M,1934,Mark,19
NJ,M,1934,Horace,18
NJ,M,1934,Maurice,18
NJ,M,1934,Sidney,18
NJ,M,1934,Burton,17
NJ,M,1934,Carmine,17
NJ,M,1934,Dominic,17
NJ,M,1934,Floyd,17
NJ,M,1934,Fredrick,17
NJ,M,1934,Leslie,17
NJ,M,1934,Lloyd,17
NJ,M,1934,Morris,17
NJ,M,1934,Rocco,17
NJ,M,1934,Tom,17
NJ,M,1934,Vito,17
NJ,M,1934,Nelson,16
NJ,M,1934,Otto,16
NJ,M,1934,Stuart,16
NJ,M,1934,Vernon,16
NJ,M,1934,Clyde,15
NJ,M,1934,Conrad,15
NJ,M,1934,Reginald,15
NJ,M,1934,Sam,15
NJ,M,1934,Tony,15
NJ,M,1934,Wilbur,15
NJ,M,1934,Aaron,14
NJ,M,1934,Claude,14
NJ,M,1934,Dale,14
NJ,M,1934,Morton,14
NJ,M,1934,Oscar,14
NJ,M,1934,Pete,14
NJ,M,1934,Ted,14
NJ,M,1934,Gregory,13
NJ,M,1934,Oliver,13
NJ,M,1934,Owen,13
NJ,M,1934,Patsy,13
NJ,M,1934,Rudy,13
NJ,M,1934,Wesley,13
NJ,M,1934,Willard,13
NJ,M,1934,Christian,12
NJ,M,1934,Curtis,12
NJ,M,1934,Dan,12
NJ,M,1934,Gabriel,12
NJ,M,1934,Glenn,12
NJ,M,1934,Guy,12
NJ,M,1934,Jesse,12
NJ,M,1934,Pasquale,12
NJ,M,1934,Rodney,12
NJ,M,1934,Sheldon,12
NJ,M,1934,Alphonse,11
NJ,M,1934,Dick,11
NJ,M,1934,Frederic,11
NJ,M,1934,Hubert,11
NJ,M,1934,Ira,11
NJ,M,1934,Ivan,11
NJ,M,1934,Mike,11
NJ,M,1934,Myron,11
NJ,M,1934,Nathaniel,11
NJ,M,1934,Seymour,11
NJ,M,1934,Sylvester,11
NJ,M,1934,Archie,10
NJ,M,1934,Clement,10
NJ,M,1934,Malcolm,10
NJ,M,1934,Manuel,10
NJ,M,1934,Nick,10
NJ,M,1934,Pat,10
NJ,M,1934,Clinton,9
NJ,M,1934,Danny,9
NJ,M,1934,Eric,9
NJ,M,1934,Evan,9
NJ,M,1934,Frances,9
NJ,M,1934,Hans,9
NJ,M,1934,Jon,9
NJ,M,1934,Keith,9
NJ,M,1934,Nathan,9
NJ,M,1934,Ramon,9
NJ,M,1934,Ronnie,9
NJ,M,1934,Alonzo,8
NJ,M,1934,Ben,8
NJ,M,1934,Carlton,8
NJ,M,1934,Christopher,8
NJ,M,1934,Jimmy,8
NJ,M,1934,Julian,8
NJ,M,1934,Lowell,8
NJ,M,1934,Alfonso,7
NJ,M,1934,Antonio,7
NJ,M,1934,Armand,7
NJ,M,1934,Augustus,7
