StateCode,Sex,YearOfBirth,Name,Number
NJ,M,1991,Dexter,9
NJ,M,1991,Eliezer,9
NJ,M,1991,Elliott,9
NJ,M,1991,Freddie,9
NJ,M,1991,German,9
NJ,M,1991,Giuseppe,9
NJ,M,1991,Hasan,9
NJ,M,1991,Jamel,9
NJ,M,1991,Justine,9
NJ,M,1991,Kamal,9
NJ,M,1991,Karon,9
NJ,M,1991,Malachi,9
NJ,M,1991,Maximilian,9
NJ,M,1991,Nikolas,9
NJ,M,1991,Norman,9
NJ,M,1991,Oliver,9
NJ,M,1991,Quentin,9
NJ,M,1991,Quinton,9
NJ,M,1991,Rahul,9
NJ,M,1991,Roland,9
NJ,M,1991,Ronak,9
NJ,M,1991,Shlomo,9
NJ,M,1991,Stefano,9
NJ,M,1991,Tanner,9
NJ,M,1991,Tucker,9
NJ,M,1991,Wyatt,9
NJ,M,1991,Yusuf,9
NJ,M,1991,Aidan,8
NJ,M,1991,Ajay,8
NJ,M,1991,Anton,8
NJ,M,1991,Bennett,8
NJ,M,1991,Carlo,8
NJ,M,1991,Conrad,8
NJ,M,1991,Cristopher,8
NJ,M,1991,Demetrios,8
NJ,M,1991,Desmond,8
NJ,M,1991,Donovan,8
NJ,M,1991,Elvin,8
NJ,M,1991,Fuquan,8
NJ,M,1991,Garry,8
NJ,M,1991,Glen,8
NJ,M,1991,Griffin,8
NJ,M,1991,Harris,8
NJ,M,1991,Hunter,8
NJ,M,1991,Ismail,8
NJ,M,1991,Jamir,8
NJ,M,1991,Jarell,8
NJ,M,1991,Joaquin,8
NJ,M,1991,Jovany,8
NJ,M,1991,Khalid,8
NJ,M,1991,Khalif,8
NJ,M,1991,Kody,8
NJ,M,1991,Kory,8
NJ,M,1991,Kyree,8
NJ,M,1991,Lloyd,8
NJ,M,1991,Mustafa,8
NJ,M,1991,Nadir,8
NJ,M,1991,Naeem,8
NJ,M,1991,Nico,8
NJ,M,1991,Nikko,8
NJ,M,1991,Paulo,8
NJ,M,1991,Quinn,8
NJ,M,1991,Reid,8
NJ,M,1991,Robin,8
NJ,M,1991,Ron,8
NJ,M,1991,Rudy,8
NJ,M,1991,Sagar,8
NJ,M,1991,Sami,8
NJ,M,1991,Shamar,8
NJ,M,1991,Shamir,8
NJ,M,1991,Solomon,8
NJ,M,1991,Sonny,8
NJ,M,1991,Stewart,8
NJ,M,1991,Sunny,8
NJ,M,1991,Tzvi,8
NJ,M,1991,Ulysses,8
NJ,M,1991,Vaughn,8
NJ,M,1991,Wade,8
NJ,M,1991,Aditya,7
NJ,M,1991,Alexandre,7
NJ,M,1991,Altariq,7
NJ,M,1991,Antony,7
NJ,M,1991,Arnold,7
NJ,M,1991,Asmar,7
NJ,M,1991,Beau,7
NJ,M,1991,Bernardo,7
NJ,M,1991,Bret,7
NJ,M,1991,Bryon,7
NJ,M,1991,Clarence,7
NJ,M,1991,Clifton,7
NJ,M,1991,Colby,7
NJ,M,1991,Cornelius,7
NJ,M,1991,Courtney,7
NJ,M,1991,Darin,7
NJ,M,1991,Dashon,7
NJ,M,1991,Derrell,7
NJ,M,1991,Devan,7
NJ,M,1991,Dijon,7
NJ,M,1991,Dimitrios,7
NJ,M,1991,Dion,7
NJ,M,1991,Edgardo,7
NJ,M,1991,Emil,7
NJ,M,1991,Evander,7
NJ,M,1991,Fred,7
NJ,M,1991,Giancarlo,7
NJ,M,1991,Giovanny,7
NJ,M,1991,Hasson,7
NJ,M,1991,Hugh,7
NJ,M,1991,Humberto,7
NJ,M,1991,Ibrahim,7
NJ,M,1991,Jabari,7
NJ,M,1991,Jahaad,7
NJ,M,1991,Jaron,7
NJ,M,1991,Jeffry,7
NJ,M,1991,Johnnie,7
NJ,M,1991,Kasim,7
NJ,M,1991,Kristofer,7
NJ,M,1991,Krzysztof,7
NJ,M,1991,Kunal,7
NJ,M,1991,Laron,7
NJ,M,1991,Leroy,7
NJ,M,1991,Marcelo,7
NJ,M,1991,Niko,7
NJ,M,1991,Quashawn,7
NJ,M,1991,Ramiro,7
NJ,M,1991,Rodrigo,7
NJ,M,1991,Roman,7
NJ,M,1991,Rory,7
NJ,M,1991,Santino,7
NJ,M,1991,Shivam,7
NJ,M,1991,Skylar,7
NJ,M,1991,Tyshawn,7
NJ,M,1991,Tyshon,7
NJ,M,1991,Vance,7
NJ,M,1991,Vernon,7
NJ,M,1991,Vito,7
NJ,M,1991,Zackary,7
NJ,M,1991,Zane,7
NJ,M,1991,Abdullah,6
NJ,M,1991,Abel,6
NJ,M,1991,Alain,6
NJ,M,1991,Aldo,6
NJ,M,1991,Amar,6
NJ,M,1991,Anderson,6
NJ,M,1991,Anibal,6
NJ,M,1991,Ankit,6
NJ,M,1991,Billy,6
NJ,M,1991,Breon,6
NJ,M,1991,Chirag,6
NJ,M,1991,Coty,6
NJ,M,1991,Dan,6
NJ,M,1991,Dejon,6
NJ,M,1991,Duane,6
NJ,M,1991,Eder,6
NJ,M,1991,Efraim,6
NJ,M,1991,Erwin,6
NJ,M,1991,Ezequiel,6
NJ,M,1991,Felipe,6
NJ,M,1991,Garret,6
NJ,M,1991,Gene,6
NJ,M,1991,Giovani,6
NJ,M,1991,Harsh,6
NJ,M,1991,Hayden,6
NJ,M,1991,Hugo,6
NJ,M,1991,Jarrid,6
NJ,M,1991,Jeff,6
NJ,M,1991,Jefferson,6
NJ,M,1991,Jimmie,6
NJ,M,1991,Joan,6
NJ,M,1991,Jonatan,6
NJ,M,1991,Jordon,6
NJ,M,1991,Josiah,6
NJ,M,1991,Karan,6
NJ,M,1991,Karim,6
NJ,M,1991,Keven,6
NJ,M,1991,Kishan,6
NJ,M,1991,Latif,6
NJ,M,1991,Luigi,6
NJ,M,1991,Mahmoud,6
NJ,M,1991,Malcom,6
NJ,M,1991,Maximillian,6
NJ,M,1991,Meir,6
NJ,M,1991,Mohamad,6
NJ,M,1991,Muhammad,6
NJ,M,1991,Nestor,6
NJ,M,1991,Nick,6
NJ,M,1991,Osvaldo,6
NJ,M,1991,Paolo,6
NJ,M,1991,Prince,6
NJ,M,1991,Rakeem,6
NJ,M,1991,Reuben,6
NJ,M,1991,Roderick,6
NJ,M,1991,Rudolph,6
NJ,M,1991,Salman,6
NJ,M,1991,Salvador,6
NJ,M,1991,Samad,6
NJ,M,1991,Santos,6
NJ,M,1991,Shan,6
NJ,M,1991,Shaquille,6
NJ,M,1991,Sultan,6
NJ,M,1991,Taheem,6
NJ,M,1991,Taj,6
NJ,M,1991,Tarik,6
NJ,M,1991,Taron,6
NJ,M,1991,Tashawn,6
NJ,M,1991,Terrill,6
NJ,M,1991,Tyrek,6
NJ,M,1991,Varun,6
NJ,M,1991,Vincente,6
NJ,M,1991,Vivek,6
NJ,M,1991,Wallace,6
NJ,M,1991,Wilmer,6
NJ,M,1991,Yitzchok,6
NJ,M,1991,Yusef,6
NJ,M,1991,Zahir,6
NJ,M,1991,Zaire,6
NJ,M,1991,Adalberto,5
NJ,M,1991,Adan,5
NJ,M,1991,Aharon,5
NJ,M,1991,Ahmir,5
NJ,M,1991,Akash,5
NJ,M,1991,Alessandro,5
NJ,M,1991,Alton,5
NJ,M,1991,Amin,5
NJ,M,1991,Antione,5
NJ,M,1991,Arnaldo,5
NJ,M,1991,Aron,5
NJ,M,1991,Augusto,5
NJ,M,1991,Ben,5
NJ,M,1991,Benny,5
NJ,M,1991,Blair,5
NJ,M,1991,Blaze,5
NJ,M,1991,Brain,5
NJ,M,1991,Carmelo,5
NJ,M,1991,Carmen,5
NJ,M,1991,Cecil,5
NJ,M,1991,Chrisopher,5
NJ,M,1991,Conner,5
NJ,M,1991,Dallas,5
NJ,M,1991,Darien,5
NJ,M,1991,Dario,5
NJ,M,1991,Darrel,5
NJ,M,1991,Darwin,5
NJ,M,1991,Dave,5
NJ,M,1991,Davion,5
NJ,M,1991,Davonn,5
NJ,M,1991,Dayshawn,5
NJ,M,1991,Dereck,5
NJ,M,1991,Dev,5
NJ,M,1991,Dewayne,5
NJ,M,1991,Domenico,5
NJ,M,1991,Domingo,5
NJ,M,1991,Eliot,5
NJ,M,1991,Elisha,5
NJ,M,1991,Erin,5
NJ,M,1991,Everett,5
NJ,M,1991,Ezekiel,5
NJ,M,1991,Fabio,5
NJ,M,1991,Faheem,5
NJ,M,1991,Forrest,5
NJ,M,1991,Geovanny,5
NJ,M,1991,Gino,5
NJ,M,1991,Graig,5
NJ,M,1991,Gregg,5
NJ,M,1991,Hakim,5
NJ,M,1991,Herman,5
NJ,M,1991,Irving,5
NJ,M,1991,Jahad,5
NJ,M,1991,Jamere,5
NJ,M,1991,Jan,5
NJ,M,1991,Jarett,5
NJ,M,1991,Jarret,5
NJ,M,1991,Jarvis,5
NJ,M,1991,Jim,5
NJ,M,1991,Joe,5
NJ,M,1991,Johan,5
NJ,M,1991,Johnpaul,5
NJ,M,1991,Jomar,5
NJ,M,1991,Julien,5
NJ,M,1991,Justice,5
NJ,M,1991,Justyn,5
NJ,M,1991,Kahlil,5
NJ,M,1991,Kelsey,5
NJ,M,1991,Kendrick,5
NJ,M,1991,Keon,5
