StateCode,Sex,YearOfBirth,Name,Number
NM,F,1963,Evangeline,14
NM,F,1963,Grace,14
NM,F,1963,Heidi,14
NM,F,1963,Lynn,14
NM,F,1963,Maxine,14
NM,F,1963,Myra,14
NM,F,1963,Shannon,14
NM,F,1963,Antoinette,13
NM,F,1963,Colleen,13
NM,F,1963,Dianne,13
NM,F,1963,Doris,13
NM,F,1963,Genevieve,13
NM,F,1963,Isabel,13
NM,F,1963,Joanne,13
NM,F,1963,Lorrie,13
NM,F,1963,Lucille,13
NM,F,1963,Lupe,13
NM,F,1963,Lydia,13
NM,F,1963,Olivia,13
NM,F,1963,Toni,13
NM,F,1963,Bernadine,12
NM,F,1963,Doreen,12
NM,F,1963,Emma,12
NM,F,1963,Jessica,12
NM,F,1963,Lenora,12
NM,F,1963,Lucy,12
NM,F,1963,Shari,12
NM,F,1963,Audrey,11
NM,F,1963,Christy,11
NM,F,1963,Claudia,11
NM,F,1963,Consuelo,11
NM,F,1963,Delores,11
NM,F,1963,Dianna,11
NM,F,1963,Dora,11
NM,F,1963,Edwina,11
NM,F,1963,Ernestine,11
NM,F,1963,Francine,11
NM,F,1963,Ida,11
NM,F,1963,Josie,11
NM,F,1963,Leona,11
NM,F,1963,Leticia,11
NM,F,1963,Lois,11
NM,F,1963,Marsha,11
NM,F,1963,Sara,11
NM,F,1963,Vanessa,11
NM,F,1963,Vicky,11
NM,F,1963,Viola,11
NM,F,1963,Alberta,10
NM,F,1963,Amanda,10
NM,F,1963,April,10
NM,F,1963,Bridget,10
NM,F,1963,Dina,10
NM,F,1963,Ginger,10
NM,F,1963,Jamie,10
NM,F,1963,Jeannette,10
NM,F,1963,Kelley,10
NM,F,1963,Laverne,10
NM,F,1963,Lillian,10
NM,F,1963,Marcia,10
NM,F,1963,Marjorie,10
NM,F,1963,Maryann,10
NM,F,1963,Maureen,10
NM,F,1963,Rene,10
NM,F,1963,Roxanne,10
NM,F,1963,Thelma,10
NM,F,1963,Therese,10
NM,F,1963,Tonya,10
NM,F,1963,Velma,10
NM,F,1963,Ana,9
NM,F,1963,Angie,9
NM,F,1963,Celeste,9
NM,F,1963,Flora,9
NM,F,1963,Gail,9
NM,F,1963,Jenny,9
NM,F,1963,Joy,9
NM,F,1963,Kari,9
NM,F,1963,Kay,9
NM,F,1963,Kristin,9
NM,F,1963,Lorie,9
NM,F,1963,Lorna,9
NM,F,1963,Marcella,9
NM,F,1963,Melody,9
NM,F,1963,Mona,9
NM,F,1963,Nanette,9
NM,F,1963,Nora,9
NM,F,1963,Stella,9
NM,F,1963,Tami,9
NM,F,1963,Tracey,9
NM,F,1963,Vera,9
NM,F,1963,Verna,9
NM,F,1963,Alma,8
NM,F,1963,Deana,8
NM,F,1963,Delia,8
NM,F,1963,Eleanor,8
NM,F,1963,Erlinda,8
NM,F,1963,Estella,8
NM,F,1963,Felicia,8
NM,F,1963,Heather,8
NM,F,1963,Hilda,8
NM,F,1963,Janette,8
NM,F,1963,Jeannie,8
NM,F,1963,Jeri,8
NM,F,1963,Joanna,8
NM,F,1963,Kelli,8
NM,F,1963,Kellie,8
NM,F,1963,Lea,8
NM,F,1963,Lorena,8
NM,F,1963,Naomi,8
NM,F,1963,Olga,8
NM,F,1963,Patti,8
NM,F,1963,Sherrie,8
NM,F,1963,Tammie,8
NM,F,1963,Tanya,8
NM,F,1963,Angelina,7
NM,F,1963,Billie,7
NM,F,1963,Camille,7
NM,F,1963,Carole,7
NM,F,1963,Dena,7
NM,F,1963,Edith,7
NM,F,1963,Elsie,7
NM,F,1963,Geneva,7
NM,F,1963,Guadalupe,7
NM,F,1963,Gwendolyn,7
NM,F,1963,Jana,7
NM,F,1963,Johnna,7
NM,F,1963,Kerri,7
NM,F,1963,Kristi,7
NM,F,1963,Lana,7
NM,F,1963,Lavern,7
NM,F,1963,Leah,7
NM,F,1963,Lena,7
NM,F,1963,Lynda,7
NM,F,1963,Lynette,7
NM,F,1963,Margarita,7
NM,F,1963,Merlinda,7
NM,F,1963,Nina,7
NM,F,1963,Pearl,7
NM,F,1963,Rena,7
NM,F,1963,Ronda,7
NM,F,1963,Shawn,7
NM,F,1963,Silvia,7
NM,F,1963,Alisa,6
NM,F,1963,Benita,6
NM,F,1963,Cassandra,6
NM,F,1963,Cecelia,6
NM,F,1963,Celia,6
NM,F,1963,Chris,6
NM,F,1963,Claudette,6
NM,F,1963,Constance,6
NM,F,1963,Daphne,6
NM,F,1963,Elena,6
NM,F,1963,Ellen,6
NM,F,1963,Ernestina,6
NM,F,1963,Florence,6
NM,F,1963,Gayla,6
NM,F,1963,Geri,6
NM,F,1963,Inez,6
NM,F,1963,Janie,6
NM,F,1963,Janine,6
NM,F,1963,Jeanie,6
NM,F,1963,Jennie,6
