StateCode,Sex,YearOfBirth,Name,Number
NM,F,2008,Brissa,6
NM,F,2008,Celeste,6
NM,F,2008,Chelsea,6
NM,F,2008,Cheyanne,6
NM,F,2008,Christine,6
NM,F,2008,Courtney,6
NM,F,2008,Delaney,6
NM,F,2008,Destinee,6
NM,F,2008,Donna,6
NM,F,2008,Elaina,6
NM,F,2008,Elliana,6
NM,F,2008,Felicia,6
NM,F,2008,Fernanda,6
NM,F,2008,Gillian,6
NM,F,2008,Gloria,6
NM,F,2008,Hazel,6
NM,F,2008,Isabell,6
NM,F,2008,Jadyn,6
NM,F,2008,Jaelynn,6
NM,F,2008,Janae,6
NM,F,2008,Jaylene,6
NM,F,2008,Juliette,6
NM,F,2008,Julisa,6
NM,F,2008,Kasey,6
NM,F,2008,Kate,6
NM,F,2008,Kaydence,6
NM,F,2008,Kendall,6
NM,F,2008,Kyla,6
NM,F,2008,Lacy,6
NM,F,2008,Laura,6
NM,F,2008,Lena,6
NM,F,2008,Lindsey,6
NM,F,2008,Luna,6
NM,F,2008,Lyric,6
NM,F,2008,Madisyn,6
NM,F,2008,Mikaela,6
NM,F,2008,Mina,6
NM,F,2008,Paisley,6
NM,F,2008,Paola,6
NM,F,2008,Paris,6
NM,F,2008,Phoebe,6
NM,F,2008,Renee,6
NM,F,2008,Rihanna,6
NM,F,2008,Rosemary,6
NM,F,2008,Rowan,6
NM,F,2008,Savanah,6
NM,F,2008,Tatiana,6
NM,F,2008,Tianna,6
NM,F,2008,Yaneli,6
NM,F,2008,Yaretzi,6
NM,F,2008,Zariah,6
NM,F,2008,Abbey,5
NM,F,2008,Abbigail,5
NM,F,2008,Abrianna,5
NM,F,2008,Adrianne,5
NM,F,2008,Alaina,5
NM,F,2008,Alexus,5
NM,F,2008,Aliah,5
NM,F,2008,Alice,5
NM,F,2008,Allie,5
NM,F,2008,Amariah,5
NM,F,2008,America,5
NM,F,2008,Anais,5
NM,F,2008,Analia,5
NM,F,2008,Anastacia,5
NM,F,2008,Aniya,5
NM,F,2008,Annalise,5
NM,F,2008,Annette,5
NM,F,2008,Areli,5
NM,F,2008,Arielle,5
NM,F,2008,Ariyana,5
NM,F,2008,Aryanna,5
NM,F,2008,Ashlee,5
NM,F,2008,Azalea,5
NM,F,2008,Barbara,5
NM,F,2008,Caitlyn,5
NM,F,2008,Camryn,5
NM,F,2008,Carly,5
NM,F,2008,Caroline,5
NM,F,2008,Charity,5
NM,F,2008,Chasity,5
NM,F,2008,Christa,5
NM,F,2008,Cristal,5
NM,F,2008,Elisa,5
NM,F,2008,Elise,5
NM,F,2008,Erica,5
NM,F,2008,Erika,5
NM,F,2008,Evangelina,5
NM,F,2008,Hailee,5
NM,F,2008,Hanna,5
NM,F,2008,Hayli,5
NM,F,2008,Heidi,5
NM,F,2008,Jaiden,5
NM,F,2008,Jayde,5
NM,F,2008,Jazmyn,5
NM,F,2008,Jocelynn,5
NM,F,2008,Justice,5
NM,F,2008,Karma,5
NM,F,2008,Karyme,5
NM,F,2008,Katalina,5
NM,F,2008,Kenia,5
NM,F,2008,Kenzie,5
NM,F,2008,Kiera,5
NM,F,2008,Kirsten,5
NM,F,2008,Kyleigh,5
NM,F,2008,Lauryn,5
NM,F,2008,Leticia,5
NM,F,2008,Lilah,5
NM,F,2008,Lilia,5
NM,F,2008,Lillianna,5
NM,F,2008,Lisa,5
NM,F,2008,London,5
NM,F,2008,Lorena,5
NM,F,2008,Luciana,5
NM,F,2008,Madeleine,5
NM,F,2008,Maliyah,5
NM,F,2008,Mareli,5
NM,F,2008,Marlene,5
NM,F,2008,Martha,5
NM,F,2008,Maryjane,5
NM,F,2008,Mckenna,5
NM,F,2008,Milena,5
NM,F,2008,Miquela,5
NM,F,2008,Miriam,5
NM,F,2008,Naveen,5
NM,F,2008,Nizhoni,5
NM,F,2008,Nola,5
NM,F,2008,Odessa,5
NM,F,2008,Piper,5
NM,F,2008,Reagan,5
NM,F,2008,Rilee,5
NM,F,2008,Rose,5
NM,F,2008,Ryleigh,5
NM,F,2008,Serena,5
NM,F,2008,Shayna,5
NM,F,2008,Stella,5
NM,F,2008,Talia,5
NM,F,2008,Tatyana,5
NM,F,2008,Tessa,5
NM,F,2008,Thalia,5
NM,F,2008,Tiana,5
NM,F,2008,Viviana,5
NM,F,2008,Xiomara,5
NM,F,2008,Xochitl,5
NM,F,2008,Yadira,5
NM,F,2008,Yareli,5
NM,F,2009,Isabella,161
NM,F,2009,Olivia,89
NM,F,2009,Mia,88
NM,F,2009,Nevaeh,86
NM,F,2009,Sophia,84
NM,F,2009,Ava,77
NM,F,2009,Emily,77
NM,F,2009,Alyssa,75
NM,F,2009,Madison,72
NM,F,2009,Emma,67
NM,F,2009,Natalie,64
NM,F,2009,Mariah,63
NM,F,2009,Abigail,62
NM,F,2009,Aaliyah,60
NM,F,2009,Alexis,60
NM,F,2009,Gabriella,60
NM,F,2009,Hailey,58
NM,F,2009,Ashley,55
NM,F,2009,Chloe,53
NM,F,2009,Elizabeth,52
NM,F,2009,Arianna,50
NM,F,2009,Lily,50
NM,F,2009,Destiny,48
NM,F,2009,Kaylee,48
NM,F,2009,Brianna,47
NM,F,2009,Serenity,47
NM,F,2009,Alexa,45
NM,F,2009,Victoria,45
NM,F,2009,Andrea,43
NM,F,2009,Leah,42
NM,F,2009,Sarah,42
NM,F,2009,Jasmine,40
NM,F,2009,Natalia,40
NM,F,2009,Angelina,39
NM,F,2009,Trinity,39
NM,F,2009,Kimberly,38
NM,F,2009,Makayla,38
NM,F,2009,Taylor,38
NM,F,2009,Brooklyn,37
NM,F,2009,Mya,37
NM,F,2009,Samantha,37
NM,F,2009,Bella,36
NM,F,2009,Savannah,35
NM,F,2009,Addison,34
NM,F,2009,Faith,34
NM,F,2009,Layla,34
NM,F,2009,Camila,33
NM,F,2009,Aubrey,32
NM,F,2009,Jocelyn,32
NM,F,2009,Kayla,32
NM,F,2009,Valeria,32
NM,F,2009,Ariana,31
NM,F,2009,Autumn,31
NM,F,2009,Avery,31
NM,F,2009,Estrella,31
NM,F,2009,Hannah,31
NM,F,2009,Peyton,31
NM,F,2009,Lillian,30
NM,F,2009,Payton,30
NM,F,2009,Zoe,30
NM,F,2009,Amaya,29
NM,F,2009,Liliana,29
NM,F,2009,Sofia,29
NM,F,2009,Zoey,29
NM,F,2009,Alexandra,28
NM,F,2009,Genesis,28
NM,F,2009,Isabel,28
NM,F,2009,Brooke,27
NM,F,2009,Maria,27
NM,F,2009,Vanessa,27
NM,F,2009,Allison,26
NM,F,2009,Ella,26
NM,F,2009,Izabella,26
NM,F,2009,Jade,26
NM,F,2009,Khloe,26
NM,F,2009,Melanie,26
NM,F,2009,Alicia,25
NM,F,2009,Aliyah,25
NM,F,2009,Amber,25
NM,F,2009,Angelica,25
NM,F,2009,Danielle,25
NM,F,2009,Kylie,25
NM,F,2009,Angel,24
NM,F,2009,Daniela,24
NM,F,2009,Delilah,24
NM,F,2009,Lilly,24
NM,F,2009,Miranda,24
NM,F,2009,Stephanie,24
NM,F,2009,Amelia,23
NM,F,2009,Audrey,23
NM,F,2009,Bailey,23
NM,F,2009,Claire,23
NM,F,2009,Jessica,23
NM,F,2009,Kaitlyn,23
NM,F,2009,Maya,23
NM,F,2009,Mikayla,23
NM,F,2009,Evelyn,22
NM,F,2009,Hayden,22
NM,F,2009,Alondra,21
NM,F,2009,Anna,21
NM,F,2009,Gianna,21
NM,F,2009,Marissa,21
NM,F,2009,Riley,21
NM,F,2009,Daisy,20
NM,F,2009,Isabelle,20
NM,F,2009,Kylee,20
NM,F,2009,Michelle,20
NM,F,2009,Briana,19
NM,F,2009,Eva,19
NM,F,2009,Giselle,19
NM,F,2009,Grace,19
NM,F,2009,Haley,19
NM,F,2009,Jayla,19
NM,F,2009,Kiara,19
NM,F,2009,Lauren,19
NM,F,2009,Sydney,19
NM,F,2009,Adriana,18
NM,F,2009,Cheyenne,18
NM,F,2009,Esperanza,18
NM,F,2009,Jayden,18
NM,F,2009,Jazmin,18
NM,F,2009,Jordyn,18
NM,F,2009,Julia,18
NM,F,2009,Ruby,18
NM,F,2009,Adrianna,17
NM,F,2009,Danna,17
NM,F,2009,Fernanda,17
NM,F,2009,Jada,17
NM,F,2009,Jazlyn,17
NM,F,2009,Juliana,17
NM,F,2009,Madeline,17
NM,F,2009,Marisol,17
NM,F,2009,Sadie,17
NM,F,2009,Amy,16
NM,F,2009,Angelique,16
NM,F,2009,Ashlyn,16
NM,F,2009,Gabrielle,16
NM,F,2009,Haylee,16
NM,F,2009,Janessa,16
NM,F,2009,Jazmine,16
NM,F,2009,Lyla,16
NM,F,2009,Rylee,16
NM,F,2009,Sienna,16
NM,F,2009,Ximena,16
NM,F,2009,Aylin,15
NM,F,2009,Bianca,15
NM,F,2009,Esmeralda,15
NM,F,2009,Fatima,15
NM,F,2009,Joselyn,15
NM,F,2009,Keira,15
NM,F,2009,Marley,15
NM,F,2009,Miley,15
NM,F,2009,Morgan,15
NM,F,2009,Naomi,15
NM,F,2009,Alina,14
NM,F,2009,Anastasia,14
NM,F,2009,Ariel,14
NM,F,2009,Ashlynn,14
NM,F,2009,Aurora,14
NM,F,2009,Danika,14
NM,F,2009,Dulce,14
NM,F,2009,Elena,14
NM,F,2009,Jordan,14
NM,F,2009,Julianna,14
NM,F,2009,Kendra,14
NM,F,2009,Kennedy,14
NM,F,2009,Leslie,14
NM,F,2009,Mariana,14
NM,F,2009,Megan,14
NM,F,2009,Shelby,14
NM,F,2009,Yamilet,14
NM,F,2009,Alexandria,13
NM,F,2009,Alexia,13
NM,F,2009,Anahi,13
NM,F,2009,Charlotte,13
NM,F,2009,Eliana,13
NM,F,2009,Gracie,13
NM,F,2009,Jennifer,13
NM,F,2009,Katelyn,13
NM,F,2009,Leilani,13
NM,F,2009,Lola,13
NM,F,2009,Maddison,13
NM,F,2009,Malia,13
NM,F,2009,Paige,13
NM,F,2009,Sierra,13
NM,F,2009,Abrianna,12
NM,F,2009,Araceli,12
NM,F,2009,Julissa,12
NM,F,2009,Karina,12
NM,F,2009,Laila,12
NM,F,2009,Lexi,12
NM,F,2009,Lilliana,12
NM,F,2009,Luna,12
NM,F,2009,Mackenzie,12
NM,F,2009,Madelyn,12
NM,F,2009,Melody,12
NM,F,2009,Nadia,12
NM,F,2009,Nicole,12
NM,F,2009,Rachel,12
NM,F,2009,Selena,12
NM,F,2009,Violet,12
NM,F,2009,Alejandra,11
NM,F,2009,Amari,11
NM,F,2009,America,11
NM,F,2009,Angela,11
NM,F,2009,April,11
NM,F,2009,Breanna,11
NM,F,2009,Eden,11
NM,F,2009,Erica,11
NM,F,2009,Gabriela,11
NM,F,2009,Iliana,11
NM,F,2009,Iris,11
NM,F,2009,Jacqueline,11
NM,F,2009,Jadyn,11
NM,F,2009,Jaqueline,11
NM,F,2009,Kailey,11
NM,F,2009,Kyra,11
NM,F,2009,Mary,11
NM,F,2009,Mckenzie,11
NM,F,2009,Monique,11
NM,F,2009,Paola,11
NM,F,2009,Presley,11
NM,F,2009,Rebecca,11
NM,F,2009,Samara,11
NM,F,2009,Sara,11
NM,F,2009,Scarlett,11
NM,F,2009,Valentina,11
NM,F,2009,Valerie,11
NM,F,2009,Annabelle,10
NM,F,2009,Aspen,10
NM,F,2009,Athena,10
NM,F,2009,Carolina,10
NM,F,2009,Cassandra,10
NM,F,2009,Christina,10
NM,F,2009,Diana,10
NM,F,2009,Hazel,10
NM,F,2009,Itzel,10
NM,F,2009,Jayda,10
NM,F,2009,Jaylene,10
NM,F,2009,Joslyn,10
NM,F,2009,Lucia,10
NM,F,2009,Lydia,10
NM,F,2009,Madilynn,10
NM,F,2009,Mercedes,10
NM,F,2009,Molly,10
NM,F,2009,Monica,10
NM,F,2009,Sophie,10
NM,F,2009,Thalia,10
NM,F,2009,Veronica,10
NM,F,2009,Viviana,10
NM,F,2009,Yareli,10
NM,F,2009,Addyson,9
NM,F,2009,Alana,9
NM,F,2009,Aleah,9
NM,F,2009,Alessandra,9
NM,F,2009,Allyson,9
NM,F,2009,Amanda,9
NM,F,2009,Analia,9
NM,F,2009,Audrina,9
NM,F,2009,Camille,9
NM,F,2009,Carmen,9
NM,F,2009,Cassidy,9
NM,F,2009,Desiree,9
NM,F,2009,Emilia,9
NM,F,2009,Harmony,9
NM,F,2009,Heaven,9
NM,F,2009,Jaiden,9
NM,F,2009,Janelle,9
NM,F,2009,Jazlynn,9
NM,F,2009,Joanna,9
NM,F,2009,Kara,9
NM,F,2009,Karla,9
NM,F,2009,Kate,9
NM,F,2009,Katherine,9
NM,F,2009,Kiera,9
NM,F,2009,Lacey,9
NM,F,2009,Lucy,9
NM,F,2009,Melissa,9
NM,F,2009,Nizhoni,9
NM,F,2009,Sabrina,9
NM,F,2009,Sasha,9
NM,F,2009,Summer,9
NM,F,2009,Unique,9
NM,F,2009,Yaritza,9
NM,F,2009,Allie,8
NM,F,2009,Aubree,8
NM,F,2009,Brielle,8
NM,F,2009,Brooklynn,8
NM,F,2009,Cadence,8
NM,F,2009,Caroline,8
NM,F,2009,Catherine,8
NM,F,2009,Celeste,8
NM,F,2009,Ciara,8
NM,F,2009,Clarissa,8
NM,F,2009,Daniella,8
NM,F,2009,Denise,8
NM,F,2009,Isis,8
NM,F,2009,Jaidyn,8
NM,F,2009,Jamie,8
NM,F,2009,Jayleen,8
NM,F,2009,Jenna,8
NM,F,2009,Josephine,8
NM,F,2009,Juliette,8
NM,F,2009,Kayleigh,8
NM,F,2009,Kiana,8
NM,F,2009,Leila,8
NM,F,2009,London,8
NM,F,2009,Makenzie,8
NM,F,2009,Maliyah,8
NM,F,2009,Margaret,8
NM,F,2009,Marianna,8
NM,F,2009,Marie,8
NM,F,2009,Marina,8
NM,F,2009,Marisa,8
NM,F,2009,Mckenna,8
NM,F,2009,Mireya,8
NM,F,2009,Miriam,8
NM,F,2009,Nataly,8
NM,F,2009,Natasha,8
NM,F,2009,Norah,8
NM,F,2009,Penelope,8
NM,F,2009,Rebekah,8
NM,F,2009,Regina,8
NM,F,2009,Sage,8
NM,F,2009,Serena,8
NM,F,2009,Shania,8
NM,F,2009,Stella,8
NM,F,2009,Teagan,8
NM,F,2009,Adalyn,7
NM,F,2009,Alivia,7
NM,F,2009,Aliya,7
NM,F,2009,Amara,7
NM,F,2009,Amelie,7
NM,F,2009,Ana,7
NM,F,2009,Analicia,7
NM,F,2009,Arielle,7
NM,F,2009,Brittany,7
NM,F,2009,Caylee,7
NM,F,2009,Charlize,7
NM,F,2009,Crystal,7
NM,F,2009,Dakota,7
NM,F,2009,Damaris,7
NM,F,2009,Destinee,7
NM,F,2009,Dominique,7
NM,F,2009,Erin,7
NM,F,2009,Evangeline,7
NM,F,2009,Hadassah,7
NM,F,2009,Helena,7
NM,F,2009,Isla,7
NM,F,2009,Ivy,7
NM,F,2009,Jaelyn,7
NM,F,2009,Jaelynn,7
NM,F,2009,Jayde,7
NM,F,2009,Johanna,7
NM,F,2009,Kadence,7
NM,F,2009,Karen,7
NM,F,2009,Katelynn,7
NM,F,2009,Kathryn,7
NM,F,2009,Katie,7
NM,F,2009,Katrina,7
NM,F,2009,Kaydence,7
NM,F,2009,Kianna,7
NM,F,2009,Kimora,7
NM,F,2009,Kira,7
NM,F,2009,Lana,7
NM,F,2009,Lluvia,7
NM,F,2009,Lorelei,7
