StateCode,Sex,YearOfBirth,Name,Number
NM,M,1972,Ben,13
NM,M,1972,Bradley,13
NM,M,1972,Felix,13
NM,M,1972,Ivan,13
NM,M,1972,Joey,13
NM,M,1972,Kelly,13
NM,M,1972,Lorenzo,13
NM,M,1972,Louis,13
NM,M,1972,Philip,13
NM,M,1972,Ralph,13
NM,M,1972,Randall,13
NM,M,1972,Stanley,13
NM,M,1972,Virgil,13
NM,M,1972,Brent,12
NM,M,1972,Clifford,12
NM,M,1972,Dale,12
NM,M,1972,Dean,12
NM,M,1972,Jared,12
NM,M,1972,Jeff,12
NM,M,1972,Jody,12
NM,M,1972,Leroy,12
NM,M,1972,Micheal,12
NM,M,1972,Oscar,12
NM,M,1972,Zachary,12
NM,M,1972,Benny,11
NM,M,1972,Brett,11
NM,M,1972,Donovan,11
NM,M,1972,Rafael,11
NM,M,1972,Sammy,11
NM,M,1972,Tomas,11
NM,M,1972,Andres,10
NM,M,1972,Angelo,10
NM,M,1972,Corey,10
NM,M,1972,Damian,10
NM,M,1972,Dustin,10
NM,M,1972,Eddie,10
NM,M,1972,Ervin,10
NM,M,1972,Fred,10
NM,M,1972,Hector,10
NM,M,1972,Ian,10
NM,M,1972,Julius,10
NM,M,1972,Theodore,10
NM,M,1972,Alexander,9
NM,M,1972,Andre,9
NM,M,1972,Christian,9
NM,M,1972,Cody,9
NM,M,1972,Fabian,9
NM,M,1972,Glenn,9
NM,M,1972,Jayson,9
NM,M,1972,Jessie,9
NM,M,1972,Jim,9
NM,M,1972,Kirk,9
NM,M,1972,Marcos,9
NM,M,1972,Milton,9
NM,M,1972,Neil,9
NM,M,1972,Salvador,9
NM,M,1972,Alan,8
NM,M,1972,Alejandro,8
NM,M,1972,Armando,8
NM,M,1972,Arturo,8
NM,M,1972,Delbert,8
NM,M,1972,Derrick,8
NM,M,1972,Ernesto,8
NM,M,1972,Ernie,8
NM,M,1972,Gene,8
NM,M,1972,Gerard,8
NM,M,1972,Glen,8
NM,M,1972,Ignacio,8
NM,M,1972,Jaime,8
NM,M,1972,Lonnie,8
NM,M,1972,Loren,8
NM,M,1972,Louie,8
NM,M,1972,Pete,8
NM,M,1972,Raul,8
NM,M,1972,Rene,8
NM,M,1972,Ted,8
NM,M,1972,Wesley,8
NM,M,1972,Bruce,7
NM,M,1972,Cedric,7
NM,M,1972,Clayton,7
NM,M,1972,Damon,7
NM,M,1972,Darryl,7
NM,M,1972,Daryl,7
NM,M,1972,Eli,7
NM,M,1972,Everett,7
NM,M,1972,Farrell,7
NM,M,1972,Greg,7
NM,M,1972,Heath,7
NM,M,1972,Jack,7
NM,M,1972,Joaquin,7
NM,M,1972,Jude,7
NM,M,1972,Karl,7
NM,M,1972,Kurt,7
NM,M,1972,Marc,7
NM,M,1972,Mike,7
NM,M,1972,Preston,7
NM,M,1972,Stuart,7
NM,M,1972,Terrence,7
NM,M,1972,Tom,7
NM,M,1972,Wade,7
NM,M,1972,Abraham,6
NM,M,1972,Amos,6
NM,M,1972,Andy,6
NM,M,1972,Barry,6
NM,M,1972,Bernie,6
NM,M,1972,Byron,6
NM,M,1972,Calvin,6
NM,M,1972,Charlie,6
NM,M,1972,Clint,6
NM,M,1972,Conrad,6
