StateCode,Sex,YearOfBirth,Name,Number
NM,M,1998,Franklin,5
NM,M,1998,Frederick,5
NM,M,1998,Gavyn,5
NM,M,1998,Giovanni,5
NM,M,1998,Grant,5
NM,M,1998,Guillermo,5
NM,M,1998,Harley,5
NM,M,1998,Harrison,5
NM,M,1998,Jace,5
NM,M,1998,Jaren,5
NM,M,1998,Jarred,5
NM,M,1998,Justus,5
NM,M,1998,Juwan,5
NM,M,1998,Lance,5
NM,M,1998,Leon,5
NM,M,1998,Livan,5
NM,M,1998,Loren,5
NM,M,1998,Malachi,5
NM,M,1998,Malik,5
NM,M,1998,Marquez,5
NM,M,1998,Marvin,5
NM,M,1998,Nickolas,5
NM,M,1998,Orion,5
NM,M,1998,Quentin,5
NM,M,1998,Quintin,5
NM,M,1998,Rodrigo,5
NM,M,1998,Ross,5
NM,M,1998,Sage,5
NM,M,1998,Santana,5
NM,M,1998,Skylar,5
NM,M,1998,Sonny,5
NM,M,1998,Stephan,5
NM,M,1998,Sterling,5
NM,M,1998,Steve,5
NM,M,1998,Talon,5
NM,M,1998,Terrance,5
NM,M,1998,Tony,5
NM,M,1998,Uriah,5
NM,M,1998,Wayne,5
NM,M,1999,Jacob,233
NM,M,1999,Joshua,203
NM,M,1999,Michael,188
NM,M,1999,Matthew,175
NM,M,1999,Isaiah,168
NM,M,1999,Daniel,166
NM,M,1999,Joseph,164
NM,M,1999,Christopher,159
NM,M,1999,Brandon,157
NM,M,1999,Anthony,141
NM,M,1999,David,126
NM,M,1999,Jose,125
NM,M,1999,Jonathan,115
NM,M,1999,Andrew,113
NM,M,1999,Isaac,111
NM,M,1999,Nicholas,110
NM,M,1999,Jesus,109
NM,M,1999,Ryan,109
NM,M,1999,Tyler,108
NM,M,1999,Zachary,106
NM,M,1999,Gabriel,102
NM,M,1999,Adrian,95
NM,M,1999,Robert,92
NM,M,1999,Justin,89
NM,M,1999,Elijah,87
NM,M,1999,William,86
NM,M,1999,Carlos,85
NM,M,1999,Juan,85
NM,M,1999,Aaron,84
NM,M,1999,Antonio,83
NM,M,1999,Alexander,82
NM,M,1999,Dominic,82
NM,M,1999,John,82
NM,M,1999,Dylan,81
NM,M,1999,James,81
NM,M,1999,Noah,79
NM,M,1999,Jordan,77
NM,M,1999,Alejandro,75
NM,M,1999,Christian,75
NM,M,1999,Luis,75
NM,M,1999,Nathan,70
NM,M,1999,Julian,69
NM,M,1999,Richard,69
NM,M,1999,Samuel,69
NM,M,1999,Kyle,66
NM,M,1999,Miguel,66
NM,M,1999,Austin,65
NM,M,1999,Eric,65
NM,M,1999,Benjamin,62
NM,M,1999,Thomas,61
NM,M,1999,Ethan,60
NM,M,1999,Cameron,58
NM,M,1999,Diego,58
NM,M,1999,Manuel,58
NM,M,1999,Adam,56
NM,M,1999,Jason,55
NM,M,1999,Kevin,55
NM,M,1999,Andres,54
NM,M,1999,Nathaniel,54
NM,M,1999,Angel,52
NM,M,1999,Alex,50
NM,M,1999,Cody,50
NM,M,1999,Jeremy,49
NM,M,1999,Steven,48
NM,M,1999,Jeremiah,47
NM,M,1999,Xavier,47
NM,M,1999,Santiago,46
NM,M,1999,Seth,45
NM,M,1999,Marcos,44
NM,M,1999,Mario,44
NM,M,1999,Jesse,43
NM,M,1999,Marcus,43
NM,M,1999,Victor,43
NM,M,1999,Bryan,42
NM,M,1999,Caleb,42
NM,M,1999,Jared,42
NM,M,1999,Evan,41
NM,M,1999,Timothy,41
NM,M,1999,Francisco,39
NM,M,1999,Josiah,39
NM,M,1999,Devin,36
NM,M,1999,Patrick,36
NM,M,1999,Jack,35
NM,M,1999,Mark,35
NM,M,1999,Edward,34
NM,M,1999,Lucas,34
NM,M,1999,Hunter,33
NM,M,1999,Ian,33
NM,M,1999,Sean,33
NM,M,1999,Angelo,32
NM,M,1999,Brian,31
NM,M,1999,Dakota,31
NM,M,1999,Damian,31
NM,M,1999,Martin,31
NM,M,1999,Tristan,31
NM,M,1999,Ivan,30
NM,M,1999,Stephen,30
NM,M,1999,Jorge,29
NM,M,1999,Enrique,28
NM,M,1999,Lorenzo,28
NM,M,1999,Oscar,28
NM,M,1999,Ricardo,28
NM,M,1999,Charles,27
NM,M,1999,Ramon,27
NM,M,1999,Sergio,27
NM,M,1999,Aidan,26
NM,M,1999,Armando,26
NM,M,1999,Connor,26
NM,M,1999,Estevan,26
NM,M,1999,Erik,25
NM,M,1999,Javier,25
NM,M,1999,Johnny,25
NM,M,1999,Luke,25
NM,M,1999,Raymond,25
NM,M,1999,Alan,24
NM,M,1999,Ruben,24
NM,M,1999,Donovan,23
NM,M,1999,Dustin,23
NM,M,1999,Fabian,23
NM,M,1999,Jaime,23
NM,M,1999,Johnathan,23
NM,M,1999,Micah,23
NM,M,1999,Shawn,23
NM,M,1999,Derek,22
NM,M,1999,Eduardo,22
NM,M,1999,Elias,22
NM,M,1999,Emilio,22
NM,M,1999,Jeffrey,22
NM,M,1999,Joel,22
NM,M,1999,Logan,22
NM,M,1999,Mason,22
NM,M,1999,Paul,22
NM,M,1999,Wyatt,22
NM,M,1999,Jonathon,21
NM,M,1999,Marco,21
NM,M,1999,Omar,21
NM,M,1999,Sebastian,21
NM,M,1999,Shane,21
NM,M,1999,Tanner,21
NM,M,1999,Cesar,20
NM,M,1999,Henry,20
NM,M,1999,Trevor,20
NM,M,1999,Vincent,20
NM,M,1999,Chase,19
NM,M,1999,Cole,19
NM,M,1999,Gerardo,19
NM,M,1999,Trey,19
NM,M,1999,Alec,18
NM,M,1999,Alexis,18
NM,M,1999,Alfredo,18
NM,M,1999,Chance,18
NM,M,1999,Garrett,18
NM,M,1999,Liam,18
NM,M,1999,Mateo,18
NM,M,1999,Mathew,18
NM,M,1999,Nicolas,18
NM,M,1999,Rafael,18
NM,M,1999,Raul,18
NM,M,1999,Travis,18
NM,M,1999,Chandler,17
NM,M,1999,Devon,17
NM,M,1999,Maxwell,17
NM,M,1999,Adan,16
NM,M,1999,Bryce,16
NM,M,1999,Erick,16
NM,M,1999,Fernando,16
NM,M,1999,Jonah,16
NM,M,1999,Kenneth,16
NM,M,1999,Levi,16
NM,M,1999,Preston,16
NM,M,1999,Roberto,16
NM,M,1999,Roman,16
NM,M,1999,Taylor,16
NM,M,1999,Troy,16
NM,M,1999,Colton,15
NM,M,1999,George,15
NM,M,1999,Hector,15
NM,M,1999,Saul,15
NM,M,1999,Ty,15
NM,M,1999,Wesley,15
NM,M,1999,Arturo,14
NM,M,1999,Brendan,14
NM,M,1999,Cristian,14
NM,M,1999,Dalton,14
NM,M,1999,Dillon,14
NM,M,1999,Dominick,14
NM,M,1999,Ernesto,14
NM,M,1999,Gavin,14
NM,M,1999,Gregory,14
NM,M,1999,Keith,14
NM,M,1999,Pedro,14
NM,M,1999,Spencer,14
NM,M,1999,Terrell,14
NM,M,1999,Tyrell,14
NM,M,1999,Bradley,13
NM,M,1999,Isiah,13
NM,M,1999,Ismael,13
NM,M,1999,Lawrence,13
NM,M,1999,Leonardo,13
NM,M,1999,Mitchell,13
NM,M,1999,Peter,13
NM,M,1999,Tristen,13
NM,M,1999,Allen,12
NM,M,1999,Andre,12
NM,M,1999,Chad,12
NM,M,1999,Cruz,12
NM,M,1999,Darren,12
NM,M,1999,Esteban,12
NM,M,1999,Gilbert,12
NM,M,1999,Jaden,12
NM,M,1999,Jayden,12
NM,M,1999,Jerome,12
NM,M,1999,Jerry,12
NM,M,1999,Kaleb,12
NM,M,1999,Lance,12
NM,M,1999,Owen,12
NM,M,1999,Phillip,12
NM,M,1999,Riley,12
NM,M,1999,Skyler,12
NM,M,1999,Tomas,12
NM,M,1999,Zane,12
NM,M,1999,Brett,11
NM,M,1999,Damien,11
NM,M,1999,Damion,11
NM,M,1999,Dante,11
NM,M,1999,Eli,11
NM,M,1999,Irvin,11
NM,M,1999,Jackson,11
NM,M,1999,Joaquin,11
NM,M,1999,Johnathon,11
NM,M,1999,Kyler,11
NM,M,1999,Micheal,11
NM,M,1999,Noel,11
NM,M,1999,Orlando,11
NM,M,1999,Arthur,10
NM,M,1999,Benito,10
NM,M,1999,Brayden,10
NM,M,1999,Gage,10
NM,M,1999,Giovanni,10
NM,M,1999,Joe,10
NM,M,1999,Julio,10
NM,M,1999,Malachi,10
NM,M,1999,Marc,10
NM,M,1999,Randy,10
NM,M,1999,Reyes,10
NM,M,1999,Simon,10
NM,M,1999,Uriel,10
NM,M,1999,Abraham,9
NM,M,1999,Alfonso,9
NM,M,1999,Bryant,9
NM,M,1999,Colin,9
NM,M,1999,Corey,9
NM,M,1999,Cory,9
NM,M,1999,Damon,9
NM,M,1999,Darius,9
NM,M,1999,Edgar,9
NM,M,1999,Felix,9
NM,M,1999,Grant,9
NM,M,1999,Guillermo,9
NM,M,1999,Israel,9
NM,M,1999,Jimmy,9
NM,M,1999,Kody,9
NM,M,1999,Malik,9
NM,M,1999,Max,9
NM,M,1999,Nickolas,9
NM,M,1999,Rene,9
NM,M,1999,Roy,9
NM,M,1999,Salvador,9
NM,M,1999,Santana,9
NM,M,1999,Trenton,9
NM,M,1999,Abel,8
NM,M,1999,Albert,8
NM,M,1999,Ashton,8
NM,M,1999,Blake,8
NM,M,1999,Danny,8
NM,M,1999,Dennis,8
NM,M,1999,Dion,8
NM,M,1999,Emmanuel,8
NM,M,1999,Gilberto,8
NM,M,1999,Josue,8
NM,M,1999,Koby,8
NM,M,1999,Lane,8
NM,M,1999,Louis,8
NM,M,1999,Marvin,8
NM,M,1999,Pablo,8
NM,M,1999,Parker,8
NM,M,1999,Tommy,8
NM,M,1999,Tony,8
NM,M,1999,Triston,8
NM,M,1999,Tyrese,8
NM,M,1999,Zackary,8
NM,M,1999,Avery,7
NM,M,1999,Brady,7
NM,M,1999,Brenden,7
NM,M,1999,Brendon,7
NM,M,1999,Brennan,7
NM,M,1999,Brennen,7
NM,M,1999,Carl,7
NM,M,1999,Casey,7
NM,M,1999,Clayton,7
NM,M,1999,Dawson,7
NM,M,1999,Ezekiel,7
NM,M,1999,Jake,7
NM,M,1999,Jay,7
NM,M,1999,Jude,7
NM,M,1999,Kaden,7
NM,M,1999,Kameron,7
NM,M,1999,Kristian,7
NM,M,1999,Mariano,7
NM,M,1999,Moises,7
NM,M,1999,Morgan,7
NM,M,1999,Orion,7
NM,M,1999,Raymundo,7
NM,M,1999,Ricky,7
NM,M,1999,Rodney,7
NM,M,1999,Rogelio,7
NM,M,1999,Rudy,7
NM,M,1999,Sage,7
NM,M,1999,Scott,7
NM,M,1999,Sheldon,7
NM,M,1999,Theodore,7
NM,M,1999,Zachariah,7
NM,M,1999,Alberto,6
NM,M,1999,Alonzo,6
NM,M,1999,Ariel,6
NM,M,1999,Brent,6
NM,M,1999,Calvin,6
NM,M,1999,Colby,6
NM,M,1999,Cordell,6
NM,M,1999,Devyn,6
NM,M,1999,Donald,6
NM,M,1999,Emiliano,6
NM,M,1999,Eugene,6
NM,M,1999,Frank,6
NM,M,1999,Harrison,6
NM,M,1999,Izaiah,6
NM,M,1999,Jamal,6
NM,M,1999,Jarred,6
NM,M,1999,Jarrod,6
NM,M,1999,Jordon,6
NM,M,1999,Justice,6
NM,M,1999,Landon,6
NM,M,1999,Markus,6
NM,M,1999,Marshall,6
NM,M,1999,Miles,6
NM,M,1999,Noe,6
NM,M,1999,Reece,6
NM,M,1999,Shaun,6
NM,M,1999,Skylar,6
NM,M,1999,Solomon,6
NM,M,1999,Trent,6
NM,M,1999,Wade,6
NM,M,1999,Alfred,5
NM,M,1999,Allan,5
NM,M,1999,Alonso,5
NM,M,1999,Alvaro,5
NM,M,1999,Asher,5
NM,M,1999,Bailey,5
NM,M,1999,Bobby,5
NM,M,1999,Brayan,5
NM,M,1999,Carter,5
NM,M,1999,Chris,5
NM,M,1999,Collin,5
NM,M,1999,Conner,5
NM,M,1999,Corbin,5
NM,M,1999,Cyrus,5
NM,M,1999,Darian,5
NM,M,1999,Demetrius,5
NM,M,1999,Derrick,5
NM,M,1999,Dominique,5
NM,M,1999,Eddie,5
NM,M,1999,Emanuel,5
NM,M,1999,Ezequiel,5
NM,M,1999,Franklin,5
