StateCode,Sex,YearOfBirth,Name,Number
NV,F,1957,Michelle,10
NV,F,1957,Renee,10
NV,F,1957,Shirley,10
NV,F,1957,Tammy,10
NV,F,1957,Andrea,9
NV,F,1957,Christina,9
NV,F,1957,Gloria,9
NV,F,1957,Jo,9
NV,F,1957,Marianne,9
NV,F,1957,Michele,9
NV,F,1957,Robin,9
NV,F,1957,Sheryl,9
NV,F,1957,Christine,8
NV,F,1957,Marilyn,8
NV,F,1957,Martha,8
NV,F,1957,Maureen,8
NV,F,1957,Rita,8
NV,F,1957,Rose,8
NV,F,1957,Teri,8
NV,F,1957,Wendy,8
NV,F,1957,Angela,7
NV,F,1957,Becky,7
NV,F,1957,Carla,7
NV,F,1957,Evelyn,7
NV,F,1957,Joan,7
NV,F,1957,Joyce,7
NV,F,1957,Kelly,7
NV,F,1957,Shannon,7
NV,F,1957,Sheila,7
NV,F,1957,Terrie,7
NV,F,1957,Yvonne,7
NV,F,1957,Anne,6
NV,F,1957,Belinda,6
NV,F,1957,Bonnie,6
NV,F,1957,Dana,6
NV,F,1957,Erin,6
NV,F,1957,Jill,6
NV,F,1957,Jody,6
NV,F,1957,Juanita,6
NV,F,1957,Judith,6
NV,F,1957,Loretta,6
NV,F,1957,Monica,6
NV,F,1957,Pam,6
NV,F,1957,Patti,6
NV,F,1957,Rene,6
NV,F,1957,Roberta,6
NV,F,1957,Toni,6
NV,F,1957,Tracy,6
NV,F,1957,Vicky,6
NV,F,1957,Virginia,6
NV,F,1957,Vivian,6
NV,F,1957,Alice,5
NV,F,1957,Charlene,5
NV,F,1957,Colleen,5
NV,F,1957,Crystal,5
NV,F,1957,Dorothy,5
NV,F,1957,Edith,5
NV,F,1957,Ellen,5
NV,F,1957,Ginger,5
NV,F,1957,Gwendolyn,5
NV,F,1957,Jennifer,5
NV,F,1957,Jeri,5
NV,F,1957,Joni,5
NV,F,1957,Lee,5
NV,F,1957,Lois,5
NV,F,1957,Lynne,5
NV,F,1957,Margo,5
NV,F,1957,Melissa,5
NV,F,1957,Penny,5
NV,F,1957,Roxanne,5
NV,F,1957,Ruth,5
NV,F,1957,Sally,5
NV,F,1957,Shelley,5
NV,F,1957,Sheri,5
NV,F,1957,Suzanne,5
NV,F,1957,Trudy,5
NV,F,1957,Vanessa,5
NV,F,1958,Susan,68
NV,F,1958,Linda,65
NV,F,1958,Debra,61
NV,F,1958,Patricia,52
NV,F,1958,Lisa,44
NV,F,1958,Cheryl,42
NV,F,1958,Mary,40
NV,F,1958,Julie,38
NV,F,1958,Cynthia,37
NV,F,1958,Deborah,34
NV,F,1958,Pamela,34
NV,F,1958,Kathleen,33
NV,F,1958,Debbie,32
NV,F,1958,Karen,32
NV,F,1958,Sandra,32
NV,F,1958,Kathy,30
NV,F,1958,Kim,30
NV,F,1958,Brenda,29
NV,F,1958,Barbara,28
NV,F,1958,Cindy,28
NV,F,1958,Sharon,28
NV,F,1958,Elizabeth,26
NV,F,1958,Donna,24
NV,F,1958,Lori,23
NV,F,1958,Diana,22
NV,F,1958,Carol,21
NV,F,1958,Catherine,20
NV,F,1958,Laura,20
NV,F,1958,Nancy,20
NV,F,1958,Denise,19
NV,F,1958,Janet,19
NV,F,1958,Judy,19
NV,F,1958,Leslie,19
NV,F,1958,Teresa,19
NV,F,1958,Katherine,18
NV,F,1958,Kelly,18
NV,F,1958,Theresa,18
NV,F,1958,Cathy,17
NV,F,1958,Tammy,17
NV,F,1958,Carolyn,16
NV,F,1958,Janice,16
NV,F,1958,Joyce,16
NV,F,1958,Tina,16
NV,F,1958,Diane,15
NV,F,1958,Peggy,15
NV,F,1958,Valerie,15
NV,F,1958,Kimberly,14
NV,F,1958,Michelle,14
NV,F,1958,Paula,14
NV,F,1958,Rhonda,14
NV,F,1958,Robin,14
NV,F,1958,Anna,13
NV,F,1958,Dawn,13
NV,F,1958,Sherry,13
NV,F,1958,Terri,13
NV,F,1958,Jennifer,12
NV,F,1958,Shirley,12
NV,F,1958,Connie,11
NV,F,1958,Gina,11
NV,F,1958,Jacqueline,11
NV,F,1958,Michele,11
NV,F,1958,Sheila,11
NV,F,1958,Tami,11
NV,F,1958,Teri,11
NV,F,1958,Terry,11
NV,F,1958,Toni,11
NV,F,1958,Ann,10
NV,F,1958,Betty,10
NV,F,1958,Charlene,10
NV,F,1958,Elaine,10
NV,F,1958,Jo,10
NV,F,1958,Kathryn,10
NV,F,1958,Melody,10
NV,F,1958,Phyllis,10
NV,F,1958,Virginia,10
NV,F,1958,Anita,9
NV,F,1958,Beverly,9
NV,F,1958,Bonnie,9
NV,F,1958,Carla,9
NV,F,1958,Christine,9
NV,F,1958,Jackie,9
NV,F,1958,Joan,9
NV,F,1958,Lynn,9
NV,F,1958,Marilyn,9
NV,F,1958,Rebecca,9
NV,F,1958,Renee,9
NV,F,1958,Stephanie,9
NV,F,1958,Vicki,9
NV,F,1958,Victoria,9
NV,F,1958,Wendy,9
NV,F,1958,Angela,8
NV,F,1958,Annette,8
NV,F,1958,Ellen,8
NV,F,1958,Gail,8
NV,F,1958,Margaret,8
NV,F,1958,Patty,8
NV,F,1958,Shannon,8
NV,F,1958,Tanya,8
NV,F,1958,Charlotte,7
NV,F,1958,Dorothy,7
NV,F,1958,Gloria,7
NV,F,1958,Holly,7
NV,F,1958,Jan,7
NV,F,1958,Jill,7
NV,F,1958,Laurie,7
NV,F,1958,Lynne,7
NV,F,1958,Mona,7
NV,F,1958,Ramona,7
NV,F,1958,Shelly,7
NV,F,1958,Sheryl,7
NV,F,1958,Stacy,7
NV,F,1958,Sylvia,7
NV,F,1958,Vickie,7
NV,F,1958,Wanda,7
NV,F,1958,Andrea,6
NV,F,1958,Darlene,6
NV,F,1958,Dianna,6
NV,F,1958,Helen,6
NV,F,1958,Jamie,6
NV,F,1958,Jane,6
NV,F,1958,Jean,6
NV,F,1958,Jenny,6
NV,F,1958,Jody,6
NV,F,1958,Maria,6
NV,F,1958,Marianne,6
NV,F,1958,Pam,6
NV,F,1958,Regina,6
NV,F,1958,Roberta,6
NV,F,1958,Ruth,6
NV,F,1958,Sherri,6
NV,F,1958,Sherrie,6
NV,F,1958,Suzanne,6
NV,F,1958,Yvonne,6
NV,F,1958,Anne,5
NV,F,1958,Becky,5
NV,F,1958,Beth,5
NV,F,1958,Cherie,5
NV,F,1958,Dana,5
NV,F,1958,Darla,5
NV,F,1958,Doris,5
NV,F,1958,Evelyn,5
NV,F,1958,Jeanette,5
NV,F,1958,Joann,5
NV,F,1958,Jolene,5
NV,F,1958,Joni,5
NV,F,1958,Joy,5
NV,F,1958,Kelli,5
NV,F,1958,Laurel,5
NV,F,1958,Lee,5
NV,F,1958,Loretta,5
NV,F,1958,Lorraine,5
NV,F,1958,Marjorie,5
NV,F,1958,Melinda,5
NV,F,1958,Melissa,5
NV,F,1958,Nadine,5
NV,F,1958,Shawna,5
NV,F,1958,Shelia,5
NV,F,1958,Sue,5
NV,F,1958,Tamara,5
NV,F,1958,Vicky,5
NV,F,1959,Linda,71
NV,F,1959,Susan,60
NV,F,1959,Karen,57
NV,F,1959,Debra,50
NV,F,1959,Mary,46
NV,F,1959,Patricia,39
NV,F,1959,Cindy,38
NV,F,1959,Lisa,38
NV,F,1959,Cynthia,36
NV,F,1959,Deborah,36
NV,F,1959,Kathy,36
NV,F,1959,Sandra,35
NV,F,1959,Laura,31
NV,F,1959,Donna,30
NV,F,1959,Nancy,28
NV,F,1959,Tammy,28
NV,F,1959,Debbie,27
NV,F,1959,Denise,26
NV,F,1959,Barbara,25
NV,F,1959,Kathleen,25
NV,F,1959,Lori,25
NV,F,1959,Michelle,24
NV,F,1959,Pamela,24
NV,F,1959,Teresa,24
NV,F,1959,Kim,23
NV,F,1959,Brenda,21
NV,F,1959,Cheryl,21
NV,F,1959,Elizabeth,21
NV,F,1959,Laurie,21
NV,F,1959,Rhonda,21
NV,F,1959,Julie,20
NV,F,1959,Kelly,20
NV,F,1959,Leslie,20
NV,F,1959,Carol,19
NV,F,1959,Robin,19
NV,F,1959,Tina,19
NV,F,1959,Diane,18
NV,F,1959,Theresa,18
NV,F,1959,Christine,17
NV,F,1959,Janet,17
NV,F,1959,Kimberly,17
NV,F,1959,Valerie,17
NV,F,1959,Margaret,16
NV,F,1959,Terri,16
NV,F,1959,Kathryn,15
NV,F,1959,Sharon,15
NV,F,1959,Dawn,14
NV,F,1959,Diana,14
NV,F,1959,Janice,14
NV,F,1959,Judy,14
NV,F,1959,Stephanie,14
NV,F,1959,Catherine,13
NV,F,1959,Rebecca,13
NV,F,1959,Helen,12
NV,F,1959,Jill,12
NV,F,1959,Virginia,12
NV,F,1959,Anna,11
NV,F,1959,Connie,11
NV,F,1959,Gina,11
NV,F,1959,Lynn,11
NV,F,1959,Pam,11
NV,F,1959,Sandy,11
NV,F,1959,Terry,11
NV,F,1959,Vickie,11
NV,F,1959,Angela,10
NV,F,1959,Anita,10
NV,F,1959,Betty,10
NV,F,1959,Cathy,10
NV,F,1959,Colleen,10
NV,F,1959,Gail,10
NV,F,1959,Joyce,10
NV,F,1959,Patti,10
NV,F,1959,Paula,10
NV,F,1959,Sheri,10
NV,F,1959,Sherri,10
NV,F,1959,Sheryl,10
NV,F,1959,Tamara,10
NV,F,1959,Carolyn,9
NV,F,1959,Jacqueline,9
NV,F,1959,Joan,9
NV,F,1959,Marilyn,9
NV,F,1959,Peggy,9
NV,F,1959,Renee,9
NV,F,1959,Tammie,9
NV,F,1959,Victoria,9
NV,F,1959,Wendy,9
NV,F,1959,Yvonne,9
NV,F,1959,Annette,8
NV,F,1959,Carrie,8
NV,F,1959,Cheri,8
NV,F,1959,Dorothy,8
NV,F,1959,Katherine,8
NV,F,1959,Loretta,8
NV,F,1959,Lynda,8
NV,F,1959,Michele,8
NV,F,1959,Rose,8
NV,F,1959,Becky,7
NV,F,1959,Bonnie,7
NV,F,1959,Carla,7
NV,F,1959,Dana,7
NV,F,1959,Darlene,7
NV,F,1959,Elaine,7
NV,F,1959,Jane,7
NV,F,1959,Jean,7
NV,F,1959,Jennifer,7
NV,F,1959,Judith,7
NV,F,1959,Melanie,7
NV,F,1959,Roberta,7
NV,F,1959,Ruth,7
NV,F,1959,Sheila,7
NV,F,1959,Sherry,7
NV,F,1959,Shirley,7
NV,F,1959,Toni,7
NV,F,1959,Vicki,7
NV,F,1959,Beverly,6
NV,F,1959,Doris,6
NV,F,1959,Erin,6
NV,F,1959,Jamie,6
NV,F,1959,Jana,6
NV,F,1959,Jodi,6
NV,F,1959,Kelli,6
NV,F,1959,Martha,6
NV,F,1959,Melody,6
NV,F,1959,Shelly,6
NV,F,1959,Wanda,6
NV,F,1959,Allison,5
NV,F,1959,Ann,5
NV,F,1959,April,5
NV,F,1959,Cari,5
NV,F,1959,Charlene,5
NV,F,1959,Christina,5
NV,F,1959,Christy,5
NV,F,1959,Evelyn,5
NV,F,1959,Heidi,5
NV,F,1959,Holly,5
NV,F,1959,Jackie,5
NV,F,1959,Jan,5
NV,F,1959,Jeanne,5
NV,F,1959,Jo,5
NV,F,1959,Judi,5
NV,F,1959,Julia,5
NV,F,1959,June,5
NV,F,1959,Lorraine,5
NV,F,1959,Maria,5
NV,F,1959,Marianne,5
NV,F,1959,Marie,5
NV,F,1959,Marla,5
NV,F,1959,Melissa,5
NV,F,1959,Penny,5
NV,F,1959,Rita,5
NV,F,1959,Rochelle,5
NV,F,1959,Ronda,5
NV,F,1959,Roxanne,5
NV,F,1959,Sara,5
NV,F,1959,Susie,5
NV,F,1959,Tami,5
NV,F,1959,Tanya,5
NV,F,1959,Teri,5
NV,F,1959,Tracy,5
NV,F,1959,Wilma,5
NV,F,1960,Lisa,66
NV,F,1960,Linda,53
NV,F,1960,Mary,50
NV,F,1960,Teresa,49
NV,F,1960,Karen,48
NV,F,1960,Brenda,47
NV,F,1960,Susan,44
NV,F,1960,Donna,43
NV,F,1960,Patricia,43
NV,F,1960,Lori,41
NV,F,1960,Denise,40
NV,F,1960,Debbie,39
NV,F,1960,Cynthia,38
NV,F,1960,Kathy,38
NV,F,1960,Debra,36
NV,F,1960,Cindy,35
NV,F,1960,Kim,34
NV,F,1960,Cheryl,32
NV,F,1960,Sandra,32
NV,F,1960,Michelle,30
NV,F,1960,Nancy,29
NV,F,1960,Pamela,29
NV,F,1960,Laura,27
NV,F,1960,Barbara,26
NV,F,1960,Robin,26
NV,F,1960,Tina,26
NV,F,1960,Carol,25
NV,F,1960,Tammy,25
NV,F,1960,Deborah,24
NV,F,1960,Julie,24
NV,F,1960,Kelly,24
NV,F,1960,Diane,23
NV,F,1960,Janice,21
NV,F,1960,Jennifer,21
