StateCode,Sex,YearOfBirth,Name,Number
NV,F,1998,Alison,12
NV,F,1998,Anastasia,12
NV,F,1998,Audrey,12
NV,F,1998,Bryanna,12
NV,F,1998,Cameron,12
NV,F,1998,Cheyanne,12
NV,F,1998,Christine,12
NV,F,1998,Diamond,12
NV,F,1998,Hanna,12
NV,F,1998,Kathryn,12
NV,F,1998,Kira,12
NV,F,1998,Kirsten,12
NV,F,1998,Krystal,12
NV,F,1998,Mercedes,12
NV,F,1998,Paola,12
NV,F,1998,Patricia,12
NV,F,1998,Priscilla,12
NV,F,1998,Rebekah,12
NV,F,1998,Serena,12
NV,F,1998,Alexus,11
NV,F,1998,Aubrey,11
NV,F,1998,Camille,11
NV,F,1998,Dakota,11
NV,F,1998,Deanna,11
NV,F,1998,Denise,11
NV,F,1998,Elena,11
NV,F,1998,Felicia,11
NV,F,1998,Hope,11
NV,F,1998,Jazmine,11
NV,F,1998,Kaitlynn,11
NV,F,1998,Kassidy,11
NV,F,1998,Katelynn,11
NV,F,1998,Meghan,11
NV,F,1998,Ruby,11
NV,F,1998,Skyler,11
NV,F,1998,Sofia,11
NV,F,1998,Valeria,11
NV,F,1998,Yasmin,11
NV,F,1998,Caroline,10
NV,F,1998,Ciara,10
NV,F,1998,Joanna,10
NV,F,1998,Kathleen,10
NV,F,1998,Kennedy,10
NV,F,1998,Kylee,10
NV,F,1998,Lacey,10
NV,F,1998,Logan,10
NV,F,1998,Lydia,10
NV,F,1998,Naomi,10
NV,F,1998,Natalia,10
NV,F,1998,Nina,10
NV,F,1998,Raquel,10
NV,F,1998,Rylee,10
NV,F,1998,Savanna,10
NV,F,1998,Sidney,10
NV,F,1998,Tatum,10
NV,F,1998,Tiana,10
NV,F,1998,Alana,9
NV,F,1998,Ashlyn,9
NV,F,1998,Aurora,9
NV,F,1998,Brenna,9
NV,F,1998,Brooklyn,9
NV,F,1998,Cristal,9
NV,F,1998,Eva,9
NV,F,1998,Janelle,9
NV,F,1998,Jasmin,9
NV,F,1998,Kailey,9
NV,F,1998,Kate,9
NV,F,1998,Lily,9
NV,F,1998,Lizette,9
NV,F,1998,Lorena,9
NV,F,1998,Marina,9
NV,F,1998,Marisa,9
NV,F,1998,Marisol,9
NV,F,1998,Mayra,9
NV,F,1998,Monique,9
NV,F,1998,Nayeli,9
NV,F,1998,Paris,9
NV,F,1998,Tierra,9
NV,F,1998,Yasmine,9
NV,F,1998,Alexia,8
NV,F,1998,Ashleigh,8
NV,F,1998,Aylin,8
NV,F,1998,Beatriz,8
NV,F,1998,Carly,8
NV,F,1998,Daria,8
NV,F,1998,Gloria,8
NV,F,1998,Hailee,8
NV,F,1998,Heaven,8
NV,F,1998,Irene,8
NV,F,1998,Jillian,8
NV,F,1998,Julianna,8
NV,F,1998,Linda,8
NV,F,1998,Madeleine,8
NV,F,1998,Makenna,8
NV,F,1998,Nataly,8
NV,F,1998,Nathalie,8
NV,F,1998,Odalys,8
NV,F,1998,Rachael,8
NV,F,1998,Rhiannon,8
NV,F,1998,Tania,8
NV,F,1998,Tia,8
NV,F,1998,Tiara,8
NV,F,1998,Tyler,8
NV,F,1998,Aileen,7
NV,F,1998,Alisa,7
NV,F,1998,Ally,7
NV,F,1998,Alyson,7
NV,F,1998,Asia,7
NV,F,1998,Athena,7
NV,F,1998,Avery,7
NV,F,1998,Babygirl,7
NV,F,1998,Casey,7
NV,F,1998,Christy,7
NV,F,1998,Cristina,7
NV,F,1998,Deja,7
NV,F,1998,Delaney,7
NV,F,1998,Iris,7
NV,F,1998,Itzel,7
NV,F,1998,Janet,7
NV,F,1998,Jenifer,7
NV,F,1998,Jenny,7
NV,F,1998,Justine,7
NV,F,1998,Kali,7
NV,F,1998,Kristin,7
NV,F,1998,Kristina,7
NV,F,1998,Leilani,7
NV,F,1998,Lesley,7
NV,F,1998,Lillian,7
NV,F,1998,Lizbeth,7
NV,F,1998,Luz,7
NV,F,1998,Madelyn,7
NV,F,1998,Mallory,7
NV,F,1998,Marlene,7
NV,F,1998,Mya,7
NV,F,1998,Payton,7
NV,F,1998,Sadie,7
NV,F,1998,Salma,7
NV,F,1998,Sasha,7
NV,F,1998,Shyanne,7
NV,F,1998,Susana,7
NV,F,1998,Teresa,7
NV,F,1998,Vanesa,7
NV,F,1998,Vivian,7
NV,F,1998,Wendy,7
NV,F,1998,Yessenia,7
NV,F,1998,Zoey,7
NV,F,1998,Aaliyah,6
NV,F,1998,Alisha,6
NV,F,1998,Allie,6
NV,F,1998,Annie,6
NV,F,1998,Arely,6
NV,F,1998,Ashton,6
NV,F,1998,Barbara,6
NV,F,1998,Bridget,6
NV,F,1998,Britney,6
NV,F,1998,Brooklynn,6
NV,F,1998,Carmen,6
NV,F,1998,Carolyn,6
NV,F,1998,Celine,6
NV,F,1998,Chelsey,6
NV,F,1998,Ciera,6
NV,F,1998,Darian,6
NV,F,1998,Destinee,6
NV,F,1998,Devyn,6
NV,F,1998,Elissa,6
NV,F,1998,Fatima,6
NV,F,1998,Genevieve,6
NV,F,1998,Gianna,6
NV,F,1998,Gillian,6
NV,F,1998,Graciela,6
NV,F,1998,Hallie,6
NV,F,1998,Harley,6
NV,F,1998,Haylee,6
NV,F,1998,Heidi,6
NV,F,1998,Imani,6
NV,F,1998,Jewel,6
NV,F,1998,Josie,6
NV,F,1998,Julie,6
NV,F,1998,Kaylie,6
NV,F,1998,Kaylyn,6
NV,F,1998,Kenna,6
NV,F,1998,Kierra,6
NV,F,1998,Krista,6
NV,F,1998,Leann,6
NV,F,1998,Lesly,6
NV,F,1998,Leticia,6
NV,F,1998,Macy,6
NV,F,1998,Maddison,6
NV,F,1998,Margarita,6
NV,F,1998,Maribel,6
NV,F,1998,Mariela,6
NV,F,1998,Maritza,6
NV,F,1998,Martha,6
NV,F,1998,Mckayla,6
NV,F,1998,Molly,6
NV,F,1998,Neida,6
NV,F,1998,Priscila,6
NV,F,1998,Renee,6
NV,F,1998,Shania,6
NV,F,1998,Shawna,6
NV,F,1998,Sophie,6
NV,F,1998,Tabitha,6
NV,F,1998,Tamara,6
NV,F,1998,Tamia,6
NV,F,1998,Tara,6
NV,F,1998,Tayler,6
NV,F,1998,Addison,5
NV,F,1998,Aimee,5
NV,F,1998,Alena,5
NV,F,1998,Alexi,5
NV,F,1998,Aliyah,5
NV,F,1998,Alysia,5
NV,F,1998,Amira,5
NV,F,1998,Annette,5
NV,F,1998,Ashlynn,5
NV,F,1998,Bailee,5
NV,F,1998,Breanne,5
NV,F,1998,Camryn,5
NV,F,1998,Carla,5
NV,F,1998,Carlee,5
NV,F,1998,Carli,5
NV,F,1998,Catalina,5
NV,F,1998,Chandler,5
NV,F,1998,Constance,5
NV,F,1998,Cora,5
NV,F,1998,Corrina,5
NV,F,1998,Darby,5
NV,F,1998,Devon,5
NV,F,1998,Elisa,5
NV,F,1998,Emilia,5
NV,F,1998,Ericka,5
NV,F,1998,Estefani,5
NV,F,1998,Estefany,5
NV,F,1998,Esther,5
NV,F,1998,Gina,5
NV,F,1998,Halle,5
NV,F,1998,Helen,5
NV,F,1998,Ivy,5
NV,F,1998,Jackeline,5
NV,F,1998,Jacquelyn,5
NV,F,1998,Jada,5
NV,F,1998,Jeanette,5
NV,F,1998,Jessie,5
NV,F,1998,Julissa,5
NV,F,1998,Kacie,5
NV,F,1998,Kailee,5
NV,F,1998,Kassandra,5
NV,F,1998,Kayleigh,5
NV,F,1998,Keely,5
NV,F,1998,Kellie,5
NV,F,1998,Kelsi,5
NV,F,1998,Lea,5
NV,F,1998,Leanna,5
NV,F,1998,Lidia,5
NV,F,1998,Lizeth,5
NV,F,1998,Lourdes,5
NV,F,1998,Lucia,5
NV,F,1998,Lyric,5
NV,F,1998,Malia,5
NV,F,1998,Marilyn,5
NV,F,1998,Meagan,5
NV,F,1998,Miriam,5
NV,F,1998,Nadia,5
NV,F,1998,Noemi,5
NV,F,1998,Precious,5
NV,F,1998,Rachelle,5
NV,F,1998,Rebeca,5
NV,F,1998,Reilly,5
NV,F,1998,Reyna,5
NV,F,1998,Rocio,5
NV,F,1998,Rose,5
NV,F,1998,Savanah,5
NV,F,1998,Shayla,5
NV,F,1998,Silvia,5
NV,F,1998,Sonia,5
NV,F,1998,Stella,5
NV,F,1998,Stephany,5
NV,F,1998,Stevie,5
NV,F,1998,Susan,5
NV,F,1998,Sydnee,5
NV,F,1998,Tessa,5
NV,F,1998,Tianna,5
NV,F,1998,Tori,5
NV,F,1998,Virginia,5
NV,F,1998,Yajaira,5
NV,F,1998,Yessica,5
NV,F,1998,Yolanda,5
NV,F,1999,Samantha,147
NV,F,1999,Taylor,141
NV,F,1999,Emily,140
NV,F,1999,Ashley,129
NV,F,1999,Madison,129
NV,F,1999,Jessica,121
NV,F,1999,Alexis,119
NV,F,1999,Jennifer,119
NV,F,1999,Hannah,117
NV,F,1999,Alyssa,113
NV,F,1999,Megan,103
NV,F,1999,Sarah,92
NV,F,1999,Jasmine,85
NV,F,1999,Kayla,83
NV,F,1999,Brianna,82
NV,F,1999,Elizabeth,77
NV,F,1999,Nicole,73
NV,F,1999,Sierra,72
NV,F,1999,Victoria,72
NV,F,1999,Alexandra,71
NV,F,1999,Stephanie,71
NV,F,1999,Rachel,67
NV,F,1999,Sydney,67
NV,F,1999,Vanessa,67
NV,F,1999,Lauren,63
NV,F,1999,Amanda,62
NV,F,1999,Kaitlyn,61
NV,F,1999,Destiny,60
NV,F,1999,Melissa,60
NV,F,1999,Savannah,60
NV,F,1999,Michelle,59
NV,F,1999,Maria,58
NV,F,1999,Hailey,55
NV,F,1999,Kimberly,53
NV,F,1999,Natalie,53
NV,F,1999,Abigail,51
NV,F,1999,Emma,51
NV,F,1999,Amber,50
NV,F,1999,Morgan,50
NV,F,1999,Julia,48
NV,F,1999,Olivia,48
NV,F,1999,Danielle,46
NV,F,1999,Bailey,45
NV,F,1999,Brooke,43
NV,F,1999,Sara,43
NV,F,1999,Jacqueline,42
NV,F,1999,Jenna,42
NV,F,1999,Brittany,41
NV,F,1999,Leslie,41
NV,F,1999,Mariah,41
NV,F,1999,Allison,40
NV,F,1999,Courtney,40
NV,F,1999,Alexa,39
NV,F,1999,Veronica,39
NV,F,1999,Andrea,38
NV,F,1999,Diana,38
NV,F,1999,Breanna,37
NV,F,1999,Jordan,37
NV,F,1999,Isabel,36
NV,F,1999,Angelica,35
NV,F,1999,Adriana,34
NV,F,1999,Jade,34
NV,F,1999,Isabella,33
NV,F,1999,Rebecca,33
NV,F,1999,Kaylee,32
NV,F,1999,Kylie,32
NV,F,1999,Makayla,32
NV,F,1999,Ariana,31
NV,F,1999,Chloe,31
NV,F,1999,Shelby,31
NV,F,1999,Angela,30
NV,F,1999,Haley,30
NV,F,1999,Jasmin,30
NV,F,1999,Karina,30
NV,F,1999,Marissa,30
NV,F,1999,Cassandra,29
NV,F,1999,Faith,29
NV,F,1999,Laura,29
NV,F,1999,Mary,29
NV,F,1999,Yesenia,29
NV,F,1999,Amy,28
NV,F,1999,Karla,28
NV,F,1999,Katie,28
NV,F,1999,Alondra,27
NV,F,1999,Crystal,27
NV,F,1999,Daisy,27
NV,F,1999,Giselle,27
NV,F,1999,Jocelyn,27
NV,F,1999,Kiara,27
NV,F,1999,Mackenzie,27
NV,F,1999,Melanie,27
NV,F,1999,Anna,26
NV,F,1999,Cheyenne,26
NV,F,1999,Esmeralda,26
NV,F,1999,Gabrielle,26
NV,F,1999,Paige,26
NV,F,1999,Sophia,26
NV,F,1999,Tiffany,26
NV,F,1999,Alicia,25
NV,F,1999,Briana,25
NV,F,1999,Cynthia,25
NV,F,1999,Gabriella,25
NV,F,1999,Mckenna,25
NV,F,1999,Evelyn,24
NV,F,1999,Monica,24
NV,F,1999,Sabrina,24
NV,F,1999,Brenda,23
NV,F,1999,Cassidy,23
NV,F,1999,Christina,23
NV,F,1999,Jazmin,23
NV,F,1999,Alejandra,22
NV,F,1999,Ana,22
NV,F,1999,Caitlyn,22
NV,F,1999,Daniela,22
NV,F,1999,Heather,22
NV,F,1999,Katelyn,22
NV,F,1999,Skylar,22
NV,F,1999,Cindy,21
NV,F,1999,Dominique,21
NV,F,1999,Erika,21
NV,F,1999,Hayley,21
NV,F,1999,Lizbeth,21
NV,F,1999,Autumn,20
NV,F,1999,Shannon,20
NV,F,1999,Alexandria,19
NV,F,1999,Brittney,19
NV,F,1999,Grace,19
NV,F,1999,Hope,19
NV,F,1999,Kelly,19
NV,F,1999,Lindsey,19
NV,F,1999,Mia,19
NV,F,1999,Mikayla,19
NV,F,1999,Summer,19
NV,F,1999,Angelina,18
NV,F,1999,Erin,18
NV,F,1999,Gabriela,18
NV,F,1999,Guadalupe,18
NV,F,1999,Jamie,18
NV,F,1999,Jillian,18
NV,F,1999,Katherine,18
NV,F,1999,Miranda,18
NV,F,1999,Nancy,18
NV,F,1999,Arianna,17
NV,F,1999,Gianna,17
NV,F,1999,Hanna,17
NV,F,1999,Riley,17
NV,F,1999,Angel,16
NV,F,1999,Ashlyn,16
NV,F,1999,Catherine,16
NV,F,1999,Chelsea,16
NV,F,1999,Haylee,16
NV,F,1999,Kelsey,16
NV,F,1999,Kiana,16
NV,F,1999,Kyla,16
NV,F,1999,Lizeth,16
NV,F,1999,Patricia,16
NV,F,1999,April,15
NV,F,1999,Bianca,15
NV,F,1999,Carmen,15
NV,F,1999,Christine,15
NV,F,1999,Hunter,15
NV,F,1999,Jordyn,15
NV,F,1999,Kathryn,15
NV,F,1999,Leah,15
NV,F,1999,Makenzie,15
NV,F,1999,Mckenzie,15
NV,F,1999,Michaela,15
NV,F,1999,Naomi,15
NV,F,1999,Natalia,15
NV,F,1999,Ruby,15
NV,F,1999,Tara,15
NV,F,1999,Tatiana,15
NV,F,1999,Camryn,14
NV,F,1999,Carolina,14
NV,F,1999,Diamond,14
NV,F,1999,Erica,14
NV,F,1999,Kennedy,14
NV,F,1999,Makenna,14
NV,F,1999,Maya,14
NV,F,1999,Tyler,14
NV,F,1999,Cierra,13
NV,F,1999,Jaqueline,13
NV,F,1999,Karen,13
NV,F,1999,Kira,13
NV,F,1999,Kirsten,13
NV,F,1999,Lizette,13
NV,F,1999,Meghan,13
NV,F,1999,Monique,13
NV,F,1999,Rachael,13
NV,F,1999,Raven,13
NV,F,1999,Rylee,13
NV,F,1999,Sandra,13
NV,F,1999,Savanna,13
NV,F,1999,Sofia,13
NV,F,1999,Trinity,13
NV,F,1999,Whitney,13
NV,F,1999,Zoe,13
NV,F,1999,Adrianna,12
NV,F,1999,Alana,12
NV,F,1999,Anastasia,12
NV,F,1999,Casey,12
NV,F,1999,Deanna,12
NV,F,1999,Gisselle,12
