StateCode,Sex,YearOfBirth,Name,Number
NV,F,2014,Reyna,6
NV,F,2014,Rosemary,6
NV,F,2014,Royal,6
NV,F,2014,Rylan,6
NV,F,2014,Sarahi,6
NV,F,2014,Serena,6
NV,F,2014,Shayla,6
NV,F,2014,Shyla,6
NV,F,2014,Sloane,6
NV,F,2014,Taliyah,6
NV,F,2014,Tatum,6
NV,F,2014,Abby,5
NV,F,2014,Ada,5
NV,F,2014,Ailyn,5
NV,F,2014,Ainsley,5
NV,F,2014,Alanna,5
NV,F,2014,Alissa,5
NV,F,2014,Amari,5
NV,F,2014,Amelie,5
NV,F,2014,Amira,5
NV,F,2014,Anya,5
NV,F,2014,Ariah,5
NV,F,2014,Bailee,5
NV,F,2014,Belen,5
NV,F,2014,Brinley,5
NV,F,2014,Brookelynn,5
NV,F,2014,Carter,5
NV,F,2014,Cecilia,5
NV,F,2014,Clarissa,5
NV,F,2014,Cynthia,5
NV,F,2014,Dallas,5
NV,F,2014,Darlene,5
NV,F,2014,Dayanara,5
NV,F,2014,Denise,5
NV,F,2014,Elle,5
NV,F,2014,Emersyn,5
NV,F,2014,Esperanza,5
NV,F,2014,Evelynn,5
NV,F,2014,Ever,5
NV,F,2014,Felicity,5
NV,F,2014,Frankie,5
NV,F,2014,Georgia,5
NV,F,2014,Gina,5
NV,F,2014,Harlee,5
NV,F,2014,Heidi,5
NV,F,2014,Helen,5
NV,F,2014,Honesty,5
NV,F,2014,Ireland,5
NV,F,2014,Irie,5
NV,F,2014,Izabel,5
NV,F,2014,Janiyah,5
NV,F,2014,Jayda,5
NV,F,2014,Jayde,5
NV,F,2014,Jayden,5
NV,F,2014,Jenesis,5
NV,F,2014,Jenny,5
NV,F,2014,Jewel,5
NV,F,2014,Jillian,5
NV,F,2014,Josie,5
NV,F,2014,Julissa,5
NV,F,2014,Jurnee,5
NV,F,2014,Kathleen,5
NV,F,2014,Kenia,5
NV,F,2014,Kensley,5
NV,F,2014,Khaleesi,5
NV,F,2014,Kimber,5
NV,F,2014,Lilia,5
NV,F,2014,Lillyanna,5
NV,F,2014,Lina,5
NV,F,2014,Lindsay,5
NV,F,2014,Logan,5
NV,F,2014,Lorelei,5
NV,F,2014,Madalyn,5
NV,F,2014,Madilynn,5
NV,F,2014,Magdalena,5
NV,F,2014,Maisie,5
NV,F,2014,Malaysia,5
NV,F,2014,Maliyah,5
NV,F,2014,Marisol,5
NV,F,2014,Marjorie,5
NV,F,2014,Miah,5
NV,F,2014,Miriam,5
NV,F,2014,Nataly,5
NV,F,2014,Natasha,5
NV,F,2014,Nathalie,5
NV,F,2014,Paislee,5
NV,F,2014,Paityn,5
NV,F,2014,Patricia,5
NV,F,2014,Promise,5
NV,F,2014,Raelynn,5
NV,F,2014,Rebekah,5
NV,F,2014,Regina,5
NV,F,2014,Renee,5
NV,F,2014,River,5
NV,F,2014,Rosa,5
NV,F,2014,Rylynn,5
NV,F,2014,Sariah,5
NV,F,2014,Sherlyn,5
NV,F,2014,Siena,5
NV,F,2014,Symphony,5
NV,F,2014,Tatiana,5
NV,F,2014,Vera,5
NV,F,2014,Vida,5
NV,F,2014,Yamilet,5
NV,F,2014,Zara,5
NV,F,2014,Zoie,5
NV,F,2015,Sophia,188
NV,F,2015,Olivia,169
NV,F,2015,Mia,168
NV,F,2015,Isabella,158
NV,F,2015,Emma,156
NV,F,2015,Emily,117
NV,F,2015,Ava,110
NV,F,2015,Sofia,102
NV,F,2015,Abigail,101
NV,F,2015,Charlotte,84
NV,F,2015,Elizabeth,81
NV,F,2015,Scarlett,79
NV,F,2015,Camila,78
NV,F,2015,Madison,77
NV,F,2015,Alexa,76
NV,F,2015,Lily,75
NV,F,2015,Victoria,75
NV,F,2015,Chloe,74
NV,F,2015,Zoey,72
NV,F,2015,Penelope,70
NV,F,2015,Ariana,69
NV,F,2015,Aria,67
NV,F,2015,Zoe,66
NV,F,2015,Harper,64
NV,F,2015,Natalie,63
NV,F,2015,Avery,62
NV,F,2015,Amelia,61
NV,F,2015,Aaliyah,58
NV,F,2015,Evelyn,57
NV,F,2015,Aubrey,56
