StateCode,Sex,YearOfBirth,Name,Number
NY,F,1923,Erna,17
NY,F,1923,Francis,17
NY,F,1923,Joseph,17
NY,F,1923,Loraine,17
NY,F,1923,Marianne,17
NY,F,1923,Maude,17
NY,F,1923,Albina,16
NY,F,1923,Cathleen,16
NY,F,1923,Elayne,16
NY,F,1923,Iona,16
NY,F,1923,Olympia,16
NY,F,1923,Santina,16
NY,F,1923,Aurelia,15
NY,F,1923,Beth,15
NY,F,1923,Catharine,15
NY,F,1923,Clementine,15
NY,F,1923,Edward,15
NY,F,1923,Elisabeth,15
NY,F,1923,Evangeline,15
NY,F,1923,Eve,15
NY,F,1923,James,15
NY,F,1923,Joann,15
NY,F,1923,Mercedes,15
NY,F,1923,Robert,15
NY,F,1923,Therese,15
NY,F,1923,Vivienne,15
NY,F,1923,Yvette,15
NY,F,1923,Annamae,14
NY,F,1923,Beverley,14
NY,F,1923,Eleanora,14
NY,F,1923,Elinore,14
NY,F,1923,Isabell,14
NY,F,1923,Jeane,14
NY,F,1923,Lauretta,14
NY,F,1923,Leatrice,14
NY,F,1923,Leola,14
NY,F,1923,Lilly,14
NY,F,1923,Lucia,14
NY,F,1923,Margot,14
NY,F,1923,Olivia,14
NY,F,1923,Rhea,14
NY,F,1923,Rosaline,14
NY,F,1923,Rosanna,14
NY,F,1923,Betsy,13
NY,F,1923,Bettie,13
NY,F,1923,Bridget,13
NY,F,1923,Camilla,13
NY,F,1923,Caryl,13
NY,F,1923,Effie,13
NY,F,1923,Francine,13
NY,F,1923,Georgianna,13
NY,F,1923,Grayce,13
NY,F,1923,Hedwig,13
NY,F,1923,Isobel,13
NY,F,1923,Jocelyn,13
NY,F,1923,Leslie,13
NY,F,1923,Marcelle,13
NY,F,1923,Rosie,13
NY,F,1923,Stephania,13
NY,F,1923,Valeria,13
NY,F,1923,Valerie,13
NY,F,1923,Bess,12
NY,F,1923,Daphne,12
NY,F,1923,Elda,12
NY,F,1923,Freida,12
NY,F,1923,Janette,12
NY,F,1923,Jessica,12
NY,F,1923,Joanna,12
NY,F,1923,Lynn,12
NY,F,1923,Mavis,12
NY,F,1923,Merle,12
NY,F,1923,Nathalie,12
NY,F,1923,Raffaela,12
NY,F,1923,Rene,12
NY,F,1923,Ruthe,12
NY,F,1923,Theda,12
NY,F,1923,Thomas,12
NY,F,1923,Alba,11
NY,F,1923,Antionette,11
NY,F,1923,Antonia,11
NY,F,1923,Celeste,11
NY,F,1923,Cleo,11
NY,F,1923,Elnora,11
NY,F,1923,Elva,11
NY,F,1923,Emelia,11
NY,F,1923,Estella,11
NY,F,1923,Eugenie,11
NY,F,1923,Felice,11
NY,F,1923,Lula,11
NY,F,1923,Madlyn,11
NY,F,1923,Mathilda,11
NY,F,1923,Melba,11
NY,F,1923,Mina,11
NY,F,1923,Mona,11
NY,F,1923,Nicolina,11
NY,F,1923,Toni,11
NY,F,1923,Violette,11
NY,F,1923,Walter,11
NY,F,1923,Zena,11
NY,F,1923,Aletha,10
NY,F,1923,Bonnie,10
NY,F,1923,Corrine,10
NY,F,1923,Dina,10
NY,F,1923,Esta,10
NY,F,1923,Gail,10
NY,F,1923,Gina,10
NY,F,1923,Jewel,10
NY,F,1923,Madaline,10
NY,F,1923,Margo,10
NY,F,1923,Melva,10
NY,F,1923,Mimi,10
NY,F,1923,Norine,10
NY,F,1923,Phylis,10
NY,F,1923,Rosetta,10
NY,F,1923,Sonya,10
NY,F,1923,Sydelle,10
NY,F,1923,Sydney,10
NY,F,1923,Vivien,10
NY,F,1923,Aline,9
NY,F,1923,Antonina,9
NY,F,1923,Bebe,9
NY,F,1923,Clementina,9
NY,F,1923,Delphine,9
NY,F,1923,Dinah,9
NY,F,1923,Dorris,9
NY,F,1923,Elenore,9
NY,F,1923,Gaetana,9
NY,F,1923,Gemma,9
NY,F,1923,George,9
NY,F,1923,Hermine,9
NY,F,1923,Hester,9
NY,F,1923,Ivy,9
NY,F,1923,Josie,9
NY,F,1923,Katie,9
NY,F,1923,Laurette,9
NY,F,1923,Leta,9
NY,F,1923,Lorena,9
NY,F,1923,Madalyn,9
NY,F,1923,Madge,9
NY,F,1923,Magdalene,9
NY,F,1923,Malvina,9
NY,F,1923,Marlene,9
NY,F,1923,Maryellen,9
NY,F,1923,Nan,9
NY,F,1923,Nicoletta,9
NY,F,1923,Norene,9
NY,F,1923,Pasqualina,9
NY,F,1923,Pat,9
NY,F,1923,Polly,9
NY,F,1923,Providence,9
NY,F,1923,Reta,9
NY,F,1923,Reva,9
NY,F,1923,Richard,9
NY,F,1923,Roseanne,9
NY,F,1923,Sallie,9
NY,F,1923,Serafina,9
NY,F,1923,Sherry,9
NY,F,1923,Vernice,9
NY,F,1923,Winona,9
NY,F,1923,Alda,8
NY,F,1923,Alexandra,8
NY,F,1923,Alvina,8
NY,F,1923,Andrea,8
NY,F,1923,Annabel,8
NY,F,1923,Aurora,8
NY,F,1923,Bettyjane,8
NY,F,1923,Dolly,8
NY,F,1923,Dominica,8
NY,F,1923,Doreen,8
NY,F,1923,Eda,8
NY,F,1923,Evelyne,8
NY,F,1923,Florine,8
NY,F,1923,Imogene,8
NY,F,1923,Ines,8
NY,F,1923,Iola,8
NY,F,1923,Jacquelyn,8
NY,F,1923,Janis,8
NY,F,1923,Jerry,8
NY,F,1923,Jo,8
NY,F,1923,Kitty,8
NY,F,1923,Lavinia,8
NY,F,1923,Leocadia,8
NY,F,1923,Lora,8
NY,F,1923,Lyla,8
NY,F,1923,Lynne,8
NY,F,1923,Mattie,8
NY,F,1923,Maud,8
NY,F,1923,Nita,8
NY,F,1923,Pamela,8
NY,F,1923,Penelope,8
NY,F,1923,Rachael,8
NY,F,1923,Rosalia,8
NY,F,1923,Rosamond,8
NY,F,1923,Rowena,8
NY,F,1923,Shirlee,8
NY,F,1923,Silvia,8
NY,F,1923,Stacia,8
NY,F,1923,Vesta,8
NY,F,1923,Vicki,8
NY,F,1923,Adella,7
NY,F,1923,Adelle,7
NY,F,1923,Alexandria,7
NY,F,1923,Alva,7
NY,F,1923,Amalia,7
NY,F,1923,Ana,7
NY,F,1923,Annamarie,7
NY,F,1923,Annamay,7
NY,F,1923,Arleen,7
NY,F,1923,Athena,7
NY,F,1923,Benedetta,7
NY,F,1923,Berenice,7
NY,F,1923,Carmel,7
NY,F,1923,Carolina,7
NY,F,1923,Charles,7
NY,F,1923,Consuelo,7
NY,F,1923,David,7
NY,F,1923,Deloris,7
NY,F,1923,Ester,7
NY,F,1923,Frank,7
NY,F,1923,Isadora,7
NY,F,1923,Juliana,7
NY,F,1923,Leonarda,7
NY,F,1923,Leonie,7
NY,F,1923,Lucinda,7
NY,F,1923,Lucretia,7
NY,F,1923,Magdalena,7
NY,F,1923,Margarette,7
NY,F,1923,Marylouise,7
NY,F,1923,Meta,7
NY,F,1923,Neva,7
NY,F,1923,Paulette,7
NY,F,1923,Petrina,7
NY,F,1923,Ramona,7
NY,F,1923,Rosella,7
NY,F,1923,Susanna,7
NY,F,1923,Wilda,7
NY,F,1923,Zelma,7
NY,F,1923,Alida,6
NY,F,1923,Babette,6
NY,F,1923,Billie,6
NY,F,1923,Cassie,6
NY,F,1923,Cathrine,6
NY,F,1923,Clair,6
NY,F,1923,Colleen,6
NY,F,1923,Dorathy,6
NY,F,1923,Ethelyn,6
NY,F,1923,Evalyn,6
NY,F,1923,Germaine,6
NY,F,1923,Greta,6
NY,F,1923,Hanna,6
NY,F,1923,Harry,6
NY,F,1923,Helaine,6
NY,F,1923,Katheryn,6
NY,F,1923,Lea,6
NY,F,1923,Leanore,6
NY,F,1923,Lela,6
NY,F,1923,Leone,6
NY,F,1923,Lilian,6
NY,F,1923,Lilyan,6
NY,F,1923,Lina,6
NY,F,1923,Livia,6
NY,F,1923,Lucie,6
NY,F,1923,Margarita,6
NY,F,1923,Marge,6
NY,F,1923,Margherita,6
NY,F,1923,Mathilde,6
NY,F,1923,Mazie,6
NY,F,1923,Minna,6
NY,F,1923,Mitzi,6
NY,F,1923,Myrna,6
NY,F,1923,Nelda,6
NY,F,1923,Nona,6
NY,F,1923,Ola,6
NY,F,1923,Paul,6
NY,F,1923,Philip,6
NY,F,1923,Rochelle,6
NY,F,1923,Ronnie,6
NY,F,1923,Roseanna,6
NY,F,1923,Sarina,6
NY,F,1923,Tess,6
NY,F,1923,Thalia,6
NY,F,1923,Verda,6
NY,F,1923,Vilma,6
NY,F,1923,Zita,6
NY,F,1923,Zoe,6
NY,F,1923,Abbie,5
NY,F,1923,Abigail,5
NY,F,1923,Adriana,5
NY,F,1923,Angelena,5
NY,F,1923,Annabell,5
NY,F,1923,Annetta,5
NY,F,1923,Anthony,5
NY,F,1923,Antoinetta,5
NY,F,1923,Arlyne,5
NY,F,1923,Belva,5
NY,F,1923,Bernardine,5
NY,F,1923,Birdie,5
NY,F,1923,Blanch,5
NY,F,1923,Bonita,5
NY,F,1923,Candida,5
NY,F,1923,Carmelina,5
NY,F,1923,Cathryn,5
NY,F,1923,Cecille,5
NY,F,1923,Celestine,5
NY,F,1923,Charlene,5
NY,F,1923,Congetta,5
NY,F,1923,Demetra,5
NY,F,1923,Dena,5
NY,F,1923,Dorcas,5
NY,F,1923,Dorotha,5
NY,F,1923,Elizebeth,5
NY,F,1923,Elvina,5
NY,F,1923,Eris,5
NY,F,1923,Essie,5
NY,F,1923,Eudora,5
NY,F,1923,Fortunata,5
NY,F,1923,Georgine,5
NY,F,1923,Gretchen,5
NY,F,1923,Gwen,5
NY,F,1923,Harold,5
NY,F,1923,Hermina,5
