StateCode,Sex,YearOfBirth,Name,Number
NY,F,1947,Sadie,6
NY,F,1947,Sandee,6
NY,F,1947,Sarina,6
NY,F,1947,Seena,6
NY,F,1947,Shawn,6
NY,F,1947,Shelby,6
NY,F,1947,Sherryl,6
NY,F,1947,Shiela,6
NY,F,1947,Tammy,6
NY,F,1947,Theda,6
NY,F,1947,Tracey,6
NY,F,1947,Valorie,6
NY,F,1947,Vivien,6
NY,F,1947,Vivienne,6
NY,F,1947,Wendie,6
NY,F,1947,Zaida,6
NY,F,1947,Zulma,6
NY,F,1947,Alan,5
NY,F,1947,Alix,5
NY,F,1947,Allana,5
NY,F,1947,Almeda,5
NY,F,1947,Andra,5
NY,F,1947,Andree,5
NY,F,1947,Annetta,5
NY,F,1947,Annita,5
NY,F,1947,Anthony,5
NY,F,1947,Ardis,5
NY,F,1947,Arlette,5
NY,F,1947,Barbarann,5
NY,F,1947,Barbra,5
NY,F,1947,Becky,5
NY,F,1947,Berta,5
NY,F,1947,Bettye,5
NY,F,1947,Bonna,5
NY,F,1947,Bronwyn,5
NY,F,1947,Camilla,5
NY,F,1947,Candis,5
NY,F,1947,Carl,5
NY,F,1947,Catalina,5
NY,F,1947,Charla,5
NY,F,1947,Chaya,5
NY,F,1947,Cherryl,5
NY,F,1947,Cinda,5
NY,F,1947,Clarise,5
NY,F,1947,Coleen,5
NY,F,1947,Corine,5
NY,F,1947,Debbi,5
NY,F,1947,Debrah,5
NY,F,1947,Delphine,5
NY,F,1947,Denyse,5
NY,F,1947,Despina,5
NY,F,1947,Dorcas,5
NY,F,1947,Doretha,5
NY,F,1947,Dorrie,5
NY,F,1947,Elvera,5
NY,F,1947,Essie,5
NY,F,1947,Ferne,5
NY,F,1947,Florine,5
NY,F,1947,George,5
NY,F,1947,Georgianne,5
NY,F,1947,Gerardine,5
NY,F,1947,Giovanna,5
NY,F,1947,Glory,5
NY,F,1947,Harlene,5
NY,F,1947,Hermine,5
NY,F,1947,Hortense,5
NY,F,1947,Ileen,5
