StateCode,Sex,YearOfBirth,Name,Number
NY,F,1956,Cecelia,60
NY,F,1956,Clare,60
NY,F,1956,Glenda,60
NY,F,1956,Hope,60
NY,F,1956,Irma,60
NY,F,1956,Isabel,60
NY,F,1956,Jessica,60
NY,F,1956,Elsie,59
NY,F,1956,Joni,59
NY,F,1956,Kristine,59
NY,F,1956,Tara,59
NY,F,1956,Fern,58
NY,F,1956,Candice,57
NY,F,1956,Elba,57
NY,F,1956,Rosalind,57
NY,F,1956,Candy,56
NY,F,1956,Elyse,56
NY,F,1956,Hilda,56
NY,F,1956,Ivette,56
NY,F,1956,Marcy,56
NY,F,1956,Maryellen,56
NY,F,1956,Amanda,55
NY,F,1956,Annmarie,55
NY,F,1956,Ethel,55
NY,F,1956,Celia,54
NY,F,1956,Elisa,54
NY,F,1956,Emma,54
NY,F,1956,Johanna,54
NY,F,1956,Minerva,54
NY,F,1956,Roslyn,54
NY,F,1956,Cherie,53
NY,F,1956,Georgia,53
NY,F,1956,Nellie,53
NY,F,1956,Tanya,53
NY,F,1956,Antonia,52
NY,F,1956,Lorrie,52
NY,F,1956,Lou,52
NY,F,1956,Patty,52
NY,F,1956,Cassandra,51
NY,F,1956,Jackie,51
NY,F,1956,Marcella,51
NY,F,1956,Stacy,51
NY,F,1956,Agnes,50
NY,F,1956,Delia,50
NY,F,1956,Hillary,50
NY,F,1956,Marisa,50
NY,F,1956,Nilda,50
NY,F,1956,Shelly,50
NY,F,1956,Thelma,50
NY,F,1956,Caren,49
NY,F,1956,Gwen,49
NY,F,1956,Leah,49
NY,F,1956,Nereida,49
NY,F,1956,Eugenia,48
NY,F,1956,Myra,48
NY,F,1956,Janette,47
NY,F,1956,Jeannie,47
NY,F,1956,Karla,47
NY,F,1956,Genevieve,46
NY,F,1956,Faye,45
NY,F,1956,Laverne,45
NY,F,1956,Angelina,44
NY,F,1956,Concetta,44
NY,F,1956,Fran,44
NY,F,1956,Gertrude,44
NY,F,1956,Ingrid,44
NY,F,1956,Lenora,44
NY,F,1956,Ruby,44
NY,F,1956,Abigail,43
NY,F,1956,Clara,43
NY,F,1956,Gretchen,43
NY,F,1956,Kay,43
NY,F,1956,Lesley,43
NY,F,1956,Margo,43
NY,F,1956,Annie,42
NY,F,1956,Geralyn,42
NY,F,1956,Katharine,42
NY,F,1956,Lorna,42
NY,F,1956,Sherrie,42
NY,F,1956,Awilda,41
NY,F,1956,Coleen,41
NY,F,1956,Elisabeth,41
NY,F,1956,Georgette,41
NY,F,1956,Jeri,41
NY,F,1956,Marybeth,41
NY,F,1956,Wilma,41
NY,F,1956,Blanca,40
NY,F,1956,Penelope,40
NY,F,1956,Rene,40
NY,F,1956,Shawn,40
NY,F,1956,Ada,39
NY,F,1956,Alexandra,39
NY,F,1956,Althea,39
NY,F,1956,Hilary,39
NY,F,1956,Kathi,39
NY,F,1956,Leigh,39
NY,F,1956,Stella,39
NY,F,1956,Deanna,38
NY,F,1956,Elsa,38
NY,F,1956,Jeanine,38
NY,F,1956,Lucia,38
NY,F,1956,Mara,38
NY,F,1956,Molly,38
NY,F,1956,Muriel,38
NY,F,1956,Olivia,38
NY,F,1956,Randy,38
NY,F,1956,Roseanne,38
NY,F,1956,Chris,37
NY,F,1956,Cora,37
NY,F,1956,Francesca,37
NY,F,1956,Rena,37
NY,F,1956,Trudy,37
NY,F,1956,Abby,36
NY,F,1956,Ella,36
NY,F,1956,Marta,36
NY,F,1956,Rosalyn,36
NY,F,1956,Cheri,35
NY,F,1956,Colette,35
NY,F,1956,Dorothea,35
NY,F,1956,Elissa,35
NY,F,1956,Suzan,35
NY,F,1956,Terese,35
NY,F,1956,Claudette,34
NY,F,1956,Dona,34
NY,F,1956,Kimberley,34
NY,F,1956,Lena,34
NY,F,1956,Leona,34
NY,F,1956,Madelyn,34
NY,F,1956,Pearl,34
NY,F,1956,Sharlene,34
NY,F,1956,Aileen,33
NY,F,1956,Dora,33
NY,F,1956,Joanna,33
NY,F,1956,Jocelyn,33
NY,F,1956,Laureen,33
NY,F,1956,Meredith,33
NY,F,1956,Nilsa,33
NY,F,1956,Robbin,33
NY,F,1956,Terrie,33
NY,F,1956,Viola,33
NY,F,1956,Ava,32
NY,F,1956,Bette,32
NY,F,1956,Erica,32
NY,F,1956,Felice,32
NY,F,1956,Kelly,32
NY,F,1956,Pat,32
NY,F,1956,Danielle,31
NY,F,1956,Dianna,31
NY,F,1956,Ginger,31
NY,F,1956,Jeannine,31
NY,F,1956,Jessie,31
NY,F,1956,Lynnette,31
NY,F,1956,Rachelle,31
NY,F,1956,Ronnie,31
NY,F,1956,Arleen,30
NY,F,1956,Hazel,30
NY,F,1956,Inez,30
NY,F,1956,Toby,30
NY,F,1956,Winifred,30
NY,F,1956,Bertha,29
NY,F,1956,Cathryn,29
NY,F,1956,Daphne,29
NY,F,1956,Elvira,29
NY,F,1956,Kathie,29
NY,F,1956,Kristin,29
NY,F,1956,Kristina,29
NY,F,1956,Lorri,29
NY,F,1956,Nicole,29
NY,F,1956,Pam,29
NY,F,1956,Roni,29
NY,F,1956,Tamara,29
NY,F,1956,Valarie,29
NY,F,1956,Verna,29
NY,F,1956,Darleen,28
NY,F,1956,Eunice,28
NY,F,1956,Georgina,28
NY,F,1956,Gilda,28
NY,F,1956,Janie,28
NY,F,1956,Leticia,28
NY,F,1956,Lila,28
NY,F,1956,Lora,28
NY,F,1956,Louisa,28
NY,F,1956,Luanne,28
NY,F,1956,Noemi,28
NY,F,1956,Erin,27
NY,F,1956,Ernestine,27
NY,F,1956,Jacalyn,27
