StateCode,Sex,YearOfBirth,Name,Number
NY,F,2011,Destiny,151
NY,F,2011,Fiona,150
NY,F,2011,Daniella,148
NY,F,2011,Sabrina,148
NY,F,2011,Daniela,145
NY,F,2011,Catherine,144
NY,F,2011,Amanda,142
NY,F,2011,Giuliana,142
NY,F,2011,Isabel,141
NY,F,2011,Jada,140
NY,F,2011,Andrea,137
NY,F,2011,Jayla,137
NY,F,2011,Jocelyn,137
NY,F,2011,Vivian,137
NY,F,2011,Jade,136
NY,F,2011,Harper,135
NY,F,2011,Mila,135
NY,F,2011,Sienna,135
NY,F,2011,Aliyah,134
NY,F,2011,Skylar,134
NY,F,2011,Nina,133
NY,F,2011,Katelyn,129
NY,F,2011,Mariah,129
NY,F,2011,Angela,127
NY,F,2011,Lyla,127
NY,F,2011,Jenna,126
NY,F,2011,Valerie,126
NY,F,2011,Mikayla,125
NY,F,2011,Juliet,124
NY,F,2011,Ellie,123
NY,F,2011,Lia,123
NY,F,2011,Melissa,123
NY,F,2011,Sadie,123
NY,F,2011,Diana,122
NY,F,2011,Lilly,122
NY,F,2011,Megan,122
NY,F,2011,Nora,122
NY,F,2011,Amaya,121
NY,F,2011,Gia,120
NY,F,2011,Trinity,120
NY,F,2011,Lila,119
NY,F,2011,Alana,117
NY,F,2011,Elena,117
NY,F,2011,Kendall,117
NY,F,2011,Tiffany,116
NY,F,2011,Aria,115
NY,F,2011,Brooklyn,115
NY,F,2011,Danielle,115
NY,F,2011,Penelope,114
NY,F,2011,Christina,113
NY,F,2011,Josephine,113
NY,F,2011,Payton,112
NY,F,2011,Clara,111
NY,F,2011,Gitty,111
NY,F,2011,Kate,111
NY,F,2011,Bianca,110
NY,F,2011,Kelly,110
NY,F,2011,Eleanor,109
NY,F,2011,Jordyn,109
NY,F,2011,Ruby,108
NY,F,2011,Ariel,107
NY,F,2011,Mckenzie,105
NY,F,2011,Keira,102
NY,F,2011,Lydia,101
NY,F,2011,Amber,100
NY,F,2011,Erin,98
NY,F,2011,Leslie,98
NY,F,2011,Summer,98
NY,F,2011,Aniyah,97
NY,F,2011,Giselle,97
NY,F,2011,Malka,97
NY,F,2011,Izabella,96
NY,F,2011,Kennedy,96
NY,F,2011,Rose,95
NY,F,2011,Briana,94
NY,F,2011,Kiara,94
NY,F,2011,Lucia,94
NY,F,2011,Eden,93
NY,F,2011,Francesca,93
NY,F,2011,Karen,93
NY,F,2011,Mary,92
NY,F,2011,Nadia,92
NY,F,2011,Nyla,92
NY,F,2011,Elise,91
NY,F,2011,Haley,91
NY,F,2011,Brynn,89
NY,F,2011,Jacqueline,89
NY,F,2011,Alicia,88
NY,F,2011,Alina,88
NY,F,2011,Alison,88
NY,F,2011,Bailey,88
NY,F,2011,Faigy,88
NY,F,2011,Fatima,88
NY,F,2011,Delilah,87
NY,F,2011,Juliette,87
NY,F,2011,Cecilia,86
NY,F,2011,Margaret,86
NY,F,2011,Veronica,86
NY,F,2011,Katie,85
NY,F,2011,Leila,85
NY,F,2011,Liana,85
NY,F,2011,Alaina,84
NY,F,2011,Angelica,84
NY,F,2011,Laura,84
NY,F,2011,Aurora,83
NY,F,2011,Lena,83
NY,F,2011,Reese,83
NY,F,2011,Tessa,83
NY,F,2011,Willow,83
NY,F,2011,Emely,82
NY,F,2011,Leilani,82
NY,F,2011,Alexandria,81
NY,F,2011,Joanna,81
NY,F,2011,Daisy,80
NY,F,2011,Piper,80
NY,F,2011,Emilia,79
NY,F,2011,Nia,79
NY,F,2011,Sasha,79
NY,F,2011,Heaven,78
NY,F,2011,Rylee,78
NY,F,2011,Talia,78
NY,F,2011,Alivia,77
NY,F,2011,Ariella,77
NY,F,2011,Malky,77
NY,F,2011,Quinn,77
NY,F,2011,Melody,76
NY,F,2011,Arielle,75
NY,F,2011,Caitlin,75
NY,F,2011,Reagan,75
NY,F,2011,Hazel,74
NY,F,2011,Ivy,74
NY,F,2011,Jillian,74
NY,F,2011,Kelsey,74
NY,F,2011,Lilah,74
NY,F,2011,Phoebe,74
NY,F,2011,Ryleigh,74
NY,F,2011,Valeria,74
NY,F,2011,Lola,73
NY,F,2011,Raizy,73
NY,F,2011,Eliza,72
NY,F,2011,Serena,72
NY,F,2011,Teagan,72
NY,F,2011,Anastasia,71
NY,F,2011,Iris,71
NY,F,2011,Jane,71
NY,F,2011,Shaindy,71
NY,F,2011,Carly,70
NY,F,2011,Evangeline,70
NY,F,2011,Imani,70
NY,F,2011,Athena,69
NY,F,2011,Aubree,69
NY,F,2011,Jayleen,69
NY,F,2011,Kylee,69
NY,F,2011,Michaela,69
NY,F,2011,Lea,68
NY,F,2011,Mariam,68
NY,F,2011,Mikaela,68
NY,F,2011,Nylah,68
NY,F,2011,Kayleigh,66
NY,F,2011,Paris,66
NY,F,2011,Harmony,65
NY,F,2011,Hope,65
NY,F,2011,Luna,65
NY,F,2011,Makenna,65
NY,F,2011,Kailey,64
NY,F,2011,Adeline,63
NY,F,2011,Alessandra,63
NY,F,2011,Caitlyn,63
NY,F,2011,Cora,63
NY,F,2011,Vivienne,63
NY,F,2011,Camryn,62
NY,F,2011,Cassidy,62
NY,F,2011,Jordan,62
NY,F,2011,Rivky,62
NY,F,2011,Selena,62
NY,F,2011,Devorah,61
NY,F,2011,Dina,61
NY,F,2011,Hayley,61
NY,F,2011,Tiana,61
NY,F,2011,Fatoumata,60
NY,F,2011,Genevieve,60
NY,F,2011,Jasmin,60
NY,F,2011,Kendra,60
NY,F,2011,Angel,59
NY,F,2011,Ashlyn,59
NY,F,2011,Crystal,59
NY,F,2011,Gracie,59
NY,F,2011,Kaelyn,59
NY,F,2011,Madeleine,59
NY,F,2011,Makenzie,59
NY,F,2011,Scarlet,59
NY,F,2011,Skyla,59
NY,F,2011,Ana,58
NY,F,2011,Annabella,58
NY,F,2011,Callie,58
NY,F,2011,Casey,58
NY,F,2011,Dakota,58
NY,F,2011,Gemma,58
NY,F,2011,Julie,58
NY,F,2011,Mckenna,58
NY,F,2011,Miley,58
NY,F,2011,Aisha,57
NY,F,2011,Cassandra,57
NY,F,2011,Kamila,57
NY,F,2011,Kyla,57
NY,F,2011,Norah,57
NY,F,2011,Sarai,57
NY,F,2011,Angie,56
NY,F,2011,Baila,56
NY,F,2011,Chava,56
NY,F,2011,Helen,56
NY,F,2011,Irene,56
NY,F,2011,Jayda,56
NY,F,2011,Maeve,56
NY,F,2011,Amiyah,55
NY,F,2011,Danna,55
NY,F,2011,Hayden,55
NY,F,2011,Milan,55
NY,F,2011,Brooklynn,54
NY,F,2011,Haylee,54
NY,F,2011,Jamie,54
NY,F,2011,Maggie,54
NY,F,2011,Malia,54
NY,F,2011,Ruth,54
NY,F,2011,Tatiana,54
NY,F,2011,Yitty,54
NY,F,2011,Allyson,53
NY,F,2011,Brittany,53
NY,F,2011,Camille,53
NY,F,2011,Hindy,53
NY,F,2011,Jazmin,53
NY,F,2011,Karina,53
NY,F,2011,Lilliana,53
NY,F,2011,Amina,52
NY,F,2011,Chany,52
NY,F,2011,Elle,52
NY,F,2011,Erika,52
NY,F,2011,Giada,52
NY,F,2011,Isla,52
NY,F,2011,Londyn,52
NY,F,2011,Maryam,52
NY,F,2011,Miranda,52
NY,F,2011,Zara,52
NY,F,2011,Alexia,51
NY,F,2011,Arabella,51
NY,F,2011,Beatrice,51
NY,F,2011,Cameron,51
NY,F,2011,Eloise,51
NY,F,2011,Joyce,51
NY,F,2011,Kathryn,51
NY,F,2011,Toby,51
NY,F,2011,Angelique,50
NY,F,2011,Bridget,50
NY,F,2011,Delaney,50
NY,F,2011,Dylan,50
NY,F,2011,Giana,50
NY,F,2011,Marissa,50
NY,F,2011,Anaya,49
NY,F,2011,Elaina,49
NY,F,2011,Kira,49
NY,F,2011,Melina,49
NY,F,2011,Alanna,48
NY,F,2011,Amira,48
NY,F,2011,Courtney,48
NY,F,2011,Eileen,48
NY,F,2011,Erica,48
NY,F,2011,Hanna,48
NY,F,2011,Heidi,48
NY,F,2011,Meghan,48
NY,F,2011,Samara,48
NY,F,2011,Savanna,48
NY,F,2011,Skye,48
NY,F,2011,Adele,47
NY,F,2011,Cynthia,47
NY,F,2011,Dana,47
NY,F,2011,Georgia,47
NY,F,2011,Giovanna,47
NY,F,2011,Goldy,47
NY,F,2011,Jenny,47
NY,F,2011,Joy,47
