StateCode,Sex,YearOfBirth,Name,Number
NY,F,2014,Mildred,5
NY,F,2014,Milla,5
NY,F,2014,Minahil,5
NY,F,2014,Mindel,5
NY,F,2014,Mireya,5
NY,F,2014,Mischa,5
NY,F,2014,Myracle,5
NY,F,2014,Nada,5
NY,F,2014,Naevia,5
NY,F,2014,Naina,5
NY,F,2014,Nairobi,5
NY,F,2014,Naisha,5
NY,F,2014,Namirah,5
NY,F,2014,Nashley,5
NY,F,2014,Natali,5
NY,F,2014,Nayely,5
NY,F,2014,Neela,5
NY,F,2014,Nilah,5
NY,F,2014,Niyla,5
NY,F,2014,Niylah,5
NY,F,2014,Noreen,5
NY,F,2014,Nour,5
NY,F,2014,Noura,5
NY,F,2014,Nuala,5
NY,F,2014,Ocean,5
NY,F,2014,Octavia,5
NY,F,2014,Pandora,5
NY,F,2014,Paulette,5
NY,F,2014,Perri,5
NY,F,2014,Pippa,5
NY,F,2014,Portia,5
NY,F,2014,Prisha,5
NY,F,2014,Quincy,5
NY,F,2014,Rabia,5
NY,F,2014,Rahma,5
NY,F,2014,Ramatoulaye,5
NY,F,2014,Rana,5
NY,F,2014,Rashel,5
NY,F,2014,Rayann,5
NY,F,2014,Reece,5
NY,F,2014,Remington,5
NY,F,2014,Renad,5
NY,F,2014,Reya,5
NY,F,2014,Rielle,5
NY,F,2014,Riki,5
NY,F,2014,Romaisa,5
NY,F,2014,Rosabella,5
NY,F,2014,Rosaria,5
NY,F,2014,Roya,5
NY,F,2014,Roza,5
NY,F,2014,Rubie,5
NY,F,2014,Rubina,5
NY,F,2014,Ruchama,5
NY,F,2014,Rumaysa,5
NY,F,2014,Safina,5
NY,F,2014,Safiyah,5
NY,F,2014,Salem,5
NY,F,2014,Saphire,5
NY,F,2014,Savina,5
NY,F,2014,Saya,5
NY,F,2014,Saydee,5
NY,F,2014,Sema,5
NY,F,2014,Semira,5
NY,F,2014,Senna,5
NY,F,2014,Seynabou,5
NY,F,2014,Shae,5
NY,F,2014,Shaila,5
NY,F,2014,Shaniya,5
NY,F,2014,Shavy,5
NY,F,2014,Sheryl,5
NY,F,2014,Sheva,5
NY,F,2014,Shirin,5
NY,F,2014,Sidra,5
NY,F,2014,Sivan,5
NY,F,2014,Skylynn,5
NY,F,2014,Soha,5
NY,F,2014,Sole,5
NY,F,2014,Starr,5
NY,F,2014,Tahira,5
NY,F,2014,Tahlia,5
NY,F,2014,Talitha,5
NY,F,2014,Tamiya,5
NY,F,2014,Tammy,5
NY,F,2014,Temima,5
NY,F,2014,Tierney,5
NY,F,2014,Tory,5
NY,F,2014,Tzippy,5
NY,F,2014,Tzivi,5
NY,F,2014,Tzivy,5
NY,F,2014,Vanesa,5
NY,F,2014,Veda,5
NY,F,2014,Verna,5
NY,F,2014,Vincenza,5
NY,F,2014,Xyla,5
NY,F,2014,Yakira,5
NY,F,2014,Yehudit,5
NY,F,2014,Yvette,5
NY,F,2014,Zahro,5
NY,F,2014,Zaida,5
NY,F,2014,Zaliyah,5
NY,F,2014,Zaya,5
NY,F,2014,Zeina,5
NY,F,2014,Zuleyka,5
NY,F,2015,Olivia,1297
NY,F,2015,Emma,1254
NY,F,2015,Sophia,1121
NY,F,2015,Isabella,1066
NY,F,2015,Mia,1012
NY,F,2015,Ava,921
NY,F,2015,Emily,805
NY,F,2015,Charlotte,758
NY,F,2015,Madison,734
NY,F,2015,Abigail,722
NY,F,2015,Leah,636
NY,F,2015,Amelia,631
NY,F,2015,Sofia,594
NY,F,2015,Chloe,566
NY,F,2015,Grace,505
NY,F,2015,Sarah,494
NY,F,2015,Ella,492
NY,F,2015,Elizabeth,484
NY,F,2015,Avery,469
NY,F,2015,Victoria,461
NY,F,2015,Gabriella,448
NY,F,2015,Zoe,429
NY,F,2015,Harper,424
NY,F,2015,Scarlett,415
NY,F,2015,Evelyn,373
NY,F,2015,Lily,367
NY,F,2015,Samantha,357
NY,F,2015,Hannah,355
NY,F,2015,Riley,354
NY,F,2015,Ariana,353
NY,F,2015,Savannah,353
NY,F,2015,Esther,352
NY,F,2015,Alexa,348
NY,F,2015,Hailey,346
NY,F,2015,Natalie,337
NY,F,2015,Maya,336
NY,F,2015,Skylar,335
NY,F,2015,Arianna,331
NY,F,2015,Layla,330
NY,F,2015,Rachel,328
NY,F,2015,Gianna,326
NY,F,2015,Aria,323
NY,F,2015,Ashley,321
