StateCode,Sex,YearOfBirth,Name,Number
NY,M,1922,Gardner,5
NY,M,1922,Gary,5
NY,M,1922,Gaspare,5
NY,M,1922,Granville,5
NY,M,1922,Hal,5
NY,M,1922,Hans,5
NY,M,1922,Harlan,5
NY,M,1922,Hobart,5
NY,M,1922,Italo,5
NY,M,1922,Jimmie,5
NY,M,1922,Jon,5
NY,M,1922,Junius,5
NY,M,1922,Kent,5
NY,M,1922,Lawerence,5
NY,M,1922,Leander,5
NY,M,1922,Mannie,5
NY,M,1922,Marty,5
NY,M,1922,Mathias,5
NY,M,1922,Matt,5
NY,M,1922,Milo,5
NY,M,1922,Omer,5
NY,M,1922,Raffaele,5
NY,M,1922,Randall,5
NY,M,1922,Roscoe,5
NY,M,1922,Rufus,5
NY,M,1922,Sabino,5
NY,M,1922,Serafino,5
NY,M,1922,Seward,5
NY,M,1922,Shirley,5
NY,M,1922,Sigismund,5
NY,M,1922,Stanton,5
NY,M,1922,Sumner,5
NY,M,1922,Thor,5
NY,M,1922,Van,5
NY,M,1922,Wade,5
NY,M,1922,Wilfrid,5
NY,M,1923,John,6225
NY,M,1923,Robert,4698
NY,M,1923,William,4406
NY,M,1923,Joseph,4204
NY,M,1923,James,2690
NY,M,1923,Edward,2637
NY,M,1923,George,2596
NY,M,1923,Charles,2418
NY,M,1923,Frank,2304
NY,M,1923,Richard,1819
NY,M,1923,Thomas,1787
NY,M,1923,Anthony,1455
NY,M,1923,Donald,1427
NY,M,1923,Harold,1415
NY,M,1923,Arthur,1334
NY,M,1923,Walter,1194
NY,M,1923,Raymond,1104
NY,M,1923,Albert,1046
NY,M,1923,Louis,1036
NY,M,1923,Michael,1004
NY,M,1923,Henry,995
NY,M,1923,Paul,975
NY,M,1923,Stanley,913
NY,M,1923,Harry,898
NY,M,1923,Bernard,886
NY,M,1923,Francis,830
NY,M,1923,Vincent,830
NY,M,1923,David,816
NY,M,1923,Jack,762
NY,M,1923,Peter,761
NY,M,1923,Alfred,740
NY,M,1923,Herbert,716
NY,M,1923,Eugene,709
NY,M,1923,Ralph,693
NY,M,1923,Kenneth,686
NY,M,1923,Howard,672
NY,M,1923,Lawrence,661
NY,M,1923,Irving,643
NY,M,1923,Daniel,636
NY,M,1923,Leonard,632
NY,M,1923,Philip,581
NY,M,1923,Fred,555
NY,M,1923,Martin,535
NY,M,1923,Norman,531
NY,M,1923,Frederick,528
NY,M,1923,Salvatore,527
NY,M,1923,Seymour,515
NY,M,1923,Theodore,461
NY,M,1923,Samuel,438
NY,M,1923,Nicholas,418
NY,M,1923,Edwin,414
NY,M,1923,Warren,411
NY,M,1923,Leo,398
NY,M,1923,Gerald,389
NY,M,1923,Carl,388
NY,M,1923,Milton,386
NY,M,1923,Andrew,381
NY,M,1923,Jerome,364
NY,M,1923,Sidney,356
NY,M,1923,Angelo,351
NY,M,1923,Morris,343
NY,M,1923,Murray,334
NY,M,1923,Ernest,311
NY,M,1923,Sam,309
NY,M,1923,Stephen,306
NY,M,1923,Leon,302
NY,M,1923,Dominick,287
NY,M,1923,Chester,276
NY,M,1923,Victor,264
NY,M,1923,Benjamin,262
NY,M,1923,Melvin,257
NY,M,1923,Herman,253
NY,M,1923,Alexander,249
NY,M,1923,Arnold,247
NY,M,1923,Abraham,241
NY,M,1923,Marvin,239
NY,M,1923,Clarence,237
NY,M,1923,Earl,232
NY,M,1923,Lester,218
NY,M,1923,Gordon,212
NY,M,1923,Roy,201
NY,M,1923,Morton,196
NY,M,1923,Patrick,191
NY,M,1923,Clifford,190
NY,M,1923,Julius,187
NY,M,1923,Russell,183
NY,M,1923,Irwin,179
NY,M,1923,Rudolph,177
NY,M,1923,Alvin,176
NY,M,1923,Gerard,174
NY,M,1923,Nathan,171
NY,M,1923,Edmund,170
NY,M,1923,Jerry,169
NY,M,1923,Jacob,159
NY,M,1923,Matthew,157
NY,M,1923,Sol,156
NY,M,1923,Lewis,155
NY,M,1923,Max,155
NY,M,1923,Maurice,154
NY,M,1923,Roger,152
NY,M,1923,Douglas,149
NY,M,1923,Wallace,148
NY,M,1923,Hyman,142
NY,M,1923,Rocco,141
NY,M,1923,Leroy,140
NY,M,1923,Carmine,139
NY,M,1923,Harvey,136
NY,M,1923,Tony,133
NY,M,1923,Dominic,130
NY,M,1923,Mario,130
NY,M,1923,Alan,127
NY,M,1923,Joe,126
NY,M,1923,Lloyd,122
NY,M,1923,Alex,117
NY,M,1923,Everett,117
NY,M,1923,Elmer,115
NY,M,1923,Vito,115
NY,M,1923,Allen,114
NY,M,1923,Patsy,110
NY,M,1923,Emanuel,109
NY,M,1923,Gilbert,109
