StateCode,Sex,YearOfBirth,Name,Number
NY,M,1937,Wade,5
NY,M,1937,Warner,5
NY,M,1937,Winfield,5
NY,M,1937,Woodrow,5
NY,M,1937,Zachary,5
NY,M,1938,Robert,6475
NY,M,1938,John,5625
NY,M,1938,Richard,4013
NY,M,1938,William,3737
NY,M,1938,James,3608
NY,M,1938,Joseph,3035
NY,M,1938,Thomas,2392
NY,M,1938,Charles,2060
NY,M,1938,Edward,2016
NY,M,1938,David,1936
NY,M,1938,Donald,1907
NY,M,1938,Michael,1851
NY,M,1938,George,1769
NY,M,1938,Ronald,1617
NY,M,1938,Frank,1478
NY,M,1938,Paul,1337
NY,M,1938,Anthony,1323
NY,M,1938,Peter,1230
NY,M,1938,Kenneth,964
NY,M,1938,Arthur,874
NY,M,1938,Raymond,859
NY,M,1938,Gerald,812
NY,M,1938,Walter,713
NY,M,1938,Daniel,691
NY,M,1938,Lawrence,668
NY,M,1938,Stephen,658
NY,M,1938,Martin,639
NY,M,1938,Louis,638
NY,M,1938,Vincent,627
NY,M,1938,Harold,622
NY,M,1938,Henry,598
NY,M,1938,Francis,571
NY,M,1938,Albert,568
NY,M,1938,Howard,546
NY,M,1938,Roger,540
NY,M,1938,Philip,531
NY,M,1938,Eugene,529
NY,M,1938,Stanley,518
NY,M,1938,Carl,503
NY,M,1938,Frederick,487
NY,M,1938,Fred,479
NY,M,1938,Alan,457
NY,M,1938,Norman,452
NY,M,1938,Ralph,449
NY,M,1938,Jack,447
NY,M,1938,Leonard,439
NY,M,1938,Gary,417
NY,M,1938,Bruce,395
NY,M,1938,Bernard,388
NY,M,1938,Herbert,372
NY,M,1938,Patrick,371
NY,M,1938,Harry,366
NY,M,1938,Alfred,364
NY,M,1938,Andrew,314
NY,M,1938,Douglas,310
NY,M,1938,Nicholas,306
NY,M,1938,Jerome,304
NY,M,1938,Theodore,304
NY,M,1938,Joel,298
NY,M,1938,Jerry,297
NY,M,1938,Larry,294
NY,M,1938,Salvatore,274
NY,M,1938,Barry,265
NY,M,1938,Harvey,259
NY,M,1938,Arnold,257
NY,M,1938,Allan,254
NY,M,1938,Allen,251
NY,M,1938,Ernest,246
NY,M,1938,Dennis,243
NY,M,1938,Wayne,241
NY,M,1938,Warren,226
NY,M,1938,Roy,218
NY,M,1938,Victor,215
NY,M,1938,Melvin,212
NY,M,1938,Samuel,205
NY,M,1938,Gordon,204
NY,M,1938,Marvin,202
NY,M,1938,Edwin,199
NY,M,1938,Gerard,189
NY,M,1938,Russell,178
NY,M,1938,Stuart,175
NY,M,1938,Neil,164
NY,M,1938,Lewis,163
NY,M,1938,Angelo,152
NY,M,1938,Earl,150
NY,M,1938,Jay,146
NY,M,1938,Brian,142
NY,M,1938,Steven,142
NY,M,1938,Dominick,134
NY,M,1938,Leon,131
NY,M,1938,Sheldon,131
NY,M,1938,Leo,124
NY,M,1938,Karl,122
NY,M,1938,Matthew,121
NY,M,1938,Clarence,120
NY,M,1938,Clifford,120
NY,M,1938,Benjamin,118
NY,M,1938,Irwin,116
NY,M,1938,Ira,113
NY,M,1938,Leroy,112
NY,M,1938,Jon,111
NY,M,1938,Gilbert,108
NY,M,1938,Mark,108
NY,M,1938,Alexander,107
NY,M,1938,Franklin,105
NY,M,1938,Dale,104
NY,M,1938,Lloyd,104
NY,M,1938,Leslie,103
NY,M,1938,Lee,102
NY,M,1938,Lester,101
NY,M,1938,Timothy,101
NY,M,1938,Alvin,99
NY,M,1938,Phillip,97
NY,M,1938,Herman,96
NY,M,1938,Milton,94
NY,M,1938,Kevin,92
NY,M,1938,Hugh,90
NY,M,1938,Roland,90
NY,M,1938,Joe,89
NY,M,1938,Carmine,88
NY,M,1938,Irving,87
NY,M,1938,Steve,86
NY,M,1938,Gene,85
NY,M,1938,Keith,82
NY,M,1938,Sidney,82
NY,M,1938,Glenn,81
NY,M,1938,Morton,81
NY,M,1938,Eric,79
NY,M,1938,Edmund,76
NY,M,1938,Rudolph,76
NY,M,1938,Terry,76
NY,M,1938,Maurice,75
NY,M,1938,Ray,75
NY,M,1938,Chester,73
NY,M,1938,Gregory,73
NY,M,1938,Christopher,72
NY,M,1938,Duane,72
NY,M,1938,Tony,72
NY,M,1938,Don,71
NY,M,1938,Mario,70
NY,M,1938,Melvyn,70
NY,M,1938,Seymour,70
NY,M,1938,Floyd,68
NY,M,1938,Murray,68
NY,M,1938,Nelson,68
NY,M,1938,Rocco,67
NY,M,1938,Stewart,67
NY,M,1938,Laurence,66
NY,M,1938,Burton,63
NY,M,1938,Rodney,63
NY,M,1938,Malcolm,62
NY,M,1938,Eddie,61
NY,M,1938,Denis,58
NY,M,1938,Dominic,58
NY,M,1938,Myron,58
NY,M,1938,Conrad,57
NY,M,1938,Sam,57
NY,M,1938,Bob,56
NY,M,1938,Wallace,56
NY,M,1938,Morris,55
NY,M,1938,Alex,54
NY,M,1938,Guy,54
NY,M,1938,Manuel,53
NY,M,1938,Tom,53
NY,M,1938,Bill,52
NY,M,1938,Emil,52
NY,M,1938,Marshall,51
NY,M,1938,Nathan,51
NY,M,1938,Reginald,51
NY,M,1938,Jonathan,50
NY,M,1938,Vernon,50
NY,M,1938,Cornelius,49
NY,M,1938,Pasquale,49
NY,M,1938,Julius,48
NY,M,1938,Jacob,47
NY,M,1938,Vito,47
NY,M,1938,Nick,46
NY,M,1938,Wesley,46
NY,M,1938,Dean,45
NY,M,1938,Mike,45
NY,M,1938,Claude,44
NY,M,1938,Clyde,44
NY,M,1938,Ivan,44
NY,M,1938,Calvin,43
NY,M,1938,Carlton,43
NY,M,1938,Fredrick,42
NY,M,1938,Aaron,41
NY,M,1938,Carmen,41
NY,M,1938,Everett,41
NY,M,1938,Sanford,40
NY,M,1938,Danny,39
NY,M,1938,Edgar,39
NY,M,1938,Neal,39
NY,M,1938,Noel,39
NY,M,1938,Owen,39
NY,M,1938,Frederic,38
NY,M,1938,Jesse,38
NY,M,1938,Johnny,38
NY,M,1938,Ronnie,38
NY,M,1938,Saul,38
NY,M,1938,Carlo,37
NY,M,1938,Ted,36
NY,M,1938,Lyle,35
NY,M,1938,Clark,34
NY,M,1938,Curtis,34
NY,M,1938,Wilbur,34
NY,M,1938,Bert,33
NY,M,1938,Gabriel,33
NY,M,1938,Terrence,33
NY,M,1938,August,32
NY,M,1938,Carlos,32
NY,M,1938,Max,32
NY,M,1938,Norbert,32
NY,M,1938,Willard,32
NY,M,1938,Clayton,31
NY,M,1938,Clifton,31
NY,M,1938,Clinton,31
NY,M,1938,Lynn,31
NY,M,1938,Patsy,31
NY,M,1938,Abraham,30
NY,M,1938,Elliot,30
NY,M,1938,Felix,30
NY,M,1938,Santo,30
NY,M,1938,Willie,30
NY,M,1938,Jeffrey,28
NY,M,1938,Leland,28
NY,M,1938,Lowell,28
NY,M,1938,Wilfred,28
NY,M,1938,Al,27
NY,M,1938,Benny,27
NY,M,1938,Elliott,27
NY,M,1938,Hubert,27
NY,M,1938,Nathaniel,27
NY,M,1938,Dave,26
NY,M,1938,Domenick,26
NY,M,1938,Jeremiah,26
NY,M,1938,Kent,26
NY,M,1938,Pat,26
NY,M,1938,Sal,26
NY,M,1938,Bobby,25
NY,M,1938,Emanuel,25
NY,M,1938,Lance,25
NY,M,1938,Otto,25
NY,M,1938,Ross,25
NY,M,1938,Bradley,24
NY,M,1938,Chris,24
NY,M,1938,Dan,24
NY,M,1938,Edmond,24
NY,M,1938,Elmer,24
NY,M,1938,Erwin,24
NY,M,1938,Ferdinand,24
NY,M,1938,Teddy,24
NY,M,1938,Terence,24
NY,M,1938,Adrian,23
NY,M,1938,Alfonso,23
NY,M,1938,Alphonse,23
NY,M,1938,Antonio,23
NY,M,1938,Ben,23
NY,M,1938,Billy,23
NY,M,1938,Charlie,23
NY,M,1938,Glen,23
NY,M,1938,Jim,23
NY,M,1938,Jose,23
NY,M,1938,Oscar,23
NY,M,1938,Horace,22
NY,M,1938,Jimmy,22
NY,M,1938,Rosario,22
NY,M,1938,Rudy,22
NY,M,1938,Byron,21
NY,M,1938,Gus,21
NY,M,1938,Jan,21
NY,M,1938,Julian,21
NY,M,1938,Kurt,21
NY,M,1938,Marc,21
NY,M,1938,Mitchell,20
NY,M,1938,Perry,20
NY,M,1938,Ramon,20
NY,M,1938,Spencer,20
NY,M,1938,Ward,20
NY,M,1938,Alton,19
NY,M,1938,Armand,19
NY,M,1938,Bertram,19
NY,M,1938,Emilio,19
NY,M,1938,Mel,19
NY,M,1938,Oliver,19
NY,M,1938,Phil,19
NY,M,1938,Sylvester,19
NY,M,1938,Adam,18
NY,M,1938,Augustine,18
NY,M,1938,Barbara,18
NY,M,1938,Barton,18
NY,M,1938,Bruno,18
NY,M,1938,Cecil,18
NY,M,1938,Dick,18
NY,M,1938,Fredric,18
NY,M,1938,Merle,18
NY,M,1938,Sebastian,18
NY,M,1938,Virgil,18
NY,M,1938,Werner,18
NY,M,1938,Anton,17
NY,M,1938,Christian,17
NY,M,1938,Clement,17
NY,M,1938,Craig,17
NY,M,1938,Eli,17
NY,M,1938,Freddie,17
NY,M,1938,Maynard,17
NY,M,1938,Pete,17
NY,M,1938,Randolph,17
NY,M,1938,Roderick,17
NY,M,1938,Thaddeus,17
NY,M,1938,Tommy,17
NY,M,1938,Armando,16
NY,M,1938,Austin,16
NY,M,1938,Jason,16
NY,M,1938,Jean,16
NY,M,1938,Jordan,16
NY,M,1938,Jules,16
NY,M,1938,Scott,16
NY,M,1938,Sol,16
NY,M,1938,Terrance,16
NY,M,1938,Wilbert,16
NY,M,1938,Aldo,15
NY,M,1938,Burt,15
NY,M,1938,Carmelo,15
NY,M,1938,Gustave,15
NY,M,1938,Hans,15
NY,M,1938,Nunzio,15
NY,M,1938,Simon,15
NY,M,1938,Willis,15
NY,M,1938,Bartholomew,14
NY,M,1938,Darryl,14
NY,M,1938,Franklyn,14
NY,M,1938,Garth,14
NY,M,1938,Harris,14
NY,M,1938,Hector,14
NY,M,1938,Isaac,14
NY,M,1938,Israel,14
NY,M,1938,Jackie,14
NY,M,1938,Kermit,14
NY,M,1938,Loren,14
NY,M,1938,Patricia,14
NY,M,1938,Sydney,14
NY,M,1938,Tyrone,14
NY,M,1938,Wendell,14
NY,M,1938,Frankie,13
NY,M,1938,Geoffrey,13
NY,M,1938,Lionel,13
NY,M,1938,Luis,13
NY,M,1938,Miles,13
NY,M,1938,Myles,13
NY,M,1938,Archie,12
NY,M,1938,Basil,12
NY,M,1938,Bradford,12
NY,M,1938,Bryan,12
NY,M,1938,Clair,12
NY,M,1938,Darrell,12
NY,M,1938,Duncan,12
NY,M,1938,Emmett,12
NY,M,1938,Gennaro,12
NY,M,1938,Grant,12
NY,M,1938,Homer,12
NY,M,1938,Hugo,12
NY,M,1938,Ian,12
NY,M,1938,Jerald,12
NY,M,1938,Jerrold,12
NY,M,1938,Joan,12
NY,M,1938,Louie,12
NY,M,1938,Ludwig,12
NY,M,1938,Merrill,12
NY,M,1938,Miguel,12
NY,M,1938,Ned,12
NY,M,1938,Nickolas,12
NY,M,1938,Randall,12
NY,M,1938,Royal,12
NY,M,1938,Sherman,12
NY,M,1938,Darwin,11
NY,M,1938,Dewitt,11
NY,M,1938,Enrico,11
NY,M,1938,Evan,11
NY,M,1938,Gaylord,11
NY,M,1938,Jerold,11
NY,M,1938,Julio,11
NY,M,1938,Marion,11
NY,M,1938,Marty,11
NY,M,1938,Monroe,11
NY,M,1938,Preston,11
NY,M,1938,Rene,11
NY,M,1938,Rodger,11
NY,M,1938,Seth,11
NY,M,1938,Wilson,11
NY,M,1938,Adolph,10
NY,M,1938,Andre,10
NY,M,1938,Augustus,10
NY,M,1938,Bart,10
NY,M,1938,Brendan,10
NY,M,1938,Carol,10
NY,M,1938,Ciro,10
NY,M,1938,Cosmo,10
NY,M,1938,Delbert,10
NY,M,1938,Domenic,10
NY,M,1938,Errol,10
NY,M,1938,Gail,10
NY,M,1938,Irvin,10
NY,M,1938,Laverne,10
NY,M,1938,Lyman,10
NY,M,1938,Mary,10
NY,M,1938,Millard,10
NY,M,1938,Pedro,10
NY,M,1938,Rolland,10
NY,M,1938,Rowland,10
NY,M,1938,Stephan,10
NY,M,1938,Alonzo,9
NY,M,1938,Andy,9
NY,M,1938,Bennett,9
NY,M,1938,Bernie,9
NY,M,1938,Beverly,9
