StateCode,Sex,YearOfBirth,Name,Number
NY,M,1952,Ronnie,70
NY,M,1952,Ramon,67
NY,M,1952,Carmine,66
NY,M,1952,Darrell,66
NY,M,1952,Jacob,66
NY,M,1952,Perry,66
NY,M,1952,Rocco,66
NY,M,1952,Tyrone,66
NY,M,1952,Morris,62
NY,M,1952,Ted,62
NY,M,1952,Andre,61
NY,M,1952,Bryan,61
NY,M,1952,Irving,61
NY,M,1952,Nathan,61
NY,M,1952,Claude,60
NY,M,1952,Jimmy,60
NY,M,1952,Kirk,59
NY,M,1952,Wesley,59
NY,M,1952,Carlton,58
NY,M,1952,Alex,57
NY,M,1952,Daryl,56
NY,M,1952,Kent,56
NY,M,1952,Ivan,55
NY,M,1952,Sam,54
NY,M,1952,Brad,53
NY,M,1952,Rick,53
NY,M,1952,Israel,51
NY,M,1952,Owen,51
NY,M,1952,Dominic,50
NY,M,1952,Frederic,50
NY,M,1952,Joshua,50
NY,M,1952,Clayton,49
NY,M,1952,Oscar,49
NY,M,1952,Sean,49
NY,M,1952,Terrance,49
NY,M,1952,Wilfred,49
NY,M,1952,Isaac,47
NY,M,1952,Tom,47
NY,M,1952,Tony,47
NY,M,1952,Bradford,46
NY,M,1952,Cary,46
NY,M,1952,Irwin,46
NY,M,1952,Julius,46
NY,M,1952,Rickey,46
NY,M,1952,Wallace,46
NY,M,1952,Jesus,45
NY,M,1952,Noel,45
NY,M,1952,Rene,45
NY,M,1952,Elliott,44
NY,M,1952,Freddie,44
NY,M,1952,Gregg,44
NY,M,1952,Kerry,44
NY,M,1952,Wilfredo,44
NY,M,1952,Dan,43
NY,M,1952,Fredric,43
NY,M,1952,Raul,43
NY,M,1952,Tommy,42
NY,M,1952,Billy,41
NY,M,1952,Christian,41
NY,M,1952,Lyle,41
NY,M,1952,Mike,41
NY,M,1952,Myron,41
NY,M,1952,Roderick,41
NY,M,1952,Alberto,39
NY,M,1952,Conrad,39
NY,M,1952,Derek,39
NY,M,1952,Evan,39
NY,M,1952,Ismael,39
NY,M,1952,Sanford,39
