StateCode,Sex,YearOfBirth,Name,Number
NY,M,1962,Reed,9
NY,M,1962,Reid,9
NY,M,1962,Rod,9
NY,M,1962,Stan,9
NY,M,1962,Stevie,9
NY,M,1962,Susan,9
NY,M,1962,Tommie,9
NY,M,1962,Wilberto,9
NY,M,1962,Winston,9
NY,M,1962,Yitzchok,9
NY,M,1962,Adolfo,8
NY,M,1962,Agustin,8
NY,M,1962,Alvaro,8
NY,M,1962,Armand,8
NY,M,1962,Aubrey,8
NY,M,1962,Aurelio,8
NY,M,1962,Avery,8
NY,M,1962,Boris,8
NY,M,1962,Brien,8
NY,M,1962,Burton,8
NY,M,1962,Carroll,8
NY,M,1962,Chet,8
NY,M,1962,Christos,8
NY,M,1962,Cleveland,8
NY,M,1962,Dallas,8
NY,M,1962,Dario,8
NY,M,1962,Darrick,8
NY,M,1962,Dereck,8
NY,M,1962,Derick,8
NY,M,1962,Diego,8
NY,M,1962,Donato,8
NY,M,1962,Donn,8
NY,M,1962,Elbert,8
NY,M,1962,Ernst,8
NY,M,1962,Ezra,8
NY,M,1962,Faustino,8
NY,M,1962,Fletcher,8
NY,M,1962,German,8
NY,M,1962,Harley,8
NY,M,1962,Hernan,8
NY,M,1962,Jerold,8
NY,M,1962,Keven,8
NY,M,1962,Linda,8
NY,M,1962,Mack,8
NY,M,1962,Manny,8
NY,M,1962,Marlon,8
NY,M,1962,Mauro,8
NY,M,1962,Michele,8
NY,M,1962,Mordechai,8
NY,M,1962,Nevin,8
NY,M,1962,Nicola,8
NY,M,1962,Odell,8
NY,M,1962,Parrish,8
NY,M,1962,Renaldo,8
NY,M,1962,Rolf,8
NY,M,1962,Roscoe,8
NY,M,1962,Salvador,8
NY,M,1962,Saverio,8
NY,M,1962,Shayne,8
NY,M,1962,Sydney,8
NY,M,1962,Ty,8
NY,M,1962,Tyler,8
NY,M,1962,Val,8
NY,M,1962,Will,8
NY,M,1962,Adalberto,7
NY,M,1962,Ashley,7
NY,M,1962,Augusto,7
NY,M,1962,Barton,7
NY,M,1962,Bienvenido,7
NY,M,1962,Blaise,7
NY,M,1962,Bradly,7
NY,M,1962,Cris,7
NY,M,1962,Daryll,7
