StateCode,Sex,YearOfBirth,Name,Number
NY,M,1971,Yves,7
NY,M,1971,Zalmen,7
NY,M,1971,Zev,7
NY,M,1971,Abner,6
NY,M,1971,Agostino,6
NY,M,1971,Ahmed,6
NY,M,1971,Alexie,6
NY,M,1971,Amit,6
NY,M,1971,Andreas,6
NY,M,1971,Angus,6
NY,M,1971,Ann,6
NY,M,1971,Arnaldo,6
NY,M,1971,Artie,6
NY,M,1971,Asa,6
NY,M,1971,Barbara,6
NY,M,1971,Benedetto,6
NY,M,1971,Boyd,6
NY,M,1971,Brant,6
NY,M,1971,Brennan,6
NY,M,1971,Celso,6
NY,M,1971,Chandler,6
NY,M,1971,Clemente,6
NY,M,1971,Constantinos,6
NY,M,1971,Daniele,6
NY,M,1971,Derwin,6
NY,M,1971,Diallo,6
NY,M,1971,Dominique,6
NY,M,1971,Ed,6
NY,M,1971,Eldon,6
NY,M,1971,Eusebio,6
NY,M,1971,Fermin,6
NY,M,1971,Franco,6
NY,M,1971,Gennaro,6
NY,M,1971,Gianni,6
NY,M,1971,Harley,6
NY,M,1971,Harrison,6
NY,M,1971,Hayden,6
NY,M,1971,Hernan,6
NY,M,1971,Idris,6
NY,M,1971,Ignacio,6
NY,M,1971,Ioannis,6
NY,M,1971,Irwin,6
NY,M,1971,Jackson,6
NY,M,1971,Jairo,6
NY,M,1971,Jamahl,6
NY,M,1971,Jamar,6
NY,M,1971,Jamey,6
NY,M,1971,Jarret,6
NY,M,1971,Jarvis,6
NY,M,1971,Jasper,6
NY,M,1971,Javiel,6
NY,M,1971,Jemel,6
NY,M,1971,Jerel,6
NY,M,1971,Karen,6
NY,M,1971,Karriem,6
NY,M,1971,Kennard,6
NY,M,1971,Klaus,6
NY,M,1971,Kofi,6
NY,M,1971,Lamonte,6
NY,M,1971,Lateef,6
NY,M,1971,Leland,6
NY,M,1971,Lemuel,6
NY,M,1971,Lenard,6
NY,M,1971,Leshawn,6
NY,M,1971,London,6
NY,M,1971,Lorne,6
NY,M,1971,Lydell,6
NY,M,1971,Markus,6
NY,M,1971,Mel,6
NY,M,1971,Merle,6
NY,M,1971,Milo,6
NY,M,1971,Misael,6
NY,M,1971,Mitchel,6
NY,M,1971,Murray,6
NY,M,1971,Napoleon,6
NY,M,1971,Noe,6
NY,M,1971,Norris,6
NY,M,1971,Ollie,6
NY,M,1971,Osiris,6
NY,M,1971,Prince,6
NY,M,1971,Quinton,6
NY,M,1971,Raheim,6
NY,M,1971,Ramiro,6
NY,M,1971,Renato,6
NY,M,1971,Renee,6
NY,M,1971,Rhett,6
NY,M,1971,Robby,6
NY,M,1971,Rocky,6
NY,M,1971,Russ,6
NY,M,1971,Serge,6
NY,M,1971,Shan,6
NY,M,1971,Sherwin,6
NY,M,1971,Shimon,6
NY,M,1971,Simcha,6
NY,M,1971,Sterling,6
NY,M,1971,Valentin,6
NY,M,1971,Vasilios,6
NY,M,1971,Whitney,6
NY,M,1971,Woodrow,6
NY,M,1971,Yechiel,6
NY,M,1971,Yitzchok,6
NY,M,1971,Aharon,5
NY,M,1971,Alexandros,5
NY,M,1971,Alphonse,5
NY,M,1971,Andra,5
NY,M,1971,Andrei,5
NY,M,1971,Anil,5
NY,M,1971,Antonios,5
NY,M,1971,Antony,5
NY,M,1971,Barrett,5
NY,M,1971,Bienvenido,5
NY,M,1971,Brenden,5
NY,M,1971,Burt,5
NY,M,1971,Calogero,5
NY,M,1971,Chaka,5
NY,M,1971,Christophr,5
NY,M,1971,Collins,5
NY,M,1971,Cordell,5
NY,M,1971,Dallas,5
NY,M,1971,Damiano,5
NY,M,1971,Damone,5
NY,M,1971,Darcy,5
NY,M,1971,Daron,5
NY,M,1971,Daryll,5
NY,M,1971,Deborah,5
NY,M,1971,Delano,5
NY,M,1971,Demetrio,5
NY,M,1971,Denise,5
NY,M,1971,Deric,5
NY,M,1971,Desi,5
NY,M,1971,Diana,5
NY,M,1971,Dickson,5
NY,M,1971,Duncan,5
NY,M,1971,Duron,5
NY,M,1971,Earle,5
NY,M,1971,Eben,5
NY,M,1971,Edilberto,5
NY,M,1971,Edison,5
NY,M,1971,Edson,5
NY,M,1971,Efraim,5
NY,M,1971,Efrem,5
NY,M,1971,Foster,5
NY,M,1971,Francois,5
NY,M,1971,Franky,5
NY,M,1971,Franz,5
NY,M,1971,Garett,5
NY,M,1971,Garland,5
NY,M,1971,Garrick,5
NY,M,1971,Genaro,5
NY,M,1971,Giacomo,5
NY,M,1971,Gian,5
NY,M,1971,Giulio,5
NY,M,1971,Grady,5
NY,M,1971,Greggory,5
NY,M,1971,Hank,5
NY,M,1971,Herminio,5
NY,M,1971,Hollis,5
NY,M,1971,Ilan,5
NY,M,1971,Ishmael,5
NY,M,1971,Isiah,5
NY,M,1971,Jacque,5
NY,M,1971,Jahmal,5
NY,M,1971,Jammie,5
NY,M,1971,Jayme,5
NY,M,1971,Jeremias,5
NY,M,1971,Jeremie,5
NY,M,1971,Jevon,5
NY,M,1971,Johnpaul,5
NY,M,1971,Kenya,5
NY,M,1971,Kenyon,5
NY,M,1971,Landon,5
NY,M,1971,Leif,5
NY,M,1971,Lesley,5
NY,M,1971,Lesly,5
NY,M,1971,Levon,5
NY,M,1971,Lisandro,5
NY,M,1971,Lucien,5
NY,M,1971,Major,5
NY,M,1971,Mannix,5
NY,M,1971,Marcial,5
NY,M,1971,Mason,5
NY,M,1971,Maureen,5
NY,M,1971,Maurizio,5
NY,M,1971,Mayer,5
NY,M,1971,Merrick,5
NY,M,1971,Mohamed,5
NY,M,1971,Nachman,5
NY,M,1971,Newton,5
NY,M,1971,Nickolas,5
NY,M,1971,Nikolas,5
NY,M,1971,Nils,5
NY,M,1971,Pascal,5
NY,M,1971,Patric,5
NY,M,1971,Patrice,5
NY,M,1971,Paulo,5
NY,M,1971,Raheem,5
NY,M,1971,Rahiem,5
NY,M,1971,Rasheen,5
NY,M,1971,Rebecca,5
NY,M,1971,Reynolds,5
NY,M,1971,Riley,5
NY,M,1971,Rober,5
NY,M,1971,Rohit,5
NY,M,1971,Sacha,5
NY,M,1971,Sasha,5
NY,M,1971,Scottie,5
NY,M,1971,Seamus,5
NY,M,1971,Shelby,5
NY,M,1971,Shondell,5
NY,M,1971,Silas,5
NY,M,1971,Simeon,5
NY,M,1971,Spiro,5
NY,M,1971,Stan,5
NY,M,1971,Terrill,5
NY,M,1971,Thane,5
NY,M,1971,Thor,5
NY,M,1971,Thurman,5
NY,M,1971,Tirrell,5
NY,M,1971,Tremayne,5
NY,M,1971,Trenton,5
NY,M,1971,Trevis,5
NY,M,1971,Tyree,5
NY,M,1971,Tyrome,5
NY,M,1971,Umberto,5
NY,M,1971,Valerie,5
NY,M,1971,Warner,5
NY,M,1971,Weldon,5
NY,M,1971,Westley,5
NY,M,1971,Will,5
NY,M,1971,Wyatt,5
NY,M,1971,Yuri,5
NY,M,1972,Michael,6257
NY,M,1972,Christopher,4122
NY,M,1972,John,3793
NY,M,1972,David,3612
NY,M,1972,Robert,3574
NY,M,1972,James,3160
NY,M,1972,Joseph,2758
NY,M,1972,Brian,2546
NY,M,1972,William,2304
NY,M,1972,Richard,2127
NY,M,1972,Jason,2120
NY,M,1972,Thomas,2011
NY,M,1972,Daniel,2006
NY,M,1972,Anthony,1994
NY,M,1972,Scott,1882
NY,M,1972,Matthew,1823
NY,M,1972,Kevin,1670
NY,M,1972,Eric,1604
NY,M,1972,Jeffrey,1553
NY,M,1972,Mark,1552
NY,M,1972,Steven,1484
NY,M,1972,Paul,1319
NY,M,1972,Peter,1216
NY,M,1972,Edward,1116
NY,M,1972,Andrew,1110
NY,M,1972,Timothy,1073
NY,M,1972,Charles,1026
NY,M,1972,Jose,985
NY,M,1972,Gregory,974
NY,M,1972,Stephen,954
NY,M,1972,Sean,943
NY,M,1972,Kenneth,938
NY,M,1972,Keith,888
NY,M,1972,Patrick,776
NY,M,1972,Frank,752
NY,M,1972,Jonathan,739
NY,M,1972,Shawn,732
NY,M,1972,George,707
NY,M,1972,Todd,694
NY,M,1972,Adam,651
NY,M,1972,Ronald,636
NY,M,1972,Craig,608
NY,M,1972,Raymond,583
NY,M,1972,Donald,576
NY,M,1972,Luis,571
NY,M,1972,Douglas,540
NY,M,1972,Vincent,503
NY,M,1972,Gary,478
NY,M,1972,Dennis,474
NY,M,1972,Marc,456
NY,M,1972,Aaron,446
NY,M,1972,Carlos,430
NY,M,1972,Nicholas,406
NY,M,1972,Juan,398
