StateCode,Sex,YearOfBirth,Name,Number
NY,M,2009,Ernest,11
NY,M,2009,Geovanni,11
NY,M,2009,Hasan,11
NY,M,2009,Heath,11
NY,M,2009,Jabari,11
NY,M,2009,Jacoby,11
NY,M,2009,Javion,11
NY,M,2009,Joan,11
NY,M,2009,Jonatan,11
NY,M,2009,Jordon,11
NY,M,2009,Josias,11
NY,M,2009,Jostin,11
NY,M,2009,Karson,11
NY,M,2009,Kendrick,11
NY,M,2009,Kevon,11
NY,M,2009,Kolton,11
NY,M,2009,Lebron,11
NY,M,2009,Leonidas,11
NY,M,2009,Mahmoud,11
NY,M,2009,Malaki,11
NY,M,2009,Matthias,11
NY,M,2009,Maxx,11
NY,M,2009,Meilech,11
NY,M,2009,Mouhamed,11
NY,M,2009,Mykel,11
NY,M,2009,Netanel,11
NY,M,2009,Oisin,11
NY,M,2009,Omer,11
NY,M,2009,Oren,11
NY,M,2009,Ousmane,11
NY,M,2009,Rasheed,11
NY,M,2009,Reynaldo,11
NY,M,2009,Rian,11
NY,M,2009,Rogan,11
NY,M,2009,Ronaldo,11
NY,M,2009,Ronin,11
NY,M,2009,Ronny,11
NY,M,2009,Shayan,11
NY,M,2009,Stefano,11
NY,M,2009,Tristin,11
NY,M,2009,Vance,11
NY,M,2009,Youssouf,11
NY,M,2009,Zackery,11
NY,M,2009,Zaiden,11
NY,M,2009,Abdoulaye,10
NY,M,2009,Ace,10
NY,M,2009,Akeem,10
NY,M,2009,Aleksandr,10
NY,M,2009,Alexandros,10
NY,M,2009,Alexavier,10
NY,M,2009,Amit,10
NY,M,2009,Ammar,10
NY,M,2009,Amos,10
NY,M,2009,Amr,10
NY,M,2009,Arav,10
NY,M,2009,Arian,10
NY,M,2009,Ayman,10
NY,M,2009,Baron,10
NY,M,2009,Bradyn,10
NY,M,2009,Braydin,10
NY,M,2009,Carmello,10
NY,M,2009,Courtney,10
NY,M,2009,Cristiano,10
NY,M,2009,Dale,10
NY,M,2009,Dangelo,10
NY,M,2009,Deacon,10
NY,M,2009,Denim,10
NY,M,2009,Dion,10
NY,M,2009,Divine,10
NY,M,2009,Domenic,10
NY,M,2009,Ean,10
NY,M,2009,Elie,10
NY,M,2009,Emir,10
NY,M,2009,Ewan,10
NY,M,2009,Foster,10
NY,M,2009,Gino,10
NY,M,2009,Gunner,10
NY,M,2009,Howard,10
NY,M,2009,Iker,10
NY,M,2009,Imran,10
NY,M,2009,Ioannis,10
NY,M,2009,Isai,10
NY,M,2009,Jaedyn,10
NY,M,2009,Jahmier,10
NY,M,2009,Jaskaran,10
NY,M,2009,Jeshua,10
NY,M,2009,Jessiah,10
NY,M,2009,Jeter,10
NY,M,2009,Kaan,10
NY,M,2009,Kadyn,10
NY,M,2009,Kamil,10
NY,M,2009,Kavion,10
NY,M,2009,Keshawn,10
NY,M,2009,Keven,10
NY,M,2009,Kingsley,10
NY,M,2009,Laith,10
NY,M,2009,Leif,10
NY,M,2009,Lennox,10
NY,M,2009,Lester,10
NY,M,2009,Lionel,10
NY,M,2009,Lloyd,10
NY,M,2009,Luigi,10
NY,M,2009,Magnus,10
NY,M,2009,Memphis,10
NY,M,2009,Nachmen,10
NY,M,2009,Naeem,10
NY,M,2009,Natan,10
NY,M,2009,Ori,10
NY,M,2009,Patryk,10
NY,M,2009,Rashawn,10
NY,M,2009,Reginald,10
NY,M,2009,Saif,10
NY,M,2009,Shamel,10
NY,M,2009,Sullivan,10
NY,M,2009,Tahir,10
NY,M,2009,Tahj,10
NY,M,2009,Tariq,10
NY,M,2009,Teo,10
NY,M,2009,Thiago,10
NY,M,2009,Tim,10
