StateCode,Sex,YearOfBirth,Name,Number
OH,F,1952,Reba,15
OH,F,1952,Rosanna,15
OH,F,1952,Sharlene,15
OH,F,1952,Sonja,15
OH,F,1952,Tammy,15
OH,F,1952,Agnes,14
OH,F,1952,Amanda,14
OH,F,1952,Antonia,14
OH,F,1952,Beverley,14
OH,F,1952,Carlene,14
OH,F,1952,Cathie,14
OH,F,1952,Colette,14
OH,F,1952,Donita,14
OH,F,1952,Dottie,14
OH,F,1952,Estella,14
OH,F,1952,Fay,14
OH,F,1952,Harriett,14
OH,F,1952,Helena,14
OH,F,1952,Ila,14
OH,F,1952,Katrina,14
OH,F,1952,Kerry,14
OH,F,1952,Kristin,14
OH,F,1952,Lela,14
OH,F,1952,Lyn,14
OH,F,1952,Lynnette,14
OH,F,1952,Pamala,14
OH,F,1952,Pandora,14
OH,F,1952,Patrica,14
OH,F,1952,Sharyn,14
OH,F,1952,Tracy,14
OH,F,1952,Vickey,14
OH,F,1952,Yvette,14
OH,F,1952,Althea,13
OH,F,1952,Cathryn,13
OH,F,1952,Daisy,13
OH,F,1952,Dolly,13
OH,F,1952,Elisabeth,13
OH,F,1952,Georgene,13
OH,F,1952,Goldie,13
OH,F,1952,Helene,13
OH,F,1952,Henrietta,13
OH,F,1952,Jacklyn,13
OH,F,1952,John,13
OH,F,1952,Karol,13
OH,F,1952,Lorrie,13
OH,F,1952,Mae,13
OH,F,1952,Mariann,13
OH,F,1952,Marilou,13
OH,F,1952,Michael,13
OH,F,1952,Rena,13
OH,F,1952,Rosie,13
OH,F,1952,Sharen,13
OH,F,1952,Sonya,13
OH,F,1952,Valarie,13
OH,F,1952,Valorie,13
OH,F,1952,Willie,13
OH,F,1952,Alexis,12
OH,F,1952,Bobbi,12
OH,F,1952,Clare,12
OH,F,1952,Coleen,12
OH,F,1952,Dena,12
OH,F,1952,Gaye,12
OH,F,1952,Geneva,12
OH,F,1952,Georgette,12
OH,F,1952,Greta,12
OH,F,1952,James,12
OH,F,1952,Jeanie,12
OH,F,1952,Krista,12
OH,F,1952,Leanne,12
OH,F,1952,Lena,12
OH,F,1952,Maryanne,12
OH,F,1952,Melodie,12
OH,F,1952,Sallie,12
OH,F,1952,Treva,12
OH,F,1952,Willa,12
OH,F,1952,Aleta,11
OH,F,1952,Clarice,11
OH,F,1952,Eugenia,11
OH,F,1952,Flora,11
OH,F,1952,Ina,11
OH,F,1952,Johnnie,11
OH,F,1952,Katheryn,11
OH,F,1952,Kristie,11
OH,F,1952,Laureen,11
OH,F,1952,Maribeth,11
OH,F,1952,Maryellen,11
OH,F,1952,Nan,11
OH,F,1952,Nanci,11
OH,F,1952,Nicolette,11
OH,F,1952,Portia,11
OH,F,1952,Rae,11
OH,F,1952,Roslyn,11
OH,F,1952,Suzan,11
OH,F,1952,Suzann,11
OH,F,1952,Suzette,11
OH,F,1952,Twila,11
OH,F,1952,Ursula,11
OH,F,1952,Winifred,11
OH,F,1952,Alison,10
OH,F,1952,Barbra,10
OH,F,1952,Benita,10
OH,F,1952,Blanche,10
OH,F,1952,Bonny,10
OH,F,1952,Camille,10
OH,F,1952,Carlotta,10
OH,F,1952,Catharine,10
OH,F,1952,Charleen,10
OH,F,1952,Claudette,10
OH,F,1952,Daria,10
OH,F,1952,Dorothea,10
OH,F,1952,Elise,10
OH,F,1952,Elissa,10
OH,F,1952,Genevieve,10
OH,F,1952,Georgianna,10
OH,F,1952,Hattie,10
OH,F,1952,Inez,10
OH,F,1952,Janelle,10
OH,F,1952,Joellen,10
OH,F,1952,Juliann,10
OH,F,1952,Julianne,10
OH,F,1952,Karyn,10
OH,F,1952,Kristi,10
OH,F,1952,Letha,10
OH,F,1952,Lila,10
OH,F,1952,Lorelei,10
OH,F,1952,Lorene,10
OH,F,1952,Luann,10
OH,F,1952,Luanne,10
OH,F,1952,Marilynn,10
OH,F,1952,Marty,10
OH,F,1952,Marva,10
OH,F,1952,Melba,10
OH,F,1952,Myrtle,10
OH,F,1952,Rachelle,10
OH,F,1952,Robert,10
OH,F,1952,Sonia,10
OH,F,1952,Tara,10
OH,F,1952,Terese,10
OH,F,1952,Tonia,10
OH,F,1952,Unknown,10
OH,F,1952,Annetta,9
OH,F,1952,Cheryle,9
OH,F,1952,Christi,9
OH,F,1952,Danielle,9
OH,F,1952,Daphne,9
OH,F,1952,Daryl,9
OH,F,1952,Delilah,9
OH,F,1952,Felicia,9
OH,F,1952,Frankie,9
OH,F,1952,Ginny,9
OH,F,1952,Ilene,9
OH,F,1952,Ingrid,9
OH,F,1952,Jacquelynn,9
OH,F,1952,Jenifer,9
OH,F,1952,Jerry,9
OH,F,1952,Jocelyn,9
OH,F,1952,Jodi,9
OH,F,1952,Joni,9
OH,F,1952,Karon,9
OH,F,1952,Kathrine,9
OH,F,1952,Leila,9
OH,F,1952,Letitia,9
OH,F,1952,Malinda,9
OH,F,1952,Margery,9
OH,F,1952,Marita,9
OH,F,1952,Marlena,9
OH,F,1952,Megan,9
OH,F,1952,Meredith,9
OH,F,1952,Myrna,9
OH,F,1952,Nannette,9
OH,F,1952,Nettie,9
OH,F,1952,Opal,9
OH,F,1952,Rebekah,9
OH,F,1952,Retha,9
OH,F,1952,Reva,9
OH,F,1952,Ricki,9
OH,F,1952,Teena,9
OH,F,1952,William,9
OH,F,1952,Alyson,8
OH,F,1952,Arleen,8
OH,F,1952,Babette,8
OH,F,1952,Carmella,8
OH,F,1952,Caryl,8
OH,F,1952,Cherry,8
OH,F,1952,Corliss,8
OH,F,1952,Corrine,8
OH,F,1952,Deborha,8
OH,F,1952,Debrah,8
OH,F,1952,Dian,8
OH,F,1952,Dorcas,8
OH,F,1952,Earlene,8
OH,F,1952,Eve,8
OH,F,1952,Fonda,8
OH,F,1952,Gayla,8
OH,F,1952,Geralyn,8
OH,F,1952,Guadalupe,8
OH,F,1952,Iva,8
OH,F,1952,Janeen,8
OH,F,1952,Jeanetta,8
OH,F,1952,Karolyn,8
OH,F,1952,Kendra,8
OH,F,1952,Kimberley,8
OH,F,1952,Lolita,8
OH,F,1952,Lorie,8
OH,F,1952,Louella,8
OH,F,1952,Lucia,8
OH,F,1952,Mabel,8
OH,F,1952,Marilee,8
OH,F,1952,Mickey,8
OH,F,1952,Mimi,8
OH,F,1952,Nedra,8
OH,F,1952,Neva,8
OH,F,1952,Pattie,8
OH,F,1952,Randa,8
OH,F,1952,Randy,8
OH,F,1952,Rhoda,8
OH,F,1952,Rosalee,8
OH,F,1952,Ruthann,8
OH,F,1952,Ruthie,8
OH,F,1952,Sydney,8
OH,F,1952,Tonda,8
OH,F,1952,Alyce,7
OH,F,1952,Amber,7
OH,F,1952,Angelina,7
OH,F,1952,Annamarie,7
OH,F,1952,Antonette,7
OH,F,1952,Arline,7
OH,F,1952,Avis,7
OH,F,1952,Bettie,7
OH,F,1952,Beulah,7
OH,F,1952,Candyce,7
OH,F,1952,Cara,7
OH,F,1952,Carolynn,7
OH,F,1952,Cecile,7
OH,F,1952,Cheryll,7
OH,F,1952,Debera,7
OH,F,1952,Fern,7
OH,F,1952,Fran,7
OH,F,1952,Garnet,7
OH,F,1952,Gaylene,7
OH,F,1952,Gilda,7
OH,F,1952,Gracie,7
OH,F,1952,Janey,7
OH,F,1952,Jerilyn,7
OH,F,1952,Jerilynn,7
OH,F,1952,Judi,7
OH,F,1952,Kathlyn,7
OH,F,1952,Kathryne,7
OH,F,1952,Kitty,7
OH,F,1952,Laraine,7
OH,F,1952,Larraine,7
OH,F,1952,Leora,7
OH,F,1952,Lindsay,7
OH,F,1952,Lisbeth,7
OH,F,1952,Maggie,7
OH,F,1952,Margene,7
OH,F,1952,Marleen,7
OH,F,1952,Marybeth,7
OH,F,1952,Maryjane,7
OH,F,1952,Marylou,7
OH,F,1952,Matilda,7
OH,F,1952,Millie,7
OH,F,1952,Minnie,7
OH,F,1952,Nita,7
OH,F,1952,Rhea,7
OH,F,1952,Ronna,7
OH,F,1952,Roxie,7
OH,F,1952,Shannon,7
OH,F,1952,Susann,7
OH,F,1952,Tana,7
OH,F,1952,Thomas,7
OH,F,1952,Valeria,7
OH,F,1952,Abby,6
OH,F,1952,Alana,6
OH,F,1952,Alexa,6
OH,F,1952,Alexandra,6
OH,F,1952,Aline,6
OH,F,1952,Alva,6
OH,F,1952,Andra,6
OH,F,1952,Arnetta,6
OH,F,1952,Beverlee,6
OH,F,1952,Carleen,6
OH,F,1952,Carrol,6
OH,F,1952,Cassie,6
OH,F,1952,Cathi,6
OH,F,1952,Celestine,6
OH,F,1952,Charity,6
OH,F,1952,Charla,6
OH,F,1952,Charles,6
OH,F,1952,Clarissa,6
OH,F,1952,Collette,6
OH,F,1952,Dara,6
OH,F,1952,Darcel,6
OH,F,1952,Darcy,6
OH,F,1952,Deanne,6
OH,F,1952,Denese,6
OH,F,1952,Dollie,6
OH,F,1952,Doretta,6
OH,F,1952,Earnestine,6
OH,F,1952,Elinor,6
OH,F,1952,Emilie,6
OH,F,1952,Georgeann,6
OH,F,1952,Geri,6
OH,F,1952,Hannah,6
OH,F,1952,Jacqulyn,6
OH,F,1952,Jayme,6
OH,F,1952,Jerrie,6
OH,F,1952,Jewell,6
OH,F,1952,Jodelle,6
OH,F,1952,Joe,6
OH,F,1952,Juliana,6
OH,F,1952,Kathaleen,6
OH,F,1952,Kelly,6
OH,F,1952,Lauretta,6
