StateCode,Sex,YearOfBirth,Name,Number
OH,F,1962,Deidre,26
OH,F,1962,Janis,26
OH,F,1962,Jerri,26
OH,F,1962,Josephine,26
OH,F,1962,Kari,26
OH,F,1962,Lorri,26
OH,F,1962,Lou,26
OH,F,1962,Lucy,26
OH,F,1962,Rena,26
OH,F,1962,Susanne,26
OH,F,1962,Alma,25
OH,F,1962,Colette,25
OH,F,1962,Danette,25
OH,F,1962,Kerry,25
OH,F,1962,Ladonna,25
OH,F,1962,Maryjo,25
OH,F,1962,Rosa,25
OH,F,1962,Violet,25
OH,F,1962,Amber,24
OH,F,1962,Jami,24
OH,F,1962,Lucille,24
OH,F,1962,Monique,24
OH,F,1962,Cecilia,23
OH,F,1962,Debby,23
OH,F,1962,Elisa,23
OH,F,1962,Jolene,23
OH,F,1962,Leanne,23
OH,F,1962,Leona,23
OH,F,1962,Marguerite,23
OH,F,1962,Patsy,23
OH,F,1962,Rachelle,23
OH,F,1962,Rosalind,23
OH,F,1962,Susie,23
OH,F,1962,Cecelia,22
OH,F,1962,Deana,22
OH,F,1962,Hope,22
OH,F,1962,Ida,22
OH,F,1962,Jeannine,22
OH,F,1962,Kara,22
OH,F,1962,Karyn,22
OH,F,1962,Katie,22
OH,F,1962,Paulette,22
OH,F,1962,Stella,22
OH,F,1962,Amelia,21
OH,F,1962,Danita,21
OH,F,1962,Darcy,21
OH,F,1962,Deena,21
OH,F,1962,Ethel,21
OH,F,1962,Eugenia,21
OH,F,1962,Jacquline,21
OH,F,1962,Janelle,21
OH,F,1962,Kendra,21
OH,F,1962,Marcie,21
OH,F,1962,Nicole,21
OH,F,1962,Patrica,21
OH,F,1962,Stacie,21
OH,F,1962,Tamra,21
OH,F,1962,Angel,20
OH,F,1962,Annie,20
OH,F,1962,Erica,20
OH,F,1962,Faye,20
OH,F,1962,Gladys,20
OH,F,1962,Jenifer,20
OH,F,1962,Juli,20
OH,F,1962,Marci,20
OH,F,1962,Marnita,20
OH,F,1962,Megan,20
OH,F,1962,Michael,20
OH,F,1962,Penelope,20
OH,F,1962,Carlene,19
OH,F,1962,Christa,19
OH,F,1962,Christie,19
OH,F,1962,Coleen,19
OH,F,1962,Corinne,19
OH,F,1962,Deidra,19
OH,F,1962,Harriet,19
OH,F,1962,Julianne,19
OH,F,1962,Katharine,19
OH,F,1962,Rosalie,19
OH,F,1962,Shawna,19
OH,F,1962,Sophia,19
OH,F,1962,Tonja,19
OH,F,1962,Twila,19
OH,F,1962,Ada,18
OH,F,1962,Beatrice,18
OH,F,1962,Benita,18
OH,F,1962,David,18
OH,F,1962,Desiree,18
