StateCode,Sex,YearOfBirth,Name,Number
OH,F,1980,Katy,20
OH,F,1980,Latosha,20
OH,F,1980,Qiana,20
OH,F,1980,Regan,20
OH,F,1980,Sheryl,20
OH,F,1980,Tami,20
OH,F,1980,Tiana,20
OH,F,1980,Angelina,19
OH,F,1980,Caitlin,19
OH,F,1980,Chastity,19
OH,F,1980,Christian,19
OH,F,1980,Darci,19
OH,F,1980,Dianna,19
OH,F,1980,Elissa,19
OH,F,1980,Gail,19
OH,F,1980,Josephine,19
OH,F,1980,Karrie,19
OH,F,1980,Kisha,19
OH,F,1980,Lacy,19
OH,F,1980,Larissa,19
OH,F,1980,Laurel,19
OH,F,1980,Lyndsay,19
OH,F,1980,Mellissa,19
OH,F,1980,Nadia,19
OH,F,1980,Patrice,19
OH,F,1980,Sandy,19
OH,F,1980,Sasha,19
OH,F,1980,Vicki,19
OH,F,1980,Angelique,18
OH,F,1980,Bridgette,18
OH,F,1980,Cheri,18
OH,F,1980,Dara,18
OH,F,1980,Dena,18
OH,F,1980,Gwen,18
OH,F,1980,Holli,18
OH,F,1980,Jeannie,18
OH,F,1980,Kimberley,18
OH,F,1980,Marci,18
OH,F,1980,Maya,18
OH,F,1980,Misti,18
OH,F,1980,Paige,18
OH,F,1980,Ronda,18
OH,F,1980,Selena,18
OH,F,1980,Shawn,18
OH,F,1980,Andria,17
OH,F,1980,Chandra,17
OH,F,1980,Cherie,17
OH,F,1980,Constance,17
OH,F,1980,Jason,17
OH,F,1980,Leann,17
OH,F,1980,Lyndsey,17
OH,F,1980,Mackenzie,17
OH,F,1980,Marcella,17
OH,F,1980,Marcie,17
OH,F,1980,Marjorie,17
OH,F,1980,Shelby,17
OH,F,1980,Starr,17
OH,F,1980,Tessa,17
OH,F,1980,Charmaine,16
OH,F,1980,Claire,16
OH,F,1980,Cortney,16
OH,F,1980,Cory,16
OH,F,1980,Emilie,16
OH,F,1980,Fannie,16
OH,F,1980,Georgia,16
OH,F,1980,James,16
OH,F,1980,Jeanie,16
OH,F,1980,Jeri,16
OH,F,1980,Joann,16
OH,F,1980,Kim,16
OH,F,1980,Lindy,16
OH,F,1980,Liza,16
OH,F,1980,Maranda,16
OH,F,1980,Precious,16
OH,F,1980,Racheal,16
OH,F,1980,Raquel,16
OH,F,1980,Raven,16
OH,F,1980,Rhiannon,16
OH,F,1980,Ruby,16
OH,F,1980,Shari,16
OH,F,1980,Sonja,16
OH,F,1980,Susanne,16
OH,F,1980,Tiara,16
OH,F,1980,Tosha,16
OH,F,1980,Abbie,15
OH,F,1980,Alexandra,15
OH,F,1980,Ami,15
OH,F,1980,Athena,15
OH,F,1980,Brittney,15
OH,F,1980,Clarissa,15
OH,F,1980,Cristy,15
OH,F,1980,Dina,15
OH,F,1980,Jacklyn,15
OH,F,1980,Joan,15
OH,F,1980,Johanna,15
OH,F,1980,Kathrine,15
OH,F,1980,Kesha,15
OH,F,1980,Kristal,15
OH,F,1980,Kyle,15
OH,F,1980,Lana,15
OH,F,1980,Lillian,15
OH,F,1980,Malinda,15
OH,F,1980,Marsha,15
OH,F,1980,Nadine,15
OH,F,1980,Nicolette,15
OH,F,1980,Shamika,15
OH,F,1980,Talia,15
OH,F,1980,Adrianne,14
OH,F,1980,Brenna,14
OH,F,1980,Christopher,14
OH,F,1980,Danelle,14
OH,F,1980,David,14
OH,F,1980,Deidra,14
OH,F,1980,Elena,14
OH,F,1980,Elise,14
OH,F,1980,Irene,14
OH,F,1980,Jammie,14
OH,F,1980,Kerrie,14
OH,F,1980,Kyla,14
OH,F,1980,Lashawnda,14
OH,F,1980,Leeann,14
OH,F,1980,Lucinda,14
OH,F,1980,Mellisa,14
OH,F,1980,Myra,14
OH,F,1980,Niki,14
OH,F,1980,Rosemary,14
OH,F,1980,Shavon,14
OH,F,1980,Shonda,14
OH,F,1980,Sommer,14
OH,F,1980,Sue,14
OH,F,1980,Susanna,14
OH,F,1980,Adrian,13
OH,F,1980,Amberly,13
OH,F,1980,Annmarie,13
OH,F,1980,Antonia,13
OH,F,1980,Ashleigh,13
OH,F,1980,Breanna,13
OH,F,1980,Breanne,13
OH,F,1980,Bridgett,13
OH,F,1980,Casandra,13
OH,F,1980,Christal,13
OH,F,1980,Cori,13
OH,F,1980,Daisy,13
OH,F,1980,Eboni,13
OH,F,1980,Geneva,13
OH,F,1980,Hayley,13
OH,F,1980,Janell,13
OH,F,1980,Janette,13
OH,F,1980,Janine,13
OH,F,1980,Janna,13
OH,F,1980,Jenni,13
OH,F,1980,Joshua,13
OH,F,1980,Kellee,13
OH,F,1980,Kia,13
OH,F,1980,Kiley,13
OH,F,1980,Kimberlee,13
OH,F,1980,Lashonda,13
OH,F,1980,Mara,13
OH,F,1980,Meghann,13
OH,F,1980,Michaela,13
OH,F,1980,Renae,13
OH,F,1980,Richelle,13
OH,F,1980,Shannan,13
OH,F,1980,Sophia,13
OH,F,1980,Syreeta,13
OH,F,1980,Tanesha,13
OH,F,1980,Tanika,13
OH,F,1980,Adriane,12
OH,F,1980,Angelia,12
OH,F,1980,Anthony,12
OH,F,1980,Bernadette,12
OH,F,1980,Candi,12
OH,F,1980,Chanel,12
OH,F,1980,Chrissy,12
OH,F,1980,Corina,12
OH,F,1980,Deena,12
OH,F,1980,Devin,12
OH,F,1980,Edna,12
OH,F,1980,Genevieve,12
OH,F,1980,Iesha,12
OH,F,1980,John,12
OH,F,1980,Karin,12
OH,F,1980,Karyn,12
OH,F,1980,Kylee,12
OH,F,1980,Latanya,12
OH,F,1980,Loni,12
OH,F,1980,Lynda,12
OH,F,1980,Lynne,12
OH,F,1980,Marquita,12
OH,F,1980,Maryann,12
OH,F,1980,Maura,12
OH,F,1980,Nickole,12
OH,F,1980,Nikole,12
OH,F,1980,Rene,12
OH,F,1980,Shanda,12
OH,F,1980,Shasta,12
OH,F,1980,Siobhan,12
OH,F,1980,Tamica,12
OH,F,1980,Wanda,12
OH,F,1980,Alma,11
OH,F,1980,Anastasia,11
OH,F,1980,Cari,11
OH,F,1980,Charissa,11
OH,F,1980,Cheyenne,11
OH,F,1980,Corey,11
OH,F,1980,Danyelle,11
OH,F,1980,Darcie,11
OH,F,1980,Debbie,11
OH,F,1980,Elaina,11
OH,F,1980,Gena,11
OH,F,1980,Glenda,11
OH,F,1980,Jeanna,11
OH,F,1980,Jenelle,11
OH,F,1980,Jerri,11
OH,F,1980,Kandice,11
OH,F,1980,Kay,11
OH,F,1980,Kristyn,11
OH,F,1980,Leia,11
OH,F,1980,Letitia,11
OH,F,1980,Lorie,11
OH,F,1980,Lucy,11
OH,F,1980,Margo,11
OH,F,1980,Mari,11
OH,F,1980,Martina,11
OH,F,1980,Meggan,11
OH,F,1980,Mindi,11
OH,F,1980,Missy,11
OH,F,1980,Monika,11
OH,F,1980,Rhoda,11
OH,F,1980,Rosanna,11
OH,F,1980,Shavonne,11
OH,F,1980,Sherrie,11
OH,F,1980,Tai,11
OH,F,1980,Tammi,11
OH,F,1980,Tammie,11
OH,F,1980,Tania,11
OH,F,1980,Tiffiny,11
OH,F,1980,Tyra,11
OH,F,1980,Vivian,11
OH,F,1980,Ada,10
OH,F,1980,Alesha,10
OH,F,1980,Alexa,10
OH,F,1980,Alexandria,10
OH,F,1980,Ashanti,10
OH,F,1980,Brandon,10
OH,F,1980,Brigette,10
OH,F,1980,Britney,10
OH,F,1980,Carie,10
OH,F,1980,Casie,10
OH,F,1980,Cecilia,10
OH,F,1980,Chantel,10
OH,F,1980,Charla,10
OH,F,1980,Cristin,10
OH,F,1980,Desirae,10
OH,F,1980,Dominique,10
OH,F,1980,Eleanor,10
OH,F,1980,Francine,10
OH,F,1980,Freda,10
OH,F,1980,Haley,10
OH,F,1980,Ivy,10
OH,F,1980,Jaimie,10
OH,F,1980,Jamila,10
OH,F,1980,Janae,10
OH,F,1980,Jena,10
OH,F,1980,Joey,10
OH,F,1980,Joseph,10
OH,F,1980,Josie,10
OH,F,1980,Julianna,10
OH,F,1980,Katheryn,10
OH,F,1980,Katina,10
OH,F,1980,Kira,10
OH,F,1980,Laquita,10
OH,F,1980,Leslee,10
OH,F,1980,Lola,10
OH,F,1980,Mariah,10
OH,F,1980,Marlena,10
OH,F,1980,Micah,10
OH,F,1980,Nakia,10
OH,F,1980,Nicolle,10
OH,F,1980,Nikia,10
OH,F,1980,Noelle,10
OH,F,1980,Robert,10
OH,F,1980,Shalonda,10
OH,F,1980,Shante,10
OH,F,1980,Sheena,10
OH,F,1980,Sunshine,10
OH,F,1980,Susie,10
OH,F,1980,Tawana,10
OH,F,1980,Terry,10
OH,F,1980,Trena,10
OH,F,1980,Valarie,10
OH,F,1980,Vickie,10
OH,F,1980,Adam,9
OH,F,1980,Andrew,9
OH,F,1980,Angelic,9
OH,F,1980,Antionette,9
OH,F,1980,Anya,9
OH,F,1980,Arianne,9
OH,F,1980,Bethanie,9
OH,F,1980,Cathleen,9
OH,F,1980,Chante,9
OH,F,1980,Chelsea,9
OH,F,1980,Claudia,9
OH,F,1980,Cora,9
OH,F,1980,Corrine,9
OH,F,1980,Cristal,9
OH,F,1980,Dawna,9
OH,F,1980,Dayna,9
