StateCode,Sex,YearOfBirth,Name,Number
OH,F,1988,Roberta,6
OH,F,1988,Salina,6
OH,F,1988,Santana,6
OH,F,1988,Sarrah,6
OH,F,1988,Savana,6
OH,F,1988,Shanelle,6
OH,F,1988,Shaniece,6
OH,F,1988,Shaniqua,6
OH,F,1988,Shannen,6
OH,F,1988,Sharee,6
OH,F,1988,Shatara,6
OH,F,1988,Shea,6
OH,F,1988,Skye,6
OH,F,1988,Stacia,6
OH,F,1988,Stephaine,6
OH,F,1988,Steven,6
OH,F,1988,Stevi,6
OH,F,1988,Talisha,6
OH,F,1988,Tameka,6
OH,F,1988,Tanika,6
OH,F,1988,Timberly,6
OH,F,1988,Tracie,6
OH,F,1988,Zoe,6
OH,F,1988,Ada,5
OH,F,1988,Adam,5
OH,F,1988,Adriene,5
OH,F,1988,Alanna,5
OH,F,1988,Alysa,5
OH,F,1988,Andra,5
OH,F,1988,Andria,5
OH,F,1988,Anjelica,5
OH,F,1988,Annmarie,5
OH,F,1988,Antionette,5
OH,F,1988,Arianne,5
OH,F,1988,Aryn,5
OH,F,1988,Aubree,5
OH,F,1988,Audrea,5
OH,F,1988,Avery,5
OH,F,1988,Ayesha,5
OH,F,1988,Ayla,5
OH,F,1988,Bernadette,5
OH,F,1988,Brett,5
OH,F,1988,Britani,5
OH,F,1988,Britny,5
OH,F,1988,Brittiany,5
OH,F,1988,Brittnay,5
OH,F,1988,Bryn,5
OH,F,1988,Carey,5
OH,F,1988,Carina,5
OH,F,1988,Carlin,5
OH,F,1988,Carri,5
OH,F,1988,Caylee,5
OH,F,1988,Channing,5
OH,F,1988,Charles,5
OH,F,1988,Christan,5
OH,F,1988,Cieara,5
OH,F,1988,Codie,5
OH,F,1988,Corie,5
OH,F,1988,Corrie,5
OH,F,1988,Corrin,5
OH,F,1988,Danyel,5
OH,F,1988,Darcell,5
OH,F,1988,Darnisha,5
OH,F,1988,Delilah,5
OH,F,1988,Desirea,5
OH,F,1988,Destiney,5
OH,F,1988,Dionna,5
OH,F,1988,Dorian,5
OH,F,1988,Dorothea,5
OH,F,1988,Eleni,5
OH,F,1988,Emerald,5
OH,F,1988,Erma,5
OH,F,1988,Eve,5
OH,F,1988,Falon,5
OH,F,1988,Francine,5
OH,F,1988,Greta,5
OH,F,1988,Halie,5
OH,F,1988,Haylee,5
OH,F,1988,Helena,5
OH,F,1988,Iris,5
OH,F,1988,Jacob,5
OH,F,1988,Jacquelin,5
OH,F,1988,Jamila,5
OH,F,1988,Janessa,5
OH,F,1988,Jeanne,5
OH,F,1988,Jeannie,5
OH,F,1988,Jenelle,5
OH,F,1988,Jeri,5
OH,F,1988,Jerika,5
OH,F,1988,Jewell,5
OH,F,1988,Joi,5
OH,F,1988,Joselyn,5
OH,F,1988,Juliann,5
OH,F,1988,Juliet,5
OH,F,1988,Kalee,5
OH,F,1988,Kandice,5
OH,F,1988,Kassi,5
OH,F,1988,Kaylene,5
OH,F,1988,Kenya,5
OH,F,1988,Kenyatta,5
OH,F,1988,Kera,5
OH,F,1988,Kerstin,5
OH,F,1988,Kesha,5
OH,F,1988,Kim,5
OH,F,1988,Kinsey,5
OH,F,1988,Kirstie,5
OH,F,1988,Krystin,5
OH,F,1988,Kylene,5
OH,F,1988,Lakeshia,5
OH,F,1988,Lasha,5
OH,F,1988,Leslee,5
OH,F,1988,Lianna,5
OH,F,1988,Libby,5
OH,F,1988,Linnea,5
OH,F,1988,Loreal,5
OH,F,1988,Lynnette,5
OH,F,1988,Malika,5
OH,F,1988,Malissa,5
OH,F,1988,Mallori,5
OH,F,1988,Mariam,5
OH,F,1988,Mariel,5
OH,F,1988,Marion,5
OH,F,1988,Marlana,5
