StateCode,Sex,YearOfBirth,Name,Number
OH,F,2009,Annaliese,11
OH,F,2009,Bria,11
OH,F,2009,Briley,11
OH,F,2009,Brookelyn,11
OH,F,2009,Bryn,11
OH,F,2009,Colleen,11
OH,F,2009,Deja,11
OH,F,2009,Elayna,11
OH,F,2009,Essence,11
OH,F,2009,Gina,11
OH,F,2009,Giuliana,11
OH,F,2009,Gwyneth,11
OH,F,2009,Iyanna,11
OH,F,2009,Jazlynn,11
OH,F,2009,Jersey,11
OH,F,2009,Kameron,11
OH,F,2009,Kendyll,11
OH,F,2009,Khadija,11
OH,F,2009,Kristin,11
OH,F,2009,Kyndall,11
OH,F,2009,Lamya,11
OH,F,2009,Lea,11
OH,F,2009,Lilianna,11
OH,F,2009,Lillianna,11
OH,F,2009,Luciana,11
OH,F,2009,Lyra,11
OH,F,2009,Makiah,11
OH,F,2009,Myleigh,11
OH,F,2009,Patricia,11
OH,F,2009,Peighton,11
OH,F,2009,Rosalie,11
OH,F,2009,Savanah,11
OH,F,2009,Shyann,11
OH,F,2009,Starr,11
OH,F,2009,Temperance,11
OH,F,2009,Tess,11
OH,F,2009,Winter,11
OH,F,2009,Zion,11
OH,F,2009,Abbygail,10
OH,F,2009,Abigayle,10
OH,F,2009,Abrianna,10
OH,F,2009,Addie,10
OH,F,2009,Aditi,10
OH,F,2009,Alejandra,10
OH,F,2009,Alexus,10
OH,F,2009,Annelise,10
OH,F,2009,Ansley,10
OH,F,2009,Armani,10
OH,F,2009,Audriana,10
OH,F,2009,Betty,10
OH,F,2009,Blair,10
OH,F,2009,Brenda,10
OH,F,2009,Breonna,10
OH,F,2009,Calli,10
OH,F,2009,Camilla,10
OH,F,2009,Cayla,10
OH,F,2009,Charleigh,10
OH,F,2009,Charley,10
OH,F,2009,Colbie,10
OH,F,2009,Corrine,10
OH,F,2009,Destiney,10
OH,F,2009,Dorothy,10
OH,F,2009,Emmaline,10
OH,F,2009,Emmalynn,10
OH,F,2009,Geneva,10
OH,F,2009,Gillian,10
OH,F,2009,Giovanna,10
OH,F,2009,Hadassah,10
OH,F,2009,Harlee,10
OH,F,2009,Harlie,10
OH,F,2009,Izabel,10
OH,F,2009,Jailynn,10
OH,F,2009,Joelle,10
OH,F,2009,June,10
OH,F,2009,Kassandra,10
OH,F,2009,Kaylen,10
OH,F,2009,Kiya,10
OH,F,2009,Kyah,10
OH,F,2009,Kyrah,10
OH,F,2009,Lacie,10
OH,F,2009,Lara,10
OH,F,2009,Liana,10
OH,F,2009,Lilliann,10
OH,F,2009,Love,10
OH,F,2009,Makaila,10
OH,F,2009,Makiya,10
OH,F,2009,Makyla,10
OH,F,2009,Mea,10
OH,F,2009,Meagan,10
OH,F,2009,Miya,10
OH,F,2009,Nancy,10
OH,F,2009,Nayeli,10
OH,F,2009,Nichole,10
OH,F,2009,Nylah,10
OH,F,2009,Precious,10
OH,F,2009,Pyper,10
OH,F,2009,Reina,10
OH,F,2009,Rilynn,10
