StateCode,Sex,YearOfBirth,Name,Number
OH,F,2015,Eileen,11
OH,F,2015,Eleanora,11
OH,F,2015,Emmaline,11
OH,F,2015,Emoni,11
OH,F,2015,Erika,11
OH,F,2015,Everlee,11
OH,F,2015,Giada,11
OH,F,2015,Jaycee,11
OH,F,2015,Jazlynn,11
OH,F,2015,Jemma,11
OH,F,2015,Jurnee,11
OH,F,2015,Justyce,11
OH,F,2015,Kaelynn,11
OH,F,2015,Kailee,11
OH,F,2015,Kaitlynn,11
OH,F,2015,Karis,11
OH,F,2015,Kaylie,11
OH,F,2015,Kimora,11
OH,F,2015,Krystal,11
OH,F,2015,Legacy,11
OH,F,2015,Leigha,11
OH,F,2015,Maliah,11
OH,F,2015,Micah,11
OH,F,2015,Mina,11
OH,F,2015,Nala,11
OH,F,2015,Nariah,11
OH,F,2015,Neva,11
OH,F,2015,Noa,11
OH,F,2015,Noel,11
OH,F,2015,Priscilla,11
OH,F,2015,Reece,11
OH,F,2015,Reyna,11
OH,F,2015,Rhyan,11
OH,F,2015,Rosa,11
OH,F,2015,Rosalynn,11
OH,F,2015,Roselyn,11
OH,F,2015,Shreya,11
OH,F,2015,Tabitha,11
OH,F,2015,Valeria,11
OH,F,2015,Yasmin,11
OH,F,2015,Zahra,11
OH,F,2015,Zaniyah,11
OH,F,2015,Aanya,10
OH,F,2015,Akira,10
OH,F,2015,Alayla,10
OH,F,2015,Alia,10
OH,F,2015,Alissa,10
OH,F,2015,Aliya,10
OH,F,2015,Alyson,10
OH,F,2015,Alyvia,10
OH,F,2015,Annelise,10
OH,F,2015,Antonia,10
OH,F,2015,Anya,10
OH,F,2015,Arden,10
OH,F,2015,Ashtyn,10
OH,F,2015,Baylor,10
OH,F,2015,Bernadette,10
OH,F,2015,Brea,10
OH,F,2015,Brynley,10
OH,F,2015,Carmela,10
OH,F,2015,Charity,10
OH,F,2015,Christiana,10
OH,F,2015,Ciara,10
OH,F,2015,Clarissa,10
OH,F,2015,Cordelia,10
OH,F,2015,Elouise,10
OH,F,2015,Emalyn,10
OH,F,2015,Emmalee,10
OH,F,2015,Fatimah,10
OH,F,2015,Fatimata,10
OH,F,2015,Faye,10
OH,F,2015,Gwen,10
OH,F,2015,Harmonie,10
OH,F,2015,Izabelle,10
OH,F,2015,Janie,10
OH,F,2015,Jayde,10
OH,F,2015,Jaylee,10
OH,F,2015,Kaleah,10
OH,F,2015,Kamari,10
OH,F,2015,Kathleen,10
OH,F,2015,Kenzi,10
OH,F,2015,Khadija,10
OH,F,2015,Kiley,10
OH,F,2015,Kinlee,10
OH,F,2015,Kinleigh,10
OH,F,2015,Kyah,10
OH,F,2015,Lacie,10
OH,F,2015,Laniyah,10
OH,F,2015,Leann,10
OH,F,2015,Lillyan,10
OH,F,2015,Lillyanna,10
OH,F,2015,Lori,10
OH,F,2015,Louisa,10
OH,F,2015,Magdalene,10
OH,F,2015,Marianna,10
OH,F,2015,Melina,10
OH,F,2015,Miangel,10
OH,F,2015,Miya,10
OH,F,2015,Noor,10
OH,F,2015,Patricia,10
OH,F,2015,Raylee,10
OH,F,2015,Roslyn,10
OH,F,2015,Ruthie,10
OH,F,2015,Sariah,10
OH,F,2015,Scarlette,10
OH,F,2015,Selina,10
OH,F,2015,Shayla,10
OH,F,2015,Tamia,10
OH,F,2015,Tara,10
OH,F,2015,Tori,10
OH,F,2015,Zayla,10
OH,F,2015,Abbey,9
OH,F,2015,Abrielle,9
OH,F,2015,Adelina,9
OH,F,2015,Ali,9
OH,F,2015,Ally,9
OH,F,2015,Ameera,9
OH,F,2015,Anita,9
OH,F,2015,Annabeth,9
OH,F,2015,Annalynn,9
OH,F,2015,Annamarie,9
OH,F,2015,Araya,9
OH,F,2015,Arionna,9
OH,F,2015,Asiya,9
OH,F,2015,Brynna,9
OH,F,2015,Carina,9
OH,F,2015,Carla,9
OH,F,2015,Carli,9
OH,F,2015,Cecily,9
OH,F,2015,Celia,9
OH,F,2015,Celina,9
OH,F,2015,Charlize,9
OH,F,2015,Cherish,9
OH,F,2015,Christine,9
OH,F,2015,Colbie,9
OH,F,2015,Desiree,9
OH,F,2015,Drew,9
OH,F,2015,Dulce,9
OH,F,2015,Ellery,9
OH,F,2015,Ellis,9
OH,F,2015,Giovanna,9
OH,F,2015,Guinevere,9
OH,F,2015,Gwenyth,9
OH,F,2015,Hadlee,9
OH,F,2015,Harleen,9
OH,F,2015,Harleigh,9
OH,F,2015,Ila,9
OH,F,2015,Irene,9
OH,F,2015,Jaida,9
OH,F,2015,Jalaya,9
OH,F,2015,Jana,9
OH,F,2015,Janae,9
OH,F,2015,Janiya,9
OH,F,2015,Jaylah,9
OH,F,2015,Jazmyn,9
OH,F,2015,Journie,9
OH,F,2015,Kacie,9
OH,F,2015,Karley,9
OH,F,2015,Karli,9
OH,F,2015,Katerina,9
OH,F,2015,Kayden,9
OH,F,2015,Kaylin,9
OH,F,2015,Kelly,9
OH,F,2015,Kendyl,9
OH,F,2015,Kenzlee,9
OH,F,2015,Kenzleigh,9
OH,F,2015,Kierra,9
OH,F,2015,Kylah,9
OH,F,2015,Kyndal,9
OH,F,2015,Laina,9
OH,F,2015,Larkin,9
OH,F,2015,Laurel,9
OH,F,2015,Lenora,9
OH,F,2015,Lillith,9
OH,F,2015,Maddie,9
OH,F,2015,Maelyn,9
OH,F,2015,Maia,9
OH,F,2015,Malayah,9
OH,F,2015,Mariella,9
OH,F,2015,Mattie,9
OH,F,2015,Maxine,9
OH,F,2015,Mikaela,9
OH,F,2015,Moriah,9
OH,F,2015,Nellie,9
OH,F,2015,Neriah,9
OH,F,2015,Novalee,9
OH,F,2015,Nyomi,9
OH,F,2015,Octavia,9
OH,F,2015,Priya,9
OH,F,2015,Rachael,9
OH,F,2015,Raina,9
OH,F,2015,Ramona,9
OH,F,2015,Raniyah,9
OH,F,2015,Reem,9
OH,F,2015,Renee,9
OH,F,2015,Rowyn,9
OH,F,2015,Samira,9
OH,F,2015,Samiyah,9
OH,F,2015,Sandra,9
OH,F,2015,Saoirse,9
OH,F,2015,Sariyah,9
OH,F,2015,Seraphina,9
OH,F,2015,Skylynn,9
OH,F,2015,Stevie,9
OH,F,2015,Taliyah,9
OH,F,2015,Taniyah,9
OH,F,2015,Tatiana,9
OH,F,2015,Tesla,9
OH,F,2015,Treasure,9
OH,F,2015,Tyler,9
OH,F,2015,Zahara,9
OH,F,2015,Addie,8
OH,F,2015,Amilia,8
OH,F,2015,Ananya,8
OH,F,2015,Angelica,8
OH,F,2015,Annaliese,8
OH,F,2015,April,8
OH,F,2015,Ashton,8
OH,F,2015,Audree,8
OH,F,2015,Aurelia,8
OH,F,2015,Avalon,8
OH,F,2015,Ayanna,8
OH,F,2015,Belle,8
OH,F,2015,Brenda,8
OH,F,2015,Brianne,8
OH,F,2015,Brystol,8
OH,F,2015,Calista,8
OH,F,2015,Calleigh,8
OH,F,2015,Cambrie,8
OH,F,2015,Chevelle,8
OH,F,2015,Cooper,8
OH,F,2015,Crystal,8
OH,F,2015,Daleyza,8
OH,F,2015,Edie,8
OH,F,2015,Elodie,8
OH,F,2015,Esmeralda,8
OH,F,2015,Etta,8
OH,F,2015,Evelynne,8
OH,F,2015,Ezra,8
OH,F,2015,Halima,8
OH,F,2015,Haylie,8
OH,F,2015,Holland,8
OH,F,2015,Izabel,8
OH,F,2015,Izabell,8
OH,F,2015,Jaiden,8
OH,F,2015,Jaya,8
OH,F,2015,Jazmin,8
OH,F,2015,Joey,8
OH,F,2015,Joselyn,8
OH,F,2015,Kaley,8
OH,F,2015,Kalynn,8
OH,F,2015,Kami,8
OH,F,2015,Kasey,8
