StateCode,Sex,YearOfBirth,Name,Number
OH,M,1964,August,7
OH,M,1964,Basil,7
OH,M,1964,Bennett,7
OH,M,1964,Brien,7
OH,M,1964,Cory,7
OH,M,1964,Dexter,7
OH,M,1964,Dorian,7
OH,M,1964,Earnest,7
OH,M,1964,Gavin,7
OH,M,1964,Kevan,7
OH,M,1964,Lane,7
OH,M,1964,Lionel,7
OH,M,1964,Mckinley,7
OH,M,1964,Morgan,7
OH,M,1964,Moses,7
OH,M,1964,Nicky,7
OH,M,1964,Quinton,7
OH,M,1964,Raul,7
OH,M,1964,Ritchie,7
OH,M,1964,Stanton,7
OH,M,1964,Sylvester,7
OH,M,1964,Thad,7
OH,M,1964,Thurman,7
OH,M,1964,Tobin,7
OH,M,1964,Tommie,7
OH,M,1964,Trenton,7
OH,M,1964,Trevor,7
OH,M,1964,Ward,7
OH,M,1964,Zane,7
OH,M,1964,Art,6
OH,M,1964,Bartholomew,6
OH,M,1964,Barton,6
OH,M,1964,Brenda,6
OH,M,1964,Brooks,6
OH,M,1964,Buddy,6
OH,M,1964,Cornell,6
OH,M,1964,Courtney,6
OH,M,1964,Damian,6
OH,M,1964,Darl,6
OH,M,1964,Darryll,6
OH,M,1964,Deborah,6
OH,M,1964,Dick,6
OH,M,1964,Dwaine,6
OH,M,1964,Eldon,6
OH,M,1964,Emery,6
OH,M,1964,Emil,6
OH,M,1964,Erin,6
OH,M,1964,Everette,6
OH,M,1964,Frederic,6
OH,M,1964,Fritz,6
OH,M,1964,Gale,6
OH,M,1964,Grover,6
OH,M,1964,Hector,6
OH,M,1964,Irvin,6
OH,M,1964,Jackson,6
OH,M,1964,Jayme,6
OH,M,1964,Jefferey,6
OH,M,1964,Johnathan,6
OH,M,1964,Johnie,6
OH,M,1964,Kieth,6
OH,M,1964,Lamarr,6
OH,M,1964,Lars,6
OH,M,1964,Lincoln,6
OH,M,1964,Mary,6
OH,M,1964,Micah,6
OH,M,1964,Mitchel,6
OH,M,1964,Montgomery,6
OH,M,1964,Murray,6
OH,M,1964,Nickolas,6
OH,M,1964,Oliver,6
OH,M,1964,Orville,6
OH,M,1964,Pedro,6
OH,M,1964,Quinn,6
OH,M,1964,Rafael,6
OH,M,1964,Raynard,6
OH,M,1964,Rene,6
OH,M,1964,Russel,6
OH,M,1964,Sammie,6
OH,M,1964,Stevan,6
OH,M,1964,Stoney,6
OH,M,1964,Timmie,6
OH,M,1964,Aden,5
OH,M,1964,Alberto,5
OH,M,1964,Alec,5
OH,M,1964,Alfredo,5
OH,M,1964,Anton,5
OH,M,1964,Avery,5
OH,M,1964,Bobbie,5
OH,M,1964,Bradd,5
OH,M,1964,Bradly,5
OH,M,1964,Burke,5
OH,M,1964,Carson,5
OH,M,1964,Charley,5
OH,M,1964,Cliff,5
OH,M,1964,Conrad,5
OH,M,1964,Cris,5
OH,M,1964,Dannie,5
OH,M,1964,Darby,5
OH,M,1964,Dayne,5
OH,M,1964,Delmar,5
OH,M,1964,Donell,5
OH,M,1964,Douglass,5
OH,M,1964,Elliott,5
OH,M,1964,Emmanuel,5
OH,M,1964,Ethan,5
OH,M,1964,Fredric,5
OH,M,1964,Geoffery,5
OH,M,1964,Gerhard,5
OH,M,1964,Hershel,5
OH,M,1964,Ira,5
OH,M,1964,Israel,5
OH,M,1964,Jake,5
OH,M,1964,Jennifer,5
OH,M,1964,Jesus,5
OH,M,1964,Kimball,5
OH,M,1964,Kimberly,5
OH,M,1964,Les,5
OH,M,1964,Levi,5
OH,M,1964,Lisa,5
OH,M,1964,Lonny,5
OH,M,1964,Lucas,5
OH,M,1964,Mel,5
OH,M,1964,Michel,5
OH,M,1964,Michelle,5
OH,M,1964,Mose,5
OH,M,1964,Norbert,5
OH,M,1964,Parrish,5
OH,M,1964,Percy,5
OH,M,1964,Pierre,5
OH,M,1964,Quincy,5
OH,M,1964,Reynaldo,5
OH,M,1964,Rodd,5
OH,M,1964,Rodrick,5
OH,M,1964,Rolando,5
OH,M,1964,Ronny,5
OH,M,1964,Salvador,5
OH,M,1964,Solomon,5
OH,M,1964,Stefan,5
OH,M,1964,Stephon,5
OH,M,1964,Stevie,5
OH,M,1964,Taylor,5
OH,M,1964,Titus,5
OH,M,1964,Tomas,5
OH,M,1964,Toney,5
OH,M,1964,Von,5
OH,M,1964,Warner,5
OH,M,1964,Whitney,5
OH,M,1964,Will,5
OH,M,1964,Winston,5
OH,M,1965,Michael,4295
OH,M,1965,David,4031
OH,M,1965,John,3953
OH,M,1965,James,3883
OH,M,1965,Robert,3615
OH,M,1965,Mark,2502
OH,M,1965,William,2157
OH,M,1965,Jeffrey,2154
OH,M,1965,Timothy,1991
OH,M,1965,Thomas,1939
OH,M,1965,Richard,1926
OH,M,1965,Scott,1694
OH,M,1965,Brian,1623
OH,M,1965,Steven,1581
OH,M,1965,Joseph,1527
OH,M,1965,Kevin,1509
OH,M,1965,Christopher,1472
OH,M,1965,Daniel,1387
OH,M,1965,Charles,1252
OH,M,1965,Paul,1224
OH,M,1965,Ronald,1184
OH,M,1965,Kenneth,1143
OH,M,1965,Gregory,1127
OH,M,1965,Donald,1056
OH,M,1965,Todd,1053
OH,M,1965,Douglas,1038
OH,M,1965,Eric,1021
OH,M,1965,Anthony,1002
OH,M,1965,Gary,875
OH,M,1965,Stephen,802
OH,M,1965,Rodney,714
OH,M,1965,Edward,689
OH,M,1965,Matthew,633
OH,M,1965,Patrick,615
OH,M,1965,Keith,609
OH,M,1965,Terry,544
OH,M,1965,Larry,515
OH,M,1965,Jeffery,512
OH,M,1965,Jerry,511
OH,M,1965,Andrew,504
OH,M,1965,Craig,485
OH,M,1965,Dennis,475
OH,M,1965,Randy,466
OH,M,1965,George,465
OH,M,1965,Roger,409
OH,M,1965,Raymond,402
OH,M,1965,Bryan,400
OH,M,1965,Frank,378
OH,M,1965,Jeff,373
OH,M,1965,Bruce,344
OH,M,1965,Carl,340
OH,M,1965,Dale,331
OH,M,1965,Mike,322
OH,M,1965,Shawn,318
OH,M,1965,Steve,315
OH,M,1965,Darren,312
OH,M,1965,Peter,312
OH,M,1965,Bradley,309
OH,M,1965,Chris,299
OH,M,1965,Alan,293
OH,M,1965,Jon,291
OH,M,1965,Tony,289
OH,M,1965,Danny,274
OH,M,1965,Russell,271
OH,M,1965,Gerald,267
OH,M,1965,Randall,260
OH,M,1965,Tim,256
OH,M,1965,Martin,255
OH,M,1965,Phillip,254
OH,M,1965,Troy,252
OH,M,1965,Ricky,232
OH,M,1965,Jack,231
OH,M,1965,Dean,228
OH,M,1965,Vincent,228
OH,M,1965,Lawrence,225
OH,M,1965,Jonathan,224
OH,M,1965,Philip,222
OH,M,1965,Darrin,217
OH,M,1965,Jay,217
OH,M,1965,Walter,210
OH,M,1965,Curtis,200
OH,M,1965,Wayne,200
OH,M,1965,Joe,195
OH,M,1965,Samuel,194
OH,M,1965,Darryl,191
OH,M,1965,Greg,190
OH,M,1965,Jim,190
OH,M,1965,Rick,187
OH,M,1965,Ralph,186
OH,M,1965,Sean,186
OH,M,1965,Barry,178
OH,M,1965,Darrell,176
OH,M,1965,Billy,174
OH,M,1965,Harold,172
OH,M,1965,Tom,170
OH,M,1965,Glenn,167
OH,M,1965,Roy,167
OH,M,1965,Tracy,164
OH,M,1965,Frederick,162
OH,M,1965,Allen,160
OH,M,1965,Brent,159
OH,M,1965,Duane,158
OH,M,1965,Dwayne,154
OH,M,1965,Darin,153
OH,M,1965,Kurt,153
OH,M,1965,Dan,151
OH,M,1965,Marvin,146
OH,M,1965,Brett,142
OH,M,1965,Marc,141
OH,M,1965,Aaron,140
OH,M,1965,Arthur,138
OH,M,1965,Nicholas,133
OH,M,1965,Micheal,132
OH,M,1965,Eugene,131
