StateCode,Sex,YearOfBirth,Name,Number
OH,M,1978,Kory,12
OH,M,1978,Mason,12
OH,M,1978,Matt,12
OH,M,1978,Myron,12
OH,M,1978,Nathanial,12
OH,M,1978,Oscar,12
OH,M,1978,Reid,12
OH,M,1978,Rickie,12
OH,M,1978,Roberto,12
OH,M,1978,Sherman,12
OH,M,1978,Stefan,12
OH,M,1978,Wendell,12
OH,M,1978,Angel,11
OH,M,1978,Billie,11
OH,M,1978,Desmond,11
OH,M,1978,Dorian,11
OH,M,1978,Edgar,11
OH,M,1978,Edmund,11
OH,M,1978,Elliott,11
OH,M,1978,Elvis,11
OH,M,1978,Greggory,11
OH,M,1978,Harvey,11
OH,M,1978,Jamison,11
OH,M,1978,Jennifer,11
OH,M,1978,Jeremie,11
OH,M,1978,Jerimiah,11
OH,M,1978,Kareem,11
OH,M,1978,Leland,11
OH,M,1978,Mickey,11
OH,M,1978,Milton,11
OH,M,1978,Omar,11
OH,M,1978,Randal,11
OH,M,1978,Rob,11
OH,M,1978,Sam,11
OH,M,1978,Scot,11
OH,M,1978,Simon,11
OH,M,1978,Thaddeus,11
OH,M,1978,Aden,10
OH,M,1978,Ali,10
OH,M,1978,Amanda,10
OH,M,1978,Anton,10
OH,M,1978,Bob,10
OH,M,1978,Braden,10
OH,M,1978,Bradly,10
OH,M,1978,Brant,10
OH,M,1978,Collin,10
OH,M,1978,Deshawn,10
OH,M,1978,Donnell,10
OH,M,1978,Earnest,10
OH,M,1978,Edmond,10
OH,M,1978,Emmanuel,10
OH,M,1978,Erich,10
OH,M,1978,Fernando,10
OH,M,1978,Frankie,10
OH,M,1978,Jamel,10
OH,M,1978,Jamey,10
OH,M,1978,Jeramy,10
OH,M,1978,Jeremey,10
OH,M,1978,Jerod,10
OH,M,1978,Josiah,10
OH,M,1978,Kasey,10
OH,M,1978,Kristian,10
OH,M,1978,Logan,10
OH,M,1978,Marion,10
OH,M,1978,Maxwell,10
OH,M,1978,Raul,10
OH,M,1978,Rocco,10
OH,M,1978,Sidney,10
OH,M,1978,Solomon,10
OH,M,1978,Timmy,10
OH,M,1978,Tobias,10
OH,M,1978,Tom,10
OH,M,1978,Willis,10
OH,M,1978,Zachery,10
OH,M,1978,Antione,9
OH,M,1978,Antony,9
OH,M,1978,Bo,9
OH,M,1978,Cary,9
OH,M,1978,Cedric,9
OH,M,1978,Chauncey,9
