StateCode,Sex,YearOfBirth,Name,Number
OK,M,1982,Quentin,7
OK,M,1982,Rex,7
OK,M,1982,Robby,7
OK,M,1982,Ruben,7
OK,M,1982,Terence,7
OK,M,1982,Thurman,7
OK,M,1982,Tyrone,7
OK,M,1982,Zackary,7
OK,M,1982,Alton,6
OK,M,1982,Amos,6
OK,M,1982,Arron,6
OK,M,1982,Braden,6
OK,M,1982,Brenton,6
OK,M,1982,Britton,6
OK,M,1982,Buck,6
OK,M,1982,Clark,6
OK,M,1982,Collin,6
OK,M,1982,Dalton,6
OK,M,1982,Darin,6
OK,M,1982,Deon,6
OK,M,1982,Desmond,6
OK,M,1982,Dewey,6
OK,M,1982,Donny,6
OK,M,1982,Donovan,6
OK,M,1982,Erich,6
OK,M,1982,Erin,6
OK,M,1982,Forrest,6
OK,M,1982,Frankie,6
OK,M,1982,Fred,6
OK,M,1982,Garry,6
OK,M,1982,Gavin,6
OK,M,1982,Greg,6
OK,M,1982,Ivan,6
OK,M,1982,Jaime,6
OK,M,1982,Jamaal,6
OK,M,1982,Jamal,6
OK,M,1982,Jamin,6
OK,M,1982,Jennifer,6
OK,M,1982,Jerald,6
OK,M,1982,Jeramie,6
OK,M,1982,Jeramy,6
OK,M,1982,Jody,6
OK,M,1982,Joesph,6
OK,M,1982,Jonah,6
OK,M,1982,Jorge,6
OK,M,1982,Kelsey,6
OK,M,1982,Kennith,6
OK,M,1982,Kolby,6
OK,M,1982,Kory,6
OK,M,1982,Lane,6
OK,M,1982,Marquis,6
OK,M,1982,Max,6
OK,M,1982,Miles,6
OK,M,1982,Morris,6
OK,M,1982,Nelson,6
OK,M,1982,Pablo,6
OK,M,1982,Quincy,6
OK,M,1982,Rafael,6
OK,M,1982,Reuben,6
OK,M,1982,Riley,6
OK,M,1982,Roberto,6
OK,M,1982,Rowdy,6
OK,M,1982,Scottie,6
OK,M,1982,Sidney,6
OK,M,1982,Skylar,6
OK,M,1982,Sonny,6
OK,M,1982,Stacy,6
OK,M,1982,Stewart,6
OK,M,1982,Zechariah,6
OK,M,1982,Alfredo,5
OK,M,1982,Allan,5
OK,M,1982,Alonzo,5
OK,M,1982,Asa,5
OK,M,1982,Benito,5
OK,M,1982,Blaine,5
OK,M,1982,Bradford,5
OK,M,1982,Brant,5
OK,M,1982,Bryson,5
OK,M,1982,Carson,5
OK,M,1982,Chauncey,5
OK,M,1982,Coby,5
OK,M,1982,Coleman,5
OK,M,1982,Cornelius,5
OK,M,1982,Daron,5
OK,M,1982,Demarco,5
OK,M,1982,Demario,5
OK,M,1982,Denton,5
OK,M,1982,Derik,5
OK,M,1982,Dillon,5
OK,M,1982,Earnest,5
OK,M,1982,Freddie,5
OK,M,1982,Gilbert,5
OK,M,1982,Harley,5
OK,M,1982,Herman,5
OK,M,1982,Houston,5
OK,M,1982,Jace,5
OK,M,1982,Jerad,5
OK,M,1982,Jered,5
OK,M,1982,Josh,5
OK,M,1982,Kelvin,5
OK,M,1982,Kerry,5
OK,M,1982,Kiel,5
OK,M,1982,Lyndon,5
OK,M,1982,Marco,5
OK,M,1982,Marlin,5
OK,M,1982,Mike,5
OK,M,1982,Mitchel,5
OK,M,1982,Moses,5
OK,M,1982,Norman,5
OK,M,1982,Quinten,5
OK,M,1982,Raul,5
OK,M,1982,Rhett,5
OK,M,1982,Rick,5
OK,M,1982,Roderick,5
OK,M,1982,Roman,5
OK,M,1982,Samir,5
