StateCode,Sex,YearOfBirth,Name,Number
OR,F,1951,Lori,11
OR,F,1951,Marilee,11
OR,F,1951,Nora,11
OR,F,1951,Priscilla,11
OR,F,1951,Ronda,11
OR,F,1951,Candice,10
OR,F,1951,Cherie,10
OR,F,1951,Dena,10
OR,F,1951,Dona,10
OR,F,1951,Gale,10
OR,F,1951,Geri,10
OR,F,1951,Glenna,10
OR,F,1951,Janelle,10
OR,F,1951,Jolene,10
OR,F,1951,Lana,10
OR,F,1951,Lavonne,10
OR,F,1951,Lee,10
OR,F,1951,Lucinda,10
OR,F,1951,Marianne,10
OR,F,1951,Pamala,10
OR,F,1951,Patsy,10
OR,F,1951,Pauline,10
OR,F,1951,Verna,10
OR,F,1951,Betsy,9
OR,F,1951,Bobbie,9
OR,F,1951,Cora,9
OR,F,1951,Esther,9
OR,F,1951,Florence,9
OR,F,1951,Gwen,9
OR,F,1951,Heather,9
OR,F,1951,Janette,9
OR,F,1951,Jenny,9
OR,F,1951,Karol,9
OR,F,1951,Kerry,9
OR,F,1951,Marcy,9
OR,F,1951,Mildred,9
OR,F,1951,Mona,9
OR,F,1951,Myrna,9
OR,F,1951,Nina,9
OR,F,1951,Nola,9
OR,F,1951,Amy,8
OR,F,1951,Beatrice,8
OR,F,1951,Belinda,8
OR,F,1951,Bette,8
OR,F,1951,Carmen,8
OR,F,1951,Celia,8
OR,F,1951,Della,8
OR,F,1951,Diann,8
OR,F,1951,Gertrude,8
OR,F,1951,Hazel,8
OR,F,1951,Jamie,8
OR,F,1951,Janine,8
OR,F,1951,Jennie,8
OR,F,1951,Kris,8
OR,F,1951,Lola,8
OR,F,1951,Lucy,8
OR,F,1951,Lyn,8
OR,F,1951,Margie,8
OR,F,1951,Sonja,8
OR,F,1951,Wilma,8
OR,F,1951,Candy,7
OR,F,1951,Clara,7
OR,F,1951,Debby,7
OR,F,1951,Dolores,7
OR,F,1951,Faye,7
OR,F,1951,Gayla,7
OR,F,1951,Gina,7
OR,F,1951,Harriet,7
OR,F,1951,Janell,7
OR,F,1951,Jeanine,7
OR,F,1951,Joanna,7
OR,F,1951,Kathrine,7
OR,F,1951,Leah,7
