StateCode,Sex,YearOfBirth,Name,Number
OR,F,1974,Trista,12
OR,F,1974,Alexandra,11
OR,F,1974,Alice,11
OR,F,1974,Debbie,11
OR,F,1974,Dianna,11
OR,F,1974,Dorothy,11
OR,F,1974,Hannah,11
OR,F,1974,Ingrid,11
OR,F,1974,Jeanne,11
OR,F,1974,Kellie,11
OR,F,1974,Kendra,11
OR,F,1974,Kristy,11
OR,F,1974,Marcie,11
OR,F,1974,Misti,11
OR,F,1974,Rene,11
OR,F,1974,Staci,11
OR,F,1974,Tammie,11
OR,F,1974,Tessa,11
OR,F,1974,Yolanda,11
OR,F,1974,Alisa,10
OR,F,1974,Billie,10
OR,F,1974,Felicia,10
OR,F,1974,Gloria,10
OR,F,1974,Hollie,10
OR,F,1974,Jean,10
OR,F,1974,Jocelyn,10
OR,F,1974,Jodie,10
OR,F,1974,Meredith,10
OR,F,1974,Rita,10
OR,F,1974,Rochelle,10
OR,F,1974,Roxanne,10
OR,F,1974,Tamera,10
OR,F,1974,Adrienne,9
OR,F,1974,Amelia,9
OR,F,1974,Angelina,9
OR,F,1974,Audra,9
OR,F,1974,Bobbi,9
OR,F,1974,Bobbie,9
OR,F,1974,Brandee,9
OR,F,1974,Candice,9
OR,F,1974,Caroline,9
OR,F,1974,Corey,9
OR,F,1974,Corinne,9
OR,F,1974,Daphne,9
OR,F,1974,Darla,9
OR,F,1974,Desiree,9
OR,F,1974,Ginger,9
OR,F,1974,Harmony,9
OR,F,1974,Jana,9
OR,F,1974,Janice,9
OR,F,1974,Jeanette,9
OR,F,1974,Jeri,9
OR,F,1974,Joyce,9
OR,F,1974,Kate,9
OR,F,1974,Kelley,9
OR,F,1974,Kimberlee,9
OR,F,1974,Kori,9
OR,F,1974,Melisa,9
OR,F,1974,Natalie,9
OR,F,1974,Rosa,9
OR,F,1974,Tiffani,9
OR,F,1974,Tonia,9
OR,F,1974,Yvonne,9
OR,F,1974,Cari,8
OR,F,1974,Cathy,8
OR,F,1974,Chandra,8
OR,F,1974,Claire,8
OR,F,1974,Faith,8
OR,F,1974,Leanne,8
OR,F,1974,Marcy,8
OR,F,1974,Marilyn,8
OR,F,1974,Monique,8
OR,F,1974,Serena,8
OR,F,1974,Shelli,8
OR,F,1974,Wendi,8
OR,F,1974,Abigail,7
OR,F,1974,Carly,7
OR,F,1974,Cassie,7
OR,F,1974,Corina,7
OR,F,1974,Darcie,7
OR,F,1974,Dena,7
OR,F,1974,Dina,7
OR,F,1974,Elaine,7
OR,F,1974,Ellen,7
OR,F,1974,Esther,7
OR,F,1974,Hope,7
OR,F,1974,Jami,7
OR,F,1974,Janna,7
OR,F,1974,Jeannette,7
OR,F,1974,Jennie,7
OR,F,1974,Jessie,7
OR,F,1974,Joanne,7
OR,F,1974,Juanita,7
OR,F,1974,Judy,7
OR,F,1974,Karin,7
OR,F,1974,Karla,7
OR,F,1974,Lesley,7
OR,F,1974,Lynn,7
OR,F,1974,Malinda,7
OR,F,1974,Mandy,7
OR,F,1974,Marcella,7
OR,F,1974,Marianne,7
OR,F,1974,Martha,7
OR,F,1974,Raina,7
OR,F,1974,Roberta,7
OR,F,1974,Shanna,7
OR,F,1974,Stefanie,7
OR,F,1974,Sylvia,7
OR,F,1974,Tabitha,7
OR,F,1974,Tana,7
OR,F,1974,Tera,7
OR,F,1974,Vicki,7
OR,F,1974,Vickie,7
OR,F,1974,Wanda,7
OR,F,1974,Windy,7
OR,F,1974,Alexis,6
OR,F,1974,Alissa,6
OR,F,1974,Alysia,6
OR,F,1974,Annie,6
OR,F,1974,Ashley,6
OR,F,1974,Audrey,6
OR,F,1974,Belinda,6
OR,F,1974,Betty,6
OR,F,1974,Beverly,6
OR,F,1974,Cherie,6
OR,F,1974,Corrina,6
OR,F,1974,Destiny,6
OR,F,1974,Elisa,6
OR,F,1974,Emilie,6
OR,F,1974,Genevieve,6
OR,F,1974,Georgia,6
OR,F,1974,Grace,6
OR,F,1974,Janell,6
OR,F,1974,Jeanine,6
OR,F,1974,Jeremy,6
OR,F,1974,Johanna,6
OR,F,1974,Katy,6
OR,F,1974,Lauren,6
OR,F,1974,Layla,6
OR,F,1974,Leanna,6
OR,F,1974,Liberty,6
OR,F,1974,Loretta,6
OR,F,1974,Lynette,6
OR,F,1974,Maggie,6
OR,F,1974,Marla,6
OR,F,1974,Marsha,6
OR,F,1974,Meghan,6
OR,F,1974,Mindi,6
OR,F,1974,Nina,6
OR,F,1974,Ruby,6
OR,F,1974,Selena,6
OR,F,1974,Shana,6
OR,F,1974,Shellie,6
OR,F,1974,Sue,6
OR,F,1974,Tia,6
OR,F,1974,Tisha,6
OR,F,1974,Vera,6
OR,F,1974,Alisha,5
OR,F,1974,Ami,5
OR,F,1974,Anastasia,5
OR,F,1974,Andria,5
OR,F,1974,Angelia,5
OR,F,1974,Angelique,5
OR,F,1974,Angelita,5
OR,F,1974,Athena,5
OR,F,1974,Aurora,5
OR,F,1974,Betsy,5
OR,F,1974,Brenna,5
OR,F,1974,Buffy,5
OR,F,1974,Candida,5
OR,F,1974,Collette,5
OR,F,1974,Deana,5
OR,F,1974,Deann,5
OR,F,1974,Dusty,5
OR,F,1974,Eileen,5
OR,F,1974,Emma,5
OR,F,1974,Fawn,5
OR,F,1974,Gabrielle,5
OR,F,1974,Glenda,5
OR,F,1974,Gwen,5
OR,F,1974,Jacquelyn,5
OR,F,1974,Janette,5
OR,F,1974,Janine,5
OR,F,1974,Jenna,5
OR,F,1974,Jolie,5
OR,F,1974,Julianne,5
OR,F,1974,Kami,5
OR,F,1974,Karie,5
OR,F,1974,Karina,5
OR,F,1974,Karrie,5
