StateCode,Sex,YearOfBirth,Name,Number
OR,F,1993,Michelle,90
OR,F,1993,Katie,89
OR,F,1993,Heather,85
OR,F,1993,Jordan,83
OR,F,1993,Emma,82
OR,F,1993,Laura,81
OR,F,1993,Jasmine,78
OR,F,1993,Marissa,77
OR,F,1993,Katelyn,76
OR,F,1993,Cassandra,74
OR,F,1993,Kimberly,74
OR,F,1993,Mary,74
OR,F,1993,Natalie,73
OR,F,1993,Amy,72
OR,F,1993,Breanna,71
OR,F,1993,Mackenzie,71
OR,F,1993,Sierra,70
OR,F,1993,Alicia,69
OR,F,1993,Andrea,67
OR,F,1993,Madison,67
OR,F,1993,Erin,66
OR,F,1993,Mckenzie,66
OR,F,1993,Allison,65
OR,F,1993,Tiffany,65
OR,F,1993,Alexandria,63
OR,F,1993,Jamie,62
OR,F,1993,Lindsey,62
OR,F,1993,Morgan,62
OR,F,1993,Brittney,61
OR,F,1993,Erica,61
OR,F,1993,Julia,61
OR,F,1993,Natasha,60
OR,F,1993,Abigail,59
OR,F,1993,Hayley,57
OR,F,1993,Kathryn,56
OR,F,1993,Crystal,55
OR,F,1993,Brooke,54
OR,F,1993,Savannah,53
OR,F,1993,Whitney,53
OR,F,1993,Caitlin,52
OR,F,1993,Sydney,52
OR,F,1993,Hailey,50
OR,F,1993,Molly,50
OR,F,1993,Kristen,49
OR,F,1993,Cheyenne,48
OR,F,1993,Kendra,48
OR,F,1993,Rachael,48
OR,F,1993,Kelly,47
OR,F,1993,Madeline,47
OR,F,1993,Kristina,46
OR,F,1993,Miranda,46
OR,F,1993,Shannon,46
OR,F,1993,Vanessa,46
OR,F,1993,Angela,45
OR,F,1993,Kaylee,44
OR,F,1993,Monica,44
OR,F,1993,Grace,42
OR,F,1993,Jenna,42
OR,F,1993,Erika,41
OR,F,1993,Gabrielle,41
OR,F,1993,Holly,41
OR,F,1993,Paige,41
OR,F,1993,Lindsay,40
OR,F,1993,Briana,39
OR,F,1993,Catherine,39
OR,F,1993,Kathleen,39
OR,F,1993,Nichole,39
OR,F,1993,Bethany,37
OR,F,1993,Autumn,34
OR,F,1993,Claire,34
OR,F,1993,Kaitlin,34
OR,F,1993,Leah,34
OR,F,1993,Meghan,34
OR,F,1993,Bailey,33
OR,F,1993,Christine,33
OR,F,1993,Tara,33
OR,F,1993,Krista,32
OR,F,1993,Mikayla,32
OR,F,1993,Kara,31
OR,F,1993,Lacey,31
OR,F,1993,Diana,30
OR,F,1993,Jade,30
OR,F,1993,Kylee,30
OR,F,1993,Melanie,30
OR,F,1993,Sabrina,30
OR,F,1993,Sophia,30
OR,F,1993,Veronica,30
OR,F,1993,Alisha,29
OR,F,1993,Ashlee,29
OR,F,1993,Audrey,29
OR,F,1993,Carly,29
OR,F,1993,Chloe,29
OR,F,1993,Cynthia,29
OR,F,1993,Katrina,29
OR,F,1993,Ana,28
OR,F,1993,Angelica,28
OR,F,1993,Brandi,28
OR,F,1993,Elise,28
OR,F,1993,Kylie,28
OR,F,1993,Michaela,28
OR,F,1993,Rebekah,28
OR,F,1993,Summer,28
OR,F,1993,Alexa,27
OR,F,1993,Ariel,27
OR,F,1993,Madeleine,27
OR,F,1993,Alison,26
OR,F,1993,April,26
OR,F,1993,Desiree,26
OR,F,1993,Kirsten,26
OR,F,1993,Kristin,26
OR,F,1993,Lisa,26
OR,F,1993,Unknown,26
OR,F,1993,Felicia,25
OR,F,1993,Gabriela,25
OR,F,1993,Margaret,25
OR,F,1993,Ashleigh,24
OR,F,1993,Brenda,24
OR,F,1993,Caitlyn,24
OR,F,1993,Destiny,24
OR,F,1993,Julie,24
OR,F,1993,Karissa,24
OR,F,1993,Kendall,24
OR,F,1993,Zoe,24
OR,F,1993,Hanna,23
OR,F,1993,Heidi,23
OR,F,1993,Naomi,23
OR,F,1993,Chelsey,22
OR,F,1993,Jillian,22
OR,F,1993,Karen,22
OR,F,1993,Krystal,22
OR,F,1993,Marisa,22
OR,F,1993,Tori,22
OR,F,1993,Adriana,21
OR,F,1993,Camille,21
OR,F,1993,Karina,21
OR,F,1993,Aubrey,20
OR,F,1993,Janet,20
OR,F,1993,Katelynn,20
OR,F,1993,Kyla,20
OR,F,1993,Makayla,20
OR,F,1993,Rachelle,20
OR,F,1993,Shayla,20
OR,F,1993,Tessa,20
OR,F,1993,Ariana,19
OR,F,1993,Brandy,19
OR,F,1993,Carissa,19
OR,F,1993,Deanna,19
OR,F,1993,Jessie,19
OR,F,1993,Justine,19
OR,F,1993,Lydia,19
OR,F,1993,Dakota,18
OR,F,1993,Dominique,18
OR,F,1993,Kelsie,18
OR,F,1993,Leslie,18
OR,F,1993,Marina,18
OR,F,1993,Mckenna,18
OR,F,1993,Mercedes,18
OR,F,1993,Savanna,18
OR,F,1993,Adrienne,17
OR,F,1993,Anne,17
OR,F,1993,Cassidy,17
OR,F,1993,Cecilia,17
OR,F,1993,Isabella,17
OR,F,1993,Kaitlynn,17
OR,F,1993,Linda,17
OR,F,1993,Nancy,17
OR,F,1993,Patricia,17
OR,F,1993,Rosa,17
OR,F,1993,Sandra,17
OR,F,1993,Shawna,17
OR,F,1993,Tanya,17
OR,F,1993,Wendy,17
OR,F,1993,Alejandra,16
OR,F,1993,Breanne,16
OR,F,1993,Casey,16
OR,F,1993,Claudia,16
OR,F,1993,Ellen,16
OR,F,1993,Faith,16
OR,F,1993,Jacqueline,16
OR,F,1993,Kassandra,16
OR,F,1993,Kate,16
OR,F,1993,Nikki,16
OR,F,1993,Amelia,15
OR,F,1993,Bridget,15
OR,F,1993,Britney,15
OR,F,1993,Chantel,15
OR,F,1993,Clara,15
OR,F,1993,Guadalupe,15
OR,F,1993,Jasmin,15
OR,F,1993,Mayra,15
OR,F,1993,Stacy,15
OR,F,1993,Tia,15
OR,F,1993,Anastasia,14
OR,F,1993,Bianca,14
OR,F,1993,Cara,14
OR,F,1993,Caroline,14
OR,F,1993,Emilie,14
OR,F,1993,Jaime,14
OR,F,1993,Jordyn,14
OR,F,1993,Josie,14
OR,F,1993,Kyra,14
OR,F,1993,Mallory,14
OR,F,1993,Mikaela,14
OR,F,1993,Miriam,14
OR,F,1993,Misty,14
OR,F,1993,Raquel,14
OR,F,1993,Riley,14
OR,F,1993,Robin,14
OR,F,1993,Susan,14
OR,F,1993,Allyson,13
OR,F,1993,Brenna,13
OR,F,1993,Candace,13
OR,F,1993,Chandler,13
OR,F,1993,Colleen,13
OR,F,1993,Hailee,13
OR,F,1993,Jazmin,13
OR,F,1993,Kelli,13
OR,F,1993,Kristi,13
OR,F,1993,Krysta,13
OR,F,1993,Margarita,13
OR,F,1993,Sasha,13
OR,F,1993,Tabitha,13
OR,F,1993,Tess,13
OR,F,1993,Valerie,13
OR,F,1993,Aimee,12
OR,F,1993,Brianne,12
OR,F,1993,Carmen,12
OR,F,1993,Carrie,12
OR,F,1993,Charlotte,12
OR,F,1993,Chelsie,12
OR,F,1993,Cheyanne,12
OR,F,1993,Ciara,12
OR,F,1993,Cristal,12
OR,F,1993,Jaclyn,12
OR,F,1993,Jacquelyn,12
OR,F,1993,Kari,12
OR,F,1993,Katharine,12
OR,F,1993,Larissa,12
OR,F,1993,Leticia,12
OR,F,1993,Lily,12
OR,F,1993,Maritza,12
OR,F,1993,Meagan,12
OR,F,1993,Robyn,12
OR,F,1993,Tayler,12
OR,F,1993,Teresa,12
OR,F,1993,Alexandrea,11
OR,F,1993,Alysha,11
OR,F,1993,Angelina,11
OR,F,1993,Araceli,11
OR,F,1993,Ashlie,11
OR,F,1993,Cierra,11
OR,F,1993,Cortney,11
OR,F,1993,Cristina,11
OR,F,1993,Darian,11
OR,F,1993,Ivy,11
OR,F,1993,Joanna,11
OR,F,1993,Kala,11
OR,F,1993,Kali,11
OR,F,1993,Karly,11
OR,F,1993,Kaylynn,11
OR,F,1993,Kelsi,11
OR,F,1993,Laurel,11
OR,F,1993,Liliana,11
OR,F,1993,Lillian,11
OR,F,1993,Marie,11
OR,F,1993,Mckayla,11
OR,F,1993,Melinda,11
OR,F,1993,Sadie,11
OR,F,1993,Selena,11
OR,F,1993,Serena,11
OR,F,1993,Sonia,11
OR,F,1993,Tasha,11
OR,F,1993,Tracy,11
OR,F,1993,Ayla,10
OR,F,1993,Carlie,10
OR,F,1993,Clarissa,10
OR,F,1993,Daisy,10
OR,F,1993,Dana,10
OR,F,1993,Elena,10
OR,F,1993,Ellie,10
OR,F,1993,Gabriella,10
OR,F,1993,Haylee,10
OR,F,1993,Hillary,10
OR,F,1993,Janelle,10
OR,F,1993,Jessika,10
OR,F,1993,Jill,10
OR,F,1993,Josephine,10
OR,F,1993,Kacie,10
OR,F,1993,Karlee,10
OR,F,1993,Kasey,10
OR,F,1993,Kelsea,10
OR,F,1993,Makenzie,10
OR,F,1993,Sage,10
OR,F,1993,Sophie,10
OR,F,1993,Yesenia,10
OR,F,1993,Alex,9
OR,F,1993,Alisa,9
OR,F,1993,Alma,9
OR,F,1993,Bryanna,9
OR,F,1993,Carolyn,9
OR,F,1993,Cassie,9
OR,F,1993,Celeste,9
OR,F,1993,Celia,9
OR,F,1993,Eva,9
OR,F,1993,Jane,9
OR,F,1993,Jeanette,9
OR,F,1993,Katlyn,9
OR,F,1993,Moriah,9
OR,F,1993,Natalia,9
OR,F,1993,Nina,9
OR,F,1993,Payton,9
OR,F,1993,Renee,9
OR,F,1993,Rochelle,9
OR,F,1993,Rose,9
OR,F,1993,Ruby,9
OR,F,1993,Sharon,9
OR,F,1993,Sofia,9
OR,F,1993,Taryn,9
OR,F,1993,Tyler,9
OR,F,1993,Virginia,9
OR,F,1993,Alina,8
OR,F,1993,Alissa,8
OR,F,1993,Angel,8
OR,F,1993,Anita,8
OR,F,1993,Beverly,8
OR,F,1993,Breana,8
OR,F,1993,Cindy,8
OR,F,1993,Devon,8
OR,F,1993,Elisabeth,8
OR,F,1993,Emilee,8
OR,F,1993,Gloria,8
OR,F,1993,Hallie,8
OR,F,1993,Helen,8
OR,F,1993,Irene,8
OR,F,1993,Janessa,8
OR,F,1993,Jocelyn,8
OR,F,1993,Kailey,8
OR,F,1993,Kaley,8
OR,F,1993,Kaylie,8
OR,F,1993,Keely,8
OR,F,1993,Kellie,8
OR,F,1993,Leilani,8
OR,F,1993,Lucy,8
OR,F,1993,Maggie,8
OR,F,1993,Melody,8
OR,F,1993,Meredith,8
OR,F,1993,Piper,8
OR,F,1993,Randi,8
OR,F,1993,Ruth,8
OR,F,1993,Shayna,8
OR,F,1993,Shyla,8
OR,F,1993,Stefani,8
OR,F,1993,Talia,8
OR,F,1993,Tatiana,8
OR,F,1993,Tiana,8
OR,F,1993,Tianna,8
OR,F,1993,Arianna,7
OR,F,1993,Ashlyn,7
OR,F,1993,Athena,7
OR,F,1993,Bonnie,7
OR,F,1993,Brittani,7
OR,F,1993,Candice,7
OR,F,1993,Carolina,7
OR,F,1993,Chanel,7
OR,F,1993,Charissa,7
OR,F,1993,Christa,7
OR,F,1993,Ciera,7
OR,F,1993,Corinne,7
OR,F,1993,Dawn,7
OR,F,1993,Devin,7
OR,F,1993,Donna,7
OR,F,1993,Elaina,7
OR,F,1993,Ella,7
OR,F,1993,Ericka,7
OR,F,1993,Esmeralda,7
OR,F,1993,Esther,7
OR,F,1993,Georgia,7
OR,F,1993,Gina,7
OR,F,1993,Gretchen,7
OR,F,1993,Haylie,7
OR,F,1993,Hollie,7
OR,F,1993,Jazmine,7
OR,F,1993,Julianna,7
OR,F,1993,Kailee,7
OR,F,1993,Kasandra,7
OR,F,1993,Kiana,7
OR,F,1993,Kiara,7
OR,F,1993,Kiera,7
OR,F,1993,Kira,7
OR,F,1993,Kristine,7
OR,F,1993,Lorena,7
OR,F,1993,Madelyn,7
OR,F,1993,Makenna,7
OR,F,1993,Mariana,7
OR,F,1993,Maya,7
OR,F,1993,Monique,7
OR,F,1993,Peyton,7
OR,F,1993,Raven,7
OR,F,1993,Rhiannon,7
OR,F,1993,Rocio,7
OR,F,1993,Sally,7
OR,F,1993,Skylar,7
OR,F,1993,Tamara,7
OR,F,1993,Tiffani,7
OR,F,1993,Abby,6
OR,F,1993,Adrianna,6
OR,F,1993,Alana,6
OR,F,1993,Alexi,6
OR,F,1993,Alexia,6
OR,F,1993,Alice,6
OR,F,1993,Alyson,6
OR,F,1993,Anissa,6
OR,F,1993,Ann,6
OR,F,1993,Annabelle,6
OR,F,1993,Annamarie,6
OR,F,1993,Annie,6
OR,F,1993,Asia,6
OR,F,1993,Barbara,6
OR,F,1993,Billie,6
OR,F,1993,Bridgette,6
OR,F,1993,Brittanie,6
OR,F,1993,Cameron,6
OR,F,1993,Casandra,6
OR,F,1993,Celina,6
OR,F,1993,Chantelle,6
OR,F,1993,Cheryl,6
OR,F,1993,Dallas,6
OR,F,1993,Deborah,6
OR,F,1993,Delaney,6
OR,F,1993,Eleanor,6
OR,F,1993,Evelyn,6
OR,F,1993,Gardenia,6
OR,F,1993,Hope,6
OR,F,1993,Isabel,6
OR,F,1993,Jana,6
OR,F,1993,Jayme,6
OR,F,1993,Jazmyn,6
OR,F,1993,Jenny,6
OR,F,1993,Juliana,6
OR,F,1993,Julianne,6
OR,F,1993,Kaila,6
OR,F,1993,Kami,6
OR,F,1993,Karla,6
OR,F,1993,Karli,6
OR,F,1993,Karlie,6
OR,F,1993,Katelin,6
OR,F,1993,Katlin,6
OR,F,1993,Kaylin,6
OR,F,1993,Keeley,6
OR,F,1993,Kendal,6
OR,F,1993,Kenzie,6
OR,F,1993,Kori,6
OR,F,1993,Lacy,6
OR,F,1993,Leanne,6
OR,F,1993,Linnea,6
OR,F,1993,Logan,6
OR,F,1993,Luz,6
OR,F,1993,Maegan,6
OR,F,1993,Mara,6
OR,F,1993,Martha,6
OR,F,1993,Myranda,6
OR,F,1993,Nikole,6
OR,F,1993,Priscilla,6
OR,F,1993,Rebeca,6
OR,F,1993,Selina,6
OR,F,1993,Shantel,6
OR,F,1993,Shirley,6
OR,F,1993,Sidney,6
OR,F,1993,Stevie,6
OR,F,1993,Tania,6
OR,F,1993,Terra,6
OR,F,1993,Theresa,6
OR,F,1993,Vivian,6
OR,F,1993,Alaina,5
OR,F,1993,Alix,5
OR,F,1993,Allyssa,5
OR,F,1993,Amberly,5
OR,F,1993,Angelique,5
OR,F,1993,Ashlea,5
OR,F,1993,Ashly,5
OR,F,1993,Aubrie,5
OR,F,1993,Brittnee,5
OR,F,1993,Brynn,5
OR,F,1993,Carina,5
OR,F,1993,Carley,5
OR,F,1993,Cayla,5
OR,F,1993,Charlene,5
OR,F,1993,Chelsee,5
OR,F,1993,Chelsi,5
OR,F,1993,Christian,5
OR,F,1993,Christie,5
OR,F,1993,Connie,5
OR,F,1993,Corey,5
OR,F,1993,Corina,5
OR,F,1993,Dania,5
OR,F,1993,Daniela,5
OR,F,1993,Danika,5
OR,F,1993,Demi,5
OR,F,1993,Drew,5
OR,F,1993,Dulce,5
OR,F,1993,Eden,5
OR,F,1993,Edith,5
OR,F,1993,Emerald,5
OR,F,1993,Fallon,5
OR,F,1993,Genevieve,5
OR,F,1993,Haleigh,5
OR,F,1993,Hilary,5
OR,F,1993,Iris,5
OR,F,1993,Jazzmine,5
OR,F,1993,Jenessa,5
OR,F,1993,Jennie,5
OR,F,1993,Jorden,5
OR,F,1993,Juanita,5
OR,F,1993,Kaci,5
OR,F,1993,Kaili,5
OR,F,1993,Karley,5
OR,F,1993,Katerina,5
OR,F,1993,Kaylea,5
OR,F,1993,Kaylene,5
OR,F,1993,Kayley,5
OR,F,1993,Kaytlin,5
OR,F,1993,Keri,5
OR,F,1993,Kim,5
OR,F,1993,Kourtney,5
OR,F,1993,Lexi,5
OR,F,1993,Lexie,5
OR,F,1993,Liliya,5
OR,F,1993,Lucero,5
OR,F,1993,Lyndsey,5
OR,F,1993,Macy,5
OR,F,1993,Magali,5
OR,F,1993,Malia,5
OR,F,1993,Marianna,5
OR,F,1993,Mariela,5
OR,F,1993,Marisol,5
OR,F,1993,Merissa,5
OR,F,1993,Mia,5
OR,F,1993,Michele,5
OR,F,1993,Mollie,5
OR,F,1993,Montana,5
OR,F,1993,Noel,5
OR,F,1993,Noelle,5
OR,F,1993,Norma,5
OR,F,1993,Patrice,5
OR,F,1993,Paula,5
OR,F,1993,Racheal,5
OR,F,1993,Regina,5
OR,F,1993,Rosemary,5
OR,F,1993,Roxanne,5
OR,F,1993,Rylee,5
OR,F,1993,Selene,5
OR,F,1993,Shaina,5
OR,F,1993,Shalynn,5
OR,F,1993,Shanna,5
OR,F,1993,Shawnee,5
OR,F,1993,Stacey,5
OR,F,1993,Stacie,5
OR,F,1993,Stefanie,5
OR,F,1993,Susana,5
OR,F,1993,Tanisha,5
OR,F,1993,Tatum,5
OR,F,1993,Tesla,5
OR,F,1993,Tierra,5
OR,F,1993,Tina,5
OR,F,1993,Tosha,5
OR,F,1993,Trisha,5
OR,F,1993,Violet,5
OR,F,1993,Willow,5
OR,F,1993,Yvette,5
OR,F,1993,Zoey,5
OR,F,1994,Jessica,358
OR,F,1994,Ashley,350
OR,F,1994,Emily,316
OR,F,1994,Samantha,248
OR,F,1994,Sarah,237
OR,F,1994,Hannah,228
OR,F,1994,Megan,217
OR,F,1994,Elizabeth,200
OR,F,1994,Amanda,197
OR,F,1994,Nicole,192
OR,F,1994,Taylor,188
OR,F,1994,Kayla,187
OR,F,1994,Rachel,158
OR,F,1994,Brittany,152
OR,F,1994,Jennifer,133
OR,F,1994,Stephanie,126
OR,F,1994,Alyssa,125
OR,F,1994,Brianna,123
OR,F,1994,Rebecca,120
OR,F,1994,Sierra,116
OR,F,1994,Anna,115
OR,F,1994,Courtney,114
OR,F,1994,Alexis,113
OR,F,1994,Haley,113
OR,F,1994,Kelsey,112
OR,F,1994,Morgan,107
OR,F,1994,Alexandra,106
OR,F,1994,Katherine,104
OR,F,1994,Danielle,103
OR,F,1994,Lauren,102
OR,F,1994,Mariah,102
OR,F,1994,Madison,101
OR,F,1994,Miranda,99
OR,F,1994,Chelsea,98
OR,F,1994,Melissa,96
OR,F,1994,Victoria,91
OR,F,1994,Emma,90
OR,F,1994,Shelby,90
OR,F,1994,Maria,89
OR,F,1994,Katie,86
OR,F,1994,Michelle,84
OR,F,1994,Natalie,83
OR,F,1994,Abigail,82
OR,F,1994,Jasmine,82
OR,F,1994,Sara,80
OR,F,1994,Amber,79
OR,F,1994,Marissa,79
OR,F,1994,Cassandra,78
OR,F,1994,Mackenzie,78
OR,F,1994,Jordan,77
OR,F,1994,Kaitlyn,77
OR,F,1994,Mckenzie,77
OR,F,1994,Allison,75
OR,F,1994,Olivia,73
OR,F,1994,Madeline,72
OR,F,1994,Erin,71
OR,F,1994,Brooke,70
OR,F,1994,Laura,70
OR,F,1994,Andrea,69
OR,F,1994,Alicia,67
OR,F,1994,Lindsey,66
OR,F,1994,Breanna,65
OR,F,1994,Kendra,65
OR,F,1994,Christina,62
OR,F,1994,Hailey,60
OR,F,1994,Caitlin,59
OR,F,1994,Chloe,59
OR,F,1994,Sydney,59
OR,F,1994,Whitney,59
OR,F,1994,Savannah,58
OR,F,1994,Vanessa,58
OR,F,1994,Katelyn,57
OR,F,1994,Natasha,57
OR,F,1994,Tiffany,57
