StateCode,Sex,YearOfBirth,Name,Number
OR,F,2007,Sylvia,14
OR,F,2007,Yasmin,14
OR,F,2007,Yesenia,14
OR,F,2007,Abbigail,13
OR,F,2007,Alison,13
OR,F,2007,Allyson,13
OR,F,2007,April,13
OR,F,2007,Carly,13
OR,F,2007,Carmen,13
OR,F,2007,Christina,13
OR,F,2007,Courtney,13
OR,F,2007,Dylan,13
OR,F,2007,Emerson,13
OR,F,2007,Genesis,13
OR,F,2007,Helen,13
OR,F,2007,Itzel,13
OR,F,2007,Jaiden,13
OR,F,2007,Jamie,13
OR,F,2007,Jane,13
OR,F,2007,Kaitlin,13
OR,F,2007,Kaitlynn,13
OR,F,2007,Kelsey,13
OR,F,2007,Lilian,13
OR,F,2007,Lindsay,13
OR,F,2007,Lizbeth,13
OR,F,2007,Lluvia,13
OR,F,2007,Lyla,13
OR,F,2007,Tatum,13
OR,F,2007,Zoie,13
OR,F,2007,Adelaide,12
OR,F,2007,Alana,12
OR,F,2007,Alejandra,12
OR,F,2007,Amber,12
OR,F,2007,Annie,12
OR,F,2007,Ashlee,12
OR,F,2007,Brittany,12
OR,F,2007,Cora,12
OR,F,2007,Emilie,12
OR,F,2007,Julissa,12
OR,F,2007,Kadence,12
OR,F,2007,Kaia,12
OR,F,2007,Kassidy,12
OR,F,2007,Kathryn,12
OR,F,2007,Kaylie,12
OR,F,2007,Kelly,12
OR,F,2007,Marley,12
OR,F,2007,Mercedes,12
OR,F,2007,Nancy,12
OR,F,2007,Samara,12
OR,F,2007,Valerie,12
OR,F,2007,Abril,11
OR,F,2007,Ada,11
OR,F,2007,Allie,11
OR,F,2007,Anika,11
OR,F,2007,Ashlynn,11
OR,F,2007,Cameron,11
OR,F,2007,Citlali,11
OR,F,2007,Cristina,11
OR,F,2007,Danica,11
OR,F,2007,Daniella,11
OR,F,2007,Desiree,11
OR,F,2007,Elle,11
OR,F,2007,Emery,11
OR,F,2007,Finley,11
OR,F,2007,Greta,11
OR,F,2007,Hallie,11
OR,F,2007,Jadyn,11
OR,F,2007,Jazlyn,11
OR,F,2007,Julie,11
OR,F,2007,Juliet,11
OR,F,2007,Kamryn,11
OR,F,2007,Kaya,11
OR,F,2007,Kiley,11
OR,F,2007,Lena,11
OR,F,2007,Liberty,11
OR,F,2007,Lillie,11
OR,F,2007,London,11
OR,F,2007,Maddison,11
OR,F,2007,Makena,11
OR,F,2007,Marely,11
OR,F,2007,Marlene,11
OR,F,2007,Melina,11
OR,F,2007,Nataly,11
OR,F,2007,Norah,11
OR,F,2007,Patricia,11
OR,F,2007,Priscilla,11
OR,F,2007,Rosa,11
OR,F,2007,Rylie,11
OR,F,2007,Susana,11
OR,F,2007,Teagan,11
OR,F,2007,Tiffany,11
OR,F,2007,Ximena,11
OR,F,2007,Yoselin,11
OR,F,2007,Adalyn,10
OR,F,2007,Ainsley,10
OR,F,2007,Alyson,10
OR,F,2007,Amara,10
OR,F,2007,Amaya,10
OR,F,2007,Belinda,10
OR,F,2007,Evelin,10
OR,F,2007,Gloria,10
OR,F,2007,Harper,10
OR,F,2007,Haylie,10
OR,F,2007,Jaden,10
OR,F,2007,Kristina,10
OR,F,2007,Laurel,10
OR,F,2007,Lesly,10
OR,F,2007,Madalyn,10
OR,F,2007,Maritza,10
OR,F,2007,Meredith,10
OR,F,2007,Miley,10
OR,F,2007,Miriam,10
OR,F,2007,Natalya,10
OR,F,2007,Nina,10
OR,F,2007,Paula,10
OR,F,2007,Quinn,10
OR,F,2007,Sasha,10
OR,F,2007,Shayla,10
OR,F,2007,Shaylee,10
OR,F,2007,Teresa,10
OR,F,2007,Theresa,10
OR,F,2007,Veronica,10
OR,F,2007,Alessandra,9
OR,F,2007,Cali,9
OR,F,2007,Cecelia,9
OR,F,2007,Cheyanne,9
OR,F,2007,Claudia,9
OR,F,2007,Dayanara,9
OR,F,2007,Denise,9
OR,F,2007,Elisabeth,9
OR,F,2007,Estrella,9
OR,F,2007,Felicity,9
OR,F,2007,Gwyneth,9
OR,F,2007,Helena,9
OR,F,2007,Izabelle,9
OR,F,2007,Jayda,9
OR,F,2007,Jazmyn,9
OR,F,2007,Jessie,9
OR,F,2007,Joana,9
OR,F,2007,Johanna,9
OR,F,2007,Kailey,9
OR,F,2007,Kaiya,9
OR,F,2007,Kayden,9
OR,F,2007,Kristen,9
OR,F,2007,Lexie,9
OR,F,2007,Lilia,9
OR,F,2007,Luz,9
OR,F,2007,Madilynn,9
OR,F,2007,Madisyn,9
OR,F,2007,Madyson,9
OR,F,2007,Mallory,9
OR,F,2007,Martha,9
OR,F,2007,Paola,9
OR,F,2007,Paulina,9
OR,F,2007,Reyna,9
OR,F,2007,River,9
OR,F,2007,Ryann,9
OR,F,2007,Sahara,9
OR,F,2007,Wendy,9
OR,F,2007,Addisyn,8
OR,F,2007,Aileen,8
OR,F,2007,Alayna,8
OR,F,2007,America,8
OR,F,2007,Anastasia,8
OR,F,2007,Anne,8
OR,F,2007,Aracely,8
OR,F,2007,Areli,8
OR,F,2007,Arely,8
OR,F,2007,Beatrice,8
OR,F,2007,Brenna,8
OR,F,2007,Brisa,8
OR,F,2007,Brynn,8
OR,F,2007,Charity,8
OR,F,2007,Dahlia,8
OR,F,2007,Dana,8
OR,F,2007,Ellen,8
OR,F,2007,Elsie,8
OR,F,2007,Emilee,8
OR,F,2007,Emmalee,8
OR,F,2007,Esperanza,8
OR,F,2007,Fernanda,8
OR,F,2007,Freya,8
OR,F,2007,Hanna,8
OR,F,2007,Heaven,8
OR,F,2007,Isabela,8
OR,F,2007,Joy,8
OR,F,2007,Juniper,8
OR,F,2007,Karis,8
OR,F,2007,Kassandra,8
OR,F,2007,Kaylin,8
OR,F,2007,Kaylynn,8
OR,F,2007,Keely,8
OR,F,2007,Kenna,8
OR,F,2007,Kenya,8
OR,F,2007,Kenzie,8
OR,F,2007,Laney,8
OR,F,2007,Lauryn,8
OR,F,2007,Lia,8
OR,F,2007,Lilliana,8
OR,F,2007,Luna,8
OR,F,2007,Macie,8
OR,F,2007,Madilyn,8
OR,F,2007,Marisol,8
OR,F,2007,Melany,8
OR,F,2007,Nadia,8
OR,F,2007,Paloma,8
OR,F,2007,Raina,8
OR,F,2007,Raquel,8
OR,F,2007,Sabine,8
OR,F,2007,Saige,8
OR,F,2007,Sandra,8
OR,F,2007,Savanah,8
OR,F,2007,Serena,8
OR,F,2007,Shyanne,8
OR,F,2007,Sidney,8
OR,F,2007,Simone,8
OR,F,2007,Tania,8
OR,F,2007,Tayler,8
OR,F,2007,Thalia,8
OR,F,2007,Yareli,8
OR,F,2007,Abbygail,7
OR,F,2007,Alena,7
OR,F,2007,Alissa,7
OR,F,2007,Aliya,7
OR,F,2007,Amina,7
OR,F,2007,Amira,7
OR,F,2007,Anaya,7
OR,F,2007,Angie,7
OR,F,2007,Arabella,7
OR,F,2007,Aylin,7
OR,F,2007,Bailee,7
OR,F,2007,Blanca,7
OR,F,2007,Brielle,7
OR,F,2007,Britney,7
OR,F,2007,Brookelyn,7
OR,F,2007,Carley,7
OR,F,2007,Celeste,7
OR,F,2007,Chelsey,7
OR,F,2007,Christine,7
OR,F,2007,Clare,7
OR,F,2007,Deja,7
OR,F,2007,Delia,7
OR,F,2007,Delilah,7
OR,F,2007,Ember,7
OR,F,2007,Harmony,7
OR,F,2007,Heather,7
OR,F,2007,Jaidyn,7
OR,F,2007,Jaqueline,7
OR,F,2007,June,7
OR,F,2007,Karley,7
OR,F,2007,Katrina,7
OR,F,2007,Kenadie,7
OR,F,2007,Kirsten,7
OR,F,2007,Krystal,7
OR,F,2007,Lacey,7
OR,F,2007,Lana,7
OR,F,2007,Larissa,7
OR,F,2007,Lexi,7
OR,F,2007,Logan,7
OR,F,2007,Lorelai,7
OR,F,2007,Lorena,7
OR,F,2007,Mae,7
OR,F,2007,Mara,7
OR,F,2007,Maren,7
OR,F,2007,Mariela,7
OR,F,2007,Matilda,7
OR,F,2007,Mckayla,7
OR,F,2007,Melody,7
OR,F,2007,Mila,7
OR,F,2007,Myah,7
OR,F,2007,Mylee,7
OR,F,2007,Nola,7
OR,F,2007,Nova,7
OR,F,2007,Raegan,7
OR,F,2007,Rayna,7
OR,F,2007,Renee,7
OR,F,2007,Rubi,7
OR,F,2007,Ryan,7
OR,F,2007,Selah,7
OR,F,2007,Sequoia,7
OR,F,2007,Siena,7
OR,F,2007,Talia,7
OR,F,2007,Taryn,7
OR,F,2007,Tess,7
OR,F,2007,Tianna,7
OR,F,2007,Yazmin,7
OR,F,2007,Abbie,6
OR,F,2007,Adison,6
OR,F,2007,Adyson,6
OR,F,2007,Aiyana,6
OR,F,2007,Alma,6
