StateCode,Sex,YearOfBirth,Name,Number
OR,M,1929,Phillip,8
OR,M,1929,Samuel,8
OR,M,1929,Archie,7
OR,M,1929,Calvin,7
OR,M,1929,Claude,7
OR,M,1929,Danny,7
OR,M,1929,Delmer,7
OR,M,1929,Dewey,7
OR,M,1929,Franklin,7
OR,M,1929,Hubert,7
OR,M,1929,Ivan,7
OR,M,1929,Jesse,7
OR,M,1929,Johnny,7
OR,M,1929,Laurence,7
OR,M,1929,Lowell,7
OR,M,1929,Oliver,7
OR,M,1929,Oscar,7
OR,M,1929,Roland,7
OR,M,1929,Stephen,7
OR,M,1929,Anthony,6
OR,M,1929,Ben,6
OR,M,1929,Bud,6
OR,M,1929,Carroll,6
OR,M,1929,Dennis,6
OR,M,1929,Dwight,6
OR,M,1929,Homer,6
OR,M,1929,Jerome,6
OR,M,1929,Loyd,6
OR,M,1929,Mark,6
OR,M,1929,Max,6
OR,M,1929,Merlin,6
OR,M,1929,Myron,6
OR,M,1929,Neal,6
OR,M,1929,Otto,6
OR,M,1929,Perry,6
OR,M,1929,Rex,6
OR,M,1929,Rodney,6
OR,M,1929,Sidney,6
OR,M,1929,Vern,6
OR,M,1929,Byron,5
OR,M,1929,Curtis,5
OR,M,1929,Emil,5
OR,M,1929,Gail,5
OR,M,1929,Johnnie,5
OR,M,1929,Lynn,5
OR,M,1929,Maurice,5
OR,M,1929,Millard,5
OR,M,1929,Reginald,5
OR,M,1929,Rudolph,5
OR,M,1929,Willis,5
OR,M,1930,Robert,397
OR,M,1930,Donald,266
OR,M,1930,Richard,265
OR,M,1930,James,227
OR,M,1930,William,216
OR,M,1930,John,208
OR,M,1930,Charles,155
OR,M,1930,Jack,120
OR,M,1930,Kenneth,112
OR,M,1930,George,105
OR,M,1930,David,103
OR,M,1930,Ronald,87
OR,M,1930,Raymond,86
OR,M,1930,Harold,81
OR,M,1930,Thomas,78
OR,M,1930,Ralph,71
OR,M,1930,Gerald,63
OR,M,1930,Don,53
OR,M,1930,Edward,53
OR,M,1930,Norman,53
OR,M,1930,Walter,52
OR,M,1930,Paul,51
OR,M,1930,Harry,49
OR,M,1930,Bill,47
OR,M,1930,Dale,46
OR,M,1930,Vernon,44
OR,M,1930,Roy,43
OR,M,1930,Albert,42
OR,M,1930,Gordon,42
OR,M,1930,Jerry,42
OR,M,1930,Eugene,41
OR,M,1930,Joseph,40
OR,M,1930,Wayne,40
OR,M,1930,Howard,39
OR,M,1930,Jim,38
OR,M,1930,Lawrence,38
OR,M,1930,Lloyd,38
OR,M,1930,Melvin,38
OR,M,1930,Arthur,37
OR,M,1930,Bob,37
OR,M,1930,Fred,37
OR,M,1930,Marvin,36
OR,M,1930,Stanley,36
OR,M,1930,Earl,33
OR,M,1930,Larry,33
OR,M,1930,Carl,32
OR,M,1930,Glenn,32
OR,M,1930,Frank,30
OR,M,1930,Louis,30
OR,M,1930,Leonard,29
OR,M,1930,Clifford,28
OR,M,1930,Gene,28
OR,M,1930,Leroy,26
OR,M,1930,Roger,26
OR,M,1930,Henry,25
OR,M,1930,Joe,25
OR,M,1930,Alan,24
OR,M,1930,Billy,24
OR,M,1930,Douglas,24
OR,M,1930,Keith,24
OR,M,1930,Ray,24
OR,M,1930,Clarence,23
OR,M,1930,Daniel,23
OR,M,1930,Dean,23
OR,M,1930,Edwin,23
OR,M,1930,Delbert,22
OR,M,1930,Elmer,22
OR,M,1930,Lee,22
OR,M,1930,Bruce,21
OR,M,1930,Duane,20
OR,M,1930,Everett,20
OR,M,1930,Glen,20
OR,M,1930,Herbert,20
OR,M,1930,Theodore,20
OR,M,1930,Clyde,19
OR,M,1930,Ernest,19
OR,M,1930,Darrell,18
OR,M,1930,Francis,18
OR,M,1930,Leo,17
OR,M,1930,Wallace,17
OR,M,1930,Dick,16
OR,M,1930,Wesley,16
OR,M,1930,Alfred,15
OR,M,1930,Gary,15
OR,M,1930,Jimmy,15
OR,M,1930,Milton,15
OR,M,1930,Ted,15
OR,M,1930,Dennis,14
OR,M,1930,Harvey,14
OR,M,1930,Jimmie,14
OR,M,1930,Lewis,14
OR,M,1930,Lyle,14
OR,M,1930,Philip,14
OR,M,1930,Allan,13
OR,M,1930,Eldon,13
OR,M,1930,Floyd,13
OR,M,1930,Michael,13
OR,M,1930,Rodney,13
OR,M,1930,Allen,12
OR,M,1930,Alvin,12
OR,M,1930,Bernard,12
OR,M,1930,Lester,12
OR,M,1930,Virgil,12
OR,M,1930,Arnold,11
OR,M,1930,Ben,11
OR,M,1930,Peter,11
OR,M,1930,Samuel,11
OR,M,1930,Tom,11
OR,M,1930,Loren,10
OR,M,1930,Russell,10
OR,M,1930,Victor,10
OR,M,1930,Bert,9
OR,M,1930,Bobby,9
OR,M,1930,Bud,9
OR,M,1930,Burton,9
OR,M,1930,Byron,9
OR,M,1930,Cecil,9
OR,M,1930,Chester,9
OR,M,1930,Claude,9
OR,M,1930,Clayton,9
OR,M,1930,Eddie,9
OR,M,1930,Frederick,9
OR,M,1930,Homer,9
OR,M,1930,Leslie,9
OR,M,1930,Lowell,9
OR,M,1930,Martin,9
OR,M,1930,Merle,9
OR,M,1930,Patrick,9
OR,M,1930,Willard,9
OR,M,1930,Calvin,8
OR,M,1930,Carroll,8
OR,M,1930,Dan,8
OR,M,1930,Darrel,8
OR,M,1930,Gilbert,8
OR,M,1930,Hugh,8
OR,M,1930,Jerome,8
OR,M,1930,Maurice,8
OR,M,1930,Max,8
OR,M,1930,Vern,8
OR,M,1930,Warren,8
OR,M,1930,Curtis,7
OR,M,1930,Dave,7
OR,M,1930,Edgar,7
OR,M,1930,Harley,7
OR,M,1930,Irvin,7
OR,M,1930,Laurence,7
OR,M,1930,Leland,7
OR,M,1930,Leon,7
OR,M,1930,Phillip,7
OR,M,1930,Rex,7
OR,M,1930,Sidney,7
OR,M,1930,Tommy,7
OR,M,1930,Wilbur,7
OR,M,1930,Willis,7
OR,M,1930,Archie,6
OR,M,1930,Buddy,6
OR,M,1930,Dwight,6
OR,M,1930,Elvin,6
OR,M,1930,Fredrick,6
OR,M,1930,Guy,6
OR,M,1930,Harlan,6
OR,M,1930,Ivan,6
OR,M,1930,Johnny,6
OR,M,1930,Karl,6
OR,M,1930,Merlin,6
OR,M,1930,Myron,6
OR,M,1930,Orville,6
OR,M,1930,Owen,6
OR,M,1930,Roland,6
OR,M,1930,Teddy,6
OR,M,1930,Wilfred,6
OR,M,1930,Andrew,5
OR,M,1930,Benny,5
OR,M,1930,Clinton,5
OR,M,1930,Conrad,5
OR,M,1930,Craig,5
OR,M,1930,Emil,5
OR,M,1930,Hubert,5
OR,M,1930,Jay,5
OR,M,1930,Jesse,5
OR,M,1931,Robert,433
OR,M,1931,James,274
OR,M,1931,Donald,271
OR,M,1931,Richard,257
OR,M,1931,John,214
OR,M,1931,William,203
OR,M,1931,Jack,135
OR,M,1931,David,119
OR,M,1931,Kenneth,112
OR,M,1931,Charles,108
OR,M,1931,George,108
OR,M,1931,Ronald,98
OR,M,1931,Raymond,74
OR,M,1931,Don,68
OR,M,1931,Thomas,68
OR,M,1931,Frank,67
OR,M,1931,Edward,65
OR,M,1931,Harold,60
OR,M,1931,Gerald,54
OR,M,1931,Bob,48
OR,M,1931,Ralph,48
OR,M,1931,Joseph,45
OR,M,1931,Norman,44
OR,M,1931,Walter,44
OR,M,1931,Bill,42
OR,M,1931,Roy,42
OR,M,1931,Stanley,42
OR,M,1931,Jerry,41
OR,M,1931,Marvin,41
OR,M,1931,Dale,40
OR,M,1931,Arthur,38
OR,M,1931,Lawrence,37
OR,M,1931,Dick,36
OR,M,1931,Eugene,36
OR,M,1931,Leroy,35
OR,M,1931,Melvin,35
OR,M,1931,Paul,35
OR,M,1931,Earl,34
OR,M,1931,Larry,34
OR,M,1931,Albert,33
OR,M,1931,Carl,33
OR,M,1931,Fred,33
OR,M,1931,Gordon,32
OR,M,1931,Jim,32
OR,M,1931,Gene,30
OR,M,1931,Vernon,30
OR,M,1931,Lloyd,29
OR,M,1931,Harry,28
OR,M,1931,Keith,28
OR,M,1931,Leonard,28
OR,M,1931,Louis,27
OR,M,1931,Alfred,25
OR,M,1931,Glenn,25
OR,M,1931,Howard,25
OR,M,1931,Roger,25
OR,M,1931,Wayne,25
OR,M,1931,Billy,24
OR,M,1931,Bruce,24
OR,M,1931,Ernest,23
OR,M,1931,Henry,23
OR,M,1931,Lee,23
OR,M,1931,Clarence,22
OR,M,1931,Clifford,22
OR,M,1931,Floyd,22
OR,M,1931,Joe,22
OR,M,1931,Daniel,21
OR,M,1931,Tom,21
OR,M,1931,Dean,20
OR,M,1931,Allen,19
OR,M,1931,Glen,19
OR,M,1931,Philip,19
OR,M,1931,Duane,18
OR,M,1931,Loren,18
OR,M,1931,Lyle,18
OR,M,1931,Alan,17
OR,M,1931,Alvin,17
OR,M,1931,Dennis,17
OR,M,1931,Ray,17
OR,M,1931,Victor,17
OR,M,1931,Delbert,16
OR,M,1931,Douglas,16
OR,M,1931,Gary,16
OR,M,1931,Arnold,15
OR,M,1931,Jimmie,15
OR,M,1931,Milton,15
OR,M,1931,Patrick,15
OR,M,1931,Wallace,15
OR,M,1931,Bernard,14
OR,M,1931,Bobby,14
OR,M,1931,Darrell,14
OR,M,1931,Edwin,14
OR,M,1931,Elmer,14
OR,M,1931,Herbert,14
OR,M,1931,Rodney,14
OR,M,1931,Theodore,14
OR,M,1931,Tommy,14
OR,M,1931,Jimmy,13
OR,M,1931,Leland,13
OR,M,1931,Lester,13
OR,M,1931,Allan,12
